plot.id,block.id.harvest,site.id,block.id,site.name,region,landuse,block,treatment,harvest,wp,lat,long,setup.date,harvest.date,growth.period,rain.sum,target.sp.,pasture.disc.harvest,height.harvest,spo_pyr,mic_kun,sol_inc,the_tri,chr_ori,chl_pyc,het_con,spo_fes,dic_cin,dig_sp,dig_mac,bot_ins,ind_vol,ble_sp,cyp_sp,spo_ioc,pan_col,ind_sp,pen_mez,tri_ter,tra_bet,gut_cor,bra_sp,eup_ind,cyn_dac,sid_ova,jus_mat,ind_hoc,dac_aeg,era_rac,era_ten,oxy_sin,leu_sp,bid_sp,dys_rad,sph_sp,com_ben,spo_afr,bra_sem,dys_sp,chl_gay,kyl_sp,cro_spi,bra_bri,tra_ber,arc_sp,ari_ken,dic_rad,spo_sp,gut_pet,era_sp,pan_max,spo_fim,cyn_ple,aca_rob,lon_sp,kyl_ner,eup_hir,dic_mon,kyl_alb,rue_pat,old_sp,spo_sta,ipo_sp,mon_sp,het_ste,sen_aby,cyn_sp,hel_ste,son_sp,gut_sp,dac_gig,mar_sp,cra_pla,tep_pum,hyp_dis,bot_scr,oci_sua,eup_ina,ach_asp,her_sp,dig_vel ,cya_sp,com_tru,bid_sch,mar_amo,sed_ort,target.sp.cover.harvest,sum.sp.harvest,total.veg.cover.harvest
WET_P_4_EX_H2,WET_P_4_H2,WET_P,WET_P_4,Mwantimba,WET,P,4,EX,H2,1020,-2.36857,34.062586,3/22/2017,5/14/2017,53,222.92,Chr.ori,5.2,28.6,5.00,,,,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,60,85
WET_P_4_OP_H2,WET_P_4_H2,WET_P,WET_P_4,Mwantimba,WET,P,4,OP,H2,1020,-2.36857,34.062586,3/22/2017,5/14/2017,53,222.92,Chr.ori,2.5,17.6,,,,,,20.00,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,50,95
DRY_W_1_EX_H2,DRY_W_1_H2,DRY_W,DRY_W_1,Maswa,DRY,W,1,EX,H2,995,-3.299332,34.848458,3/24/2017,05.11.2017,48,115.33,Cyn.dac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_W_1_EX2_H2,DRY_W_1_H2,DRY_W,DRY_W_1,Maswa,DRY,W,1,EX2,H2,995,-3.299332,34.848458,3/25/2017,05.11.2017,47,115.33,Cyn.dac,2.5,13,,,,,,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,50,60
DRY_W_1_OP_H2,DRY_W_1_H2,DRY_W,DRY_W_1,Maswa,DRY,W,1,OP,H2,995,-3.299332,34.848458,3/24/2017,05.11.2017,48,115.33,Cyn.dac,1.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,30
DRY_W_2_EX_H2,DRY_W_2_H2,DRY_W,DRY_W_2,Maswa,DRY,W,2,EX,H2,980,-3.303268,34.847796,3/24/2017,05.11.2017,48,115.33,Cyn.dac,1.5,6.8,,,,,,5.00,,,,,,,,,,,,,,,,8.00,,,,,,,,7.00,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,38,40
DRY_W_2_EX2_H2,DRY_W_2_H2,DRY_W,DRY_W_2,Maswa,DRY,W,2,EX2,H2,980,-3.303268,34.847796,3/25/2017,05.11.2017,47,115.33,Cyn.dac,2,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,50,60
DRY_W_2_OP_H2,DRY_W_2_H2,DRY_W,DRY_W_2,Maswa,DRY,W,2,OP,H2,980,-3.303268,34.847796,3/24/2017,05.11.2017,48,115.33,Cyn.dac,1.7,3.2,,,,,,,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,25
DRY_W_3_EX_H2,DRY_W_3_H2,DRY_W,DRY_W_3,Maswa,DRY,W,3,EX,H2,998,-3.295645,34.852435,3/24/2017,05.11.2017,48,115.33,Cyn.dac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_W_3_EX2_H2,DRY_W_3_H2,DRY_W,DRY_W_3,Maswa,DRY,W,3,EX2,H2,998,-3.295645,34.852435,3/25/2017,05.11.2017,47,115.33,Cyn.dac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
