"plot.id";"block.id.harvest";"site.id";"block.id";"site.name";"region";"landuse";"block";"treatment";"harvest";"wp";"lat";"long";"setup.date";"harvest.date";"growth.period";"rain.sum";"target.sp.";"pasture.disc.setup";"height..setup";"spo_pyr";"mic_kun";"sol_inc";"the_tri";"chr_ori";"chl_pyc";"het_con";"orm_tri";"spo_fes";"dic_cin";"dig_sp";"dig_mac";"bot_ins";"ind_vol";"ble_sp";"cen_cil";"cyp_sp";"spo_ioc";"pan_col";"ind_sp";"com_sp";"pen_mez";"tri_ter";"gut_cor";"bra_sp";"eup_ind";"ipo_mom";"cyn_dac";"X906";"X918";"X921";"X963";"X964";"X965.967";"sid_ova";"jus_mat";"her_sch";"ind_hoc";"dac_aeg";"jus_bet";"ari_sp";"era_rac";"era_ten";"X20";"X21";"spo_mar";"oxy_sin";"leu_sp";"leu_def";"oxy_sp";"bid_sp";"dys_rad";"sph_sp";"com_ben";"spo_afr";"ath_sp";"bra_sem";"dys_sp";"chl_gay";"kyl_sp";"cro_spi";"bra_bri";"tra_ber";"arc_sp";"ari_ken";"dic_rad";"ind_ere";"spo_sp";"gut_pet";"mon_deb";"era_sp";"pan_max";"spo_fim";"cyn_ple";"aca_rob";"lon_sp";"kyl_ner";"eup_hir";"dic_mon";"kyl_alb";"rue_pat";"old_sp";"spo_sta";"aca_sey";"aca_tor";"com_afr";"eus_pas";"ipo_sp";"mon_sp";"het_ste";"sen_aby";"cyn_sp";"hel_ste";"son_sp";"gut_sp";"dac_gig";"mar_sp";"cra_pla";"por_gra";"het_sp";"hyp_sp";"ort_par";"por_sp";"tep_pum";"hyp_dis";"bot_scr";"oci_sua";"eup_ina";"ach_asp";"her_sp";"dig_vel";"cya_sp";"com_tru";"bid_sch";"mar_amo";"sed_ort";"target.sp.cover.setup";"sum.sp.setup";"total.veg.cover.setup";"Comments..setup.";"Observer.s..setup";"pasture.disc.harvest";"height.harvest";"spo_pyr.1";"mic_kun.1";"sol_inc.1";"the_tri.1";"chr_ori.1";"chl_pyc.1";"het_con.1";"orm_tri.1";"spo_fes.1";"dic_cin.1";"dig_sp.1";"dig_mac.1";"bot_ins.1";"ind_vol.1";"ble_sp.1";"cen_cil.1";"cyp_sp.1";"spo_ioc.1";"pan_col.1";"ind_sp.1";"com_sp.1";"pen_mez.1";"tri_ter.1";"tra_bet";"gut_cor.1";"bra_sp.1";"eup_ind.1";"ipo_mom.1";"cyn_dac.1";"X906.1";"X918.1";"X921.1";"X963.1";"X964.1";"X965.967.1";"sid_ova.1";"jus_mat.1";"her_sch.1";"ind_hoc.1";"dac_aeg.1";"jus_bet.1";"ari_sp.1";"era_rac.1";"era_ten.1";"X20.1";"X21.1";"spo_mar.1";"oxy_sin.1";"leu_sp.1";"leu_def.1";"oxy_sp.1";"bid_sp.1";"dys_rad.1";"sph_sp.1";"com_ben.1";"spo_afr.1";"ath_sp.1";"bra_sem.1";"dys_sp.1";"chl_gay.1";"kyl_sp.1";"cro_spi.1";"bra_bri.1";"tra_ber.1";"arc_sp.1";"ari_ken.1";"dic_rad.1";"ind_ere.1";"spo_sp.1";"gut_pet.1";"mon_deb.1";"era_sp.1";"pan_max.1";"spo_fim.1";"cyn_ple.1";"aca_rob.1";"lon_sp.1";"kyl_ner.1";"eup_hir.1";"dic_mon.1";"kyl_alb.1";"rue_pat.1";"old_sp.1";"spo_sta.1";"aca_sey.1";"aca_tor.1";"com_afr.1";"eus_pas.1";"ipo_sp.1";"mon_sp.1";"het_ste.1";"sen_aby.1";"cyn_sp.1";"hel_ste.1";"son_sp.1";"gut_sp.1";"dac_gig.1";"mar_sp.1";"cra_pla.1";"por_gra.1";"het_sp.1";"hyp_sp.1";"ort_par.1";"por_sp.1";"tep_pum.1";"hyp_dis.1";"bot_scr.1";"oci_sua.1";"eup_ina.1";"ach_asp.1";"her_sp.1";"dig_vel.1";"cya_sp.1";"com_tru.1";"bid_sch.1";"mar_amo.1";"sed_ort.1";"target.sp.cover.harvest";"sum.sp.harvest";"total.veg.cover.harvest";"Comments..harvest.";"Observer.s..harvest";"PREVIOUS..HX.1.biomass.target.sp.g";"PREVIOUS..HX.1.biomass.total.g";"biomass.target.sp.";"Sub.SUA";"Sub.NTNU";"Ref.material.Arusha";"biomass.other.sp.";"Sub.SUA.1";"Sub.NTNU.1";"Ref.material.Arusha.1";"subsample.target.des";"subsample.other.dec";"N.target";"P.target";"N.other";"P.other";"N.total";"P.total";"N.target..DEC.";"P.target..DEC.";"N.other..DEC.";"P.other..DEC.";"biomass.total.g";"productivity.target.g.m2.day";"consumption.target.g.m2.day";"productivity.total.g.m2.day";"consumption.total.g.m2.day"
"3";"WET_W_3_H0";"WET_W_3_H1";"WET_W";"WET_W_3";"Handajega";"WET";"W";3;"H0";"H0";951;-2.277999;34.027678;"2/16/2017";"";;;"The.tri";3.4;3.8;;15;;;;;;;15;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;60;60;"Was burnt in oct.-nov. 2016";"MKA, JB";;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"MKA, JB";;;8.61;4.11;2.15;"";14.16;6.59;4.87;"";;;;;;;;;;;;;22.77;;;;
"26";"WET_W_3_OP_H1";"WET_W_3_H1";"WET_W";"WET_W_3";"Handajega";"WET";"W";3;"OP";"H1";951;-2.277999;34.027678;"2/16/2017";"3/21/2017";33;152.53;"The.tri";2.5;2.6;;10;;;;;7;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;42;45;"Was burnt in oct.-nov. 2016";"MKA, JB";0.7;4.5;;;;;;;;;;5;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;20;40;"";"MKA, JB";8.61;22.77;10.92;5.2;5.77;"";12.83;4.94;3.64;"YES";;;;;;;;;;;;;23.75;0.19;;0.08;
"30";"WET_P_1_OP_H1";"WET_P_1_H1";"WET_P";"WET_P_1";"Mwantimba";"WET";"P";1;"OP";"H1";957;-2.350052;34.049976;"2/17/2017";"3/22/2017";33;161.6;"Chr.ori";1;1;;;;0;;4;;;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;15;15;"Heavily grazed. Small thorny Acacia scattered around.";"MKA, JB";1.5;0.8;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;10;18;"Some grass eaten by ants";"MKA, JB";2.42;3.28;8.69;5.39;3.2;"";3;;3;"";;;;;1.96;0.26;1.96;0.26;;;;;11.69;0.53;;0.71;
"41";"DRY_W_2_EX2_H1";"DRY_W_2_H1";"DRY_W";"DRY_W_2";"Maswa";"DRY";"W";2;"EX2";"H1";980;-3.303268;34.847796;"2/19/2017";"3/25/2017";34;167.02;"Cyn.dac";;0.7;;;;;;;;;;;;;;;;;;;;7;;;20;2;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;50;50;"Soft soil. Easy to dig in.";"MKA, JB";3;24.6;;;;;;40;;;;;;;;;;;"";;;"";;;;;5;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;75;80;"All dominant sp. in flowering stage";"MKA, JB";;;9.42;5.05;2.5;"";80.87;5.11;4.97;"YES";;;;;1.82;0.47;1.82;0.47;;;;;90.29;0.44;0.6;6.46;4.08
"55";"DRY_P_4_EX_H1";"DRY_P_4_H1";"DRY_P";"DRY_P_4";"Makao";"DRY";"P";4;"EX";"H1";1003;-3.406853;34.8516;"2/20/2017";"3/26/2017";34;176.82;"Chl.pyc";1.5;1.9;2;;;;;;;;;;;;;3;;;5;10;;;;;;;4;;;;;;;;;;;;;1;;;1;;;1;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;46;45;"Sandy soil.";"MKA, JB";4;8.2;;;;;;;;;;;;;;5;;;"";;5;"";;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;43;55;"";"MKA, JB";;;9.01;5.17;4.01;"";47.2;4.97;4.99;"YES";;;;;1.51;0.14;1.51;0.14;;;;;56.21;0.64;0.57;3.54;1.57
"71";"WET_W_2_EX_H2";"WET_W_2_H2";"WET_W";"WET_W_2";"Handajega";"WET";"W";2;"EX";"H2";953;-2.2783;34.024459;"3/20/2017";"5/13/2017";54;217.8;"The.tri";1.5;1.4;;5;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;18;35;"Cage smaller than last. Should stretch out next time. ";"JB, SWS";5;24.6;;;;;;;20;;;;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;45;55;"";"SWS, JB";2.47;7.75;14.86;5.02;4.99;"YES";37.83;5.31;4.81;"YES";;;;;1.4;0.16;1.4;0.16;;;;;52.69;0.67;0.76;2.34;2.04
"102";"DRY_P_3_OP_H2";"DRY_P_3_H2";"DRY_P";"DRY_P_3";"Makao";"DRY";"P";3;"OP";"H2";1001;-3.406316;34.850407;"3/26/2017";"5/9/2017";44;90.82;"Chl.pyc";1.2;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;25;50;"";"JB, SWS";2.5;14.1;;12;;;;;;;;;;;;;;;"";;;"";;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;59;70;"Dry";"SWS, JB";1.61;53.37;7.41;4.75;2.65;"";32.37;5.25;4.95;"YES";;;;;1.3;0.06;1.3;0.06;;;;;39.78;0.37;;-0.86;
"111";"SE_3_EX_H2";"SE_3_H2";"SE";"SE_3";"Seronera";"SE";"W";3;"EX";"H2";1027;-2.437991;34.855418;"3/18/2017";"5/17/2017";60;136.42;"Dig.mac";4.5;6.7;;;;;;;;;;;;;;;;;5;;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;48;50;"";"JB, SWS";5.7;28.4;;;;5;;;;;;;;;;;;;"5";;30;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;60;65;"";"SWS, JB";16.94;63.15;7.99;4.75;3.19;"";43.38;5.33;4.95;"YES";;5.87;;;1.1;0.2;1.1;0.2;;;0.95;0.36;51.37;0.08;-0.63;0.56;-0.15
"175";"WET_P_2_EX_H4";"WET_P_2_H4";"WET_P";"WET_P_2";"Mwantimba";"WET";"P";2;"EX";"H4";959;-2.348488;34.05011;"7/23/2017";"9/30/2017";69;136.27;"Chr.ori";1.7;3;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;35;40;"";"";2;2.3;;;;;;;;;;;;;;;;;"4";;5;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;52;55;"";"JB, MKA";30.58;40.87;20.96;5.19;4.95;"YES";5.82;;5.82;"";;;;;;;;;;;;;26.78;-0.27;0.12;-0.16;0.31
"1";"WET_W_1_H0";"WET_W_1_H1";"WET_W";"WET_W_1";"Handajega";"WET";"W";1;"H0";"H0";954;-2.272484;34.023326;"2/16/2017";"";;;"The.tri";3;2.6;25;10;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;55;50;"Was burnt in oct.-nov. 2016. Hard to distinguish species.";"MKA, JB";;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"MKA, JB";;;1.83;;1.83;"";13.97;6.4;5.07;"";;;;;;;;;;;;;15.8;;;;
