plot.id;block.id.harvest;site.id;block.id;site.name;region;landuse;block;treatment;harvest;wp;lat;long;setup.date;harvest.date;growth.period;rain.sum;target.sp.;pasture.disc.setup;height. setup;target.sp.cover.setup;total.veg.cover.setup;Comments (setup);Observer(s) setup;pasture.disc.harvest;height.harvest;target.sp.cover.harvest;total.veg.cover.harvest;Comments (harvest);Observer(s) harvest;PREVIOUS (HX-1)biomass.target.sp.g;PREVIOUS (HX-1)biomass.total.g;biomass.target.sp.;Sub.SUA;Sub.NTNU;biomass.other.sp.;Sub.SUA;Sub.NTNU;N.target.SUA;N.target.SUA17;N.target.NMBU;N.target.NTNU;P.target.SUA;P.target.SUA17;P.target.NMBU;P.target.USDM;N.other.SUA;N.other.SUA17;N.other.NMBU;N.other.NTNU;P.otherSUA;P.other.SUA17;P.other.NTNU;P.other.USDM;;;;;biomass.total.g;productivity.target.g.m2.day;consumption.target.g.m2.day;productivity.total.g.m2.day;consumption.total.g.m2.day
WET_W_1_H0;WET_W_1_H1;WET_W;WET_W_1;Handajega;WET;W;1;H0;H0;954;-2.272484;34.023326;16.02.2017;;;;The.tri;3.0;2.6;15;50;Was burnt in oct.-nov. 2016. Hard to distinguish species.;MKA, JB;;;;;;MKA, JB;;;1.83;;1.83;13.97;6.40;5.07;;;;;;;;3.48;;;;;;;;0.76;;;;;15.80;;;;
WET_W_2_H0;WET_W_2_H1;WET_W;WET_W_2;Handajega;WET;W;2;H0;H0;953;-2.278300;34.024459;16.02.2017;;;;The.tri;;;10;40;Was burnt in oct.-nov. 2016;MKA, JB;;;;;;MKA, JB;;;2.22;;2.22;10.14;4.72;3.11;;;;;;;;0.94;;;;;;;;0.85;;;;;12.36;;;;
WET_W_3_H0;WET_W_3_H1;WET_W;WET_W_3;Handajega;WET;W;3;H0;H0;951;-2.277999;34.027678;16.02.2017;;;;The.tri;3.4;3.8;25;60;Was burnt in oct.-nov. 2016;MKA, JB;;;;;;MKA, JB;;;8.61;4.11;2.15;14.16;6.59;4.87;;;;;;;;0.95;;;;;;;;1.01;;;;;22.77;;;;
WET_W_4_H0;WET_W_4_H1;WET_W;WET_W_4;Handajega;WET;W;4;H0;H0;950;-2.278837;34.031884;16.02.2017;;;;The.tri;1.5;2.6;25;70;Was burnt in oct.-nov. 2016;MKA, JB;;;;;;MKA, JB;;;;;;29.26;5.25;5.00;;;;;;;;;1.65;;;;0.06;;;0.79;;;;;29.26;;;;
WET_P_1_H0;WET_P_1_H1;WET_P;WET_P_1;Mwantimba;WET;P;1;H0;H0;957;-2.350052;34.049976;17.02.2017;;;;Chr.ori;0.5;;1;5;Heavily grazed. Small thorny Acacia scattered around.;MKA, JB;;;;;;MKA, JB;;;2.42;;2.42;0.86;;0.86;;;;;;;;1.04;2.21;;;;0.11;;;;;;;;3.28;;;;
WET_P_2_H0;WET_P_2_H1;WET_P;WET_P_2;Mwantimba;WET;P;2;H0;H0;959;-2.348488;34.050110;17.02.2017;;;;Chr.ori;0.5;0.8;1;15;Heavily grazed. Small thorny Acacia scattered around. Near settlement with large hedge.;MKA, JB;;;;;;MKA, JB;;;0.69;;0.69;2.52;;2.52;;;;;;;;;1.65;;;;0.05;;;4.05;;;;;3.21;;;;
WET_P_3_H0;WET_P_3_H1;WET_P;WET_P_3;Mwantimba;WET;P;3;H0;H0;1022;-2.367293;34.062509;17.02.2017;;;;Chr.ori;1.0;1.2;;;Very dry, almost no green vegetation. This site was done in a hurry because of rain coming. Initial harvest was done without sp. cover registration.;MKA, JB;;;;;;MKA, JB;;;;;;4.96;;4.96;;;;;;;;;1.16;;;;0.03;;;1.03;;;;;4.96;;;;
WET_P_4_H0;WET_P_4_H1;WET_P;WET_P_4;Mwantimba;WET;P;4;H0;H0;1020;-2.368570;34.062586;23.02.2017;;;;Chr.ori;;0.7;12;20;Very dry, almost no green vegetation. No pasture disc on setup.;MKA, JB;;;;;;MKA, JB;;;1.65;;1.65;2.76;;2.76;;;;;;;;;;;;;;;;1.10;;;;;4.41;;;;
DRY_W_1_H0;DRY_W_1_H1;DRY_W;DRY_W_1;Maswa;DRY;W;1;H0;H0;995;-3.299332;34.848458;19.02.2017;;;;Cyn.dac;;0.3;22;30;;MKA, JB;;;;;;MKA, JB;;;12.24;6.03;3.47;1.98;;1.98;4.66;;;;0.15;;;4.02;;;;;;;;0.76;;;;;14.22;;;;
DRY_W_2_H0;DRY_W_2_H1;DRY_W;DRY_W_2;Maswa;DRY;W;2;H0;H0;980;-3.303268;34.847796;19.02.2017;;;;Cyn.dac;;0.4;12;40;Soft soil. Easy to dig in.;MKA, JB;;;;;;MKA, JB;;;3.99;;3.99;7.26;;4.81;;;;;;;;3.34;;;;;;;;0.41;;;;;11.25;;;;
