plot.id;block.id.harvest;site.id;block.id;site.name;region;landuse;block;treatment;harvest;wp;lat;long;setup.date;harvest.date;growth.period;rain.sum;target.sp.;pasture.disc.setup;height. setup;spo_pyr;mic_kun;sol_inc;the_tri;chr_ori;chl_pyc;het_con;orm_tri;spo_fes;dic_cin;dig_sp;dig_mac;bot_ins;ind_vol;ble_sp;cen_cil;cyp_sp;spo_ioc;pan_col;ind_sp;com_sp;pen_mez;tri_ter;gut_cor;bra_sp;eup_ind;ipo_mom;cyn_dac;906;918;921;963;964;965-967;sid_ova;jus_mat;her_sch;ind_hoc;dac_aeg;jus_bet;ari_sp;era_rac;era_ten;20;21;spo_mar;oxy_sin;leu_sp;leu_def;oxy_sp;bid_sp;dys_rad;sph_sp;com_ben;spo_afr;ath_sp;bra_sem;dys_sp;chl_gay;kyl_sp;cro_spi;bra_bri;tra_ber;arc_sp;ari_ken;dic_rad;ind_ere;spo_sp;gut_pet;mon_deb;era_sp;pan_max;spo_fim;cyn_ple;aca_rob;lon_sp;kyl_ner;eup_hir;dic_mon;kyl_alb;rue_pat;old_sp;spo_sta;aca_sey;aca_tor;com_afr;eus_pas;ipo_sp;mon_sp;het_ste;sen_aby;cyn_sp;hel_ste;son_sp;gut_sp;dac_gig;mar_sp;cra_pla;por_gra;het_sp;hyp_sp;ort_par;por_sp;tep_pum;hyp_dis;bot_scr;oci_sua;eup_ina;ach_asp;her_sp;dig_vel ;cya_sp;com_tru;bid_sch;mar_amo;sed_ort;target.sp.cover.setup;sum.sp.setup;total.veg.cover.setup
WET_W_1_H0;WET_W_1_H1;WET_W;WET_W_1;Handajega;WET;W;1;H0;H0;954;-2.272484;34.023326;2/16/2017;;;;The.tri;3;2.6;25;10;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;55;50
WET_W_2_H0;WET_W_2_H1;WET_W;WET_W_2;Handajega;WET;W;2;H0;H0;953;-2.2783;34.024459;2/16/2017;;;;The.tri;;;;10;;;;;;;;15;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;36;40
WET_W_3_H0;WET_W_3_H1;WET_W;WET_W_3;Handajega;WET;W;3;H0;H0;951;-2.277999;34.027678;2/16/2017;;;;The.tri;3.4;3.8;;15;;;;;;;15;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;60;60
WET_W_4_H0;WET_W_4_H1;WET_W;WET_W_4;Handajega;WET;W;4;H0;H0;950;-2.278837;34.031884;2/16/2017;;;;The.tri;1.5;2.6;;10;;;;;;;10;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;65;70
WET_P_1_H0;WET_P_1_H1;WET_P;WET_P_1;Mwantimba;WET;P;1;H0;H0;957;-2.350052;34.049976;2/17/2017;;;;Chr.ori;0.5;;;;;;;5;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;5
WET_P_2_H0;WET_P_2_H1;WET_P;WET_P_2;Mwantimba;WET;P;2;H0;H0;959;-2.348488;34.05011;2/17/2017;;;;Chr.ori;0.5;0.8;;;;;;0;;;;;;;;;;;10;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;11;15
WET_P_3_H0;WET_P_3_H1;WET_P;WET_P_3;Mwantimba;WET;P;3;H0;H0;1022;-2.367293;34.062509;2/17/2017;;;;Chr.ori;1;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
WET_P_4_H0;WET_P_4_H1;WET_P;WET_P_4;Mwantimba;WET;P;4;H0;H0;1020;-2.36857;34.062586;2/23/2017;;;;Chr.ori;;0.7;1;;;;;5;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;21;20
DRY_W_1_H0;DRY_W_1_H1;DRY_W;DRY_W_1;Maswa;DRY;W;1;H0;H0;995;-3.299332;34.848458;2/19/2017;;;;Cyn.dac;;0.3;;;;;;2;;;;;;;;;;;;;;;;;1;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;30;30
DRY_W_2_H0;DRY_W_2_H1;DRY_W;DRY_W_2;Maswa;DRY;W;2;H0;H0;980;-3.303268;34.847796;2/19/2017;;;;Cyn.dac;;0.4;;;;;;2;;;;;;;;;;;;;;1;;;12;2;8;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;39;40
