"Estimate" "Std. Error" "Adjusted SE" "z value" "Pr(>|z|)"
"(Intercept)" 0.279252460097441 0.946644828461976 0.954399460631967 0.292594947520749 0.7698318
"prodtot" 0.0799755377348604 0.323837339880546 0.325369255711696 0.245799307497342 0.8058376
"N.total" 0.0632963181964526 0.605486702469291 0.609457615423855 0.103856800857977 0.917283
"N.total:prodtot" 0.161582028170596 0.0905145008276196 0.0918250678014721 1.75967229907132 0.0784634
"sand" 0.0105265808052176 0.0222462796225143 0.0233123589455542 0.451545072285577 0.6515967
"N.total:sand" -0.0190611460510047 0.0117239650403437 0.0119029806656266 1.60137587268788 0.1092937
"prodtot:sand" 0.00763014851063713 0.00460484056674822 0.00467258209891537 1.63296189325561 0.102477
"landusewild" -0.017843801411096 0.536192176781812 0.834984957252923 0.0213702070391802 0.9829503
"poly(rain.sum, 2)1" -0.924542010832058 1.66772687820257 1.69139762204984 0.54661423120105 0.5846438
"poly(rain.sum, 2)2" 1.16253635944811 1.83803909241119 1.8591374671635 0.625309521205985 0.5317679
"landusewild:prodtot" 0.0488824692334946 0.112566241531345 0.114146479949428 0.428243334837412 0.668474
"landusewild:N.total" -0.224219002157747 0.328796085732172 0.333511816547397 0.672297025271614 0.5013946
"landusewild:sand" -0.00411220592249309 0.0199088246862798 0.0219031319498803 0.187745110238245 0.8510765
"landusewild:poly(rain.sum, 2)1" -1.43742131764599 2.31593829922686 2.35029660323402 0.611591454316061 0.5408081
"landusewild:poly(rain.sum, 2)2" -3.99886792265218 2.70644183354391 2.74520875636172 1.45667170607162 0.145207
"N.total:poly(rain.sum, 2)1" -0.370649322286147 2.32777492100014 2.360650086326 0.157011547129803 0.8752357
"N.total:poly(rain.sum, 2)2" -1.3214380342427 1.8047282462974 1.83157245635615 0.721477345685608 0.4706159
"poly(rain.sum, 2)1:sand" -0.0238411424150409 0.0796505203704795 0.0808204444684607 0.294989003980851 0.7680023
"poly(rain.sum, 2)2:sand" -0.0238123882810696 0.0820382618120227 0.0831727875949904 0.286300230756048 0.7746482
"landusewild:poly(rain.sum, 2)1:sand" -0.020687287695239 0.230462778095622 0.234157472069763 0.0883477580808338 0.9296003
"landusewild:poly(rain.sum, 2)2:sand" 0.282704514517564 0.24188120782097 0.245932642896771 1.14952009293141 0.2503416
