plot.id,block.id,rainfall,landuse,site,treatment,harvest,setup.date,harvest.date,date2,date3,rain.sum,zero.days,consec.NoRain.days
WET_W_1_EX_H1,WET_W_1,WET,W,1,EX,H0,01/01/2017,16/02/2017,16/02/2017,01/01/2017,78.96019584,26,15
WET_W_1_OP_H1,WET_W_1,WET,W,1,OP,H0,01/01/2017,16/02/2017,16/02/2017,01/01/2017,78.96019584,26,15
WET_W_2_EX_H1,WET_W_2,WET,W,2,EX,H0,01/01/2017,16/02/2017,16/02/2017,01/01/2017,78.96019584,26,16
WET_W_2_OP_H1,WET_W_2,WET,W,2,OP,H0,01/01/2017,16/02/2017,16/02/2017,01/01/2017,78.96019584,26,16
WET_W_3_EX_H1,WET_W_3,WET,W,3,EX,H0,01/01/2017,16/02/2017,16/02/2017,01/01/2017,78.96019584,26,16
WET_W_3_OP_H1,WET_W_3,WET,W,3,OP,H0,01/01/2017,16/02/2017,16/02/2017,01/01/2017,78.96019584,26,16
WET_W_4_EX_H1,WET_W_4,WET,W,4,EX,H0,01/01/2017,16/02/2017,16/02/2017,01/01/2017,78.96019584,26,17
WET_W_4_OP_H1,WET_W_4,WET,W,4,OP,H0,01/01/2017,16/02/2017,16/02/2017,01/01/2017,78.96019584,26,17
WET_P_1_EX_H1,WET_P_1,WET,P,1,EX,H0,01/01/2017,17/02/2017,17/02/2017,01/01/2017,76.36017226,27,13
WET_P_1_OP_H1,WET_P_1,WET,P,1,OP,H0,01/01/2017,17/02/2017,17/02/2017,01/01/2017,76.36017226,27,13
WET_P_2_EX_H1,WET_P_2,WET,P,2,EX,H0,01/01/2017,17/02/2017,17/02/2017,01/01/2017,76.36017226,27,14
WET_P_2_OP_H1,WET_P_2,WET,P,2,OP,H0,01/01/2017,17/02/2017,17/02/2017,01/01/2017,76.36017226,27,14
WET_P_3_EX_H1,WET_P_3,WET,P,3,EX,H0,01/01/2017,17/02/2017,17/02/2017,01/01/2017,76.36017226,27,15
WET_P_3_OP_H1,WET_P_3,WET,P,3,OP,H0,01/01/2017,17/02/2017,17/02/2017,01/01/2017,76.36017226,27,15
WET_P_4_EX_H1,WET_P_4,WET,P,4,EX,H0,01/01/2017,23/02/2017,23/02/2017,01/01/2017,110.6849853,27,13
WET_P_4_OP_H1,WET_P_4,WET,P,4,OP,H0,01/01/2017,23/02/2017,23/02/2017,01/01/2017,110.6849853,27,13
DRY_W_1_EX_H1,DRY_W_1,DRY,W,1,EX,H0,01/01/2017,19/02/2017,19/02/2017,01/01/2017,93.74213855,28,14
DRY_W_1_EX2_H1,DRY_W_1,DRY,W,1,EX2,H0,01/01/2017,19/02/2017,19/02/2017,01/01/2017,93.74213855,28,14
DRY_W_1_OP_H1,DRY_W_1,DRY,W,1,OP,H0,01/01/2017,19/02/2017,19/02/2017,01/01/2017,93.74213855,28,14
DRY_W_2_EX_H1,DRY_W_2,DRY,W,2,EX,H0,01/01/2017,19/02/2017,19/02/2017,01/01/2017,93.74213855,28,15
DRY_W_2_EX2_H1,DRY_W_2,DRY,W,2,EX2,H0,01/01/2017,19/02/2017,19/02/2017,01/01/2017,93.74213855,28,15
DRY_W_2_OP_H1,DRY_W_2,DRY,W,2,OP,H0,01/01/2017,19/02/2017,19/02/2017,01/01/2017,93.74213855,28,15
DRY_W_3_EX_H1,DRY_W_3,DRY,W,3,EX,H0,01/01/2017,20/02/2017,20/02/2017,01/01/2017,109.3343321,28,15
DRY_W_3_EX2_H1,DRY_W_3,DRY,W,3,EX2,H0,01/01/2017,20/02/2017,20/02/2017,01/01/2017,109.3343321,28,15
DRY_W_3_OP_H1,DRY_W_3,DRY,W,3,OP,H0,01/01/2017,20/02/2017,20/02/2017,01/01/2017,109.3343321,28,15
DRY_W_4_EX_H1,DRY_W_4,DRY,W,4,EX,H0,01/01/2017,20/02/2017,20/02/2017,01/01/2017,92.76936738,25,13
DRY_W_4_EX2_H1,DRY_W_4,DRY,W,4,EX2,H0,01/01/2017,20/02/2017,20/02/2017,01/01/2017,92.76936738,25,13
DRY_W_4_OP_H1,DRY_W_4,DRY,W,4,OP,H0,01/01/2017,20/02/2017,20/02/2017,01/01/2017,92.76936738,25,13
DRY_P_1_EX_H1,DRY_P_1,DRY,P,1,EX,H0,01/01/2017,21/02/2017,21/02/2017,01/01/2017,127.0128976,28,12
DRY_P_1_OP_H1,DRY_P_1,DRY,P,1,OP,H0,01/01/2017,21/02/2017,21/02/2017,01/01/2017,127.0128976,28,12
DRY_P_2_EX_H1,DRY_P_2,DRY,P,2,EX,H0,01/01/2017,21/02/2017,21/02/2017,01/01/2017,127.0128976,28,12
DRY_P_2_OP_H1,DRY_P_2,DRY,P,2,OP,H0,01/01/2017,21/02/2017,21/02/2017,01/01/2017,127.0128976,28,12
DRY_P_3_EX_H1,DRY_P_3,DRY,P,3,EX,H0,01/01/2017,20/02/2017,20/02/2017,01/01/2017,121.0407768,28,13
DRY_P_3_OP_H1,DRY_P_3,DRY,P,3,OP,H0,01/01/2017,20/02/2017,20/02/2017,01/01/2017,121.0407768,28,13
DRY_P_4_EX_H1,DRY_P_4,DRY,P,4,EX,H0,01/01/2017,20/02/2017,20/02/2017,01/01/2017,121.0407768,28,13
DRY_P_4_OP_H1,DRY_P_4,DRY,P,4,OP,H0,01/01/2017,20/02/2017,20/02/2017,01/01/2017,121.0407768,28,13
SE_1_EX_H1,SE_1,SE,W,1,EX,H0,01/01/2017,26/02/2017,26/02/2017,01/01/2017,146.3541437,27,11
SE_1_EX2_H1,SE_1,SE,W,1,EX2,H0,01/01/2017,25/02/2017,25/02/2017,01/01/2017,144.2288981,27,11
SE_1_OP_H1,SE_1,SE,W,1,OP,H0,01/01/2017,25/02/2017,25/02/2017,01/01/2017,144.2288981,27,11
SE_2_EX_H1,SE_2,SE,W,2,EX,H0,01/01/2017,26/02/2017,26/02/2017,01/01/2017,146.3541437,27,11
SE_2_EX2_H1,SE_2,SE,W,2,EX2,H0,01/01/2017,25/02/2017,25/02/2017,01/01/2017,144.2288981,27,11
SE_2_OP_H1,SE_2,SE,W,2,OP,H0,01/01/2017,25/02/2017,25/02/2017,01/01/2017,144.2288981,27,11
SE_3_EX_H1,SE_3,SE,W,3,EX,H0,01/01/2017,26/02/2017,26/02/2017,01/01/2017,146.3541437,27,12
SE_3_EX2_H1,SE_3,SE,W,3,EX2,H0,01/01/2017,25/02/2017,25/02/2017,01/01/2017,144.2288981,27,12
SE_3_OP_H1,SE_3,SE,W,3,OP,H0,01/01/2017,25/02/2017,25/02/2017,01/01/2017,144.2288981,27,12
SE_4_EX_H1,SE_4,SE,W,4,EX,H0,01/01/2017,26/02/2017,26/02/2017,01/01/2017,146.3541437,27,12
SE_4_EX2_H1,SE_4,SE,W,4,EX2,H0,01/01/2017,25/02/2017,25/02/2017,01/01/2017,144.2288981,27,12
SE_4_OP_H1,SE_4,SE,W,4,OP,H0,01/01/2017,25/02/2017,25/02/2017,01/01/2017,144.2288981,27,12
WET_W_1_EX_H1,WET_W_1,WET,W,1,EX,H1,16/02/2017,20/03/2017,20/03/2017,16/02/2017,145.6718075,4,3
WET_W_1_OP_H1,WET_W_1,WET,W,1,OP,H1,16/02/2017,20/03/2017,20/03/2017,16/02/2017,145.6718075,4,3
