plot.id,block.id.harvest,site.id,block.id,stu.block.id,site.name,region,landuse,block,stu.block,treatment,harvest,wp,lat,long,setup.date,harvest.date,growth.period,rain.sum,rain.acc.sum,target.sp.,target_other,pasture.disc.setup,height. setup,sp.cover.setup,total.veg.cover.setup,pasture.disc.harvest,height.harvest,sp.cover.harvest,total.veg.cover.harvest,biomass.sp.,biomass.total.g,productivity.g.m2.day,consumption.g.m2.day,productivity.total.g.m2.day,consumption.total.g.m2.day
DRY_W_4_H0,DRY_W_4_H1,DRY_W,DRY_W_4,DRY_W_2,Maswa,DRY,W,4,2,H0,H0,1000,-3.296013,34.854327,2/20/2017,,0,0,0,Cyn.dac,target,,0.4,10,40,,,,,1.47,14.83,,,,
DRY_P_1_H0,DRY_P_1_H1,DRY_P,DRY_P_1,DRY_P_2,Makao,DRY,P,1,2,H0,H0,1009,-3.303212,34.847736,2/21/2017,,0,0,0,Chl.pyc,target,1.4,3.1,10,50,,,,,2.03,13.76,,,,
DRY_P_2_H0,DRY_P_2_H1,DRY_P,DRY_P_2,DRY_P_3,Makao,DRY,P,2,3,H0,H0,1006,-3.408426,34.850244,2/21/2017,,0,0,0,Chl.pyc,target,0.5,1.3,27,45,,,,,5.9,10.12,,,,
DRY_P_3_H0,DRY_P_3_H1,DRY_P,DRY_P_3,DRY_P_1,Makao,DRY,P,3,1,H0,H0,1001,-3.406316,34.850407,2/20/2017,,0,0,0,Chl.pyc,target,1,3,8,30,,,,,0.79,11.79,,,,
DRY_P_4_H0,DRY_P_4_H1,DRY_P,DRY_P_4,,Makao,DRY,P,4,,H0,H0,1003,-3.406853,34.8516,2/20/2017,,0,0,0,Chl.pyc,target,1.3,1.9,7,40,,,,,1.16,12.82,,,,
SE_1_H0,SE_1_H1,SE_1_,SE_1,,Seronera,SE,W,1,,H0,H0,1023,-2.437747,34.855162,2/26/2017,,0,0,0,Dig.mac,target,,,,35,,,,,,12.35,,,,
SE_2_H0,SE_2_H1,SE_2_,SE_2,,Seronera,SE,W,2,,H0,H0,1025,-2.437766,34.855394,2/26/2017,,0,0,0,Dig.mac,target,,,,30,,,,,,8.48,,,,
SE_3_H0,SE_3_H1,SE_3_,SE_3,,Seronera,SE,W,3,,H0,H0,1027,-2.437991,34.855418,2/26/2017,,0,0,0,Dig.mac,target,,,,40,,,,,,9.81,,,,
SE_4_H0,SE_4_H1,SE_4_,SE_4,,Seronera,SE,W,4,,H0,H0,1026,-2.438079,34.854989,2/26/2017,,0,0,0,Dig.mac,target,,,,35,,,,,,10.1,,,,
WET_W_1_EX_H1,WET_W_1_H1,WET_W,WET_W_1,WET_W_3,Handajega,WET,W,1,3,EX,H1,954,-2.272484,34.023326,2/16/2017,3/20/2017,32,145.67,145.67,The.tri,target,3,1.9,10,65,4,1.2,4,45,1.28,17.38,-0.047743056,-0.039930556,0.137152778,0.316840278
WET_W_1_OP_H1,WET_W_1_H1,WET_W,WET_W_1,WET_W_3,Handajega,WET,W,1,3,OP,H1,954,-2.272484,34.023326,2/16/2017,3/20/2017,32,145.67,291.3436151,The.tri,target,2.5,2.3,10,40,1.5,1.4,8,30,1.74,13.73,-0.0078125,,-0.1796875,
WET_W_2_EX_H1,WET_W_2_H1,WET_W,WET_W_2,WET_W_4,Handajega,WET,W,2,4,EX,H1,953,-2.2783,34.024459,2/16/2017,3/20/2017,32,145.67,145.6718075,The.tri,target,2.3,2.1,20,40,2.3,2.6,5,20,2.47,7.75,0.021701389,0.053819444,-0.400173611,0.039930556
WET_W_2_OP_H1,WET_W_2_H1,WET_W,WET_W_2,WET_W_4,Handajega,WET,W,2,4,OP,H1,953,-2.2783,34.024459,2/16/2017,3/20/2017,32,145.67,291.3436151,The.tri,target,2.5,0.6,12,40,1.5,0.6,7,24,1.85,7.29,-0.032118056,,-0.440104167,
WET_W_3_EX_H1,WET_W_3_H1,WET_W,WET_W_3,WET_W_1,Handajega,WET,W,3,1,EX,H1,951,-2.277999,34.027678,2/16/2017,3/21/2017,33,152.53,152.5287964,The.tri,target,3.5,2.4,25,55,2.5,4.1,20,50,8.18,14.7,-0.036195286,-0.230639731,-0.679292929,-0.761784512
WET_W_3_OP_H1,WET_W_3_H1,WET_W,WET_W_3,WET_W_1,Handajega,WET,W,3,1,OP,H1,951,-2.277999,34.027678,2/16/2017,3/21/2017,33,152.53,305.0575929,The.tri,target,2.5,2.6,20,45,0.7,4.5,15,40,10.92,23.75,0.194444444,,0.082491582,
WET_W_4_EX_H1,WET_W_4_H1,WET_W,WET_W_4,WET_W_2,Handajega,WET,W,4,2,EX,H1,950,-2.278837,34.031884,2/16/2017,3/21/2017,33,152.53,152.5287964,The.tri,target,1.5,0.9,15,70,1.8,2.7,5,35,2.91,13.17,,-0.222222222,-1.354377104,0.266835017
WET_W_4_OP_H1,WET_W_4_H1,WET_W,WET_W_4,WET_W_2,Handajega,WET,W,4,2,OP,H1,950,-2.278837,34.031884,2/16/2017,3/21/2017,33,152.53,305.0575929,The.tri,target,2.5,1.8,25,65,1.8,2.2,18,30,5.55,10,,,-1.621212121,
WET_P_1_EX_H1,WET_P_1_H1,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,P,1,1,EX,H1,957,-2.350052,34.049976,2/17/2017,3/22/2017,33,161.6,161.5982631,Chr.ori,target,0.5,0.4,1,7,1.8,0.9,6,25,1.91,15.16,-0.042929293,-0.570707071,1,0.292087542
WET_P_1_OP_H1,WET_P_1_H1,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,P,1,1,OP,H1,957,-2.350052,34.049976,2/17/2017,3/22/2017,33,161.6,323.1965263,Chr.ori,target,1,1,10,15,1.5,0.8,10,18,8.69,11.69,0.527777778,,0.707912458,
WET_P_2_EX_H1,WET_P_2_H1,WET_P,WET_P_2,WET_P_2,Mwantimba,WET,P,2,2,EX,H1,959,-2.348488,34.05011,2/17/2017,3/22/2017,33,161.6,161.5982631,Chr.ori,target,0.5,0.6,,15,1.6,3,0,40,0,13.46,-0.058080808,-0.012626263,0.862794613,0.677609428
WET_P_2_OP_H1,WET_P_2_H1,WET_P,WET_P_2,WET_P_2,Mwantimba,WET,P,2,2,OP,H1,959,-2.348488,34.05011,2/17/2017,3/22/2017,33,161.6,323.1965263,Chr.ori,target,1,0.2,,7,1,2.6,3,20,0.15,5.41,-0.045454545,,0.185185185,
WET_P_3_EX_H1,WET_P_3_H1,WET_P,WET_P_3,WET_P_4,Mwantimba,WET,P,3,4,EX,H1,1022,-2.367293,34.062509,2/17/2017,3/22/2017,33,161.6,161.5982631,Chr.ori,target,1,1.5,,,3.2,2.6,5,70,5.16,36.71,,0.352693603,2.672558923,1.256734007
WET_P_3_OP_H1,WET_P_3_H1,WET_P,WET_P_3,WET_P_4,Mwantimba,WET,P,3,4,OP,H1,1022,-2.367293,34.062509,2/17/2017,3/22/2017,33,161.6,323.1965263,Chr.ori,target,1,0.9,,,1.6,0.8,2,55,0.97,21.78,,,1.415824916,
WET_P_4_EX_H1,WET_P_4_H1,WET_P,WET_P_4,WET_P_3,Mwantimba,WET,P,4,3,EX,H1,1020,-2.36857,34.062586,2/23/2017,3/22/2017,27,119.69,119.6903966,Chr.ori,target,,0.7,9,20,1.5,0.7,0,60,0,26.71,-0.169753086,0,2.294238683,0.91255144
WET_P_4_OP_H1,WET_P_4_H1,WET_P,WET_P_4,WET_P_3,Mwantimba,WET,P,4,3,OP,H1,1020,-2.36857,34.062586,2/23/2017,3/22/2017,27,119.69,239.3807932,Chr.ori,target,,0.4,8,15,0.5,1.5,0,40,0,17.84,-0.169753086,,1.381687243,
DRY_W_1_EX_H1,DRY_W_1_H1,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,W,1,3,EX,H1,995,-3.299332,34.848458,2/19/2017,3/24/2017,33,165.31,165.312109,Cyn.dac,target,,1.8,10,20,3.5,6.8,12,55,14.67,56.45,0.204545455,0.606902357,3.554713805,2.375420875
DRY_W_1_EX2_H1,DRY_W_1_H1,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,W,1,3,EX2,H1,995,-3.299332,34.848458,2/19/2017,3/25/2017,34,167.02,497.6428413,Cyn.dac,target,,1.2,10,30,2.8,13.4,28,78,24.35,81.08,0.989379085,1.379901961,5.462418301,4.317810458
DRY_W_1_OP_H1,DRY_W_1_H1,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,W,1,3,OP,H1,995,-3.299332,34.848458,2/19/2017,3/24/2017,33,165.31,330.624218,Cyn.dac,target,,0.4,18,35,2,1.7,8,28,7.46,28.23,-0.402356902,,1.179292929,
DRY_W_2_EX_H1,DRY_W_2_H1,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,W,2,4,EX,H1,980,-3.303268,34.847796,2/19/2017,3/24/2017,33,165.31,165.312109,Cyn.dac,target,,0.4,15,45,0.5,1.7,4,40,3.03,37.05,-0.080808081,0.079124579,2.171717172,-0.282828283
DRY_W_2_EX2_H1,DRY_W_2_H1,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,W,2,4,EX2,H1,980,-3.303268,34.847796,2/19/2017,3/25/2017,34,167.02,497.6428413,Cyn.dac,target,,0.7,15,50,3,24.6,10,80,9.42,90.29,0.443627451,0.598856209,6.45751634,4.075163399
DRY_W_2_OP_H1,DRY_W_2_H1,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,W,2,4,OP,H1,980,-3.303268,34.847796,2/19/2017,3/24/2017,33,165.31,330.624218,Cyn.dac,target,,1.1,7,60,1.5,2.8,6,45,2.09,40.41,-0.15993266,,2.454545455,
DRY_W_3_EX_H1,DRY_W_3_H1,DRY_W,DRY_W_3,DRY_W_1,Maswa,DRY,W,3,1,EX,H1,998,-3.295645,34.852435,2/20/2017,3/24/2017,32,164.63,164.6329572,Cyn.dac,target,,0.6,10,25,1.5,4.8,20,53,8.26,38.38,0.506944444,0.086805556,2.162326389,1.146701389
DRY_W_3_EX2_H1,DRY_W_3_H1,DRY_W,DRY_W_3,DRY_W_1,Maswa,DRY,W,3,1,EX2,H1,998,-3.295645,34.852435,2/20/2017,3/25/2017,33,166.34,495.605386,Cyn.dac,target,,0.2,10,40,2,12,25,70,17.64,74.03,1.281144781,0.873737374,5.097643098,4.112794613
DRY_W_3_OP_H1,DRY_W_3_H1,DRY_W,DRY_W_3,DRY_W_1,Maswa,DRY,W,3,1,OP,H1,998,-3.295645,34.852435,2/20/2017,3/24/2017,32,164.63,329.2659145,Cyn.dac,target,,0.3,20,45,1.3,3.3,20,60,7.26,25.17,0.420138889,,1.015625,
DRY_W_4_EX_H1,DRY_W_4_H1,DRY_W,DRY_W_4,DRY_W_2,Maswa,DRY,W,4,2,EX,H1,1000,-3.296013,34.854327,2/20/2017,3/25/2017,33,170.33,170.3338514,Cyn.dac,target,,0.2,8,30,1.6,3.9,10,50,3.59,53.28,0.178451178,-0.404040404,3.236531987,2.278619529
DRY_W_4_EX2_H1,DRY_W_4_H1,DRY_W,DRY_W_4,DRY_W_2,Maswa,DRY,W,4,2,EX2,H1,1000,-3.296013,34.854327,2/20/2017,3/25/2017,33,170.33,340.6677029,Cyn.dac,target,,0.3,12,25,3.5,3.3,15,50,49.76,96.49,4.064814815,3.482323232,6.873737374,5.915824916
DRY_W_4_OP_H1,DRY_W_4_H1,DRY_W,DRY_W_4,DRY_W_2,Maswa,DRY,W,4,2,OP,H1,1000,-3.296013,34.854327,2/20/2017,3/25/2017,33,170.33,511.0015543,Cyn.dac,target,,0.5,8,45,4,14,9,60,8.39,26.21,0.582491582,,0.957912458,
DRY_P_1_EX_H1,DRY_P_1_H1,DRY_P,DRY_P_1,DRY_P_2,Makao,DRY,P,1,2,EX,H1,1009,-3.303212,34.847736,2/21/2017,3/26/2017,33,156.81,156.8064416,Chl.pyc,target,1.3,1.4,5,55,7.5,18.6,3,95,3.06,109.68,0.086700337,-0.419191919,8.074074074,4.592592593
DRY_P_1_OP_H1,DRY_P_1_H1,DRY_P,DRY_P_1,DRY_P_2,Makao,DRY,P,1,2,OP,H1,1009,-3.303212,34.847736,2/21/2017,3/26/2017,33,156.81,313.6128831,Chl.pyc,target,1.4,1.3,8,50,2,4,8,70,8.04,55.12,0.505892256,,3.481481481,
DRY_P_2_EX_H1,DRY_P_2_H1,DRY_P,DRY_P_2,DRY_P_3,Makao,DRY,P,2,3,EX,H1,1006,-3.408426,34.850244,2/21/2017,3/26/2017,33,156.81,156.8064416,Chl.pyc,target,1,0.2,24,45,3,10,20,47,20.78,54.11,1.252525253,1.485690236,3.702861953,0.990740741
DRY_P_2_OP_H1,DRY_P_2_H1,DRY_P,DRY_P_2,DRY_P_3,Makao,DRY,P,2,3,OP,H1,1006,-3.408426,34.850244,2/21/2017,3/26/2017,33,156.81,313.6128831,Chl.pyc,target,0.8,1.1,3,30,1,0.9,9,55,3.13,42.34,-0.233164983,,2.712121212,
DRY_P_3_EX_H1,DRY_P_3_H1,DRY_P,DRY_P_3,DRY_P_1,Makao,DRY,P,3,1,EX,H1,1001,-3.406316,34.850407,2/20/2017,3/26/2017,34,176.82,176.8158372,Chl.pyc,target,1.7,1.5,4,55,,,,,,,,,,
DRY_P_3_OP_H1,DRY_P_3_H1,DRY_P,DRY_P_3,DRY_P_1,Makao,DRY,P,3,1,OP,H1,1001,-3.406316,34.850407,2/20/2017,3/26/2017,34,176.82,353.6316743,Chl.pyc,target,1.2,1.2,2,50,2,2.4,7,60,1.61,53.37,0.066993464,,3.397058824,
DRY_P_4_EX_H1,DRY_P_4_H1,DRY_P,DRY_P_4,,Makao,DRY,P,4,,EX,H1,1003,-3.406853,34.8516,2/20/2017,3/26/2017,34,176.82,176.8158372,Chl.pyc,target,1.5,1.9,10,45,4,8.2,10,55,9.01,56.21,0.641339869,0.569444444,3.544934641,1.572712418
DRY_P_4_OP_H1,DRY_P_4_H1,DRY_P,DRY_P_4,,Makao,DRY,P,4,,OP,H1,1003,-3.406853,34.8516,2/20/2017,3/26/2017,34,176.82,353.6316743,Chl.pyc,target,1.5,3.5,5,45,2.3,5.6,4,50,2.04,36.96,0.071895425,,1.972222222,
SE_1_EX_H1,SE_1_H1,SE,SE_1,,Seronera,SE,W,1,,EX,H1,1023,-2.437747,34.855162,2/26/2017,3/18/2017,20,84.86,84.86457834,Dig.mac,target,,0.9,4,45,4,7.3,6,65,5.02,41.36,,-0.652777778,4.029166667,-0.356944444
SE_1_EX2_H1,SE_1_H1,SE,SE_1,,Seronera,SE,W,1,,EX2,H1,1023,-2.437747,34.855162,2/25/2017,3/18/2017,21,86.14,171.0043041,Dig.mac,target,,1,2,45,3.9,8.3,3,60,3.18,50.21,,-0.865079365,5.007936508,0.830687831
SE_1_OP_H1,SE_1_H1,SE,SE_1,,Seronera,SE,W,1,,OP,H1,1023,-2.437747,34.855162,2/25/2017,3/18/2017,21,86.14,257.1440299,Dig.mac,target,,2.6,2,45,4.3,10.3,10,55,9.72,43.93,,,4.177248677,
SE_2_EX_H1,SE_2_H1,SE,SE_2,,Seronera,SE,W,2,,EX,H1,1025,-2.437766,34.855394,2/26/2017,3/18/2017,20,84.86,84.86457834,Dig.mac,target,,1.8,3,35,3.9,7.4,5,70,4.68,41.51,,-0.391666667,4.5875,1.109722222
SE_2_EX2_H1,SE_2_H1,SE,SE_2,,Seronera,SE,W,2,,EX2,H1,1025,-2.437766,34.855394,2/25/2017,3/18/2017,21,86.14,171.0043041,Dig.mac,target,,2.1,12,30,3.4,5.4,18,45,7.25,23.44,,-0.033068783,1.978835979,-1.333333333
SE_2_OP_H1,SE_2_H1,SE,SE_2,,Seronera,SE,W,2,,OP,H1,1025,-2.437766,34.855394,2/25/2017,3/18/2017,21,86.14,257.1440299,Dig.mac,target,,3.3,8,35,3.4,4.4,10,40,7.5,33.52,,,3.312169312,
SE_3_EX_H1,SE_3_H1,SE,SE_3,,Seronera,SE,W,3,,EX,H1,1027,-2.437991,34.855418,2/26/2017,3/18/2017,20,84.86,84.86457834,Dig.mac,target,,2.4,5,50,5,8.3,7,70,16.94,63.15,,1.476388889,7.408333333,3.315277778
SE_3_EX2_H1,SE_3_H1,SE,SE_3,,Seronera,SE,W,3,,EX2,H1,1027,-2.437991,34.855418,2/25/2017,3/18/2017,21,86.14,171.0043041,Dig.mac,target,,1.4,5,45,5,3.3,15,65,9.12,40.08,,0.371693122,4.003968254,0.105820106
SE_3_OP_H1,SE_3_H1,SE,SE_3,,Seronera,SE,W,3,,OP,H1,1027,-2.437991,34.855418,2/25/2017,3/18/2017,21,86.14,257.1440299,Dig.mac,target,,1.3,10,40,4.1,6,6,50,6.31,39.28,,,3.898148148,
SE_4_EX_H1,SE_4_H1,SE,SE_4,,Seronera,SE,W,4,,EX,H1,1026,-2.438079,34.854989,2/26/2017,3/18/2017,20,84.86,84.86457834,Dig.mac,target,,3.9,6,35,5.6,8.8,8,65,9.73,51.9,,0.090277778,5.805555556,2.140277778
SE_4_EX2_H1,SE_4_H1,SE,SE_4,,Seronera,SE,W,4,,EX2,H1,1026,-2.438079,34.854989,2/25/2017,3/18/2017,21,86.14,171.0043041,Dig.mac,target,,2.7,15,35,5.4,12.5,25,55,26.28,60.69,,2.275132275,6.691798942,3.201058201
SE_4_OP_H1,SE_4_H1,SE,SE_4,,Seronera,SE,W,4,,OP,H1,1026,-2.438079,34.854989,2/25/2017,3/18/2017,21,86.14,257.1440299,Dig.mac,target,,4.1,6,40,4.7,7.1,10,45,9.08,36.49,,,3.490740741,
WET_W_1_EX_H2,WET_W_1_H2,WET_W,WET_W_1,WET_W_3,Handajega,WET,W,1,3,EX,H2,954,-2.272484,34.023326,3/20/2017,5/13/2017,54,217.8,509.1480747,The.tri,target,1.5,2.7,7,45,3.5,17,5,40,2.22,25.71,0.024691358,0.04063786,0.616255144,-0.565329218
WET_W_1_OP_H2,WET_W_1_H2,WET_W,WET_W_1,WET_W_3,Handajega,WET,W,1,3,OP,H2,954,-2.272484,34.023326,3/20/2017,5/13/2017,54,217.8,726.9525343,The.tri,target,1.5,5.5,5,45,5.2,10.2,5,30,1.43,36.7,-0.015946502,,1.181584362,
WET_W_2_EX_H2,WET_W_2_H2,WET_W,WET_W_2,WET_W_4,Handajega,WET,W,2,4,EX,H2,953,-2.2783,34.024459,3/20/2017,5/13/2017,54,217.8,509.1480747,The.tri,target,1.5,1.4,8,35,5,24.6,20,55,14.86,52.69,0.669238683,0.764403292,2.335390947,2.043209877
WET_W_2_OP_H2,WET_W_2_H2,WET_W,WET_W_2,WET_W_4,Handajega,WET,W,2,4,OP,H2,953,-2.2783,34.024459,3/20/2017,5/13/2017,54,217.8,726.9525343,The.tri,target,0.8,3.7,15,35,3,9.6,15,50,,12.97,,,0.29218107,
WET_W_3_EX_H2,WET_W_3_H2,WET_W,WET_W_3,WET_W_1,Handajega,WET,W,3,1,EX,H2,951,-2.277999,34.027678,3/21/2017,5/13/2017,53,213.79,518.8508492,The.tri,target,2.8,1.4,15,35,3.5,31.6,40,65,63.96,81.04,2.779874214,3.352201258,3.002620545,3.342767296
WET_W_3_OP_H2,WET_W_3_H2,WET_W,WET_W_3,WET_W_1,Handajega,WET,W,3,1,OP,H2,951,-2.277999,34.027678,3/21/2017,5/13/2017,53,213.79,732.6441055,The.tri,target,2.7,1.5,33,40,3.2,13.2,20,55,,17.26,,,-0.340146751,
WET_W_4_EX_H2,WET_W_4_H2,WET_W,WET_W_4,WET_W_2,Handajega,WET,W,4,2,EX,H2,950,-2.278837,34.031884,3/21/2017,5/13/2017,53,213.79,518.8508492,The.tri,target,1,3.3,25,40,3.5,20.6,15,50,9.28,33.72,0.195492662,0.113731656,1.243186583,0.431341719
WET_W_4_OP_H2,WET_W_4_H2,WET_W,WET_W_4,WET_W_2,Handajega,WET,W,4,2,OP,H2,950,-2.278837,34.031884,3/21/2017,5/13/2017,53,213.79,732.6441055,The.tri,target,0.7,1.4,18,35,2,6,10,30,7.11,25.49,0.081761006,,0.811844864,
WET_P_1_EX_H2,WET_P_1_H2,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,P,1,1,EX,H2,957,-2.350052,34.049976,3/22/2017,5/14/2017,53,222.92,546.1206371,Chr.ori,target,1,0.3,12,15,3,14.2,55,92,24.25,58.14,0.815513627,0.412997904,2.434486373,1.499475891
WET_P_1_OP_H2,WET_P_1_H2,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,P,1,1,OP,H2,957,-2.350052,34.049976,3/22/2017,5/14/2017,53,222.92,769.044748,Chr.ori,target,1.2,0.6,8,12,1,9.6,45,60,16.37,29.53,0.402515723,,0.935010482,
WET_P_2_EX_H2,WET_P_2_H2,WET_P,WET_P_2,WET_P_2,Mwantimba,WET,P,2,2,EX,H2,959,-2.348488,34.05011,3/22/2017,5/14/2017,53,222.92,546.1206371,Chr.ori,target,1.5,1.6,12,50,5.5,16.8,20,80,24.42,61.21,1.272012579,0.670859539,2.924528302,1.681865828
WET_P_2_OP_H2,WET_P_2_H2,WET_P,WET_P_2,WET_P_2,Mwantimba,WET,P,2,2,OP,H2,959,-2.348488,34.05011,3/22/2017,5/14/2017,53,222.92,769.044748,Chr.ori,target,1.6,2,7,40,2.2,5.2,30,65,11.62,29.12,0.60115304,,1.242662474,
WET_P_3_EX_H2,WET_P_3_H2,WET_P,WET_P_3,WET_P_4,Mwantimba,WET,P,3,4,EX,H2,1022,-2.367293,34.062509,3/22/2017,5/14/2017,53,222.92,546.1206371,Chr.ori,target,1.5,3.8,7,60,12,51.4,5,95,4.8,104.22,0.200733753,0.193396226,4.320754717,0.772536688
WET_P_3_OP_H2,WET_P_3_H2,WET_P,WET_P_3,WET_P_4,Mwantimba,WET,P,3,4,OP,H2,1022,-2.367293,34.062509,3/22/2017,5/14/2017,53,222.92,769.044748,Chr.ori,target,1.8,0.7,8,45,4,28.6,3,95,1.11,89.48,0.007337526,,3.548218029,
WET_P_4_EX_H2,WET_P_4_H2,WET_P,WET_P_4,WET_P_3,Mwantimba,WET,P,4,3,EX,H2,1020,-2.36857,34.062586,3/22/2017,5/14/2017,53,222.92,462.304904,Chr.ori,target,1.8,0.4,18,35,5.2,28.6,25,85,9.22,77.4,0.483228512,-0.447589099,3.121593291,0.493710692
WET_P_4_OP_H2,WET_P_4_H2,WET_P,WET_P_4,WET_P_3,Mwantimba,WET,P,4,3,OP,H2,1020,-2.36857,34.062586,3/22/2017,5/14/2017,53,222.92,685.2290149,Chr.ori,target,1.7,2.1,55,70,2.5,17.6,25,95,17.76,67.98,0.93081761,,2.6278826,
DRY_W_1_EX_H2,DRY_W_1_H2,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,W,1,3,EX,H2,995,-3.299332,34.848458,3/24/2017,05/11/2017,48,115.33,612.977094,Cyn.dac,target,2,6.8,13,30,,,,,,,,,,
DRY_W_1_EX2_H2,DRY_W_1_H2,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,W,1,3,EX2,H2,995,-3.299332,34.848458,3/25/2017,05/11/2017,47,115.33,728.3113467,Cyn.dac,target,2.3,19.5,13,35,2.5,13,15,60,8.04,46.41,0.03427896,0.125295508,1.074468085,1.291371158
DRY_W_1_OP_H2,DRY_W_1_H2,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,W,1,3,OP,H2,995,-3.299332,34.848458,3/24/2017,05/11/2017,48,115.33,843.6455994,Cyn.dac,target,1.5,3.6,8,38,1.7,3.3,10,30,5.92,24.56,-0.08912037,,-0.212384259,
DRY_W_2_EX_H2,DRY_W_2_H2,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,W,2,4,EX,H2,980,-3.303268,34.847796,3/24/2017,05/11/2017,48,115.33,612.977094,Cyn.dac,target,0.5,1.5,4,35,1.5,6.8,10,40,4.07,43.6,0.114583333,-0.077546296,0.184606481,1.583333333
DRY_W_2_EX2_H2,DRY_W_2_H2,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,W,2,4,EX2,H2,980,-3.303268,34.847796,3/25/2017,05/11/2017,47,115.33,728.3113467,Cyn.dac,target,2.5,6.4,15,40,2,9.6,40,60,24.86,46.29,1.345744681,1.149527187,0.34751773,1.776004728
DRY_W_2_OP_H2,DRY_W_2_H2,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,W,2,4,OP,H2,980,-3.303268,34.847796,3/24/2017,05/11/2017,48,115.33,843.6455994,Cyn.dac,target,1.7,3.5,10,30,1.7,3.2,15,25,5.41,16.24,0.19212963,,-1.398726852,
