plot.id,block.id.harvest,site.id,block.id,stu.block.id,site.name,region,landuse,block,stu.block,treatment,harvest,wp,lat,long,setup.date,harvest.date,growth.period,rain.sum,rain.acc.sum,target.sp.,target_other,pasture.disc.setup,height. setup,sp.cover.setup,total.veg.cover.setup,pasture.disc.harvest,height.harvest,sp.cover.harvest,total.veg.cover.harvest,biomass.sp.,biomass.total.g,productivity.g.m2.day,consumption.g.m2.day,productivity.total.g.m2.day,consumption.total.g.m2.day
WET_W_1_H0,WET_W_1_H1,WET_W,WET_W_1,WET_W_3,Handajega,WET,W,1,3,H0,H0,954,-2.272484,34.023326,2/16/2017,,0,0,0,The.tri,target,3,2.6,15,50,,,,,1.83,15.8,,,,
WET_W_2_H0,WET_W_2_H1,WET_W,WET_W_2,WET_W_4,Handajega,WET,W,2,4,H0,H0,953,-2.2783,34.024459,2/16/2017,,0,0,0,The.tri,target,,,10,40,,,,,2.22,12.36,,,,
WET_W_3_H0,WET_W_3_H1,WET_W,WET_W_3,WET_W_1,Handajega,WET,W,3,1,H0,H0,951,-2.277999,34.027678,2/16/2017,,0,0,0,The.tri,target,3.4,3.8,25,60,,,,,8.61,22.77,,,,
WET_W_4_H0,WET_W_4_H1,WET_W,WET_W_4,WET_W_2,Handajega,WET,W,4,2,H0,H0,950,-2.278837,34.031884,2/16/2017,,0,0,0,The.tri,target,1.5,2.6,25,70,,,,,,29.26,,,,
WET_P_1_H0,WET_P_1_H1,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,P,1,1,H0,H0,957,-2.350052,34.049976,2/17/2017,,0,0,0,Chr.ori,target,0.5,,1,5,,,,,2.42,3.28,,,,
WET_P_2_H0,WET_P_2_H1,WET_P,WET_P_2,WET_P_2,Mwantimba,WET,P,2,2,H0,H0,959,-2.348488,34.05011,2/17/2017,,0,0,0,Chr.ori,target,0.5,0.8,1,15,,,,,0.69,3.21,,,,
WET_P_3_H0,WET_P_3_H1,WET_P,WET_P_3,WET_P_4,Mwantimba,WET,P,3,4,H0,H0,1022,-2.367293,34.062509,2/17/2017,,0,0,0,Chr.ori,target,1,1.2,,,,,,,,4.96,,,,
WET_P_4_H0,WET_P_4_H1,WET_P,WET_P_4,WET_P_3,Mwantimba,WET,P,4,3,H0,H0,1020,-2.36857,34.062586,2/23/2017,,0,0,0,Chr.ori,target,,0.7,12,20,,,,,1.65,4.41,,,,
DRY_W_1_H0,DRY_W_1_H1,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,W,1,3,H0,H0,995,-3.299332,34.848458,2/19/2017,,0,0,0,Cyn.dac,target,,0.3,22,30,,,,,12.24,14.22,,,,
DRY_W_2_H0,DRY_W_2_H1,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,W,2,4,H0,H0,980,-3.303268,34.847796,2/19/2017,,0,0,0,Cyn.dac,target,,0.4,12,40,,,,,3.99,11.25,,,,
DRY_W_3_H0,DRY_W_3_H1,DRY_W,DRY_W_3,DRY_W_1,Maswa,DRY,W,3,1,H0,H0,998,-3.295645,34.852435,2/20/2017,,0,0,0,Cyn.dac,target,,0.4,8,30,,,,,2.42,13.47,,,,
