plot.id,block.id.harvest,site.id,block.id,stu.block.id,site.name,region,landuse,block,stu.block,treatment,harvest,wp,lat,long,setup.date,harvest.date,growth.period,rain.sum,rain.acc.sum,target.sp.,pasture.disc.setup,height. setup,target.sp.cover.setup,total.veg.cover.setup,pasture.disc.harvest,height.harvest,target.sp.cover.harvest,total.veg.cover.harvest,PREVIOUS (HX-1)biomass.target.sp.g,PREVIOUS (HX-1)biomass.other.sp.g,PREVIOUS (HX-1)biomass.total.g,biomass.target.sp.,biomass.other.sp.,biomass.total.g,productivity.target.g.m2.day,consumption.target.g.m2.day,productivity.other.g.m2.day,consumption.other.g.m2.day,productivity.total.g.m2.day,consumption.total.g.m2.day
WET_W_1_H0,WET_W_1_H1,WET_W,WET_W_1,WET_W_3,Handajega,WET,W,1,3,H0,H0,954,-2.272484,34.023326,2/16/2017,,0,0.00,0.00,The.tri,3.0,2.6,15,50,,,,,,,,1.83,13.97,15.8,,,,,,
WET_W_2_H0,WET_W_2_H1,WET_W,WET_W_2,WET_W_4,Handajega,WET,W,2,4,H0,H0,953,-2.278300,34.024459,2/16/2017,,0,0.00,0.00,The.tri,,,10,40,,,,,,,,2.22,10.14,12.36,,,,,,
WET_W_3_H0,WET_W_3_H1,WET_W,WET_W_3,WET_W_1,Handajega,WET,W,3,1,H0,H0,951,-2.277999,34.027678,2/16/2017,,0,0.00,0.00,The.tri,3.4,3.8,25,60,,,,,,,,8.61,14.16,22.77,,,,,,
WET_W_4_H0,WET_W_4_H1,WET_W,WET_W_4,WET_W_2,Handajega,WET,W,4,2,H0,H0,950,-2.278837,34.031884,2/16/2017,,0,0.00,0.00,The.tri,1.5,2.6,25,70,,,,,,,,,29.26,29.26,,,,,,
WET_P_1_H0,WET_P_1_H1,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,P,1,1,H0,H0,957,-2.350052,34.049976,2/17/2017,,0,0.00,0.00,Chr.ori,0.5,,1,5,,,,,,,,2.42,0.86,3.28,,,,,,
WET_P_2_H0,WET_P_2_H1,WET_P,WET_P_2,WET_P_2,Mwantimba,WET,P,2,2,H0,H0,959,-2.348488,34.050110,2/17/2017,,0,0.00,0.00,Chr.ori,0.5,0.8,1,15,,,,,,,,0.69,2.52,3.21,,,,,,
WET_P_3_H0,WET_P_3_H1,WET_P,WET_P_3,WET_P_4,Mwantimba,WET,P,3,4,H0,H0,1022,-2.367293,34.062509,2/17/2017,,0,0.00,0.00,Chr.ori,1.0,1.2,,,,,,,,,,,4.96,4.96,,,,,,
WET_P_4_H0,WET_P_4_H1,WET_P,WET_P_4,WET_P_3,Mwantimba,WET,P,4,3,H0,H0,1020,-2.368570,34.062586,2/23/2017,,0,0.00,0.00,Chr.ori,,0.7,12,20,,,,,,,,1.65,2.76,4.41,,,,,,
DRY_W_1_H0,DRY_W_1_H1,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,W,1,3,H0,H0,995,-3.299332,34.848458,2/19/2017,,0,0.00,0.00,Cyn.dac,,0.3,22,30,,,,,,,,12.24,1.98,14.22,,,,,,
DRY_W_2_H0,DRY_W_2_H1,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,W,2,4,H0,H0,980,-3.303268,34.847796,2/19/2017,,0,0.00,0.00,Cyn.dac,,0.4,12,40,,,,,,,,3.99,7.26,11.25,,,,,,
DRY_W_3_H0,DRY_W_3_H1,DRY_W,DRY_W_3,DRY_W_1,Maswa,DRY,W,3,1,H0,H0,998,-3.295645,34.852435,2/20/2017,,0,0.00,0.00,Cyn.dac,,0.4,8,30,,,,,,,,2.42,11.05,13.47,,,,,,
DRY_W_4_H0,DRY_W_4_H1,DRY_W,DRY_W_4,DRY_W_2,Maswa,DRY,W,4,2,H0,H0,1000,-3.296013,34.854327,2/20/2017,,0,0.00,0.00,Cyn.dac,,0.4,10,40,,,,,,,,1.47,13.36,14.83,,,,,,
DRY_P_1_H0,DRY_P_1_H1,DRY_P,DRY_P_1,DRY_P_2,Makao,DRY,P,1,2,H0,H0,1009,-3.303212,34.847736,2/21/2017,,0,0.00,0.00,Chl.pyc,1.4,3.1,10,50,,,,,,,,2.03,11.73,13.76,,,,,,
DRY_P_2_H0,DRY_P_2_H1,DRY_P,DRY_P_2,DRY_P_3,Makao,DRY,P,2,3,H0,H0,1006,-3.408426,34.850244,2/21/2017,,0,0.00,0.00,Chl.pyc,0.5,1.3,27,45,,,,,,,,5.90,4.22,10.12,,,,,,
DRY_P_3_H0,DRY_P_3_H1,DRY_P,DRY_P_3,DRY_P_1,Makao,DRY,P,3,1,H0,H0,1001,-3.406316,34.850407,2/20/2017,,0,0.00,0.00,Chl.pyc,1.0,3.0,8,30,,,,,,,,0.79,11.00,11.79,,,,,,
DRY_P_4_H0,DRY_P_4_H1,DRY_P,DRY_P_4,,Makao,DRY,P,4,,H0,H0,1003,-3.406853,34.851600,2/20/2017,,0,0.00,0.00,Chl.pyc,1.3,1.9,7,40,,,,,,,,1.16,11.66,12.82,,,,,,
SE_1_H0,SE_1_H1,SE_1_,SE_1,,Seronera,SE,W,1,,H0,H0,1023,-2.437747,34.855162,2/26/2017,,0,0.00,0.00,Dig.mac,,,,35,,,,,,,,,12.35,12.35,,,,,,
SE_2_H0,SE_2_H1,SE_2_,SE_2,,Seronera,SE,W,2,,H0,H0,1025,-2.437766,34.855394,2/26/2017,,0,0.00,0.00,Dig.mac,,,,30,,,,,,,,,8.48,8.48,,,,,,
SE_3_H0,SE_3_H1,SE_3_,SE_3,,Seronera,SE,W,3,,H0,H0,1027,-2.437991,34.855418,2/26/2017,,0,0.00,0.00,Dig.mac,,,,40,,,,,,,,,9.81,9.81,,,,,,
SE_4_H0,SE_4_H1,SE_4_,SE_4,,Seronera,SE,W,4,,H0,H0,1026,-2.438079,34.854989,2/26/2017,,0,0.00,0.00,Dig.mac,,,,35,,,,,,,,,10.10,10.1,,,,,,
WET_W_1_EX_H1,WET_W_1_H1,WET_W,WET_W_1,WET_W_3,Handajega,WET,W,1,3,EX,H1,954,-2.272484,34.023326,2/16/2017,3/20/2017,32,145.67,145.67,The.tri,3.0,1.9,10,65,4.00,1.20,4.00,45.00,,,,1.28,16.10,17.38,-0.047743056,-0.039930556,0.18,0.36,0.14,0.316840278
WET_W_1_OP_H1,WET_W_1_H1,WET_W,WET_W_1,WET_W_3,Handajega,WET,W,1,3,OP,H1,954,-2.272484,34.023326,2/16/2017,3/20/2017,32,145.67,291.3436151,The.tri,2.5,2.3,10,40,1.50,1.40,8.00,30.00,1.83,13.97,15.8,1.74,11.99,13.73,-0.0078125,,-0.17,,-0.1796875,
WET_W_2_EX_H1,WET_W_2_H1,WET_W,WET_W_2,WET_W_4,Handajega,WET,W,2,4,EX,H1,953,-2.278300,34.024459,2/16/2017,3/20/2017,32,145.67,145.6718075,The.tri,2.3,2.1,20,40,2.30,2.60,5.00,20.00,,,,2.47,5.28,7.75,0.021701389,0.053819444,-0.42,-0.01,-0.400173611,0.039930556
WET_W_2_OP_H1,WET_W_2_H1,WET_W,WET_W_2,WET_W_4,Handajega,WET,W,2,4,OP,H1,953,-2.278300,34.024459,2/16/2017,3/20/2017,32,145.67,291.3436151,The.tri,2.5,0.6,12,40,1.50,0.60,7.00,24.00,2.22,10.14,12.36,1.85,5.44,7.29,-0.032118056,,-0.41,,-0.440104167,
WET_W_3_EX_H1,WET_W_3_H1,WET_W,WET_W_3,WET_W_1,Handajega,WET,W,3,1,EX,H1,951,-2.277999,34.027678,2/16/2017,3/21/2017,33,152.53,152.5287964,The.tri,3.5,2.4,25,55,2.50,4.10,20.00,50.00,,,,8.18,6.52,14.7,-0.036195286,-0.230639731,-0.64,-0.53,-0.679292929,-0.761784512
WET_W_3_OP_H1,WET_W_3_H1,WET_W,WET_W_3,WET_W_1,Handajega,WET,W,3,1,OP,H1,951,-2.277999,34.027678,2/16/2017,3/21/2017,33,152.53,305.0575929,The.tri,2.5,2.6,20,45,0.70,4.50,15.00,40.00,8.61,14.16,22.77,10.92,12.83,23.75,0.194444444,,-0.11,,0.082491582,
WET_W_4_EX_H1,WET_W_4_H1,WET_W,WET_W_4,WET_W_2,Handajega,WET,W,4,2,EX,H1,950,-2.278837,34.031884,2/16/2017,3/21/2017,33,152.53,152.5287964,The.tri,1.5,0.9,15,70,1.80,2.70,5.00,35.00,,,,2.91,10.26,13.17,,-0.222222222,-1.60,0.49,-1.354377104,0.266835017
WET_W_4_OP_H1,WET_W_4_H1,WET_W,WET_W_4,WET_W_2,Handajega,WET,W,4,2,OP,H1,950,-2.278837,34.031884,2/16/2017,3/21/2017,33,152.53,305.0575929,The.tri,2.5,1.8,25,65,1.80,2.20,18.00,30.00,,29.26,29.26,5.55,4.45,10,,,,,-1.621212121,
WET_P_1_EX_H1,WET_P_1_H1,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,P,1,1,EX,H1,957,-2.350052,34.049976,2/17/2017,3/22/2017,33,161.60,161.5982631,Chr.ori,0.5,0.4,1,7,1.80,0.90,6.00,25.00,,,,1.91,13.25,15.16,-0.042929293,-0.570707071,1.04,0.86,1,0.292087542
WET_P_1_OP_H1,WET_P_1_H1,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,P,1,1,OP,H1,957,-2.350052,34.049976,2/17/2017,3/22/2017,33,161.60,323.1965263,Chr.ori,1.0,1.0,10,15,1.50,0.80,10.00,18.00,2.42,0.86,3.28,8.69,3.00,11.69,0.527777778,,0.18,,0.707912458,
WET_P_2_EX_H1,WET_P_2_H1,WET_P,WET_P_2,WET_P_2,Mwantimba,WET,P,2,2,EX,H1,959,-2.348488,34.050110,2/17/2017,3/22/2017,33,161.60,161.5982631,Chr.ori,0.5,0.6,,15,1.60,3.00,0.00,40.00,,,,0.00,13.46,13.46,-0.058080808,-0.012626263,0.92,0.69,0.862794613,0.677609428
WET_P_2_OP_H1,WET_P_2_H1,WET_P,WET_P_2,WET_P_2,Mwantimba,WET,P,2,2,OP,H1,959,-2.348488,34.050110,2/17/2017,3/22/2017,33,161.60,323.1965263,Chr.ori,1.0,0.2,,7,1.00,2.60,3.00,20.00,0.69,2.52,3.21,0.15,5.26,5.41,-0.045454545,,0.23,,0.185185185,
