"","landuse","treatment","harvest","N.total"
"1","W","EX","H1",5
"2","P","OP","H1",2
"3","W","OP","H1",3
"4","P","EX","H2",4
"5","W","EX","H2",2
"6","P","OP","H2",3
"7","W","OP","H2",2
"8","P","EX","H3",2
"9","W","EX","H3",4
"10","W","OP","H3",1
"11","P","EX","H4",1
"12","W","EX","H4",6
"13","P","OP","H4",1
"14","W","OP","H4",6
"15","P","EX","H5",4
"16","W","EX","H5",5
"17","P","OP","H5",4
"18","W","OP","H5",9
"19","W","EX","H6",2
"20","W","OP","H6",3
