Season;Plot;Site;Region;Landuse;Block;Blockcode;Treatment;Green tea code;Red tea code;Initial weight green tea including bag, cord and label;Initial weight red tea including bag, cord, and label;Initial weight green tea tea only;Ashed subsample percentage controll initial green tea tea only;Ashed initial corrected weight green tea tea only;Initial weight red tea tea only;Ashed subsample percentage controll initiall red tea tea only;Ashed Initial corrected weight red tea tea only;Final weight green tea including bag and cord, no label;Final weight red tea including bag and cord, no label;Final weight green tea tea only;Final weight red tea tea only;Ashed subsample percentage green tea;Ashed subsample percentage red tea;Ashed final weight green tea tea only;Ashed final weight red tea tea only;Fraction decomposed green tea (ag) ;Fraction decomposed green tea (ag) ASH CORRECTED;Predicted labile fraction red tea (ar) KEUSHAMP;Predicted labile fraction red tea (ar) MUELLER; Fraction remaining red tea (Wt); Fraction remaining red tea (Wt) ASH CORRECTED;Date of burial;Recovery date;incubation time      red and green tea (t);S (Keushamp);K (Keushamp);S (Mueller);K (Mueller);Sign of termite cheeting on red tea;Sign of hole(s) on red tea;Sign of roots on red tea;Sign of termite cheeting on green tea;Sign of hole(s) on green tea;Sign of roots on green tea;Massloss (g) Green tea ;Massloss (g) Ash corrected Green tea;Massloss (g) Red tea ;Massloss (g) Ash corrected Red tea;;;;;;;;Keushamp;P.Mueller et al.
Wet;11;Makao;Dry;Agriculture;2;Dry_Ag2_T3;Open;G543;R446;2,092;2,268;1,8422;5,509415873;1,740705541;2,0182;2,281664727;1,972151442;0,7165;1,4224;0,5659;1,2718;12,048;5,178;0,498;1,206;0,693;0,714070378;0,454195657;0,501973792;0,630165494;0,597538582;31.01.2017;24.03.2017;52;0,17718178;0,032373482;0,257435219;0,025667141;;;;;;YES;1,2763;1,242986264;0,7464;0,766199076;;;;;;;;;
Wet;12;Makao;Dry;Agriculture;2;Dry_Ag2_T4;Open;G590;R409;2,083;2,2;1,8332;5,509415873;1,732201388;1,9502;2,281664727;1,905702974;;;;;;;;;;;;;;;31.01.2017;00.01.1900;;;;;;;;;;;;;;;;;;;;;;;;
Wet;13;Makao;Dry;Agriculture;2;Dry_Ag2_T5;Open;G595;R450;2,116;2,225;1,8662;5,509415873;1,763383281;1,9752;2,281664727;1,930132558;0,6281;0,9192;0,4775;0,7686;29,169;41,215;0,338;0,452;0,744;0,808198667;0,487839809;0,539157068;0,389125152;0,228749032;31.01.2017;24.03.2017;52;0,116232231;;0,202430373;;;YES;YES;;YES;;1,3887;1,425164018;1,2066;1,478307471;;;;;;;;;
Wet;14;Makao;Dry;Agriculture;2;Dry_Ag2_T6;Open;G609;R382;2,089;2,221;1,8392;5,509415873;1,737870823;1,9712;2,281664727;1,926223825;0,498;1,794;0,3474;1,6434;16,034;87,890;0,292;0,199;0,811;0,832152081;0,531751386;0,587687829;0,833705357;0,100958073;31.01.2017;24.03.2017;52;0,036682271;0,00721208;0,130639306;0,006396723;;YES;YES;;;;1,4918;1,446172821;0,3278;1,727215271;;;;;;;;;
Wet;15;Makao;Dry;Agriculture;2;Dry_Ag2_T7;Open;G222;R415;1,889;2,216;1,6392;5,509415873;1,548889655;1,9662;2,281664727;1,921337908;0,671;2,96;0,5204;2,8094;15,805;78,642;0,438;0,600;0,683;0,717120003;0,447453077;0,49452194;1,428847523;0,305177079;31.01.2017;24.03.2017;52;0,1893966;-0,012925721;0,268458668;-0,012008422;YES;YES;YES;;;;1,1188;1,110739754;-0,8432;1,321298735;;;;;;;;;
Wet;16;Makao;Dry;Agriculture;2;Dry_Ag2_T8;Open;G405;R519;2,056;2,21;1,8062;5,509415873;1,70668893;1,9602;2,281664727;1,915474808;0,7015;1,4282;0,5509;1,2776;15,725;5,871;0,464;1,203;0,695;0,72797111;0,455626187;0,503554803;0,651770228;0,613505212;31.01.2017;24.03.2017;52;0,174590241;0,027791268;0,255096445;0,022618705;;YES;YES;;YES;YES;1,2553;1,242420235;0,6826;0,712881892;;;;;;;;;
Wet;17;Makao;Dry;Agriculture;3;Dry_Ag3_T1;Open;G571;R542;2,049;2,201;1,7992;5,509415873;1,70007459;1,9512;2,281664727;1,906680158;0,6752;1,6227;0,5246;1,4721;9,671;7,361;0,474;1,364;0,708;0,721267825;0,464431275;0,513286124;0,754458795;0,698920241;01.02.2017;24.03.2017;51;0,158638994;0,014749881;0,240701;0,012760759;;;YES;;;;1,2746;1,226209101;0,4791;0,542946984;;;;;;;;;
Wet;18;Makao;Dry;Agriculture;3;Dry_Ag3_T2;Open;G419;R128;2,078;2,237;1,8282;5,509415873;1,727476859;1,9872;2,281664727;1,941858759;0,791;1,79;0,6404;1,6394;15,166;6,472;0,543;1,533;0,650;0,685509677;0,425938211;0,470743865;0,824979871;0,771584435;01.02.2017;24.03.2017;51;0,228372806;0,010375839;0,303633336;0,00911546;;;;;;YES;1,1878;1,184202104;0,3478;0,40856617;;;;;;;;;
Wet;19;Makao;Dry;Agriculture;3;Dry_Ag3_T3;Open;G240;R82;2,117;2,249;1,8672;5,509415873;1,764328187;1,9992;2,281664727;1,953584959;0,8869;1,514;0,7363;1,3634;18,480;11,013;0,600;1,213;0,606;0,659797493;0,397063852;0,43883213;0,681972789;0,606865654;01.02.2017;24.03.2017;51;0,280681427;0,031650697;0,350840045;0,02529294;;;;;;;1,1309;1,164099314;0,6358;0,740339144;;;;;;;;;
Wet;20;Makao;Dry;Agriculture;3;Dry_Ag3_T4;Open;G524;R50;1,962;2,249;1,7122;5,509415873;1,617867781;1,9992;2,281664727;1,953584959;0,7161;1,51;0,5655;1,3594;12,986;8,413;0,492;1,245;0,670;0,695857709;0,439058416;0,485244221;0,679971989;0,622768537;01.02.2017;24.03.2017;51;0,204604319;0,025593206;0,282183105;0,021125438;;;;;;;1,1467;1,125805768;0,6398;0,7085461;;;;;;;;;
Wet;21;Makao;Dry;Agriculture;3;Dry_Ag3_T5;Open;G699;R529;1,984;2,157;1,7342;5,509415873;1,63865571;1,9072;2,281664727;1,86368409;0,7389;1,4387;0,5883;1,2881;10,099;6,993;0,529;1,198;0,661;0,677243047;0,433186111;0,478754192;0,675388003;0,628158073;01.02.2017;24.03.2017;51;0,215242552;0,027132048;0,29178374;0,022221799;;;YES;;;YES;1,1459;1,109768185;0,6191;0,665661013;;;;;;;;;
Wet;22;Makao;Dry;Agriculture;3;Dry_Ag3_T6;Open;G575;R363;1,997;2,166;1,7472;5,509415873;1,650939486;1,9162;2,281664727;1,87247874;0,7402;1,5164;0,5896;1,3658;9,826;3,508;0,532;1,318;0,663;0,677962685;0,434353058;0,480043893;0,712764847;0,687761732;01.02.2017;24.03.2017;51;0,213128518;0,021227909;0,289875898;0,017885859;;;;;;YES;1,1576;1,119275367;0,5504;0,554589709;;;;;;;;;
Wet;23;Makao;Dry;Agriculture;3;Dry_Ag3_T7;Open;G492;R190;1,948;2,224;1,6982;5,509415873;1,6046391;1,9742;2,281664727;1,929155375;0,7696;1,5019;0,619;1,3513;11,479;3,039;0,548;1,310;0,635;0,658523298;0,416619973;0,460445415;0,684479789;0,663677943;01.02.2017;24.03.2017;51;0,245253672;0,027766014;0,31886773;0,022666207;;;;;;YES;1,0792;1,056692232;0,6229;0,618922379;;;;;;;;;
Wet;24;Makao;Dry;Agriculture;3;Dry_Ag3_T8;Open;G813;R144;1,955;2,143;1,7052;5,509415873;1,611253441;1,8932;2,281664727;1,850003523;0,7479;1,6078;0,5973;1,4572;11,584;4,966;0,528;1,385;0,650;0,672237893;0,425943725;0,470749959;0,769702092;0,73148188;01.02.2017;24.03.2017;51;0,228362817;0,015254927;0,303624321;0,013172674;;;YES;;;YES;1,1079;1,083145619;0,436;0,465162029;;;;;;;;;
Wet;25;Makao;Dry;Agriculture;4;Dry_Ag4_T1;Open;G406;R279;2,091;2,161;1,8412;5,509415873;1,739760635;1,9112;2,281664727;1,867592824;0,684;;0,5334;;12,537;2,704;0,467;;0,710;0,731844737;0,465658305;0,514642229;;;01.02.2017;24.03.2017;51;0,156416114;;0,238694928;;;;;;;;1,3078;1,273234665;;;;;;;;;;;
