Season;Plot;Site;Region;Landuse;Block;Blockcode;Treatment;Littertype;Teabag code;Initial weight including bag, cord and label (g);Initial weight tea only (g);Ashed subsample percentage controll initial tea only (%);Ashed initial corrected weight  tea only (g);Final weight including bag and cord, no label (g);Final weight  tea only (g);Ashed final subsample percentage  (%);Ashed final corrected weight  tea only (g);Burial date;Recovery date;incubation time red and green tea (days);Massloss (g) Ash uncorrected;Massloss (g);rain.sum (mm);CLAY %;SILT %;SAND %;Soil.Class;OC %;N.D. tree (m);N.D.Mound (m);Mound type;Tree with ants;Moisture %;Temperature (C);Lat;Long;Sign of termite cheeting;Sign of hole(s);Sign of roots 
Wet;1;Makao;Dry;Agriculture;1;Dry_Ag1_T1;Open;Green;G436;2.033;1.783;5.51;1.685;0.433;0.282;27.684;0.204;31.01.2017;24.03.2017;52;1.501;1.481;194.4383925;12.57;0.97;86.47;loamy sand;1.02;26.4;41;M;1;14.75;24.7;-3.397861;34.837608;NO;YES;NO
Wet;2;Makao;Dry;Agriculture;1;Dry_Ag1_T2;Open;Green;G568;2.006;1.756;5.51;1.659;0.629;0.478;8.503;0.438;31.01.2017;24.03.2017;52;1.278;1.222;194.4383925;12.57;0.97;86.47;loamy sand;2.02;22.4;39.8;M;1;13.10;24.9;-3.397879042;34.83753601;NO;NO;NO
Wet;3;Makao;Dry;Agriculture;1;Dry_Ag1_T3;Open;Green;G631;1.990;1.740;5.51;1.644;;;;;31.01.2017;;;;;;12.57;0.97;86.47;loamy sand;3.02;;;;;14.65;24.7;-3.397874;34.837579;NO;NO;NO
Wet;4;Makao;Dry;Agriculture;1;Dry_Ag1_T4;Open;Green;G652;2.024;1.774;5.51;1.676;;;;;31.01.2017;24.03.2017;52;;;194.4383925;12.57;0.97;86.47;loamy sand;4.02;;;;;17.40;25.55;-3.39777804;34.83751204;NO;NO;NO
Wet;5;Makao;Dry;Agriculture;1;Dry_Ag1_T5;Open;Green;G497;2.002;1.752;5.51;1.656;0.460;0.309;19.444;0.249;31.01.2017;24.03.2017;52;1.443;1.406;194.4383925;12.57;0.97;86.47;loamy sand;5.02;28.4;36.4;M;1;12.10;25.1;-3.397802012;34.83751204;NO;NO;NO
Wet;6;Makao;Dry;Agriculture;1;Dry_Ag1_T6;Open;Green;G447;2.058;1.808;5.51;1.708;0.678;0.527;11.473;0.466;31.01.2017;24.03.2017;52;1.281;1.242;194.4383925;12.57;0.97;86.47;loamy sand;6.02;32.4;31;M;1;13.45;25.1;-3.39773898;34.83750198;NO;NO;NO
Wet;7;Makao;Dry;Agriculture;1;Dry_Ag1_T7;Open;Green;G452;2.055;1.805;5.51;1.706;0.679;0.528;11.367;0.468;31.01.2017;24.03.2017;52;1.277;1.237;194.4383925;12.57;0.97;86.47;loamy sand;7.02;36;43.4;M;1;9.85;26.2;-3.397763036;34.83760097;NO;NO;NO
Wet;8;Makao;Dry;Agriculture;1;Dry_Ag1_T8;Open;Green;G389;1.971;1.721;5.51;1.626;0.620;0.469;9.771;0.423;31.01.2017;24.03.2017;52;1.252;1.203;194.4383925;12.57;0.97;86.47;loamy sand;8.02;36;38.4;M;;10.60;25.5;-3.397732023;34.83756199;NO;YES;NO
Wet;9;Makao;Dry;Agriculture;2;Dry_Ag2_T1;Open;Green;G514;1.935;1.685;5.51;1.592;;;9.293;;31.01.2017;24.03.2017;52;;;194.4383925;21.13;3.09;75.78;sandy clay loam;0.46;10.8;28.4;M;0;14.50;24.4;-3.397829002;34.83701197;NO;NO;YES
Wet;10;Makao;Dry;Agriculture;2;Dry_Ag2_T2;Open;Green;G286;2.071;1.821;5.51;1.721;0.802;0.651;14.321;0.558;31.01.2017;24.03.2017;52;1.170;1.163;194.4383925;21.13;3.09;75.78;sandy clay loam;1.46;16.8;30;M;0;14.65;24.3;-3.397811987;34.83696898;NO;NO;NO
Wet;11;Makao;Dry;Agriculture;2;Dry_Ag2_T3;Open;Green;G543;2.092;1.842;5.51;1.741;0.717;0.566;12.048;0.498;31.01.2017;24.03.2017;52;1.276;1.243;194.4383925;21.13;3.09;75.78;sandy clay loam;2.46;11.4;24.4;M;0;21.10;24.05;-3.39779296;34.837103;NO;NO;YES
Wet;12;Makao;Dry;Agriculture;2;Dry_Ag2_T4;Open;Green;G590;2.083;1.833;5.51;1.732;;;;;31.01.2017;;;;;;21.13;3.09;75.78;sandy clay loam;3.46;;;;;25.80;21.7;-3.397905026;34.83712303;NO;NO;NO
Wet;13;Makao;Dry;Agriculture;2;Dry_Ag2_T5;Open;Green;G595;2.116;1.866;5.51;1.763;0.628;0.478;29.169;0.338;31.01.2017;24.03.2017;52;1.389;1.425;194.4383925;21.13;3.09;75.78;sandy clay loam;4.46;11.4;31;M;0;20.80;23.4;-3.39790402;34.83702798;NO;YES;NO
Wet;14;Makao;Dry;Agriculture;2;Dry_Ag2_T6;Open;Green;G609;2.089;1.839;5.51;1.738;0.498;0.347;16.034;0.292;31.01.2017;24.03.2017;52;1.492;1.446;194.4383925;21.13;3.09;75.78;sandy clay loam;5.46;28.4;42.4;M;0;15.70;24.1;-3.397854986;34.83687401;NO;NO;NO
Wet;15;Makao;Dry;Agriculture;2;Dry_Ag2_T7;Open;Green;G222;1.889;1.639;5.51;1.549;0.671;0.520;15.805;0.438;31.01.2017;24.03.2017;52;1.119;1.111;194.4383925;21.13;3.09;75.78;sandy clay loam;6.46;15.8;30.4;M;0;23.90;23.95;-3.397806035;34.83702396;NO;NO;NO
Wet;16;Makao;Dry;Agriculture;2;Dry_Ag2_T8;Open;Green;G405;2.056;1.806;5.51;1.707;0.702;0.551;15.725;0.464;31.01.2017;24.03.2017;52;1.255;1.242;194.4383925;21.13;3.09;75.78;sandy clay loam;7.46;8;12.4;M;0;17.50;24.05;-3.397766976;34.83718104;NO;YES;YES
Wet;17;Makao;Dry;Agriculture;3;Dry_Ag3_T1;Open;Green;G571;2.049;1.799;5.51;1.700;0.675;0.525;9.671;0.474;01.02.2017;24.03.2017;51;1.275;1.226;185.6300658;54.08;21.26;24.65;clay;1.84;;;;;35.90;21.35;-3.385409033;34.81890103;NO;NO;NO
Wet;18;Makao;Dry;Agriculture;3;Dry_Ag3_T2;Open;Green;G419;2.078;1.828;5.51;1.727;0.791;0.640;15.166;0.543;01.02.2017;24.03.2017;51;1.188;1.184;185.6300658;54.08;21.26;24.65;clay;2.84;;;;;36.95;21.35;-3.385375002;34.81894;NO;NO;YES
Wet;19;Makao;Dry;Agriculture;3;Dry_Ag3_T3;Open;Green;G240;2.117;1.867;5.51;1.764;0.887;0.736;18.480;0.600;01.02.2017;24.03.2017;51;1.131;1.164;185.6300658;54.08;21.26;24.65;clay;3.84;;;;;39.30;21.1;-3.385358993;34.81899197;NO;NO;NO
