Season;Plot;Site;Region;Landuse;Block;Blockcode;Treatment;Littertype;Teabag code;Initial weight including bag, cord and label (g);Initial weight tea only (g);Ashed subsample percentage controll initial tea only (%);Ashed initial corrected weight  tea only (g);Final weight including bag and cord, no label (g);Final weight  tea only (g);Ashed final subsample percentage  (%);Ashed final corrected weight  tea only (g);Burial date;Recovery date;incubation time red and green tea (days);Massloss (g) Ash Uncorrected;rain.sum (mm);CLAY %;SILT %;SAND %;Soil.Class;OC %;N.D. tree (m);N.D.Mound (m);Mound type;Tree with ants;Moisture %;Temperature (C);Lat;Long;Sign of termite cheeting;Sign of hole(s);Sign of roots ;;;;;;;;;;;;;;;;;;;;
Dry;25;Makao;Dry;Agriculture;4;Dry_Ag4_T1;Open;Green;G322;2,017;1,767;;;1,87;1,719;;;20.07.2017;29.09.2017;71;0,048;6,900000125;51,96;18,92;29,12;clay;1,85;;;;;9,85;25,4;-3,384912992;34,81889902;;;;;;;;;;;;;;;;;;;;;;;
Dry;26;Makao;Dry;Agriculture;4;Dry_Ag4_T2;Open;Green;G58;1,937;1,687;;;1,736;1,585;;;20.07.2017;29.09.2017;71;0,102;6,900000125;51,96;18,92;29,12;clay;2,85;;;;;8,1;25,85;-3,384969;34,818908;;;;;;;;;;;;;;;;;;;;;;;
Dry;27;Makao;Dry;Agriculture;4;Dry_Ag4_T3;Open;Green;G340;2,015;1,765;;;;;;;20.07.2017;29.09.2017;71;;6,900000125;51,96;18,92;29,12;clay;3,85;;;;;14,1;26,15;-3,384935036;34,81894302;;;;;;;;;;;;;;;;;;;;;;;
Dry;28;Makao;Dry;Agriculture;4;Dry_Ag4_T4;Open;Green;G61;1,88;1,63;;;1,499;1,349;;;20.07.2017;29.09.2017;71;0,282;6,900000125;51,96;18,92;29,12;clay;4,85;;;;;9,1;25,7;-3,385007037;34,81888896;;;;;;;;;;;;;;;;;;;;;;;
Dry;29;Makao;Dry;Agriculture;4;Dry_Ag4_T5;Open;Green;G319;2,012;1,762;;;1,816;1,666;;;20.07.2017;29.09.2017;71;0,097;6,900000125;51,96;18,92;29,12;clay;5,85;;;;;15,15;25,65;-3,384948028;34,81885401;;;;;;;;;;;;;;;;;;;;;;;
Dry;30;Makao;Dry;Agriculture;4;Dry_Ag4_T6;Open;Green;G273;2,073;1,823;;;1,932;1,781;;;20.07.2017;29.09.2017;71;0,042;6,900000125;51,96;18,92;29,12;clay;6,85;;;;;9,3;24;-3,38496496;34,81879097;;;;;;;;;;;;;;;;;;;;;;;
Dry;31;Makao;Dry;Agriculture;4;Dry_Ag4_T7;Open;Green;;;;;;;;;;00.01.1900;;;;;51,96;18,92;29,12;clay;7,85;;;;;;;-3,384840991;34,818839;;;;;;;;;;;;;;;;;;;;;;;
Dry;32;Makao;Dry;Agriculture;4;Dry_Ag4_T8;Open;Green;G193;2,177;1,927;;;1,885;1,734;;;20.07.2017;29.09.2017;71;0,193;6,900000125;51,96;18,92;29,12;clay;8,85;;;;;11,85;25,45;-3,384901006;34,81897999;;;;;;;;;;;;;;;;;;;;;;;
Dry;33;Makao;Dry;Pasture;1;Dry_P1_T1;Open;Green;G218;1,96;1,71;;;1,777;1,626;;;22.07.2017;27.09.2017;67;0,084;6,525000036;23,96;0,92;75,12;sandy clay loam;1,25;9,5;17,2;G;0;1,65;26,15;-3,409203999;34,85275101;;;;;;;;;;;;;;;;;;;;;;;
Dry;34;Makao;Dry;Pasture;1;Dry_P1_T2;Open;Green;G104;2,026;1,776;;;;;;;22.07.2017;27.09.2017;67;;6,525000036;23,96;0,92;75,12;sandy clay loam;1,25;6,5;14,2;G;0;3,25;26,9;-3,409235012;34,85278202;;YES;;;;;;;;;;;;;;;;;;;;;
Dry;35;Makao;Dry;Pasture;1;Dry_P1_T3;Open;Green;G188;1,952;1,702;;;1,785;1,634;;;22.07.2017;27.09.2017;67;0,068;6,525000036;23,96;0,92;75,12;sandy clay loam;1,25;0,7;10,6;G;0;3,35;26,95;-3,409177009;34,85281899;;;;;;;;;;;;;;;;;;;;;;;
Dry;36;Makao;Dry;Pasture;1;Dry_P1_T4;Open;Green;G379;2,052;1,802;;;1,65;1,499;;;22.07.2017;27.09.2017;67;0,303;6,525000036;23,96;0,92;75,12;sandy clay loam;1,25;3,3;4,9;G;1;3;25,85;-3,40917198;34,85296098;;;;;;;;;;;;;;;;;;;;;;;
Dry;37;Makao;Dry;Pasture;1;Dry_P1_T5;Open;Green;G66;1,949;1,699;;;3,33;3,179;;;22.07.2017;27.09.2017;67;-1,48;6,525000036;23,96;0,92;75,12;sandy clay loam;1,25;8,3;27,8;G;0;4,25;26,1;-3,409070978;34,85271203;YES;YES;;;;;;;;;;;;;;;;;;;;;
Dry;38;Makao;Dry;Pasture;1;Dry_P1_T6;Open;Green;G625;1,965;1,715;;;1,838;1,687;;;22.07.2017;27.09.2017;67;0,028;6,525000036;23,96;0,92;75,12;sandy clay loam;1,25;2;20,4;O;0;2,85;26,7;-3,409280023;34,85261296;YES;YES;;;;;;;;;;;;;;;;;;;;;
Dry;39;Makao;Dry;Pasture;1;Dry_P1_T7;Open;Green;;;;;;;;;;22.07.2017;;;;;23,96;0,92;75,12;sandy clay loam;1,25;2,4;18;G;1;;;-3,40938597;34,85285503;;;;;;;;;;;;;;;;;;;;;;;
Dry;40;Makao;Dry;Pasture;1;Dry_P1_T8;Open;Green;G88;2,155;1,905;;;1,95;1,799;;;22.07.2017;27.09.2017;67;0,106;6,525000036;23,96;0,92;75,12;sandy clay loam;1,25;8,7;19,3;G;0;4,6;26,2;-3,409153959;34,85275503;YES;YES;;;;;;;;;;;;;;;;;;;;;
Dry;41;Makao;Dry;Pasture;2;Dry_P2_T1;Open;Green;G256;2,11;1,86;;;1,621;1,47;;;22.07.2017;27.09.2017;67;0,39;6,525000036;19,96;4,92;75,12;sandy loam;1,64;4;19,1;G;0;4,65;27,85;-3,408342004;34,85028304;;YES;;;;;;;;;;;;;;;;;;;;;
Dry;42;Makao;Dry;Pasture;2;Dry_P2_T2;Open;Green;G341;1,954;1,704;;;1,727;1,576;;;22.07.2017;27.09.2017;67;0,128;6,525000036;19,96;4,92;75,12;sandy loam;1,64;5,9;12,7;G;0;5,2;27,15;-3,408407969;34,85029503;YES;YES;;;;;;;;;;;;;;;;;;;;;
Dry;43;Makao;Dry;Pasture;2;Dry_P2_T3;Open;Green;G246;2,183;1,933;;;1,958;1,807;;;22.07.2017;27.09.2017;67;0,126;6,525000036;19,96;4,92;75,12;sandy loam;1,64;5;26,3;G;0;2,45;26,1;-3,408236979;34,85019;YES;YES;;;;;;;;;;;;;;;;;;;;;
Dry;44;Makao;Dry;Pasture;2;Dry_P2_T4;Open;Green;G115;2,048;1,798;;;1,707;1,556;;;22.07.2017;27.09.2017;67;0,242;6,525000036;19,96;4,92;75,12;sandy loam;1,64;2,6;39,2;G;0;3,85;26,5;-3,408152992;34,85016896;;;;;;;;;;;;;;;;;;;;;;;
Dry;45;Makao;Dry;Pasture;2;Dry_P2_T5;Open;Green;G480;1,985;1,735;;;;;;;22.07.2017;27.09.2017;67;;6,525000036;19,96;4,92;75,12;sandy loam;1,64;2,3;9,3;O;0;4,1;27,25;-3,408178976;34,85051698;YES;YES;;;;;;;;;;;;;;;;;;;;;
Dry;46;Makao;Dry;Pasture;2;Dry_P2_T6;Open;Green;;;;;;;;;;00.01.1900;;;;;19,96;4,92;75,12;sandy loam;1,64;;;;;;;-3,408473013;34,85040198;;;;;;;;;;;;;;;;;;;;;;;
Dry;47;Makao;Dry;Pasture;2;Dry_P2_T7;Open;Green;G110;2,093;1,843;;;1,837;1,687;;;22.07.2017;27.09.2017;67;0,157;6,525000036;19,96;4,92;75,12;sandy loam;1,64;5,2;5,2;G;0;5,35;26,4;-3,408481982;34,85002404;;;;;;;;;;;;;;;;;;;;;;;
Dry;48;Makao;Dry;Pasture;2;Dry_P2_T8;Open;Green;G233;1,949;1,699;;;1,673;1,522;;;22.07.2017;27.09.2017;67;0,177;6,525000036;19,96;4,92;75,12;sandy loam;1,64;7,3;27,2;M;0;3,95;25,95;-3,408199009;34,85025496;;;;;;;;;;;;;;;;;;;;;;;
Dry;49;Makao;Dry;Pasture;3;Dry_P3_T1;Open;Green;G54;2,054;1,804;;;;;;;22.07.2017;27.09.2017;67;;6,525000036;21,96;8,92;69,12;sandy clay loam;1,75;10,4;36;M;1;7,05;31,5;-3,406225992;34,85055998;;;;;;;;;;;;;;;;;;;;;;;
Dry;50;Makao;Dry;Pasture;3;Dry_P3_T2;Open;Green;G276;1,966;1,716;;;;;;;22.07.2017;;;;;21,96;8,92;69,12;sandy clay loam;1,75;10;22,5;M;1;6,4;27,6;-3,40626304;34,85056601;;;;;;;;;;;;;;;;;;;;;;;
Dry;51;Makao;Dry;Pasture;3;Dry_P3_T3;Open;Green;G227;1,986;1,736;;;1,772;1,621;;;22.07.2017;27.09.2017;67;0,115;6,525000036;21,96;8,92;69,12;sandy clay loam;1,75;3;18;O;0;2,45;34,45;-3,406392038;34,85069602;;;;;;;;;;;;;;;;;;;;;;;
Dry;52;Makao;Dry;Pasture;3;Dry_P3_T4;Open;Green;G237;1,988;1,738;;;1,822;1,671;;;22.07.2017;27.09.2017;67;0,067;6,525000036;21,96;8,92;69,12;sandy clay loam;1,75;13,4;67;M;1;5,75;30,75;-3,406157;34,850739;;;;;;;;;;;;;;;;;;;;;;;
Dry;53;Makao;Dry;Pasture;3;Dry_P3_T5;Open;Green;G172;1,987;1,737;;;1,82;1,669;;;22.07.2017;27.09.2017;67;0,068;6,525000036;21,96;8,92;69,12;sandy clay loam;1,75;;;;;6,5;30,4;-3,406114;34,850596;;;;;;;;;;;;;;;;;;;;;;;
Dry;54;Makao;Dry;Pasture;3;Dry_P3_T6;Open;Green;;;;;;;;;;00.01.1900;;;;;21,96;8,92;69,12;sandy clay loam;1,75;;;;;;;-3,406058019;34,85046602;;;;;;;;;;;;;;;;;;;;;;;
Dry;55;Makao;Dry;Pasture;3;Dry_P3_T7;Open;Green;G86;2,103;1,853;;;1,891;1,741;;;22.07.2017;27.09.2017;67;0,112;6,525000036;21,96;8,92;69,12;sandy clay loam;1,75;15,8;45;M;1;4,8;31,9;-3,406138988;34,85057498;YES;YES;;;;;;;;;;;;;;;;;;;;;
Dry;56;Makao;Dry;Pasture;3;Dry_P3_T8;Open;Green;G107;2,175;1,925;;;2,028;1,877;;;22.07.2017;27.09.2017;67;0,048;6,525000036;21,96;8,92;69,12;sandy clay loam;1,75;15,4;30,8;M;0;8,3;30,05;-3,40629003;34,85044196;;;;;;;;;;;;;;;;;;;;;;;
Dry;57;Makao;Dry;Pasture;4;Dry_P4_T1;Open;Green;G41;1,985;1,735;;;;;;;22.07.2017;27.09.2017;67;;6,525000036;25,96;6,92;67,12;sandy clay loam;1,76;3,3;28,4;O;1;3,95;33,25;-3,406423973;34,85121301;;;;;;;;;;;;;;;;;;;;;;;
Dry;58;Makao;Dry;Pasture;4;Dry_P4_T2;Open;Green;G481;2,053;1,803;;;1,761;1,611;;;22.07.2017;27.09.2017;67;0,193;6,525000036;25,96;6,92;67,12;sandy clay loam;1,76;1,4;54,4;O;0;5,7;32,35;-3,406502008;34,85105602;;YES;;;;;;;;;;;;;;;;;;;;;
Dry;59;Makao;Dry;Pasture;4;Dry_P4_T3;Open;Green;G261;1,985;1,735;;;1,804;1,654;;;22.07.2017;27.09.2017;67;0,082;6,525000036;25,96;6,92;67,12;sandy clay loam;1,76;3,3;46;O;0;7,7;31,8;-3,406235967;34,85110799;;;;;;;;;;;;;;;;;;;;;;;
Dry;60;Makao;Dry;Pasture;4;Dry_P4_T4;Open;Green;G152;2,049;1,799;;;1,87;1,719;;;22.07.2017;27.09.2017;67;0,08;6,525000036;25,96;6,92;67,12;sandy clay loam;1,76;2,4;10,2;O;0;5,65;32,65;-3,406281983;34,85137898;;;;;;;;;;;;;;;;;;;;;;;
Dry;61;Makao;Dry;Pasture;4;Dry_P4_T5;Open;Green;G191;2,059;1,809;;;;;;;22.07.2017;27.09.2017;67;;6,525000036;25,96;6,92;67,12;sandy clay loam;1,76;5,6;34,2;O;0;4,5;34;-3,406569986;34,85132399;;;;;;;;;;;;;;;;;;;;;;;
Dry;62;Makao;Dry;Pasture;4;Dry_P4_T6;Open;Green;;;;;;;;;;00.01.1900;;;;;25,96;6,92;67,12;sandy clay loam;1,76;4,2;40,4;O;0;;;-3,406518018;34,85121402;;;;;;;;;;;;;;;;;;;;;;;
Dry;63;Makao;Dry;Pasture;4;Dry_P4_T7;Open;Green;G49;2,086;1,836;;;1,933;1,782;;;22.07.2017;27.09.2017;67;0,054;6,525000036;25,96;6,92;67,12;sandy clay loam;1,76;4,9;45;O;0;4,75;31,3;-3,406334035;34,85117203;;;;;;;;;;;;;;;;;;;;;;;
Dry;64;Makao;Dry;Pasture;4;Dry_P4_T8;Open;Green;G347;1,892;1,642;;;1,693;1,542;;;22.07.2017;27.09.2017;67;0,1;6,525000036;25,96;6,92;67,12;sandy clay loam;1,76;3;22,8;O;1;5,55;31,5;-3,406340992;34,85126004;;;;;;;;;;;;;;;;;;;;;;;
Dry;65;Maswa;Dry;Wild;1;Dry_W1_T1;Open;Green;G495;2,039;1,789;;;;;;;21.07.2017;27.09.2017;68;;6,900000125;47,96;22,92;29,12;clay;2,88;13,8;13,8;O;1;10,65;28;-3,299396038;34,84824096;;;;;;;;;;;;;;;;;;;;;;;
Dry;66;Maswa;Dry;Wild;1;Dry_W1_T2;Open;Green;G247;2,13;1,88;;;1,985;1,835;;;21.07.2017;27.09.2017;68;0,045;6,900000125;47,96;22,92;29,12;clay;3,88;8;19,8;O;1;10,1;23,6;-3,299309034;34,84840499;YES;YES;;;;;;;;;;;;;;;;;;;;;
Dry;67;Maswa;Dry;Wild;1;Dry_W1_T3;Open;Green;;;;;;;;;;00.01.1900;;;;;47,96;22,92;29,12;clay;4,88;5,5;5,5;O;1;;;-3,299434008;34,84851496;;;;;;;;;;;;;;;;;;;;;;;
Dry;68;Maswa;Dry;Wild;1;Dry_W1_T4;Open;Green;G63;2;1,75;;;1,815;1,665;;;21.07.2017;27.09.2017;68;0,086;6,900000125;47,96;22,92;29,12;clay;5,88;9,7;23,4;O;1;7,75;26,85;-3,29911801;34,84824699;;;;;;;;;;;;;;;;;;;;;;;
Dry;69;Maswa;Dry;Wild;1;Dry_W1_T5;Open;Green;G382;2,096;1,846;;;1,868;1,717;;;21.07.2017;28.09.2017;69;0,129;6,900000125;47,96;22,92;29,12;clay;6,88;14,4;24,4;O;1;7,95;26,55;-3,299318003;34,84823501;;;;;;;;;;;;;;;;;;;;;;;
Dry;70;Maswa;Dry;Wild;1;Dry_W1_T6;Open;Green;G278;2,005;1,755;;;1,824;1,674;;;21.07.2017;28.09.2017;69;0,081;6,900000125;47,96;22,92;29,12;clay;7,88;15;28;O;0;8,8;27,2;-3,299381034;34,84831204;;;;;;;;;;;;;;;;;;;;;;;
Dry;71;Maswa;Dry;Wild;1;Dry_W1_T7;Open;Green;G138;1,956;1,706;;;1,782;1,631;;;21.07.2017;28.09.2017;69;0,075;6,900000125;47,96;22,92;29,12;clay;8,88;15,5;32;O;1;9,95;27,6;-3,299242985;34,84790099;;;;;;;;;;;;;;;;;;;;;;;
Dry;72;Maswa;Dry;Wild;1;Dry_W1_T8;Open;Green;G431;2,08;1,83;;;1,876;1,725;;;21.07.2017;28.09.2017;69;0,105;6,900000125;47,96;22,92;29,12;clay;9,88;2,6;44;O;1;9,5;26,35;-3,299654033;34,84815102;;;;;;;;;;;;;;;;;;;;;;;
Dry;73;Maswa;Dry;Wild;2;Dry_W2_T1;Open;Green;G321;1,918;1,668;;;;;;;21.07.2017;28.09.2017;69;;6,900000125;45,27;23,6;31,12;clay;2,05;9,1;10;M;1;9,55;28,35;-3,302586023;34,84804801;;;;;;;;;;;;;;;;;;;;;;;
Dry;74;Maswa;Dry;Wild;2;Dry_W2_T2;Open;Green;G329;1,955;1,705;;;1,785;1,635;;;21.07.2017;28.09.2017;69;0,071;6,900000125;45,27;23,6;31,12;clay;3,05;7,7;9,4;M;1;10,8;28,1;-3,302577976;34,84804197;;;;;;;;;;;;;;;;;;;;;;;
Dry;75;Maswa;Dry;Wild;2;Dry_W2_T3;Open;Green;G215;2,058;1,808;;;1,915;1,764;;;21.07.2017;28.09.2017;69;0,044;6,900000125;45,27;23,6;31,12;clay;4,05;6,1;13,8;O;0;12,3;27,2;-3,302687025;34,84792697;;YES;;;;;;;;;;;;;;;;;;;;;
Dry;76;Maswa;Dry;Wild;2;Dry_W2_T4;Open;Green;G60;2,123;1,873;;;1,954;1,804;;;21.07.2017;28.09.2017;69;0,07;6,900000125;45,27;23,6;31,12;clay;5,05;6,7;19,3;M;1;11,1;27,75;-3,302456019;34,84787199;;;;;;;;;;;;;;;;;;;;;;;
Dry;77;Maswa;Dry;Wild;2;Dry_W2_T5;Open;Green;;;;;;;;;;00.01.1900;;;;;45,27;23,6;31,12;clay;6,05;3,1;9,8;O;1;;;-3,302328028;34,84822302;;;;;;;;;;;;;;;;;;;;;;;
Dry;78;Maswa;Dry;Wild;2;Dry_W2_T6;Open;Green;G97;2,096;1,846;;;1,765;1,614;;;21.07.2017;28.09.2017;69;0,232;6,900000125;45,27;23,6;31,12;clay;7,05;10,4;15,4;M;1;11,15;28,35;-3,302568002;34,84816703;;YES;;;;;;;;;;;;;;;;;;;;;
Dry;79;Maswa;Dry;Wild;2;Dry_W2_T7;Open;Green;G120;2,045;1,795;;;1,057;0,906;;;21.07.2017;28.09.2017;69;0,889;6,900000125;45,27;23,6;31,12;clay;8,05;3;5;G;1;9,2;26,25;-3,30262701;34,84840801;;;;;;;;;;;;;;;;;;;;;;;
Dry;80;Maswa;Dry;Wild;2;Dry_W2_T8;Open;Green;G24;2,09;1,84;;;1,908;1,758;;;21.07.2017;28.09.2017;69;0,082;6,900000125;45,27;23,6;31,12;clay;9,05;2,7;12,4;O;1;11,75;27,7;-3,302853992;34,847989;;;;;;;;;;;;;;;;;;;;;;;
Dry;81;Maswa;Dry;Wild;3;Dry_W3_T1;Open;Green;G312;2,018;1,768;;;1,798;1,647;;;21.07.2017;28.09.2017;69;0,121;12,56301686;38,69;26,81;34,5;clay loam;2,55;6,2;13,3;O;0;11,85;26,35;-3,295715963;34,852461;;;;;;;;;;;;;;;;;;;;;;;
Dry;82;Maswa;Dry;Wild;3;Dry_W3_T2;Open;Green;G356;1,987;1,737;;;1,777;1,626;;;21.07.2017;28.09.2017;69;0,111;12,56301686;38,69;26,81;34,5;clay loam;3,55;2,4;16,6;O;;9,95;25,5;-3,295723004;34,85241699;;;;;;;;;;;;;;;;;;;;;;;
Dry;83;Maswa;Dry;Wild;3;Dry_W3_T3;Open;Green;G331;2,055;1,805;;;1,836;1,685;;;21.07.2017;28.09.2017;69;0,12;12,56301686;38,69;26,81;34,5;clay loam;4,55;6,4;42;M;1;10,05;26,05;-3,295743037;34,85230903;;YES;;;;;;;;;;;;;;;;;;;;;
Dry;84;Maswa;Dry;Wild;3;Dry_W3_T4;Open;Green;G101;2,173;1,923;;;1,943;1,793;;;21.07.2017;28.09.2017;69;0,13;12,56301686;38,69;26,81;34,5;clay loam;5,55;5,5;55,8;M;1;10,15;26,55;-3,295795005;34,85232001;;YES;;;;;;;;;;;;;;;;;;;;;
