Season;Plot;Site;Region;Landuse;Block;Blockcode;Treatment;Littertype;Teabag code;Initial weight including bag, cord and label (g);Initial weight tea only (g);Ashed subsample percentage controll initial tea only (%);Ashed initial corrected weight  tea only (g);Final weight including bag and cord, no label (g);Final weight  tea only (g);Ashed final subsample percentage  (%);Ashed final corrected weight  tea only (g);Burial date;Recovery date;incubation time red and green tea (days);Massloss (g) Ash Uncorrected;rain.sum (mm);CLAY %;SILT %;SAND %;Soil.Class;OC %;N.D. tree (m);N.D.Mound (m);Mound type;Tree with ants;Moisture %;Temperature (C);Lat;Long;Sign of termite cheeting;Sign of hole(s);Sign of roots ;;;;;;;;;;;;;;;;;;;;
Dry;1;Makao;Dry;Agriculture;1;Dry_Ag1_T1;Open;Green;G407;1,966;1,716;;;1,278;1,127;;;22.07.2017;29.09.2017;69;0,589;6,900000125;12,57;0,97;86,47;loamy sand;1,02;26,4;41;M;1;3,8;26,9;-3,397861;34,837608;;YES;;;;;;;;;;;;;;;;;;;;Keushamp;P.Mueller et al.
Dry;2;Makao;Dry;Agriculture;1;Dry_Ag1_T2;Open;Green;;;;;;;;;;00.01.1900;;;;;12,57;0,97;86,47;loamy sand;2,02;22,4;39,8;M;1;;;-3,397879042;34,83753601;;;;;;;;;;;;;;;;Hydrolysable fraction green tea (Hg);;;;;;0,842;0,933
Dry;3;Makao;Dry;Agriculture;1;Dry_Ag1_T3;Open;Green;G259;1,913;1,663;;;1,596;1,446;;;22.07.2017;29.09.2017;69;0,217;6,900000125;12,57;0,97;86,47;loamy sand;3,02;;;;;3,3;25;-3,397874;34,837579;YES;YES;;;;;;;;;;;;;;Hydrolysable fraction red tea (Hr);;;;;;0,552;0,676
Dry;4;Makao;Dry;Agriculture;1;Dry_Ag1_T4;Open;Green;G255;2,031;1,781;;;1,622;1,471;;;22.07.2017;29.09.2017;69;0,31;6,900000125;12,57;0,97;86,47;loamy sand;4,02;;;;;2,25;27,35;-3,39777804;34,83751204;;;;;;;;;;;;;;;;Weight of bag (Wbag);;;;;;0,1218;
Dry;5;Makao;Dry;Agriculture;1;Dry_Ag1_T5;Open;Green;G122;1,95;1,7;;;;;;;22.07.2017;;;;;12,57;0,97;86,47;loamy sand;5,02;28,4;36,4;M;1;3,2;26,7;-3,397802012;34,83751204;;;;;;;;;;;;;;;;Weight of cord (Wcord);;;;;;0,0288;
Dry;6;Makao;Dry;Agriculture;1;Dry_Ag1_T6;Open;Green;G478;2,056;1,806;;;;;;;22.07.2017;29.09.2017;69;;6,900000125;12,57;0,97;86,47;loamy sand;6,02;32,4;31;M;1;5,35;26,6;-3,39773898;34,83750198;;;;;;;;;;;;;;;;Weight of cord + bag (Wcordandbag);;;;;;0,1506;
Dry;7;Makao;Dry;Agriculture;1;Dry_Ag1_T7;Open;Green;G106;2,123;1,873;;;2,019;1,868;;;22.07.2017;29.09.2017;69;0,005;6,900000125;12,57;0,97;86,47;loamy sand;7,02;36;43,4;M;1;2,95;24,75;-3,397763036;34,83760097;;YES;;;;;;;;;;;;;;Weight of label (Wlabel);;;;;;0,0992;
Dry;8;Makao;Dry;Agriculture;1;Dry_Ag1_T8;Open;Green;G228;1,976;1,726;;;0,833;0,683;;;22.07.2017;29.09.2017;69;1,044;6,900000125;12,57;0,97;86,47;loamy sand;8,02;36;38,4;M;;2,6;26;-3,397732023;34,83756199;;;YES;;;;;;;;;;;;;Correction for handling and drying green tea (FcorrGreen);;;;;;1;
Dry;9;Makao;Dry;Agriculture;2;Dry_Ag2_T1;Open;Green;G277;1,93;1,68;;;1,935;1,784;;;22.07.2017;29.09.2017;69;-0,104;6,900000125;21,13;3,09;75,78;sandy clay loam;0,46;10,8;28,4;M;0;3,3;26,15;-3,397829002;34,83701197;YES;YES;;;;;;;;;;;;;;Correction for handling and drying red tea (FcorrRed);;;;;;1;
Dry;10;Makao;Dry;Agriculture;2;Dry_Ag2_T2;Open;Green;G310;2,046;1,796;;;;;;;22.07.2017;;;;;21,13;3,09;75,78;sandy clay loam;1,46;16,8;30;M;0;1,5;26,1;-3,397811987;34,83696898;;;;;;;;;;;;;;;;;;;;;;;
Dry;11;Makao;Dry;Agriculture;2;Dry_Ag2_T3;Open;Green;G435;2,001;1,751;;;1,793;1,643;;;22.07.2017;29.09.2017;69;0,108;6,900000125;21,13;3,09;75,78;sandy clay loam;2,46;11,4;24,4;M;0;5,3;26,45;-3,39779296;34,837103;YES;YES;;;;;;;;;;;;;;;;;;;;;
Dry;12;Makao;Dry;Agriculture;2;Dry_Ag2_T4;Open;Green;;;;;;;;;;00.01.1900;;;;;21,13;3,09;75,78;sandy clay loam;3,46;;;;;;;-3,397905026;34,83712303;;;;;;;;;;;;;;;;;;;;;;;
Dry;13;Makao;Dry;Agriculture;2;Dry_Ag2_T5;Open;Green;G2;2;1,75;;;1,759;1,608;;;22.07.2017;29.09.2017;69;0,142;6,900000125;21,13;3,09;75,78;sandy clay loam;4,46;11,4;31;M;0;4,8;26,1;-3,39790402;34,83702798;YES;;;;;;;;;;;;;;;;;;;;;;
Dry;14;Makao;Dry;Agriculture;2;Dry_Ag2_T6;Open;Green;G225;2,117;1,867;;;1,25;1,099;;;22.07.2017;29.09.2017;69;0,768;6,900000125;21,13;3,09;75,78;sandy clay loam;5,46;28,4;42,4;M;0;3,4;25,55;-3,397854986;34,83687401;;YES;;;;;;;;;;;;;;;;;;;;;
Dry;15;Makao;Dry;Agriculture;2;Dry_Ag2_T7;Open;Green;G444;2,026;1,776;;;1,358;1,207;;;22.07.2017;29.09.2017;69;0,569;6,900000125;21,13;3,09;75,78;sandy clay loam;6,46;15,8;30,4;M;0;3,1;28;-3,397806035;34,83702396;YES;YES;;;;;;;;;;;;;;;;;;;;;
Dry;16;Makao;Dry;Agriculture;2;Dry_Ag2_T8;Open;Green;G376;2,033;1,783;;;;;;;22.07.2017;29.09.2017;69;;6,900000125;21,13;3,09;75,78;sandy clay loam;7,46;8;12,4;M;0;9,2;27,05;-3,397766976;34,83718104;YES;YES;;;;;;;;;;;;;;;;;;;;;
Dry;17;Makao;Dry;Agriculture;3;Dry_Ag3_T1;Open;Green;G209;2,116;1,866;;;1,909;1,758;;;20.07.2017;29.09.2017;71;0,108;6,900000125;54,08;21,26;24,65;clay;1,84;;;;;12,9;26,2;-3,385409033;34,81890103;;;;;;;;;;;;;;;;;;;;;;;
Dry;18;Makao;Dry;Agriculture;3;Dry_Ag3_T2;Open;Green;G10;1,971;1,721;;;1,771;1,62;;;20.07.2017;29.09.2017;71;0,101;6,900000125;54,08;21,26;24,65;clay;2,84;;;;;11,15;26,1;-3,385375002;34,81894;;;;;;;;;;;;;;;;;;;;;;;
Dry;19;Makao;Dry;Agriculture;3;Dry_Ag3_T3;Open;Green;G190;1,909;1,659;;;1,704;1,554;;;20.07.2017;29.09.2017;71;0,106;6,900000125;54,08;21,26;24,65;clay;3,84;;;;;15,75;25,7;-3,385358993;34,81899197;;YES;;;;;;;;;;;;;;;;;;;;;
Dry;20;Makao;Dry;Agriculture;3;Dry_Ag3_T4;Open;Green;G38;1,93;1,68;;;1,674;1,523;;;20.07.2017;29.09.2017;71;0,157;6,900000125;54,08;21,26;24,65;clay;4,84;;;;;16;26,3;-3,385396963;34,81897797;;YES;;;;;;;;;;;;;;;;;;;;;
Dry;21;Makao;Dry;Agriculture;3;Dry_Ag3_T5;Open;Green;G468;2,131;1,881;;;;;;;20.07.2017;29.09.2017;71;;6,900000125;54,08;21,26;24,65;clay;5,84;;;;;13,2;26,1;-3,385401992;34,81894604;;;;;;;;;;;;;;;;;;;;;;;
Dry;22;Makao;Dry;Agriculture;3;Dry_Ag3_T6;Open;Green;G8;2,021;1,771;;;1,472;1,322;;;20.07.2017;29.09.2017;71;0,45;6,900000125;54,08;21,26;24,65;clay;6,84;;;;;19,05;25,75;-3,385447003;34,81894696;;;;;;;;;;;;;;;;;;;;;;;
Dry;23;Makao;Dry;Agriculture;3;Dry_Ag3_T7;Open;Green;;;;;;;;;;00.01.1900;;;;;54,08;21,26;24,65;clay;7,84;;;;;;;-3,385420013;34,81885602;;;;;;;;;;;;;;;;;;;;;;;
Dry;24;Makao;Dry;Agriculture;3;Dry_Ag3_T8;Open;Green;G320;2,044;1,794;;;1,753;1,602;;;20.07.2017;29.09.2017;71;0,192;6,900000125;54,08;21,26;24,65;clay;8,84;;;;;15,6;25,5;-3,385382965;34,81887798;;;;;;;;;;;;;;;;;;;;;;;
