"","Season","Region","Site","Landuse","Block","Termite.effect"
"1","Wet","Dry","Makao","Agriculture",1,6.52000601999391
"2","Wet","Wet","Mwantimba","Agriculture",1,11.2870528887856
"3","Wet","Dry","Makao","Pasture",1,22.3260035152081
"4","Wet","Wet","Mwantimba","Pasture",1,23.6105003068949
"5","Wet","Wet","Handajega","Wild",1,8.88047892064769
"6","Wet","Dry","Maswa","Wild",1,9.57342497194905
"7","Wet","Intermediate","Seronera","Wild",1,5.5690161134466
"8","Wet","Dry","Makao","Agriculture",2,24.1869774262898
"9","Wet","Wet","Mwantimba","Agriculture",2,3.06660033336381
"10","Wet","Dry","Makao","Pasture",2,3.27762493618386
"11","Wet","Wet","Mwantimba","Pasture",2,19.4031883837813
"12","Wet","Wet","Handajega","Wild",2,23.5116156433163
"13","Wet","Dry","Maswa","Wild",2,51.4248044392759
"14","Wet","Intermediate","Seronera","Wild",2,2.8522578413415
"15","Wet","Dry","Makao","Agriculture",3,2.67559480450222
"16","Wet","Wet","Mwantimba","Agriculture",3,52.3546200450481
"17","Wet","Dry","Makao","Pasture",3,21.5128755341479
"18","Wet","Wet","Mwantimba","Pasture",3,5.22616989043293
"19","Wet","Wet","Handajega","Wild",3,11.5784130443374
"20","Wet","Dry","Maswa","Wild",3,25.7120726092329
"21","Wet","Intermediate","Seronera","Wild",3,3.4767615236286
"22","Wet","Dry","Makao","Agriculture",4,2.4717830990986
"23","Wet","Wet","Mwantimba","Agriculture",4,17.6154015109409
"24","Wet","Dry","Makao","Pasture",4,19.2391538829542
"25","Wet","Wet","Mwantimba","Pasture",4,19.1167223363316
"26","Wet","Wet","Handajega","Wild",4,7.86506432811538
"27","Wet","Dry","Maswa","Wild",4,46.5817309623253
"28","Wet","Intermediate","Seronera","Wild",4,3.2847656809822
