plotcode,latitude,longitude,year,month,day,time,plot.ID,area,block,block.rep,landuse,n_vs_non.N,Moisture.m3.m3
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,3,00:00:00,13,Makao,3,3,pasture,legume,0.407
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,3,03:00:00,13,Makao,3,3,pasture,legume,0.405
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,3,06:00:00,13,Makao,3,3,pasture,legume,0.403
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,3,09:00:00,13,Makao,3,3,pasture,legume,0.402
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,3,12:00:00,13,Makao,3,3,pasture,legume,0.401
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,3,15:00:00,13,Makao,3,3,pasture,legume,0.402
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,3,18:00:00,13,Makao,3,3,pasture,legume,0.402
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,3,21:00:00,13,Makao,3,3,pasture,legume,0.401
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,4,00:00:00,13,Makao,3,3,pasture,legume,0.400
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,4,03:00:00,13,Makao,3,3,pasture,legume,0.398
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,4,06:00:00,13,Makao,3,3,pasture,legume,0.397
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,4,09:00:00,13,Makao,3,3,pasture,legume,0.397
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,4,12:00:00,13,Makao,3,3,pasture,legume,0.397
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,4,15:00:00,13,Makao,3,3,pasture,legume,0.396
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,4,18:00:00,13,Makao,3,3,pasture,legume,0.397
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,4,21:00:00,13,Makao,3,3,pasture,legume,0.395
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,5,00:00:00,13,Makao,3,3,pasture,legume,0.394
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,5,03:00:00,13,Makao,3,3,pasture,legume,0.392
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,5,06:00:00,13,Makao,3,3,pasture,legume,0.390
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,5,09:00:00,13,Makao,3,3,pasture,legume,0.389
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,5,12:00:00,13,Makao,3,3,pasture,legume,0.389
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,5,15:00:00,13,Makao,3,3,pasture,legume,0.389
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,5,18:00:00,13,Makao,3,3,pasture,legume,0.389
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,5,21:00:00,13,Makao,3,3,pasture,legume,0.389
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,6,00:00:00,13,Makao,3,3,pasture,legume,0.385
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,6,03:00:00,13,Makao,3,3,pasture,legume,0.382
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,6,06:00:00,13,Makao,3,3,pasture,legume,0.379
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,6,09:00:00,13,Makao,3,3,pasture,legume,0.376
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,6,12:00:00,13,Makao,3,3,pasture,legume,0.373
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,6,15:00:00,13,Makao,3,3,pasture,legume,0.372
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,6,18:00:00,13,Makao,3,3,pasture,legume,0.371
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,6,21:00:00,13,Makao,3,3,pasture,legume,0.369
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,7,00:00:00,13,Makao,3,3,pasture,legume,0.364
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,7,03:00:00,13,Makao,3,3,pasture,legume,0.361
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,7,06:00:00,13,Makao,3,3,pasture,legume,0.358
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,7,09:00:00,13,Makao,3,3,pasture,legume,0.354
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,7,12:00:00,13,Makao,3,3,pasture,legume,0.351
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,7,15:00:00,13,Makao,3,3,pasture,legume,0.349
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,7,18:00:00,13,Makao,3,3,pasture,legume,0.348
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,7,21:00:00,13,Makao,3,3,pasture,legume,0.347
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,8,00:00:00,13,Makao,3,3,pasture,legume,0.343
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,8,03:00:00,13,Makao,3,3,pasture,legume,0.339
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,8,06:00:00,13,Makao,3,3,pasture,legume,0.336
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,8,09:00:00,13,Makao,3,3,pasture,legume,0.333
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,8,12:00:00,13,Makao,3,3,pasture,legume,0.331
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,8,15:00:00,13,Makao,3,3,pasture,legume,0.329
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,8,18:00:00,13,Makao,3,3,pasture,legume,0.329
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,8,21:00:00,13,Makao,3,3,pasture,legume,0.329
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,9,00:00:00,13,Makao,3,3,pasture,legume,0.326
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,9,03:00:00,13,Makao,3,3,pasture,legume,0.323
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,9,06:00:00,13,Makao,3,3,pasture,legume,0.321
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,9,09:00:00,13,Makao,3,3,pasture,legume,0.318
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,9,12:00:00,13,Makao,3,3,pasture,legume,0.316
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,9,15:00:00,13,Makao,3,3,pasture,legume,0.314
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,9,18:00:00,13,Makao,3,3,pasture,legume,0.314
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,9,21:00:00,13,Makao,3,3,pasture,legume,0.314
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,10,00:00:00,13,Makao,3,3,pasture,legume,0.311
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,10,03:00:00,13,Makao,3,3,pasture,legume,0.309
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,10,06:00:00,13,Makao,3,3,pasture,legume,0.306
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,10,09:00:00,13,Makao,3,3,pasture,legume,0.304
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,10,12:00:00,13,Makao,3,3,pasture,legume,0.302
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,10,15:00:00,13,Makao,3,3,pasture,legume,0.301
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,10,18:00:00,13,Makao,3,3,pasture,legume,0.301
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,10,21:00:00,13,Makao,3,3,pasture,legume,0.301
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,11,00:00:00,13,Makao,3,3,pasture,legume,0.298
