site,protect,area,landuse,block,date,month,year,wild_broswer,wild_grazer,live_broswer,live_grazer,distance_pa_boundary.km,rain.region,total_dung,livgrazer_prop
1,UP,Makao,pasture,1,19/05/2016,6,2016,0,0,0,0,-3.36,dry,0,
2,UP,Makao,pasture,2,20/05/2016,6,2016,1,1,0,3,-3.78,dry,5,0.6
3,UP,Makao,pasture,3,20/05/2016,6,2016,1,1,1,1,-3.51,dry,4,0.25
4,UP,Makao,pasture,4,20/05/2016,6,2016,0,0,3,7,-4.09,dry,10,0.7
5,PA,MakaoWMA,wild,5,23/05/2016,6,2016,1,1,0,0,0.52,dry,2,0
6,PA,MakaoWMA,wild,6,23/05/2016,6,2016,1,2,0,0,0.49,dry,3,0
7,PA,MakaoWMA,wild,7,23/05/2016,6,2016,0,0,0,0,0.67,dry,0,
8,PA,MakaoWMA,wild,8,24/05/2016,6,2016,1,1,0,0,0.38,dry,2,0
9,PA,Maswa,illegal,9,21/05/2016,6,2016,4,4,0,0,0.61,dry,8,0
10,PA,Maswa,illegal,10,22/05/2016,6,2016,0,2,0,1,1.03,dry,3,0.333333333
11,PA,Maswa,illegal,11,22/05/2016,6,2016,0,0,0,0,1.14,dry,0,
12,PA,Maswa,illegal,12,22/05/2016,6,2016,1,5,0,0,1.04,dry,6,0
13,PA,Maswa,wild,13,21/05/2016,6,2016,0,0,0,0,9.16,dry,0,
14,PA,Maswa,wild,14,21/05/2016,6,2016,2,4,0,0,9.09,dry,6,0
15,PA,Maswa,wild,15,21/05/2016,6,2016,0,3,0,0,8.82,dry,3,0
16,PA,Maswa,wild,16,21/05/2016,6,2016,0,0,0,0,8.54,dry,0,
17,UP,Mwantimba,pasture common,17,11/06/2016,6,2016,0,0,0,10,-0.41,wet,10,1
17,UP,Mwantimba,pasture common,17,30/06/2016,6,2016,0,0,2,43,-0.41,wet,45,0.955555556
18,UP,Mwantimba,pasture common,18,13/06/2016,6,2016,0,0,0,16,-0.2,wet,16,1
18,UP,Mwantimba,pasture common,18,30/06/2016,6,2016,0,0,1,68,-0.2,wet,69,0.985507246
19,UP,Mwantimba,pasture common,19,13/06/2016,6,2016,0,0,0,14,-0.11,wet,14,1
19,UP,Mwantimba,pasture common,19,30/06/2016,6,2016,0,0,1,56,-0.11,wet,57,0.98245614
20,UP,Mwantimba,pasture common,20,13/06/2016,6,2016,0,0,0,19,-0.06,wet,19,1
20,UP,Mwantimba,pasture common,20,30/06/2016,6,2016,0,0,2,55,-0.06,wet,57,0.964912281
21,UP,Mwantimba,pasture,21,10/06/2016,6,2016,0,0,4,13,-5.1,wet,17,0.764705882
21,UP,Mwantimba,pasture,21,30/06/2016,6,2016,0,0,23,36,-5.1,wet,59,0.610169492
22,UP,Mwantimba,pasture,22,15/06/2016,6,2016,0,0,0,4,-4.92,wet,4,1
22,UP,Mwantimba,pasture,22,30/06/2016,6,2016,0,0,11,14,-4.92,wet,25,0.56
23,UP,Mwantimba,pasture,23,10/06/2016,6,2016,0,0,0,1,-5.95,wet,1,1
23,UP,Mwantimba,pasture,23,30/06/2016,6,2016,0,0,0,1,-5.95,wet,1,1
24,UP,Mwantimba,pasture,24,10/06/2016,6,2016,0,0,0,4,-5.93,wet,4,1
24,UP,Mwantimba,pasture,24,30/06/2016,6,2016,0,0,0,3,-5.93,wet,3,1
25,PA,SNP,illegal,25,14/06/2016,6,2016,0,3,0,17,0.29,wet,20,0.85
26,PA,SNP,illegal,26,14/06/2016,6,2016,0,0,0,17,0.39,wet,17,1
27,PA,SNP,illegal,27,14/06/2016,6,2016,0,0,0,7,0.44,wet,7,1
28,PA,SNP,illegal,28,14/06/2016,6,2016,0,0,0,6,0.59,wet,6,1
29,PA,SNP,wild,29,12/06/2016,6,2016,0,5,0,0,0.58,wet,5,0
