Mound density;;;;;;;
Region;Landuse;Site;WP;Type (M, O, G);Latitue;Longitude;Comment
SNP;Prot.Area;W1;1044;G;-2.272647014;34.02372404;
SNP;Prot.Area;W1;1045;O;-2.272237977;34.02352799;
SNP;Prot.Area;W1;1046;M;-2.272410979;34.02324501;
SNP;Prot.Area;W1;1047;M;-2.272578031;34.02293597;
SNP;Prot.Area;W1;1048;O;-2.272837032;34.02303002;
SNP;Prot.Area;W1;1049;M;-2.272997964;34.02295299;
SNP;Prot.Area;W2;1050;G;-2.277988968;34.02431798;
SNP;Prot.Area;W2;1051;M;-2.278323993;34.02397801;
SNP;Prot.Area;W2;1052;O;-2.278541001;34.02388799;
SNP;Prot.Area;W2;1053;O;-2.27867201;34.02410399;
SNP;Prot.Area;W2;1054;G;-2.278887006;34.02453298;
SNP;Prot.Area;W2;1055;O;-2.278357018;34.02451303;
SNP;Prot.Area;W2;1056;O;-2.278472017;34.024437;
SNP;Prot.Area;W2;1057;O;-2.27853396;34.02431999;
SNP;Prot.Area;W3;1030;O;-2.278288035;34.02752297;
SNP;Prot.Area;W3;1031;G;-2.278471012;34.02709801;
SNP;Prot.Area;W3;1032;O;-2.277592001;34.02724796;
SNP;Prot.Area;W3;1033;G;-2.277873969;34.02731501;
SNP;Prot.Area;W3;1034;O;-2.277912023;34.02783;
SNP;Prot.Area;W3;1035;G;-2.277444983;34.02802999;
SNP;Prot.Area;W3;1036;M;-2.277132003;34.02745499;
SNP;Prot.Area;W3;1037;M;-2.277261;34.02704202;
SNP;Prot.Area;W4;1038;G;-2.279410036;34.03202397;
SNP;Prot.Area;W4;1039;M;-2.279673982;34.03213897;
SNP;Prot.Area;W4;1040;O;-2.27929797;34.032432;
SNP;Prot.Area;W4;1041;O;-2.279105019;34.03265404;
SNP;Prot.Area;W4;1042;O;-2.278850963;34.03242798;
SNP;Prot.Area;W4;1043;O;-2.278392976;34.032173;
Mwantimba;Pasture;P1;1078;O;-2.350525036;34.049646;
Mwantimba;Pasture;P1;1079;O;-2.350081969;34.04972898;
Mwantimba;Pasture;P1;1080;O;-2.350063026;34.04940703;
Mwantimba;Pasture;P1;1081;O;-2.350357985;34.04945598;
Mwantimba;Pasture;P1;1082;O;-2.350377012;34.04964298;
Mwantimba;Pasture;P2;1083;O;-2.348873969;34.04989896;
Mwantimba;Pasture;P2;1084;O;-2.348526036;34.04970601;
Mwantimba;Pasture;P2;1085;O;-2.34831498;34.05007297;
Mwantimba;Pasture;P3;1058;M;-2.36766804;34.06017099;
Mwantimba;Pasture;P3;1059;M;-2.367816987;34.06078496;
Mwantimba;Pasture;P3;1060;O;-2.367361011;34.06060802;
Mwantimba;Pasture;P3;1061;O;-2.367253974;34.06037198;
Mwantimba;Pasture;P3;1062;O;-2.367197983;34.06037701;
Mwantimba;Pasture;P3;1063;O;-2.367299991;34.06024902;
Mwantimba;Pasture;P3;1064;O;-2.367396969;34.06031197;
Mwantimba;Pasture;P4;1065;G;-2.367705004;34.05922098;
Mwantimba;Pasture;P4;1068;O;-2.367887981;34.05931301;
Mwantimba;Pasture;P4;1069;O;-2.367745992;34.05957797;
Mwantimba;Pasture;P4;1070;O;-2.367703998;34.05974996;
Mwantimba;Pasture;P4;1071;M;-2.367660999;34.05987603;
Mwantimba;Pasture;P4;1072;O;-2.367597967;34.05960998;
Mwantimba;Pasture;P4;1073;G;-2.367454972;34.05954301;
Mwantimba;Agriculture;A1;1074;G;-2.369272001;34.06033401;
Mwantimba;Agriculture;A1;1075;M;-2.369158007;34.05997502;
Mwantimba;Agriculture;A2;1076;M;-2.369709034;34.05988097;
Mwantimba;Agriculture;A3+A4;1086;O;-2.348880004;34.05094796;
Maswa;Prot.Area;W1;1097;O;-3.298951965;34.84810299;
Maswa;Prot.Area;W1;1098;O;-3.299530987;34.84802403;
Maswa;Prot.Area;W1;1099;O;-3.299497962;34.84813602;
Maswa;Prot.Area;W1;1100;O;-3.299514977;34.84858504;
Maswa;Prot.Area;W1;1101;O;-3.299235022;34.84858202;
Maswa;Prot.Area;W2;1112;O;-3.302249992;34.848291;
Maswa;Prot.Area;W2;1113;O;-3.302359963;34.848492;
Maswa;Prot.Area;W2;1114;G;-3.302657017;34.84845403;
Maswa;Prot.Area;W2;1115;O;-3.302839994;34.84828002;
Maswa;Prot.Area;W2;1116;O;-3.303024983;34.84800501;
Maswa;Prot.Area;W2;1117;O;-3.302815016;34.84788104;
Maswa;Prot.Area;W2;1118;M;-3.302491978;34.84805396;
Maswa;Prot.Area;W3;1119;O;-3.296025004;34.852433;
Maswa;Prot.Area;W3;1120;O;-3.295567017;34.85239503;
Maswa;Prot.Area;W3;1121;O;-3.295631977;34.85226796;
Maswa;Prot.Area;W3;1122;O;-3.295977982;34.85224801;
Maswa;Prot.Area;W4;1123;O;-3.296629004;34.85411298;
Maswa;Prot.Area;W4;1124;O;-3.296721037;34.85398298;
Maswa;Prot.Area;W4;1125;O;-3.296838971;34.85410896;
Maswa;Prot.Area;W4;1126;G;-3.296954976;34.85434701;
Maswa;Prot.Area;W4;1127;O;-3.296669992;34.85460701;
Makao;Pasture;P1;1137;G;-3.409237023;34.85294899;
Makao;Pasture;P1;1138;O;-3.409371972;34.85244197;
Makao;Pasture;P1;1139;M;-3.409251021;34.85221004;
Makao;Pasture;P1;1140;O;-3.409121018;34.85288797;
Makao;Pasture;P1;1141;M;-3.408824969;34.85258899;
Makao;Pasture;P2;1143;G;-3.408495979;34.85025597;
Makao;Pasture;P2;1144;G;-3.408527998;34.85006503;
Makao;Pasture;P2;1145;M;-3.408054002;34.850449;
Makao;Pasture;P2;1146;O;-3.408104964;34.85055696;
Makao;Pasture;P3;1153;M;-3.406297993;34.85015304;
Makao;Pasture;P3;1154;O;-3.406556994;34.85060097;
Makao;Pasture;P4;1152;O;-3.406220041;34.85142902;
Makao;Agriculture;A1+A2;1155;M;-3.397709979;34.83723099;
Makao;Agriculture;A3+A4;;;;;No mounds
