Slice,Count,Total Area,Average Size,%Area
1,1,1131,1131.000,10.080
2,5,724,144.800,6.453
3,8,299,37.375,2.665
4,18,901,50.056,8.030
5,5,1802,360.400,16.061
6,8,1245,155.625,11.096
7,13,953,73.308,8.494
8,1,1002,1002.000,8.930
9,10,2062,206.200,18.378
10,2,321,160.500,2.861
11,6,1294,215.667,11.533
12,4,695,173.750,6.194
13,2,420,210.000,3.743
14,2,458,229.000,4.082
15,7,1049,149.857,9.349
16,2,1009,504.500,8.993
17,3,586,195.333,5.223
18,2,3696,1848.000,32.941
19,4,787,196.750,7.014
20,4,450,112.500,4.011
21,6,1038,173.000,9.251
22,3,624,208.000,5.561
23,11,668,60.727,5.954
24,8,893,111.625,7.959
25,9,1488,165.333,13.262
26,3,805,268.333,7.175
27,4,778,194.500,6.934
28,9,1891,210.111,16.854
29,5,1672,334.400,14.902
30,4,800,200.000,7.130
31,4,1293,323.250,11.524
32,8,1385,173.125,12.344
33,5,1115,223.000,9.938
34,2,191,95.500,1.702
35,2,458,229.000,4.082
36,3,561,187.000,5.000
37,6,428,71.333,3.815
38,40,760,19.000,6.774
39,13,272,20.923,2.424
40,23,814,35.391,7.255
41,23,549,23.870,4.893
42,26,634,24.385,5.651
43,36,1017,28.250,9.064
44,21,425,20.238,3.788
45,6,1517,252.833,13.520
46,9,978,108.667,8.717
47,5,592,118.400,5.276
48,3,913,304.333,8.137
49,7,129,18.429,1.150
50,9,1228,136.444,10.945
51,2,277,138.500,2.469
52,5,991,198.200,8.832
53,6,1928,321.333,17.184
54,9,1549,172.111,13.806
55,2,393,196.500,3.503
56,5,575,115.000,5.125
57,3,212,70.667,1.889
58,2,1018,509.000,9.073
59,4,983,245.750,8.761
60,8,866,108.250,7.718
61,6,1103,183.833,9.831
62,1,209,209.000,1.863
63,4,463,115.750,4.127
64,4,576,144.000,5.134
65,8,2411,301.375,21.488
66,7,1750,250.000,15.597
67,6,1358,226.333,12.103
68,1,653,653.000,5.820
69,1,99,99.000,0.882
70,7,617,88.143,5.499
71,6,664,110.667,5.918
72,1,162,162.000,1.444
73,1,699,699.000,6.230
74,7,1544,220.571,13.761
75,8,225,28.125,2.005
76,2,342,171.000,3.048
77,3,675,225.000,6.016
78,4,489,122.250,4.358
79,6,1357,226.167,12.094
80,4,1179,294.750,10.508
81,8,1029,128.625,9.171
82,4,610,152.500,5.437
83,7,681,97.286,6.070
84,4,534,133.500,4.759
85,10,1125,112.500,10.027
86,6,1864,310.667,16.613
87,5,832,166.400,7.415
88,1,593,593.000,5.285
89,7,223,31.857,1.988
90,4,327,81.750,2.914
91,6,424,70.667,3.779
92,5,387,77.400,3.449
93,5,700,140.000,6.239
94,4,452,113.000,4.029
95,4,230,57.500,2.050
96,6,1378,229.667,12.282
97,4,800,200.000,7.130
98,1,302,302.000,2.692
99,7,328,46.857,2.923
100,2,495,247.500,4.412
101,4,1535,383.750,13.681
102,2,516,258.000,4.599
103,3,585,195.000,5.214
104,8,776,97.000,6.916
105,1,824,824.000,7.344
106,3,1812,604.000,16.150
107,3,814,271.333,7.255
108,6,314,52.333,2.799
109,1,360,360.000,3.209
110,5,1153,230.600,10.276
