Slice,Count,Total Area,Average Size,%Area
1,1,135,135.000,0.267
2,1,328,328.000,0.648
3,4,526,131.500,1.039
4,1,265,265.000,0.523
5,2,373,186.500,0.737
6,3,1026,342.000,2.027
7,5,472,94.400,0.932
8,4,1220,305.000,2.410
9,4,239,59.750,0.472
10,3,403,134.333,0.796
11,7,1226,175.143,2.422
12,4,673,168.250,1.329
13,1,347,347.000,0.685
14,8,939,117.375,1.855
15,4,843,210.750,1.665
16,3,1139,379.667,2.250
17,2,551,275.500,1.088
18,3,462,154.000,0.913
19,15,1173,78.200,2.317
20,4,652,163.000,1.288
21,4,230,57.500,0.454
22,6,487,81.167,0.962
23,3,247,82.333,0.488
24,1,469,469.000,0.926
25,5,507,101.400,1.001
26,1,279,279.000,0.551
27,3,1007,335.667,1.989
28,1,437,437.000,0.863
29,6,668,111.333,1.320
30,2,162,81.000,0.320
31,1,303,303.000,0.599
32,2,440,220.000,0.869
33,2,559,279.500,1.104
34,1,272,272.000,0.537
35,2,2524,1262.000,4.986
36,2,338,169.000,0.668
37,4,435,108.750,0.859
38,2,374,187.000,0.739
39,3,469,156.333,0.926
40,4,243,60.750,0.480
41,4,264,66.000,0.521
42,2,569,284.500,1.124
43,1,256,256.000,0.506
44,1,178,178.000,0.352
45,4,495,123.750,0.978
46,3,362,120.667,0.715
47,8,509,63.625,1.005
48,6,503,83.833,0.994
49,8,1325,165.625,2.617
50,6,543,90.500,1.073
51,2,444,222.000,0.877
52,4,833,208.250,1.645
53,5,708,141.600,1.399
54,1,167,167.000,0.330
55,5,661,132.200,1.306
56,3,615,205.000,1.215
57,9,628,69.778,1.240
58,2,535,267.500,1.057
59,3,561,187.000,1.108
60,1,905,905.000,1.788
61,4,521,130.250,1.029
62,5,412,82.400,0.814
63,1,420,420.000,0.830
64,3,444,148.000,0.877
65,5,493,98.600,0.974
66,1,213,213.000,0.421
67,3,131,43.667,0.259
68,4,1096,274.000,2.165
69,5,645,129.000,1.274
70,3,381,127.000,0.753
71,6,566,94.333,1.118
72,2,515,257.500,1.017
73,3,384,128.000,0.759
74,1,535,535.000,1.057
75,1,530,530.000,1.047
76,2,589,294.500,1.163
77,5,646,129.200,1.276
78,3,1140,380.000,2.252
79,2,349,174.500,0.689
80,6,435,72.500,0.859
81,5,296,59.200,0.585
82,6,454,75.667,0.897
83,1,426,426.000,0.841
84,3,893,297.667,1.764
85,4,593,148.250,1.171
86,2,339,169.500,0.670
87,3,365,121.667,0.721
88,3,381,127.000,0.753
89,2,271,135.500,0.535
90,3,333,111.000,0.658
91,2,159,79.500,0.314
92,3,412,137.333,0.814
93,3,407,135.667,0.804
94,2,487,243.500,0.962
95,5,338,67.600,0.668
96,5,1010,202.000,1.995
97,2,1519,759.500,3.000
98,1,564,564.000,1.114
99,2,673,336.500,1.329
100,7,612,87.429,1.209
101,6,787,131.167,1.555
102,2,577,288.500,1.140
103,9,1107,123.000,2.187
104,1,160,160.000,0.316
105,4,663,165.750,1.310
106,2,446,223.000,0.881
107,5,799,159.800,1.578
108,1,355,355.000,0.701
109,5,431,86.200,0.851
110,5,337,67.400,0.666
