;Using threshold 170-255;;Using threshold 230-255;;Using threshold 170-255;;Using threshold 230-255;;;;;
Slice;Total Area of the rooibos leaf (nr of pixels);Total Area of the green leaf (nr of pixels);Total Area of the rooibos leaf (nr of pixels);Total Area of the green leaf (nr of pixels);Area (mm^2) leaf rooibos;Area (mm^2) leaf green;Area (mm^2) leaf rooibos;Area (mm^2) leaf green;Convertion factors;;;
72;401;91;;;3.22;0.73;;;;;;
73;277;559;;;2.22;4.49;;;;;;
74;411;1302;;;3.3;10.46;;;;;;
75;459;153;;;3.69;1.23;;;;;;
76;507;287;;;4.07;2.3;;;;;;
77;565;596;;;4.54;4.79;;;;;;
78;799;421;;;6.42;3.38;;;;;;
79;250;1149;;;2.01;9.23;;;;;;
80;307;1025;;;2.47;8.23;;;;;;
81;232;898;;;1.86;7.21;;;;;;
82;378;526;;;3.04;4.22;;;;;;
83;315;563;;;2.53;4.52;;;;;;
84;747;392;;;6;3.15;;;;;;
85;456;921;;;3.66;7.4;;;;;;
86;246;1562;;;1.98;12.54;;;;;;
87;244;718;;;1.96;5.77;;;;;;
88;302;487;;;2.43;3.91;;;;;;
89;210;185;;;1.69;1.49;;;;;;
90;282;276;;;2.26;2.22;;;;;;
91;118;333;;;0.95;2.67;;;;;;
92;275;328;;;2.21;2.63;;;;;;
93;344;592;;;2.76;4.75;;;;;;
94;256;321;;;2.06;2.58;;;;;;
95;245;124;;;1.97;1;;;;;;
96;708;1141;;;5.69;9.16;;;;;;
97;1146;640;;;9.2;5.14;;;;;;
98;379;256;;;3.04;2.06;;;;;;
99;546;291;;;4.38;2.34;;;;;;
100;399;423;;;3.2;3.4;;;;;;
101;670;1377;;;5.38;11.06;;;;;;
102;377;423;;;3.03;3.4;;;;;;
103;691;463;;;5.55;3.72;;;;;;
104;86;668;;;0.69;5.36;;;;;;
105;528;631;;;4.24;5.07;;;;;;
106;339;1531;;;2.72;12.3;;;;;;
107;642;603;;;5.16;4.84;;;;;;
108;293;242;;;2.35;1.94;;;;;;
109;341;304;;;2.74;2.44;;;;;;
110;216;1028;;;1.73;8.26;;;;;;
Mean;;;;;3.35;5.65;;;;;;
SD;;;;;2.188353261;3.904010209;;;;;;
SE;;;;;0.208651297;0.372232768;;;;;;
