"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate",""
"1","Woody","landuseWild",0.0575,0.033,5,1.7407,0.1422,0.4835,""
"2","Woody","CSand",-0.0221,0.0093,100,-2.3783,0.0193,-0.3763,"*"
"3","DW","landuseWild",0.0595,0.0144,5,4.1313,0.0091,0.4341,"**"
"4","Herbaceous","CFire_frequency.2000_2017",-0.0193,0.002,65,-9.5446,0,-1.018,"***"
"5","Herbaceous","MinN.kg_m2",0.0201,0.0097,65,2.084,0.0411,0.1178,"*"
"6","MinC.kg_m2","AhorC.kg_m2",0.5553,0.224,80,2.4797,0.0153,0.2088,"*"
"7","MinC.kg_m2","CSand",-0.3603,0.1602,19,-2.2492,0.0366,-0.3417,"*"
"8","CFire_frequency.2000_2017","Woody",2.4529,0.8429,95,2.91,0.0045,0.1585,"**"
"9","CFire_frequency.2000_2017","DW",-1.8284,0.5598,95,-3.266,0.0015,-0.1363,"**"
"10","CShrubbiness2","CMAP.mm_yr",0.6955,0.3811,99,1.8249,0.071,0.6921,""
"11","CShrubbiness2","CSand",-0.5343,0.1326,99,-4.0295,1e-04,-0.5403,"***"
"12","AhorN.kg_m2","CSand",-0.0137,0.0037,18,-3.7168,0.0016,-0.4385,"**"
"13","AhorN.kg_m2","CMAP.mm_yr",-0.0098,0.004,18,-2.4437,0.0251,-0.3072,"*"
"14","MinN.kg_m2","CSand",-0.0507,0.0145,19,-3.494,0.0024,-0.5019,"**"
"15","~~landuse","~~CMAP.mm_yr",-0.1069,NA,106,-1.1068,0.2709,-0.1069,""
"16","~~landuse","~~CSand",-0.1151,NA,106,-1.1934,0.2354,-0.1151,""
"17","~~CShrubbiness2","~~Woody",0.0409,NA,108,0.4192,0.338,0.0409,""
"18","~~AhorC.kg_m2","~~MinN.kg_m2",0.0294,NA,108,0.3017,0.3817,0.0294,""
"19","~~MinC.kg_m2","~~MinN.kg_m2",0.8675,NA,108,17.8724,0,0.8675,"***"
"20","~~AhorC.kg_m2","~~AhorN.kg_m2",0.0096,NA,108,0.0985,0.4608,0.0096,""
"21","~~MinC.kg_m2","~~AhorN.kg_m2",-0.1271,NA,108,-1.3128,0.0961,-0.1271,""
