ID,Region,Site,Block,Circle,Block.ID,Horizon,Sample_Depth.cm,Volume.cm3,Intended_sample_depth.cm ,WP,Date_time ,Lat.decimal.degrees,Long.decimal.degrees,UTM.zone,UTM.East,UTM.North,Altitude,Land_Use,Last_fire.yr,Fire_frequency.2000_2017,MAP.mm_yr,Total_weight.g,SubBefore_DRY.g,SubAfter_DRY.g,SubAfter_SIEVED.g,Tot_weight_fine_earth_air_dry.g,BD_fine_earth_air_dry,DryMatter.per,BD_fine_earth.DM.corr,LOI_550.per,LOI_900.per,fraction_inorg_C,fraction_org_C,Clay.per,Silt.per,Sand.per,Tot.C.per,C.kg_m2,Org.C.per,Tot.N.per,N.kg_m2,pH,CEC.cmol_kg,Al.g_kg,Fe.g_kg,P.g_kg,Olsen-P.mg_kg
1,Makao,1,1,1,1,A-hor,5.00,132.30,5.00,2,10/12/2017 15:15,-3.55583,34.89388889,36 M,705826,9622963,1666,Pasture,2010,5,672.04,203,100.00,94.46,94.46,191.75,1.45,97.96,1.42,4.02,5.12,0.21,0.79,21,14,65,1.82,1.32,1.43,0.19,0.14,7.15,30.66,1.1,0.96,0.15,<5.2
2,Makao,1,1,1,1,Min-hor,18.83,130.31,15.00,2,10/12/2017 15:15,-3.55583,34.89388889,36 M,705826,9622963,1666,Pasture,2010,5,672.04,186.5,101.10,93.91,82.6,152.37,1.17,97.15,1.14,4.13,5.52,0.25,0.75,28,14,59,1.47,2.38,1.10,0.14,0.32,7.16,37.48,1.2,0.91,0.12,0
3,Makao,1,1,2,1,A-hor,5.00,132.30,5.00,3,10/12/2017 15:43,-3.55333,34.89277778,36 M,705817,9622979,1667,Pasture,2010,5,672.04,233,51.53,48.68,43.1,194.88,1.47,,,,,,,21,14,65,1.34,0.99,,0.09,0.07,6.82,,,,,
4,Makao,1,1,2,1,Min-hor,18.83,130.31,15.00,3,10/12/2017 15:43,-3.55333,34.89277778,36 M,705817,9622979,1667,Pasture,2010,5,672.04,214,50.47,45.51,37.6,159.43,1.22,,,,,,,28,14,59,0.97,1.64,,0.07,0.15,8.37,,,,,
5,Makao,1,1,3,1,A-hor,5.00,132.30,5.00,4,10/12/2017 16:08,-3.55417,34.89527778,36 M,705834,9622972,1668,Pasture,2010,5,672.04,227.5,51.90,48.58,41.8,183.23,1.38,,,,,,,21,14,65,1.26,0.87,,0.12,0.08,6.48,,,,,
6,Makao,1,1,3,1,Min-hor,19.67,138.16,15.00,4,10/12/2017 16:08,-3.55417,34.89527778,36 M,705834,9622972,1668,Pasture,2010,5,672.04,193,53.04,50.6,41.6,151.37,1.10,,,,,,,28,14,59,0.99,1.59,,0.09,0.20,6.75,,,,,
7,Makao,1,1,4,1,A-hor,5.00,132.30,5.00,5,10/12/2017 16:30,-3.55333,34.89555556,36 M,705837,9622979,1664,Pasture,2010,5,672.04,213,47.91,45.25,42.2,187.61,1.42,,,,,,,21,14,65,2.04,1.45,,0.22,0.16,6.82,,,,,
8,Makao,1,1,4,1,Min-hor,18.00,122.46,15.00,5,10/12/2017 16:30,-3.55333,34.89555556,36 M,705837,9622979,1664,Pasture,2010,5,672.04,197,46.85,42.1,38.4,161.47,1.32,,,,,,,28,14,59,1.30,2.23,,0.11,0.26,6.78,,,,,
9,Makao,1,2,1,2,A-hor,5.00,132.30,5.00,6,10/12/2017 16:53,-3.53861,34.85166667,36 M,705545,9623077,1663,Pasture,2010,7,672.04,209,100.13,94.65,84.2,175.75,1.33,,,,,,,,,,1.41,0.94,,0.09,0.06,6.87,,,,,
10,Makao,1,2,1,2,Min-hor,19.33,135.02,15.00,6,10/12/2017 16:53,-3.53861,34.85166667,36 M,705545,9623077,1663,Pasture,2010,7,672.04,206,97.55,92.37,79,166.83,1.24,,,,,,,,,,1.09,1.93,,0.08,0.19,6.42,,,,,
11,Makao,1,2,2,2,A-hor,5.00,132.30,5.00,7,10/12/2017 17:08,-3.53972,34.855,36 M,705567,9623069,1664,Pasture,2010,7,672.04,226,53.69,50.34,45.6,191.95,1.45,,,,,,,,,,1.76,1.28,,0.16,0.12,6.9,,,,,
12,Makao,1,2,2,2,Min-hor,19.17,133.45,15.00,7,10/12/2017 17:08,-3.53972,34.855,36 M,705567,9623069,1664,Pasture,2010,7,672.04,189,53.84,51.29,41.1,144.28,1.08,,,,,,,,,,1.32,2.02,,0.13,0.28,6.83,,,,,
13,Makao,1,2,3,2,A-hor,5.00,132.30,5.00,8,10/12/2017 17:22,-3.54000,34.85361111,36 M,705556,9623068,1665,Pasture,2010,7,672.04,243,51.24,48.5,43.1,204.40,1.54,,,,,,,,,,1.35,1.04,,0.11,0.08,6.53,,,,,
14,Makao,1,2,3,2,Min-hor,18.67,128.74,15.00,8,10/12/2017 17:22,-3.54000,34.85361111,36 M,705556,9623068,1665,Pasture,2010,7,672.04,217,50.19,46.93,42.2,182.45,1.42,,,,,,,,,,1.72,3.33,,0.16,0.42,6.8,,,,,
15,Makao,1,2,4,2,A-hor,5.00,132.30,5.00,9,10/12/2017 17:32,-3.53944,34.85444444,36 M,705562,9623071,1664,Pasture,2010,7,672.04,205,52.71,50,44.6,173.46,1.31,,,,,,,,,,1.91,1.25,,0.15,0.10,6.73,,,,,
16,Makao,1,2,4,2,Min-hor,17.50,117.75,15.00,9,10/12/2017 17:32,-3.53944,34.85444444,36 M,705562,9623071,1664,Pasture,2010,7,672.04,205,46.95,44.32,36.9,161.12,1.37,,,,,,,,,,1.40,2.39,,0.15,0.36,6.73,,,,,
17,Makao,1,3,1,3,A-hor,5.00,132.30,5.00,10,10/12/2017 18:08,-3.50472,34.85805556,36 M,705586,9623301,1651,Pasture,2010,6,672.04,241,96.05,90.94,84.1,211.02,1.59,98.37,1.57,5.47,6.80,0.20,0.80,22,18,60,2.24,1.79,1.80,0.20,0.16,6.98,30.91,1.2,2.1,0.17,6.4
18,Makao,1,3,1,3,Min-hor,18.83,130.31,15.00,10,10/12/2017 18:08,-3.50472,34.85805556,36 M,705586,9623301,1651,Pasture,2010,6,672.04,187,95.78,89.58,77,150.33,1.15,97.19,1.12,5.12,6.54,0.22,0.78,26,17,58,1.65,2.63,1.29,0.14,0.30,7.02,41.45,1.5,3,0.15,66
19,Makao,1,3,2,3,A-hor,5.00,132.30,5.00,11,10/12/2017 18:09,-3.50444,34.85944444,36 M,705597,9623303,1649,Pasture,2010,6,672.04,160,52.36,49.12,37.7,115.20,0.87,,,,,,,22,18,60,1.77,0.77,,0.15,0.07,7.27,,,,,
20,Makao,1,3,2,3,Min-hor,15.33,97.34,15.00,11,10/12/2017 18:09,-3.50444,34.85944444,36 M,705597,9623303,1649,Pasture,2010,6,672.04,187,51.79,47.96,30.8,111.21,1.14,,,,,,,26,17,58,1.48,1.75,,0.14,0.24,7.37,,,,,
21,Makao,1,3,3,3,A-hor,5.00,132.30,5.00,12,10/12/2017 18:23,-3.50389,34.85777778,36 M,705584,9623307,1649,Pasture,2010,6,672.04,207,51.64,49.2,45.2,181.19,1.37,,,,,,,22,18,60,2.24,1.53,,0.20,0.14,7.15,,,,,
22,Makao,1,3,3,3,Min-hor,18.17,124.03,15.00,12,10/12/2017 18:23,-3.50389,34.85777778,36 M,705584,9623307,1649,Pasture,2010,6,672.04,191.5,52.71,49.97,38.4,139.51,1.12,,,,,,,26,17,58,1.86,2.75,,0.09,0.19,8.28,,,,,
23,Makao,1,3,4,3,A-hor,5.00,132.30,5.00,,,,,,,,,Pasture,2010,6,672.04,212,53.52,51.04,46.2,183.00,1.38,,,,,,,22,18,60,1.76,1.22,,0.17,0.11,7.98,,,,,
24,Makao,1,3,4,3,Min-hor,17.50,117.75,15.00,,,,,,,,,Pasture,2010,6,672.04,174.5,52.81,49.94,41.7,137.79,1.17,,,,,,,26,17,58,1.70,2.49,,0.08,0.16,8.4,,,,,
