"","Region","Landuse","Clay","SE.Clay","Silt","SE.Silt","Sand","SE.Sand","CAHor","SE.CAHor","CMinHor","SE.CMinHor","NAHor","SE.NAHor","NMinHor","SE.NMinHor"
"1","Makao","Pasture",24.25,1.65201896679992,15.75,1.03077640640442,60.5,1.5545631755148,1.17875,0.0656815232770983,2.7525,0.252910557312264,0.105,0.00795822425754221,0.220625,0.0268400936101199
"2","Mwantimba","Pasture",33.25,1.88745860881769,23,2.04124145231932,43.75,1.65201896679992,1.285625,0.0731549084135849,3.775,0.267461835283715,0.095625,0.0046519485164821,0.27875,0.0184814095782762
"3","Park Nyigoti","Pasture",23,1.08012344973464,39.5,2.25462487641145,38,2.73861278752583,1.658125,0.0845833846469467,5.119375,0.299454321433169,0.108125,0.00640434422872475,0.331875,0.0184891578589543
"4","Handajega","Wild",19.75,1.31497781983829,17.75,1.03077640640442,62,1.47196014438797,1.40125,0.0724676652031787,3.17875,0.158972940569562,0.09,0.00447213595499958,0.2175,0.0125996031683542
"5","Ikorongo","Wild",31.75,3.19830684373258,40,1.63299316185545,28,1.73205080756888,1.845,0.097459393253464,5.876875,0.314403825716228,0.109375,0.00520166239452991,0.36125,0.017838978857173
"6","Maswa","Wild",53.25,5.05593710403917,32.5,3.75277674973257,14.25,1.31497781983829,1.651875,0.0604098415685171,4.675,0.15696868052789,0.153125,0.00751214294769919,0.419375,0.0171626714606633
"7","Seronera","Wild",16.75,3.40036762718386,18.75,1.31497781983829,64.5,2.10158670215308,1.015,0.0699166170043526,3.6225,0.238508385596817,0.085625,0.005625,0.305,0.0185965946703512
