ID,C.per.TBS,C.per.NMBU,N.per.TBS,N.per.NMBU
4,1.206373161,0.97,0.104078758,0.07
12,2.168765456,1.32,0.159434975,0.13
13,1.597317008,1.35,0.118356547,0.11
36,1.262879137,2.72,0.099911551,0.24
40,2.359501556,2.75,0.183887918,0.26
