"","Region","Landuse","Clay","SE.Clay","Silt","SE.Silt","Sand","SE.Sand","CAHor","SE.CAHor","CMinHor","SE.CMinHor","NAHor","SE.NAHor","NMinHor","SE.NMinHor"
"1","Makao","Pasture",24.25,1.65201896679992,15.75,1.03077640640442,60.5,1.5545631755148,1179.44,65.5403621124673,2752.216875,252.712585393827,104.909375,8.01774612285928,219.884375,26.5441148839806
"2","Mwantimba","Pasture",33.25,1.88745860881769,23,2.04124145231932,43.75,1.65201896679992,1285.6775,73.4027464773401,3774.815,267.425195646683,97.04875,4.9130115403725,279.2,18.5991590311677
"3","Park Nyigoti","Pasture",23,1.08012344973464,39.5,2.25462487641145,38,2.73861278752583,1658.57875,84.3146064642964,5120.35875,299.569757114092,108.66625,6.26442767238157,331.934375,18.6201059334784
"4","Handajega","Wild",19.75,1.31497781983829,17.75,1.03077640640442,62,1.47196014438797,1401.1675,72.5051433836478,3178.653125,159.365446324684,90.7325,4.38725725824233,218.131875,12.4009881064222
"5","Ikorongo","Wild",31.75,3.19830684373258,40,1.63299316185545,28,1.73205080756888,1845.623125,97.412994918195,5875.73875,314.189062973866,109.309375,5.15295218529712,360.818125,18.2173639288352
"6","Maswa","Wild",53.25,5.05593710403917,32.5,3.75277674973257,14.25,1.31497781983829,1652.79,60.4031467516387,4674.945,157.15666262788,153.05625,7.4076927286774,420.09625,16.9455487979145
"7","Seronera","Wild",16.75,3.40036762718386,18.75,1.31497781983829,64.5,2.10158670215308,1014.63375,69.8692107254392,3623.498125,238.428633711464,84.514375,5.59552224020466,305.548125,18.5545124839114
