Region,Landuse,Block,Horizon,Block.ID,Clay.pip.per,Silt.pip.per,Sand.pip.per,Sum,Diff,,,,,,,,,,
Makao,Pasture,1,A-hor,1,21.00,14.00,65.00,100.00,0.00,,,,,,,,,,
Makao,Pasture,1,Min-hor,1,27.67,13.67,58.67,100.00,0.00,,,,,,,,,,
Makao,Pasture,2,Tot-hor,2,16.41,16.74,66.85,100.00,0.00,,,,,,,,,,
Makao,Pasture,3,A-hor,3,22.00,18.00,60.00,100.00,0.00,,,,,,,,,,
Makao,Pasture,3,Min-hor,3,25.67,16.67,57.67,100.00,0.00,,,,,,,,,,
Makao,Pasture,4,Tot-hor,4,24.23,18.16,57.61,100.00,0.00,,,,,,,,,,
Maswa,Wild,1,A-hor,5,62.00,26.00,12.00,100.00,0.00,,,,,,,,,,
Maswa,Wild,1,Min-hor,5,62.00,26.00,12.00,100.00,0.00,,,,,,,,,,
Maswa,Wild,2,Tot-hor,6,50.49,32.12,17.39,100.00,0.00,,,,,,,,,,
Maswa,Wild,3,A-hor,7,44.00,39.00,17.00,100.00,0.00,,,,,,,,,,
Maswa,Wild,3,Min-hor,7,45.00,39.00,16.00,100.00,0.00,,,,,,,,,,
Maswa,Wild,4,Tot-hor,8,28.91,34.69,36.40,100.00,0.00,,,,,,,,,,
Mwantimba,Pasture,1,A-hor,9,34.00,20.00,46.00,100.00,0.00,,,,,,,,,,
Mwantimba,Pasture,1,Min-hor,9,37.00,19.00,44.00,100.00,0.00,,,,,,,,,,
Mwantimba,Pasture,2,Tot-hor,10,34.60,19.43,45.98,100.00,0.00,,,,,,,,,,
Mwantimba,Pasture,3,A-hor,11,27.67,26.67,45.67,100.00,0.00,,,,,,,,,,
Mwantimba,Pasture,3,Min-hor,11,34.33,26.33,39.33,100.00,0.00,,,,,,,,,,
Mwantimba,Pasture,4,Tot-hor,12,26.56,16.18,57.26,100.00,0.00,,,,,,,,,,
Handajega,Wild,1,A-hor,13,16.33,18.33,65.33,100.00,0.00,,,,,,,,,,
Handajega,Wild,1,Min-hor,13,21.00,15.00,64.00,100.00,0.00,,,,,,,,,,
Handajega,Wild,2,Tot-hor,14,21.49,16.46,62.05,100.00,0.00,,,,,,,,,,
Handajega,Wild,3,A-hor,15,20.00,20.00,60.00,100.00,0.00,,,,,,,,,,
Handajega,Wild,3,Min-hor,15,22.33,18.33,59.33,100.00,0.00,,,,,,,,,,
Handajega,Wild,4,Tot-hor,16,24.44,19.99,55.57,100.00,0.00,,,,,,,,,,
Seronera,Wild,1,Tot-hor,17,28.22,18.19,53.59,100.00,0.00,,,,,,,,,,
Seronera,Wild,2,A-hor,18,12.00,21.00,67.00,100.00,0.00,,,,,,,,,,
Seronera,Wild,2,Min-hor,18,23.67,16.67,59.67,100.00,0.00,,,,,,,,,,
Seronera,Wild,3,Tot-hor,19,18.95,16.60,64.45,100.00,0.00,,,,,,,,,,
Seronera,Wild,4,A-hor,20,10.00,21.00,69.00,100.00,0.00,,,,,,,,,,
Seronera,Wild,4,Min-hor,20,21.33,16.33,62.33,100.00,0.00,,,,,,,,,,
Park Nyigoti,Pasture,1,A-hor,21,22.67,45.67,31.67,100.00,0.00,,,,,,,,,,
Park Nyigoti,Pasture,1,Min-hor,21,26.00,39.00,35.00,100.00,0.00,,,,,,,,,,
Park Nyigoti,Pasture,2,Tot-hor,22,36.06,36.32,27.62,100.00,0.00,,,,,,,,,,
Park Nyigoti,Pasture,3,A-hor,23,20.67,35.67,43.67,100.00,0.00,,,,,,,,,,
Park Nyigoti,Pasture,3,Min-hor,23,22.00,37.00,41.00,100.00,0.00,,,,,,,,,,
Park Nyigoti,Pasture,4,Tot-hor,24,44.42,31.24,24.35,100.00,0.00,,,,,,,,,,
Ikorongo,Wild,1,A-hor,25,35.00,40.00,25.00,100.00,0.00,,,,,,,,,,
Ikorongo,Wild,1,Min-hor,25,39.00,36.00,25.00,100.00,0.00,,,,,,,,,,
Ikorongo,Wild,2,Tot-hor,26,29.40,33.91,36.68,100.00,0.00,,,,,,,,,,
Ikorongo,Wild,3,A-hor,27,25.00,44.00,31.00,100.00,0.00,,,,,,,,,,
Ikorongo,Wild,3,Min-hor,27,28.33,40.33,31.33,100.00,0.00,,,,,,,,,,
Ikorongo,Wild,4,Tot-hor,28,36.38,27.98,35.63,100.00,0.00,,,,,,,,,,
