Region,Landuse,Block,Horizon,Block.ID,Clay.pip.per,Silt.pip.per,Sand.pip.per,,,,,,,,,
Makao,Pasture,1,Tot-hor,1,24.33,13.83,61.83,,,,,,,,,
Makao,Pasture,2,Tot-hor,2,16.41,16.74,66.85,,,,,,,,,
Makao,Pasture,3,Tot-hor,3,23.83,17.33,58.83,,,,,,,,,
Makao,Pasture,4,Tot-hor,4,24.23,18.16,57.61,,,,,,,,,
Maswa,Wild,1,Tot-hor,5,62.00,26.00,12.00,,,,,,,,,
Maswa,Wild,2,Tot-hor,6,50.49,32.12,17.39,,,,,,,,,
Maswa,Wild,3,Tot-hor,7,44.50,39.00,16.50,,,,,,,,,
Maswa,Wild,4,Tot-hor,8,28.91,34.69,36.40,,,,,,,,,
Mwantimba,Pasture,1,Tot-hor,9,35.50,19.50,45.00,,,,,,,,,
Mwantimba,Pasture,2,Tot-hor,10,34.60,19.43,45.98,,,,,,,,,
Mwantimba,Pasture,3,Tot-hor,11,31.00,26.50,42.50,,,,,,,,,
Mwantimba,Pasture,4,Tot-hor,12,26.56,16.18,57.26,,,,,,,,,
Handajega,Wild,1,Tot-hor,13,18.67,16.67,64.67,,,,,,,,,
Handajega,Wild,2,Tot-hor,14,21.49,16.46,62.05,,,,,,,,,
Handajega,Wild,3,Tot-hor,15,21.17,19.17,59.67,,,,,,,,,
Handajega,Wild,4,Tot-hor,16,24.44,19.99,55.57,,,,,,,,,
Seronera,Wild,1,Tot-hor,17,28.22,18.19,53.59,,,,,,,,,
Seronera,Wild,2,Tot-hor,18,17.83,18.83,63.33,,,,,,,,,
Seronera,Wild,3,Tot-hor,19,18.95,16.60,64.45,,,,,,,,,
Seronera,Wild,4,Tot-hor,20,15.67,18.67,65.67,,,,,,,,,
Park Nyigoti,Pasture,1,Tot-hor,21,24.33,42.33,33.33,,,,,,,,,
Park Nyigoti,Pasture,2,Tot-hor,22,36.06,36.32,27.62,,,,,,,,,
Park Nyigoti,Pasture,3,Tot-hor,23,21.33,36.33,42.33,,,,,,,,,
Park Nyigoti,Pasture,4,Tot-hor,24,44.42,31.24,24.35,,,,,,,,,
Ikorongo,Wild,1,Tot-hor,25,37.00,38.00,25.00,,,,,,,,,
Ikorongo,Wild,2,Tot-hor,26,29.40,33.91,36.68,,,,,,,,,
Ikorongo,Wild,3,Tot-hor,27,29.91,37.44,32.66,,,,,,,,,
Ikorongo,Wild,4,Tot-hor,28,36.38,27.98,35.63,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
