,X.1,X,Region,Site,Block,Circle,Block.ID,Latitude,Longitude,landuse,Last_fire.yr,Fire_frequency.2000_2017.x,MAP.mm_yr,AhorC.kg_m2,AhorN.kg_m2,livestock,wild,total.dung,Livestock.bm,MinC.kg_m2,MinN.kg_m2,tot.C.kg_m2,tot.N.kg_m2,mean.N.kg_m2.x,Clay,Silt,Sand,Class.x,mean.N.kg_m2.y,Total.basal.area_m2,TreeBM.kg_m2,No.trees_m2,Small.N,Small.N.non,Large.N,Large.N.non,BM.Large.N.m2,BM.Large.non.m2,BM.Small.N.m2,BM.Small.non.m2,N.trees,BM.N.trees.m2,non.N.trees,BM.non.N.trees.m2,climate,fMAP,Shrubbiness,fShrubbiness,CN,Shrubbiness2
11,11,11,Makao,1,3,3,3,-3.408972901,34.85120381,Pasture,2010,6,672.04,1.53,0.14,26.58333333,4.291666667,30.875,174.8184579,2.75,0.19,4.28,0.33,0.165,23.83,17.33,58.83,SaClLo,0.17125,0.0069718,0.005712352,0.0036,1,2,1,NA,0.000856581,NA,0.000327818,0.001320223,2,0.001184399,2,0.001320223,Dry,1295,5.543501441,6,12.96969697,0.002217401
12,12,12,Makao,1,3,4,3,NA,NA,Pasture,2010,6,672.04,1.22,0.11,26.58333333,4.291666667,30.875,NA,2.49,0.16,3.71,0.27,0.135,23.83,17.33,58.83,SaClLo,0.17125,0.0069718,0.005712352,0.0036,1,2,1,NA,0.000856581,NA,0.000327818,0.001320223,2,0.001184399,2,0.001320223,Dry,1295,5.543501441,6,13.74074074,0.002217401
13,13,13,Makao,1,4,1,4,-3.409251717,34.85197816,Pasture,2010,6,672.04,1.07,0.1,16,5.235294118,21.23529412,174.8184579,1.01,0.06,2.08,0.16,0.08,24.23,18.16,57.61,SaClLo,0.10625,0.0153363,0.031565701,4.00E-04,NA,NA,NA,1,NA,0.031565701,NA,NA,0,0,1,0.031565701,Dry,1295,0.012671982,0,13,5.07E-06
14,14,14,Makao,1,4,2,4,-3.409224782,34.85187913,Pasture,2010,6,672.04,0.99,0.08,16,5.235294118,21.23529412,174.8184579,0.4,0.05,1.39,0.13,0.065,24.23,18.16,57.61,SaClLo,0.10625,0.0153363,0.031565701,4.00E-04,NA,NA,NA,1,NA,0.031565701,NA,NA,0,0,1,0.031565701,Dry,1295,0.012671982,0,10.69230769,5.07E-06
15,15,15,Makao,1,4,3,4,-3.409107302,34.85184292,Pasture,2010,6,672.04,1.14,0.1,16,5.235294118,21.23529412,174.8184579,0.34,0.07,1.48,0.17,0.085,24.23,18.16,57.61,SaClLo,0.10625,0.0153363,0.031565701,4.00E-04,NA,NA,NA,1,NA,0.031565701,NA,NA,0,0,1,0.031565701,Dry,1295,0.012671982,0,8.705882353,5.07E-06
16,16,16,Makao,1,4,4,4,-3.409052788,34.85197778,Pasture,2010,6,672.04,1.19,0.11,16,5.235294118,21.23529412,174.8184579,1.6,0.28,2.79,0.39,0.195,24.23,18.16,57.61,SaClLo,0.10625,0.0153363,0.031565701,4.00E-04,NA,NA,NA,1,NA,0.031565701,NA,NA,0,0,1,0.031565701,Dry,1295,0.012671982,0,7.153846154,5.07E-06
17,17,17,Maswa,2,1,1,5,-3.302259982,34.84894279,Wild,2007,3,717.36,1.81,0.18,0,10.23076923,10.23076923,174.8184579,3.43,0.45,5.24,0.63,0.315,62,26,12,Cl,0.31875,0.0759151,0.178839917,0.0012,NA,NA,1,1,0.166768695,0.046112173,NA,NA,1,0.166768695,1,0.046112173,Dry,1279,0.015804995,0,8.317460317,6.32E-06
18,18,18,Maswa,2,1,2,5,-3.302214468,34.84910465,Wild,2007,3,717.36,1.67,0.17,0,10.23076923,10.23076923,174.8184579,3.64,0.45,5.31,0.62,0.31,62,26,12,Cl,0.31875,0.0759151,0.178839917,0.0012,NA,NA,1,1,0.166768695,0.046112173,NA,NA,1,0.166768695,1,0.046112173,Dry,1279,0.015804995,0,8.564516129,6.32E-06
19,19,19,Maswa,2,1,3,5,-3.30203384,34.84898736,Wild,2007,3,717.36,1.76,0.18,0,10.23076923,10.23076923,174.8184579,3.28,0.4,5.04,0.58,0.29,62,26,12,Cl,0.31875,0.0759151,0.178839917,0.0012,NA,NA,1,1,0.166768695,0.046112173,NA,NA,1,0.166768695,1,0.046112173,Dry,1279,0.015804995,0,8.689655172,6.32E-06
20,20,20,Maswa,2,1,4,5,-3.302314252,34.84893389,Wild,2007,3,717.36,1.77,0.17,0,10.23076923,10.23076923,174.8184579,4.19,0.55,5.96,0.72,0.36,62,26,12,Cl,0.31875,0.0759151,0.178839917,0.0012,NA,NA,1,1,0.166768695,0.046112173,NA,NA,1,0.166768695,1,0.046112173,Dry,1279,0.015804995,0,8.277777778,6.32E-06
21,21,21,Maswa,2,2,1,6,-3.305135579,34.84886714,Wild,2007,2,717.36,1.44,0.13,0,9.923076923,9.923076923,174.8184579,3.72,0.53,5.16,0.66,0.33,50.49,32.12,17.39,Cl,0.3,0.1858524,0.445543778,0.0024,2,NA,NA,1,NA,0.056033063,0.000810003,NA,2,0.000810003,1,0.056033063,Dry,1279,0.038985724,0,7.818181818,1.56E-05
22,22,22,Maswa,2,2,2,6,-3.3053255,34.84884949,Wild,2007,2,717.36,1.51,0.15,0,9.923076923,9.923076923,174.8184579,2.98,0.42,4.49,0.57,0.285,50.49,32.12,17.39,Cl,0.3,0.1858524,0.445543778,0.0024,2,NA,NA,1,NA,0.056033063,0.000810003,NA,2,0.000810003,1,0.056033063,Dry,1279,0.038985724,0,7.877192982,1.56E-05
23,23,23,Maswa,2,2,3,6,-3.305316508,34.84882249,Wild,2007,2,717.36,1.52,0.16,0,9.923076923,9.923076923,174.8184579,3.44,0.46,4.96,0.62,0.31,50.49,32.12,17.39,Cl,0.3,0.1858524,0.445543778,0.0024,2,NA,NA,1,NA,0.056033063,0.000810003,NA,2,0.000810003,1,0.056033063,Dry,1279,0.038985724,0,8,1.56E-05
24,24,24,Maswa,2,2,4,6,NA,NA,Wild,2007,2,717.36,1.66,0.14,0,9.923076923,9.923076923,NA,3.22,0.41,4.88,0.55,0.275,50.49,32.12,17.39,Cl,0.3,0.1858524,0.445543778,0.0024,2,NA,NA,1,NA,0.056033063,0.000810003,NA,2,0.000810003,1,0.056033063,Dry,1279,0.038985724,0,8.872727273,1.56E-05
25,25,25,Maswa,2,3,1,7,-3.298463906,34.85287641,Wild,2004,1,754.84,1.96,0.18,0,9.615384615,9.615384615,174.8184579,2.72,0.37,4.68,0.55,0.275,44.5,39,16.5,Cl,0.2525,0.0869615,0.212880868,8.00E-04,1,NA,1,1,0.102448348,0.075925366,0.000466203,NA,2,0.102914551,1,0.075925366,Dry,1135,0.007515941,0,8.509090909,3.01E-06
26,26,26,Maswa,2,3,2,7,-3.298508748,34.85307442,Wild,2004,1,754.84,2.23,0.22,0,9.615384615,9.615384615,174.8184579,2.74,0.35,4.97,0.57,0.285,44.5,39,16.5,Cl,0.2525,0.0869615,0.212880868,8.00E-04,1,NA,1,1,0.102448348,0.075925366,0.000466203,NA,2,0.102914551,1,0.075925366,Dry,1135,0.007515941,0,8.719298246,3.01E-06
27,27,27,Maswa,2,3,3,7,-3.298328121,34.85295713,Wild,2004,1,754.84,1.21,0.1,0,9.615384615,9.615384615,174.8184579,3.31,0.37,4.52,0.47,0.235,44.5,39,16.5,Cl,0.2525,0.0869615,0.212880868,8.00E-04,1,NA,1,1,0.102448348,0.075925366,0.000466203,NA,2,0.102914551,1,0.075925366,Dry,1135,0.007515941,0,9.617021277,3.01E-06
28,28,28,Maswa,2,3,4,7,-3.298391013,34.85317317,Wild,2004,1,754.84,1.48,0.12,0,9.615384615,9.615384615,174.8184579,2.76,0.31,4.24,0.43,0.215,44.5,39,16.5,Cl,0.2525,0.0869615,0.212880868,8.00E-04,1,NA,1,1,0.102448348,0.075925366,0.000466203,NA,2,0.102914551,1,0.075925366,Dry,1135,0.007515941,0,9.860465116,3.01E-06
29,29,29,Maswa,2,4,1,8,-3.299436128,34.8551994,Wild,2004,1,754.84,1.58,0.13,0,12.76923077,12.76923077,174.8184579,3.16,0.36,4.74,0.49,0.245,28.91,34.69,36.4,ClLo,0.27375,0.0253542,0.056843066,0.0012,NA,1,5,NA,0.444905941,NA,NA,0.000637837,5,0.444905941,1,0.000637837,Dry,1135,2.734958031,3,9.673469388,0.001093983
30,30,30,Maswa,2,4,2,8,-3.299318814,34.85507323,Wild,2004,1,754.84,1.53,0.13,0,12.76923077,12.76923077,174.8184579,3.47,0.45,5,0.58,0.29,28.91,34.69,36.4,ClLo,0.27375,0.0253542,0.056843066,0.0012,NA,1,5,NA,0.444905941,NA,NA,0.000637837,5,0.444905941,1,0.000637837,Dry,1135,2.734958031,3,8.620689655,0.001093983
31,31,31,Maswa,2,4,3,8,-3.29951776,34.8550646,Wild,2004,1,754.84,1.8,0.16,0,12.76923077,12.76923077,174.8184579,4.08,0.49,5.88,0.65,0.325,28.91,34.69,36.4,ClLo,0.27375,0.0253542,0.056843066,0.0012,NA,1,5,NA,0.444905941,NA,NA,0.000637837,5,0.444905941,1,0.000637837,Dry,1135,2.734958031,3,9.046153846,0.001093983
32,32,32,Maswa,2,4,4,8,-3.299409321,34.85502841,Wild,2004,1,754.84,1.44,0.13,0,12.76923077,12.76923077,174.8184579,2.74,0.34,4.18,0.47,0.235,28.91,34.69,36.4,ClLo,0.27375,0.0253542,0.056843066,0.0012,NA,1,5,NA,0.444905941,NA,NA,0.000637837,5,0.444905941,1,0.000637837,Dry,1135,2.734958031,3,8.893617021,0.001093983
33,33,33,Mwantimba,3,1,1,9,-2.352973737,34.05036786,Pasture,2000,0,1295.06,1.17,0.11,11.84,0,11.84,1944.542512,1.59,0.19,2.76,0.3,0.15,35.5,19.5,45,SaCl,0.19125,0.000905,0.020317023,0.015,6,NA,NA,NA,NA,NA,0.020317023,NA,6,0.020317023,0,0,Wet,672,4.514253871,5,9.2,0.011285635
34,34,34,Mwantimba,3,1,2,9,-2.353217983,34.05035006,Pasture,2000,0,1295.06,1.35,0.11,11.84,0,11.84,1944.542512,3.02,0.35,4.37,0.46,0.23,35.5,19.5,45,SaCl,0.19125,0.000905,0.020317023,0.015,6,NA,NA,NA,NA,NA,0.020317023,NA,6,0.020317023,0,0,Wet,672,4.514253871,5,9.5,0.011285635
35,35,35,Mwantimba,3,1,3,9,-2.353100308,34.05045788,Pasture,2000,0,1295.06,1.12,0.09,11.84,0,11.84,1944.542512,3.23,0.37,4.35,0.46,0.23,35.5,19.5,45,SaCl,0.19125,0.000905,0.020317023,0.015,6,NA,NA,NA,NA,NA,0.020317023,NA,6,0.020317023,0,0,Wet,672,4.514253871,5,9.456521739,0.011285635
