plot.ID,site,plot,area,landuse,block,sub.vs.inter,n.non.N,excl_open,date,latitude,longitude,rain.region,Disc_1,Disc_2,Disc_3,Disc_4,Disc_avg,time,temp,moist,GLAMA,tree_height.m,canopy_thickness.m,canopy_height.m,dbh,wild_broswer,wild_grazer,live_broswer,live_grazer,total_dung,livgrazer_prop.y,distance_pa_boundary.km.y,Cmd_1,HerbPRC,NMDS1,NMDS2,rain.sum.mm,rain.cumsum.mm,
1,1,1,Makao,pasture,1,S,N,Excl,03/07/2016,-3.406347027,34.85055604,dry,1.5,4,3,3.5,3,15.08,33.9,0,42.1,6.6,3.4,3.2,18,0,3,0,9,12,0.75,-3.36,15.31015383,-0.231576582,-0.148510925,0.048212238,0.600000024,0.600000024,dryseason
2,1,1,Makao,pasture,1,S,N,Open,03/07/2016,-3.406363036,34.85055797,dry,4,4,3,5.2,4.05,15.09,31.6,0,47.59,6.6,3.4,3.2,18,0,3,0,9,12,0.75,-3.36,15.31015383,-0.231576582,-0.052584838,-0.187021696,0.600000024,0.600000024,dryseason
3,1,2,Makao,pasture,1,S,non,Excl,03/07/2016,-3.406253988,34.85066299,dry,3,2.5,2,2,2.375,15.12,35.8,0,36.87,5,2,3,28.8,0,3,0,9,12,0.75,-3.36,15.31015383,-0.231576582,-0.328883281,-0.099738332,0.600000024,0.600000024,dryseason
4,1,2,Makao,pasture,1,S,non,Open,03/07/2016,-3.406276032,34.850665,dry,5,3,5.5,8,5.375,15.14,30.5,0,47.87,5,2,3,28.8,0,3,0,9,12,0.75,-3.36,15.31015383,-0.231576582,-0.066750614,-0.218539926,0.600000024,0.600000024,dryseason
5,1,3,Makao,pasture,1,I,inter,Excl,03/07/2016,-3.406194979,34.85053601,dry,2,2.5,1.5,2,2,15.28,36.1,0,100,,,,,0,3,0,9,12,0.75,-3.36,15.31015383,-0.231576582,-0.509386885,0.578512002,0.600000024,0.600000024,dryseason
6,1,3,Makao,pasture,1,I,inter,Open,03/07/2016,-3.406066988,34.85057901,dry,2,3,2.9,4,2.975,15.3,36,0,100,,,,,0,3,0,9,12,0.75,-3.36,15.31015383,-0.231576582,-0.474049401,0.514082735,0.600000024,0.600000024,dryseason
7,2,4,Makao,pasture,2,S,N,Excl,03/07/2016,-3.40942503,34.85278797,dry,3,3.8,6,4.5,4.325,10.58,24.2,0.37,16.01,8.4,3.4,5,38.3,3,0,0,15,18,0.833333333,-3.78,17.78900384,-0.349662681,0.191263756,0.015953101,0.600000024,0.600000024,dryseason
8,2,4,Makao,pasture,2,S,N,Open,03/07/2016,-3.409399968,34.85279401,dry,5.5,30,6,10.5,13,11,24.8,0,16.93,8.4,3.4,5,38.3,3,0,0,15,18,0.833333333,-3.78,17.78900384,-0.349662681,0.120407557,0.021935305,0.600000024,0.600000024,dryseason
9,2,5,Makao,pasture,2,S,non,Excl,03/07/2016,-3.409166029,34.85270499,dry,2.3,2.5,3,2.5,2.575,10.25,24.9,0,51.58,5,3.4,1.6,31.9,3,0,0,15,18,0.833333333,-3.78,17.78900384,-0.349662681,0.1123389,0.49289718,0.600000024,0.600000024,dryseason
10,2,5,Makao,pasture,2,S,non,Open,03/07/2016,-3.409190001,34.85270399,dry,1.5,2,2,1.5,1.75,10.48,24.6,0,37.76,5,3.4,1.6,31.9,3,0,0,15,18,0.833333333,-3.78,17.78900384,-0.349662681,0.088204258,0.234367939,0.600000024,0.600000024,dryseason
11,2,6,Makao,pasture,2,I,inter,Excl,03/07/2016,-3.409267031,34.85268597,dry,1.5,1.5,2,2,1.75,10.49,26.1,0,100,,,,,3,0,0,15,18,0.833333333,-3.78,17.78900384,-0.349662681,-0.314557565,0.225300261,0.600000024,0.600000024,dryseason
12,2,6,Makao,pasture,2,I,inter,Open,03/07/2016,-3.409353029,34.85292502,dry,1.5,1,2,1.3,1.45,10.53,28.9,0,100,,,,,3,0,0,15,18,0.833333333,-3.78,17.78900384,-0.349662681,-0.473644803,0.191041951,0.600000024,0.600000024,dryseason
13,3,7,Makao,pasture,3,S,N,Excl,03/07/2016,-3.408244019,34.85029503,dry,2,1.5,5,2.5,2.75,8.52,20.5,0,28.18,10.4,5,5.4,68.4,0,0,15,20,35,0.571428571,-3.51,12.14048578,-0.632205815,0.077492546,-0.051460354,0.600000024,0.600000024,dryseason
14,3,7,Makao,pasture,3,S,N,Open,03/07/2016,-3.408206971,34.85028598,dry,6.5,2.5,3.8,5,4.45,8.54,21.6,0,16.66,10.4,5,5.4,68.4,0,0,15,20,35,0.571428571,-3.51,12.14048578,-0.632205815,0.479394863,-0.507157731,0.600000024,0.600000024,dryseason
15,3,8,Makao,pasture,3,S,non,Excl,03/07/2016,-3.40841501,34.85011498,dry,2.5,3,1.5,2.5,2.375,8.55,21.3,0,40.4,7.2,5,2.2,33.7,0,0,15,20,35,0.571428571,-3.51,12.14048578,-0.632205815,0.106589487,-0.091752934,0.600000024,0.600000024,dryseason
16,3,8,Makao,pasture,3,S,non,Open,03/07/2016,-3.408432025,34.85012203,dry,2,4.5,2.5,4.5,3.375,8.57,20.7,0,64.83,7.2,5,2.2,33.7,0,0,15,20,35,0.571428571,-3.51,12.14048578,-0.632205815,0.151988316,-0.007964861,0.600000024,0.600000024,dryseason
17,3,9,Makao,pasture,3,I,inter,Excl,03/07/2016,-3.40839196,34.850304,dry,1,1,1.5,1.5,1.25,8.58,22.3,0,100,,,,,0,0,15,20,35,0.571428571,-3.51,12.14048578,-0.632205815,-0.110254941,0.64986553,0.600000024,0.600000024,dryseason
