plot.ID,site,plot,area,landuse,block,sub.vs.inter,n.non.N,excl_open,date,latitude,longitude,rain.region,Disc_1,Disc_2,Disc_3,Disc_4,Disc_avg,time,temp,moist,GLAMA,tree_height.m,canopy_thickness.m,canopy_height.m,dbh,wild_broswer,wild_grazer,live_broswer,live_grazer,total_dung,livgrazer_prop.y,distance_pa_boundary.km.y,Cmd_1,HerbPRC,NMDS1,NMDS2,rain.sum.mm,rain.cumsum.mm,
18,3,9,Makao,pasture,3,I,inter,Open,03/07/2016,-3.408284001,34.85010199,dry,1.5,1.5,1.2,1.5,1.425,9,22,0,100,,,,,0,0,15,20,35,0.571428571,-3.51,12.14048578,-0.632205815,-0.194711726,0.505708676,0.600000024,0.600000024,dryseason
19,4,10,Makao,pasture,4,S,N,Excl,03/07/2016,-3.410775019,34.85504597,dry,1,3,2,2.5,2.125,12.21,31,0,16.25,8,3.8,4.2,62.4,0,0,0,32,32,1,-4.09,24.62106316,-0.493787157,,,0.600000024,0.600000024,dryseason
20,4,10,Makao,pasture,4,S,N,Open,03/07/2016,-3.410785999,34.85504597,dry,5,3,7,2.5,4.375,12.27,21.5,0,20.99,8,3.8,4.2,62.4,0,0,0,32,32,1,-4.09,24.62106316,-0.493787157,,,0.600000024,0.600000024,dryseason
21,4,11,Makao,pasture,4,S,non,Excl,03/07/2016,-3.41090804,34.85547496,dry,3.5,2.5,3,3,3,12.3,30.2,0,55.37,4.6,3,1.6,46.5,0,0,0,32,32,1,-4.09,24.62106316,-0.493787157,,,0.600000024,0.600000024,dryseason
22,4,11,Makao,pasture,4,S,non,Open,03/07/2016,-3.410970988,34.85547001,dry,2.5,3.2,2,5,3.175,12.31,23.2,0,45.88,4.6,3,1.6,46.5,0,0,0,32,32,1,-4.09,24.62106316,-0.493787157,,,0.600000024,0.600000024,dryseason
23,4,12,Makao,pasture,4,I,inter,Excl,03/07/2016,-3.411052963,34.85539198,dry,2.5,2.5,2,2,2.25,12.35,31.6,0,100,,,,,0,0,0,32,32,1,-4.09,24.62106316,-0.493787157,,,0.600000024,0.600000024,dryseason
24,4,12,Makao,pasture,4,I,inter,Open,03/07/2016,-3.410976017,34.855251,dry,3,1,2.5,1.5,2,12.39,36.1,0,100,,,,,0,0,0,32,32,1,-4.09,24.62106316,-0.493787157,,,0.600000024,0.600000024,dryseason
25,5,13,MakaoWMA,wild,5,S,N,Excl,04/07/2016,-3.425976019,34.75033999,dry,2.5,2,2,3.5,2.5,15.39,26.8,0,14.97,8,1.4,6.6,38.4,6,13,0,0,19,0,0.52,18.34364513,0.230951836,0.341702563,-0.214352348,0.525000021,0.525000021,dryseason
26,5,13,MakaoWMA,wild,5,S,N,Open,04/07/2016,-3.426002003,34.75033597,dry,1.5,3,4,1,2.375,15.4,23.5,0,29.33,8,1.4,6.6,38.4,6,13,0,0,19,0,0.52,18.34364513,0.230951836,0.337561636,-0.182652096,0.525000021,0.525000021,dryseason
27,5,14,MakaoWMA,wild,5,S,non,Excl,04/07/2016,-3.425989011,34.75018904,dry,1.3,1.5,1.5,1.5,1.45,15.43,29.6,0,62.66,4,2.2,1.8,27.1,6,13,0,0,19,0,0.52,18.34364513,0.230951836,0.349904696,-0.29253891,0.525000021,0.525000021,dryseason
28,5,14,MakaoWMA,wild,5,S,non,Open,04/07/2016,-3.426029999,34.75014998,dry,3.5,3.2,1.5,2.5,2.675,15.45,25,0.05,44.69,4,2.2,1.8,27.1,6,13,0,0,19,0,0.52,18.34364513,0.230951836,0.347578644,-0.176906771,0.525000021,0.525000021,dryseason
29,5,15,MakaoWMA,wild,5,I,inter,Excl,04/07/2016,-3.426082972,34.75007798,dry,1.5,1.5,1.5,2,1.625,15.47,34.2,0.01,100,,,,,6,13,0,0,19,0,0.52,18.34364513,0.230951836,-0.411668354,0.292618148,0.525000021,0.525000021,dryseason
30,5,15,MakaoWMA,wild,5,I,inter,Open,04/07/2016,-3.426144999,34.75024503,dry,3.2,5,3.3,2.3,3.45,15.48,33.1,0,100,,,,,6,13,0,0,19,0,0.52,18.34364513,0.230951836,-0.31824929,0.004357509,0.525000021,0.525000021,dryseason
31,6,16,MakaoWMA,wild,6,S,N,Excl,04/07/2016,-3.425689023,34.75080804,dry,2.5,5,3.2,4.5,3.8,15.53,22.4,0,10.13,7.2,1,6.2,71,8,6,0,0,14,0,0.49,15.65959734,0.178199594,0.381318123,-0.153768456,0.525000021,0.525000021,dryseason
32,6,16,MakaoWMA,wild,6,S,N,Open,04/07/2016,-3.425652981,34.75079798,dry,4,3,2.5,4,3.375,15.55,25.8,0,9.2,7.2,1,6.2,71,8,6,0,0,14,0,0.49,15.65959734,0.178199594,0.409598813,-0.333831417,0.525000021,0.525000021,dryseason
33,6,17,MakaoWMA,wild,6,S,non,Excl,04/07/2016,-3.425530018,34.75118799,dry,2.5,1.5,2,2,2,15.58,28.9,0,37.34,4.6,3,1.6,24.1,8,6,0,0,14,0,0.49,15.65959734,0.178199594,-0.127678649,0.12139884,0.525000021,0.525000021,dryseason
34,6,17,MakaoWMA,wild,6,S,non,Open,04/07/2016,-3.425510991,34.75116896,dry,3.5,1.5,1.5,2,2.125,15.59,31.3,0.03,48.11,4.6,3,1.6,24.1,8,6,0,0,14,0,0.49,15.65959734,0.178199594,-0.729208818,-0.238924726,0.525000021,0.525000021,dryseason
35,6,18,MakaoWMA,wild,6,I,inter,Excl,04/07/2016,-3.42542097,34.75122202,dry,2.5,1.5,2.5,3,2.375,16,38.6,0,100,,,,,8,6,0,0,14,0,0.49,15.65959734,0.178199594,-0.347714919,-0.423566154,0.525000021,0.525000021,dryseason
36,6,18,MakaoWMA,wild,6,I,inter,Open,04/07/2016,-3.425488025,34.75083402,dry,1,2,1.3,2.5,1.7,16.05,36.7,1.66,100,,,,,8,6,0,0,14,0,0.49,15.65959734,0.178199594,-0.692623424,0.167427965,0.525000021,0.525000021,dryseason
37,7,19,MakaoWMA,wild,7,S,N,Excl,04/07/2016,-3.425013022,34.75853599,dry,4,2.5,3,2.5,3,16.29,30.7,0,37.64,6,1.2,4.8,39.5,5,2,0,0,7,0,0.67,12.09498942,0.081356295,0.160109786,-0.19857483,0.525000021,0.525000021,dryseason
38,7,19,MakaoWMA,wild,7,S,N,Open,04/07/2016,-3.425038001,34.75852098,dry,5.5,7,9.5,2.5,6.125,16.31,26.2,0,38.63,6,1.2,4.8,39.5,5,2,0,0,7,0,0.67,12.09498942,0.081356295,0.273901304,-0.406105205,0.525000021,0.525000021,dryseason
39,7,20,MakaoWMA,wild,7,S,non,Excl,04/07/2016,-3.425151994,34.75837899,dry,1.5,2.5,2.3,2.3,2.15,16.33,29.3,0,46.77,4.6,2.4,2.2,22.1,5,2,0,0,7,0,0.67,12.09498942,0.081356295,,,0.525000021,0.525000021,dryseason
40,7,20,MakaoWMA,wild,7,S,non,Open,04/07/2016,-3.425136991,34.75838101,dry,1.5,6.5,2,2,3,16.34,35,0,31.19,4.6,2.4,2.2,22.1,5,2,0,0,7,0,0.67,12.09498942,0.081356295,-0.466353864,-0.854625398,0.525000021,0.525000021,dryseason
41,7,21,MakaoWMA,wild,7,I,inter,Excl,04/07/2016,-3.425220978,34.75847798,dry,2,2,1.5,1,1.625,16.37,33.3,0,100,,,,,5,2,0,0,7,0,0.67,12.09498942,0.081356295,-0.292341061,-0.219602738,0.525000021,0.525000021,dryseason
42,7,21,MakaoWMA,wild,7,I,inter,Open,04/07/2016,-3.424973041,34.75841504,dry,1,1.5,2,2,1.625,16.39,32.5,0,100,,,,,5,2,0,0,7,0,0.67,12.09498942,0.081356295,-0.202468212,-0.17628412,0.525000021,0.525000021,dryseason
43,8,22,MakaoWMA,wild,8,S,N,Excl,04/07/2016,-3.422442041,34.76117503,dry,3,4,1.5,2,2.625,17.07,35.7,0,20.15,6.2,1.2,5,35.7,4,8,0,0,12,0,0.38,14.89343843,0.174774384,0.031754453,-0.337120131,0.525000021,0.525000021,dryseason
44,8,22,MakaoWMA,wild,8,S,N,Open,04/07/2016,-3.422460984,34.761156,dry,12.5,42,10,4,17.125,17.08,27.4,0,14.2,6.2,1.2,5,35.7,4,8,0,0,12,0,0.38,14.89343843,0.174774384,0.240368452,-0.193806641,0.525000021,0.525000021,dryseason
45,8,23,MakaoWMA,wild,8,S,non,Excl,04/07/2016,-3.422530973,34.76150796,dry,7,4.5,7,9.5,7,17.11,22.3,0,44.67,5,3.2,1.8,27.1,4,8,0,0,12,0,0.38,14.89343843,0.174774384,0.433418823,-0.244421704,0.525000021,0.525000021,dryseason
46,8,23,MakaoWMA,wild,8,S,non,Open,04/07/2016,-3.422479006,34.76146697,dry,12,7.5,4.9,15,9.85,17.13,25.2,0,47.95,5,3.2,1.8,27.1,4,8,0,0,12,0,0.38,14.89343843,0.174774384,0.423034834,-0.393275229,0.525000021,0.525000021,dryseason
47,8,24,MakaoWMA,wild,8,I,inter,Excl,04/07/2016,-3.422548994,34.76134803,dry,1.5,2,2,2.5,2,17.14,29.7,0,100,,,,,4,8,0,0,12,0,0.38,14.89343843,0.174774384,-0.3917154,-0.350014836,0.525000021,0.525000021,dryseason
48,8,24,MakaoWMA,wild,8,I,inter,Open,04/07/2016,-3.422631975,34.76139396,dry,1.5,2.5,10,1,3.75,17.15,34.4,0,100,,,,,4,8,0,0,12,0,0.38,14.89343843,0.174774384,-0.408103618,-0.34155689,0.525000021,0.525000021,dryseason
49,9,34,Maswa,illegal,9,S,N,Excl,05/07/2016,-3.379195025,34.82925402,dry,5,1.5,4,3,3.375,12.15,24.4,0,26.16,,,,,2,2,0,4,8,0.5,0.61,12.67105242,-0.130595417,,,,,
50,9,34,Maswa,illegal,9,S,N,Open,05/07/2016,-3.379157977,34.82925,dry,22.5,5.5,9,19.5,14.125,12.17,25.1,0,26.16,,,,,2,2,0,4,8,0.5,0.61,12.67105242,-0.130595417,,,,,
51,9,35,Maswa,illegal,9,S,non,Excl,05/07/2016,-3.379559973,34.82945804,dry,4,8,4,3.5,4.875,12.21,27.3,0,26.69,,,,,2,2,0,4,8,0.5,0.61,12.67105242,-0.130595417,,,,,
52,9,35,Maswa,illegal,9,S,non,Open,05/07/2016,-3.379598027,34.82947396,dry,7,3,6,7.5,5.875,12.23,25.9,0,42.79,,,,,2,2,0,4,8,0.5,0.61,12.67105242,-0.130595417,,,,,
53,9,36,Maswa,illegal,9,I,inter,Excl,05/07/2016,-3.379475987,34.82938402,dry,3.5,3,2.5,3,3,12.25,31.2,0,100,,,,,2,2,0,4,8,0.5,0.61,12.67105242,-0.130595417,,,,,
54,9,36,Maswa,illegal,9,I,inter,Open,05/07/2016,-3.379327962,34.82924002,dry,4,7.5,4.5,6,5.5,12.28,28.4,0,100,,,,,2,2,0,4,8,0.5,0.61,12.67105242,-0.130595417,,,,,
55,10,25,Maswa,illegal,10,S,N,Excl,05/07/2016,-3.377683014,34.82340002,dry,6.5,3.8,5.5,6.5,5.575,12.46,27.7,0.54,31.14,6.6,2,4.6,31.8,0,2,0,0,2,0,1.03,9.383488471,-4.68E-15,-0.178955574,0.124991614,1.650000095,1.650000095,dryseason
56,10,25,Maswa,illegal,10,S,N,Open,05/07/2016,-3.377734981,34.823412,dry,15,4.5,6,5,7.625,12.48,23.8,0.22,28.85,6.6,2,4.6,31.8,0,2,0,0,2,0,1.03,9.383488471,-4.68E-15,0.029761741,0.058925157,1.650000095,1.650000095,dryseason
57,10,26,Maswa,illegal,10,S,non,Excl,05/07/2016,-3.378162039,34.82319097,dry,5,5,17.5,4.5,8,12.5,23.1,0.03,66.37,4,2.8,1.2,17.1,0,2,0,0,2,0,1.03,9.383488471,-4.68E-15,-0.168273267,0.270894093,1.650000095,1.650000095,dryseason
58,10,26,Maswa,illegal,10,S,non,Open,05/07/2016,-3.378130021,34.82320304,dry,16.5,6,4.5,3,7.5,12.51,28.2,0,63.92,4,2.8,1.2,17.1,0,2,0,0,2,0,1.03,9.383488471,-4.68E-15,0.02084088,0.31282298,1.650000095,1.650000095,dryseason
59,10,27,Maswa,illegal,10,I,inter,Excl,05/07/2016,-3.378006974,34.82323498,dry,7,7,6,5.5,6.375,12.54,28.7,1.48,100,,,,,0,2,0,0,2,0,1.03,9.383488471,-4.68E-15,-0.509430159,0.359369102,1.650000095,1.650000095,dryseason
60,10,27,Maswa,illegal,10,I,inter,Open,05/07/2016,-3.377879988,34.82315099,dry,6.5,3.5,5,4.5,4.875,12.56,29.4,0,100,,,,,0,2,0,0,2,0,1.03,9.383488471,-4.68E-15,-0.591085338,0.414608428,1.650000095,1.650000095,dryseason
61,11,28,Maswa,illegal,11,S,N,Excl,05/07/2016,-3.377846042,34.82037197,dry,33,5,5,25,17,13.07,21.4,0.12,24.2,6.8,2.8,4,68.8,2,2,0,0,4,0,1.14,10.45633545,0.049883384,0.508959208,0.117924909,1.650000095,1.650000095,dryseason
62,11,28,Maswa,illegal,11,S,N,Open,05/07/2016,-3.377830032,34.82038597,dry,14,22,11,15,15.5,13.08,24,0,20.81,6.8,2.8,4,68.8,2,2,0,0,4,0,1.14,10.45633545,0.049883384,0.679701383,-0.107031701,1.650000095,1.650000095,dryseason
63,11,29,Maswa,illegal,11,S,non,Excl,05/07/2016,-3.378100013,34.82046903,dry,9,4,5,4.5,5.625,13.12,25.5,0.26,44.35,7.2,6,1.2,39.9,2,2,0,0,4,0,1.14,10.45633545,0.049883384,0.777848658,-0.142199163,1.650000095,1.650000095,dryseason
64,11,29,Maswa,illegal,11,S,non,Open,05/07/2016,-3.378120968,34.82046702,dry,27,7.5,15,9.5,14.75,13.13,22.1,0,45.39,7.2,6,1.2,39.9,2,2,0,0,4,0,1.14,10.45633545,0.049883384,0.554704078,0.077782567,1.650000095,1.650000095,dryseason
65,11,30,Maswa,illegal,11,I,inter,Excl,05/07/2016,-3.377788961,34.82051698,dry,7,4.5,6,5.5,5.75,13.15,28.8,1.81,100,,,,,2,2,0,0,4,0,1.14,10.45633545,0.049883384,-0.198289182,0.236572338,1.650000095,1.650000095,dryseason
66,11,30,Maswa,illegal,11,I,inter,Open,05/07/2016,-3.378115017,34.82060096,dry,7.5,3,3,4,4.375,13.18,28.5,1.65,100,,,,,2,2,0,0,4,0,1.14,10.45633545,0.049883384,-0.172076964,0.241910982,1.650000095,1.650000095,dryseason
67,12,31,Maswa,illegal,12,S,N,Excl,05/07/2016,-3.376080981,34.82580998,dry,9,6.5,7,8,7.625,13.45,27.6,1.68,23.57,,,,,3,1,0,0,4,0,1.04,10.39372683,0.025412652,,,,,
68,12,31,Maswa,illegal,12,S,N,Open,05/07/2016,-3.376094978,34.82579196,dry,12,9,5.5,10,9.125,13.48,25.1,1.85,32.15,,,,,3,1,0,0,4,0,1.04,10.39372683,0.025412652,,,,,
69,12,32,Maswa,illegal,12,S,non,Excl,05/07/2016,-3.375994982,34.825843,dry,3,7.5,9,10,7.375,13.5,22.2,0.35,43.72,,,,,3,1,0,0,4,0,1.04,10.39372683,0.025412652,,,,,
70,12,32,Maswa,illegal,12,S,non,Open,05/07/2016,-3.375975033,34.82587896,dry,13.5,10.5,40,12,19,13.52,27,1.84,46.6,,,,,3,1,0,0,4,0,1.04,10.39372683,0.025412652,,,,,
71,12,33,Maswa,illegal,12,I,inter,Excl,05/07/2016,-3.375995988,34.82574997,dry,3.5,2,4.5,2.5,3.125,13.54,30.2,1.39,100,,,,,3,1,0,0,4,0,1.04,10.39372683,0.025412652,,,,,
72,12,33,Maswa,illegal,12,I,inter,Open,05/07/2016,-3.376091961,34.82570202,dry,11.5,10.5,5.5,3.5,7.75,13.57,30.2,1.43,100,,,,,3,1,0,0,4,0,1.04,10.39372683,0.025412652,,,,,
73,13,37,Maswa,wild,13,S,N,Excl,05/07/2016,-3.295762986,34.85236502,dry,3,4,3,8.5,4.625,9.39,21.3,2.72,21.88,7,3,4,15.8,0,5,0,0,5,0,9.16,11.21505277,0.064163378,-0.023251489,0.53823778,1.350000024,1.350000024,dryseason
74,13,37,Maswa,wild,13,S,N,Open,05/07/2016,-3.295791987,34.85235396,dry,6,3.3,6,35.5,12.7,9.43,21.1,2.5,23.66,7,3,4,15.8,0,5,0,0,5,0,9.16,11.21505277,0.064163378,0.222251249,0.319191143,1.350000024,1.350000024,dryseason
75,13,38,Maswa,wild,13,S,non,Excl,05/07/2016,-3.295764998,34.85218498,dry,4.5,4,15.3,18.7,10.625,9.45,18.8,4.37,8.54,6.2,5.6,0.6,10.9,0,5,0,0,5,0,9.16,11.21505277,0.064163378,0.54363287,0.208519928,1.350000024,1.350000024,dryseason
76,13,38,Maswa,wild,13,S,non,Open,05/07/2016,-3.29572401,34.85221004,dry,6.5,3,12.5,26,12,9.55,23.4,0.94,2.3,6.2,5.6,0.6,10.9,0,5,0,0,5,0,9.16,11.21505277,0.064163378,0.451520412,0.130255821,1.350000024,1.350000024,dryseason
77,13,39,Maswa,wild,13,I,inter,Excl,05/07/2016,-3.295741025,34.85229604,dry,4,2,4.5,2.5,3.25,9.47,21.9,3.32,100,,,,,0,5,0,0,5,0,9.16,11.21505277,0.064163378,-0.088411411,0.295646113,1.350000024,1.350000024,dryseason
78,13,39,Maswa,wild,13,I,inter,Open,05/07/2016,-3.295717975,34.85247198,dry,2,2.5,3,2,2.375,9.5,23.5,3.52,100,,,,,0,5,0,0,5,0,9.16,11.21505277,0.064163378,-0.032055941,0.530078681,1.350000024,1.350000024,dryseason
79,14,40,Maswa,wild,14,S,N,Excl,05/07/2016,-3.296608971,34.85440199,dry,3.5,4,2,2.5,3,10.22,23.2,2.47,5.03,6.8,6,0.8,30.7,0,15,0,0,15,0,9.09,17.66530114,0.154956963,0.698700402,0.208789576,1.350000024,1.350000024,dryseason
80,14,40,Maswa,wild,14,S,N,Open,05/07/2016,-3.296616012,34.85441599,dry,3,3.5,2.5,2,2.75,10.24,20.6,4.32,6.38,6.8,6,0.8,30.7,0,15,0,0,15,0,9.09,17.66530114,0.154956963,0.180258748,0.237676905,1.350000024,1.350000024,dryseason
81,14,41,Maswa,wild,14,S,non,Excl,05/07/2016,-3.29680603,34.85439302,dry,3.3,10.5,4.5,3,5.325,10.26,19.1,4.56,7.02,5.6,2.6,3,34.7,0,15,0,0,15,0,9.09,17.66530114,0.154956963,0.735564019,0.131149525,1.350000024,1.350000024,dryseason
82,14,41,Maswa,wild,14,S,non,Open,05/07/2016,-3.296788009,34.85442404,dry,4.5,6,7,4.5,5.5,10.29,19.7,3.61,9.51,5.6,2.6,3,34.7,0,15,0,0,15,0,9.09,17.66530114,0.154956963,0.953223639,0.172501308,1.350000024,1.350000024,dryseason
83,14,42,Maswa,wild,14,I,inter,Excl,05/07/2016,-3.29669103,34.854404,dry,4,1,2.5,1.5,2.25,10.32,23.2,2.97,100,,,,,0,15,0,0,15,0,9.09,17.66530114,0.154956963,-0.441470486,0.675709659,1.350000024,1.350000024,dryseason
84,14,42,Maswa,wild,14,I,inter,Open,05/07/2016,-3.296555998,34.854447,dry,2.5,1.5,1.5,2.5,2,10.34,23.9,3.84,100,,,,,0,15,0,0,15,0,9.09,17.66530114,0.154956963,-0.042529233,0.497992793,1.350000024,1.350000024,dryseason
85,15,43,Maswa,wild,15,S,N,Excl,05/07/2016,-3.299537022,34.84823501,dry,7,4,5,6,5.5,10.47,21.2,4.8,20.23,6.6,3.6,3,18.9,1,12,0,0,13,0,8.82,16.27553988,0.167209075,0.673647237,0.155455586,1.650000095,1.650000095,dryseason
86,15,43,Maswa,wild,15,S,N,Open,05/07/2016,-3.299542973,34.84823702,dry,27,11,9,7.5,13.625,10.49,20.1,4.67,39.43,6.6,3.6,3,18.9,1,12,0,0,13,0,8.82,16.27553988,0.167209075,0.683782379,-0.0153824,1.650000095,1.650000095,dryseason
87,15,44,Maswa,wild,15,S,non,Excl,05/07/2016,-3.299345998,34.84807097,dry,3,4,2.5,7,4.125,10.51,19.6,6.06,4.56,5.4,4.4,1,17.8,1,12,0,0,13,0,8.82,16.27553988,0.167209075,0.164781395,0.469273871,1.650000095,1.650000095,dryseason
88,15,44,Maswa,wild,15,S,non,Open,05/07/2016,-3.299282966,34.84808204,dry,4,3.8,3.5,2,3.325,10.53,24.3,2.87,3.27,5.4,4.4,1,17.8,1,12,0,0,13,0,8.82,16.27553988,0.167209075,0.795710928,0.347448833,1.650000095,1.650000095,dryseason
89,15,45,Maswa,wild,15,I,inter,Excl,05/07/2016,-3.299353039,34.84819,dry,4.5,3,5,19.5,8,10.55,23.3,5.7,100,,,,,1,12,0,0,13,0,8.82,16.27553988,0.167209075,-0.203592254,0.40970768,1.650000095,1.650000095,dryseason
90,15,45,Maswa,wild,15,I,inter,Open,05/07/2016,-3.299390003,34.84834104,dry,2.5,2.5,3,2.5,2.625,10.57,24.6,5.18,100,,,,,1,12,0,0,13,0,8.82,16.27553988,0.167209075,-0.188915782,0.608514314,1.650000095,1.650000095,dryseason
91,16,46,Maswa,wild,16,S,N,Excl,05/07/2016,-3.302548975,34.84792002,dry,4.3,3,4,1.5,3.2,11.09,22,3.68,13.19,8,3,5,24.7,3,5,0,0,8,0,8.54,12.74476196,0.1271092,0.206318177,0.340758786,1.650000095,1.650000095,dryseason
92,16,46,Maswa,wild,16,S,N,Open,05/07/2016,-3.302568002,34.84790904,dry,5,3,2.5,1.5,3,11.12,20.3,4.46,29.08,8,3,5,24.7,3,5,0,0,8,0,8.54,12.74476196,0.1271092,0.100562924,0.281445698,1.650000095,1.650000095,dryseason
93,16,47,Maswa,wild,16,S,non,Excl,05/07/2016,-3.302675039,34.84818899,dry,4,4,2.5,4.5,3.75,11.14,20.8,4.1,11.09,6.4,3.6,2.8,61.4,3,5,0,0,8,0,8.54,12.74476196,0.1271092,0.709489698,0.142762276,1.650000095,1.650000095,dryseason
94,16,47,Maswa,wild,16,S,non,Open,05/07/2016,-3.302684007,34.84821204,dry,3.5,6.5,3,1.5,3.625,11.16,24.4,3.42,17.29,6.4,3.6,2.8,61.4,3,5,0,0,8,0,8.54,12.74476196,0.1271092,0.67612968,0.165818119,1.650000095,1.650000095,dryseason
95,16,48,Maswa,wild,16,I,inter,Excl,05/07/2016,-3.302542018,34.84816502,dry,1,1.5,1.5,1.5,1.375,11.18,23.9,4.25,100,,,,,3,5,0,0,8,0,8.54,12.74476196,0.1271092,-0.130261988,0.622023883,1.650000095,1.650000095,dryseason
