Site;Region;Landuse;Stuart_correction;Block;ID_SUA;CLAY %;SILT %;SAND %;Class;OC %
Makao;Dry;Pasture;2;1;678;23.96;0.92;75.12;sandy clay loam;1.25
Makao;Dry;Pasture;3;2;679;19.96;4.92;75.12;sandy loam;1.64
Makao;Dry;Pasture;1;3;680;21.96;8.92;69.12;sandy clay loam;1.75
Makao;Dry;Pasture;4;4;681;25.96;6.92;67.12;sandy clay loam;1.76
Makao;Dry;Agriculture;1;1;682;12.57;0.97;86.47;loamy sand;1.02
Makao;Dry;Agriculture;2;2;683;21.13;3.09;75.78;sandy clay loam;0.46
Makao;Dry;Agriculture;3;3;684;54.08;21.26;24.65;clay;1.84
Makao;Dry;Agriculture;4;4;685;51.96;18.92;29.12;clay;1.85
Maswa;Dry;Wild;3;1;686;47.96;22.92;29.12;clay;2.88
Maswa;Dry;Wild;4;2;687;45.27;23.60;31.12;clay;2.05
Maswa;Dry;Wild;1;3;688;38.69;26.81;34.50;clay loam;2.55
Maswa;Dry;Wild;2;4;689;28.15;25.09;46.77;sandy clay loam;2.17
Mwantimba;Wet;Pasture;1;1;694;31.21;11.38;57.41;sandy clay loam;1.73
Mwantimba;Wet;Pasture;4;2;695;33.96;8.92;57.12;sandy clay loam;2.07
Mwantimba;Wet;Pasture;2;3;696;39.96;12.92;47.12;sandy clay;1.65
Mwantimba;Wet;Pasture;3;4;697;27.96;4.92;67.12;sandy clay loam;1.04
Mwantimba;Wet;Agriculture;1;1;698;45.96;14.92;39.12;clay;2.04
Mwantimba;Wet;Agriculture;2;2;699;34.34;19.23;46.43;sandy clay loam;1.75
Mwantimba;Wet;Agriculture;3;3;700;27.96;4.92;67.12;sandy clay loam;0.89
Mwantimba;Wet;Agriculture;4;4;701;17.96;4.92;77.12;sandy loam;2.02
Handajega;Wet;Wild;3;1;702;21.96;4.92;73.12;sandy clay loam;1.24
Handajega;Wet;Wild;4;2;703;23.96;4.92;71.12;sandy clay loam;3.31
Handajega;Wet;Wild;1;3;704;25.96;8.92;65.12;sandy clay loam;1.61
Handajega;Wet;Wild;2;4;705;25.96;8.92;65.12;sandy clay loam;1.70
Seronera;Dry-Wet;Common Garden;1;1;690;29.08;7.20;63.73;sandy clay loam;1.10
Seronera;Dry-Wet;Common Garden;2;2;691;21.07;7.31;71.62;sandy clay loam;1.45
Seronera;Dry-Wet;Common Garden;3;3;692;21.96;4.92;73.12;sandy clay loam;1.40
Seronera;Dry-Wet;Common Garden;4;4;693;15.96;6.92;77.12;sandy loam;0.61
