"","Region","Landuse","Clay","Clay.sd","Silt","Silt.sd","Sand","Sand.sd","Who"
"1","Makao","Agriculture",34.935,21.1908226991466,11.06,10.5063250790496,54.005,31.6707335984923,"SUA"
"2","Mwantimba","Agriculture",31.555,11.7332618369034,10.9975,7.23491706932429,57.4475,17.6809414813428,"SUA"
"3","Makao","Pasture",22.96,2.58198889747161,5.42,3.41565025531987,71.62,4.12310562561766,"SUA"
"4","Mwantimba","Pasture",33.2725,5.0882831092619,9.535,3.48992359037654,57.1925,8.16625322082696,"SUA"
"5","Handajega","Wild",24.46,1.91485421551268,6.92,2.3094010767585,68.62,4.12310562561766,"SUA"
"6","Maswa","Wild",40.0175,8.81800950706375,24.605,1.72689509428531,35.3775,7.91289401335988,"SUA"
"7","Seronera","Wild",22.0175,5.39979243428239,6.5875,1.12372520365672,71.3975,5.61409164513726,"SUA"
"11","Makao","Pasture",21.5,0.707106781186548,16,2.82842712474619,62.5,3.53553390593274,"NMBU"
"21","Mwantimba","Pasture",31,4.24264068711928,23.5,4.94974746830583,46,0,"NMBU"
"41","Handajega","Wild",18,2.82842712474619,19,1.4142135623731,62.5,3.53553390593274,"NMBU"
"61","Maswa","Wild",53,12.7279220613579,32.5,9.19238815542512,14.5,3.53553390593274,"NMBU"
"71","Seronera","Wild",11,1.4142135623731,21,0,68,1.4142135623731,"NMBU"
