Column1;Site;Region;Landuse;Stuart_correction;Block;ID_SUA;CLAY..;SILT..;SAND..;Class;OC..;Claycorr;Siltcorr;Sandcorr;SUM;Diff from hunded;Dividedbythree;Clay;Silt;Sand;SUM2
1;Makao;Dry;Pasture;2;1;678;23.96;0.92;75.12;sandy clay loam;1.25;21.665132;13.381888;66.747172;101.794192;-1.794192;-0.598064;21.067068;12.783824;66.149108;100
2;Makao;Dry;Pasture;3;2;679;19.96;4.92;75.12;sandy loam;1.64;16.308332;16.637488;66.747172;99.692992;0.307008;0.102336;16.410668;16.739824;66.849508;100
3;Makao;Dry;Pasture;1;3;680;21.96;8.92;69.12;sandy clay loam;1.75;18.986732;19.893088;59.978572;98.858392;1.141608;0.380536;19.367268;20.273624;60.359108;100
4;Makao;Dry;Pasture;4;4;681;25.96;6.92;67.12;sandy clay loam;1.76;24.343532;18.265288;57.722372;100.331192;-0.331192;-0.110397333;24.23313467;18.15489067;57.61197467;100
5;Makao;Dry;Agriculture;1;1;682;12.57;0.97;86.47;loamy sand;1.02;6.411644;13.422583;79.551107;99.385334;0.614666;0.204888667;6.616532667;13.62747167;79.75599567;100
6;Makao;Dry;Agriculture;2;2;683;21.13;3.09;75.78;sandy clay loam;0.46;17.875196;15.148051;67.491718;100.514965;-0.514965;-0.171655;17.703541;14.976396;67.320063;100
7;Makao;Dry;Agriculture;3;3;684;54.08;21.26;24.65;clay;1.84;62.001836;29.936614;9.811965;101.750415;-1.750415;-0.583471667;61.41836433;29.35314233;9.228493333;100
8;Makao;Dry;Agriculture;4;4;685;51.96;18.92;29.12;clay;1.85;59.162732;28.032088;14.854572;102.049392;-2.049392;-0.683130667;58.47960133;27.34895733;14.17144133;100
9;Maswa;Dry;Wild;3;1;686;47.96;22.92;29.12;clay;2.88;53.805932;31.287688;14.854572;99.948192;0.051808;0.017269333;53.82320133;31.30495733;14.87184133;100
10;Maswa;Dry;Wild;4;2;687;45.27;23.6;31.12;clay;2.05;50.203484;31.84114;17.110772;99.155396;0.844604;0.281534667;50.48501867;32.12267467;17.39230667;100
11;Maswa;Dry;Wild;1;3;688;38.69;26.81;34.5;clay loam;2.55;41.391548;34.453759;20.92375;96.769057;3.230943;1.076981;42.468529;35.53074;22.000731;100
12;Maswa;Dry;Wild;2;4;689;28.15;25.09;46.77;sandy clay loam;2.17;27.27638;33.053851;34.765537;95.095768;4.904232;1.634744;28.911124;34.688595;36.400281;100
13;Mwantimba;Wet;Pasture;1;1;694;31.21;11.38;57.41;sandy clay loam;1.73;31.374332;21.895282;46.768521;100.038135;-0.038135;-0.012711667;31.36162033;21.88257033;46.75580933;100
14;Mwantimba;Wet;Pasture;4;2;695;33.96;8.92;57.12;sandy clay loam;2.07;35.057132;19.893088;46.441372;101.391592;-1.391592;-0.463864;34.593268;19.429224;45.977508;100
15;Mwantimba;Wet;Pasture;2;3;696;39.96;12.92;47.12;sandy clay;1.65;43.092332;23.148688;35.160372;101.401392;-1.401392;-0.467130667;42.62520133;22.68155733;34.69324133;100
16;Mwantimba;Wet;Pasture;3;4;697;27.96;4.92;67.12;sandy clay loam;1.04;27.021932;16.637488;57.722372;101.381792;-1.381792;-0.460597333;26.56133467;16.17689067;57.26177467;100
17;Mwantimba;Wet;Agriculture;1;1;698;45.96;14.92;39.12;clay;2.04;51.127532;24.776488;26.135572;102.039592;-2.039592;-0.679864;50.447668;24.096624;25.455708;100
18;Mwantimba;Wet;Agriculture;2;2;699;34.34;19.23;46.43;sandy clay loam;1.75;35.566028;28.284397;34.381983;98.232408;1.767592;0.589197333;36.15522533;28.87359433;34.97118033;100
19;Mwantimba;Wet;Agriculture;3;3;700;27.96;4.92;67.12;sandy clay loam;0.89;27.021932;16.637488;57.722372;101.381792;-1.381792;-0.460597333;26.56133467;16.17689067;57.26177467;100
20;Mwantimba;Wet;Agriculture;4;4;701;17.96;4.92;77.12;sandy loam;2.02;13.629932;16.637488;69.003372;99.270792;0.729208;0.243069333;13.87300133;16.88055733;69.24644133;100
21;Handajega;Wet;Wild;3;1;702;21.96;4.92;73.12;sandy clay loam;1.24;18.986732;16.637488;64.490972;100.115192;-0.115192;-0.038397333;18.94833467;16.59909067;64.45257467;100
22;Handajega;Wet;Wild;4;2;703;23.96;4.92;71.12;sandy clay loam;3.31;21.665132;16.637488;62.234772;100.537392;-0.537392;-0.179130667;21.48600133;16.45835733;62.05564133;100
23;Handajega;Wet;Wild;1;3;704;25.96;8.92;65.12;sandy clay loam;1.61;24.343532;19.893088;55.466172;99.702792;0.297208;0.099069333;24.44260133;19.99215733;55.56524133;100
24;Handajega;Wet;Wild;2;4;705;25.96;8.92;65.12;sandy clay loam;1.7;24.343532;19.893088;55.466172;99.702792;0.297208;0.099069333;24.44260133;19.99215733;55.56524133;100
25;Seronera;Dry-Wet;Common Garden;1;1;690;29.08;7.2;63.73;sandy clay loam;1.1;28.521836;18.49318;53.898113;100.913129;-0.913129;-0.304376333;28.21745967;18.18880367;53.59373667;100
26;Seronera;Dry-Wet;Common Garden;2;2;691;21.07;7.31;71.62;sandy clay loam;1.45;17.794844;18.582709;62.798822;99.176375;0.823625;0.274541667;18.06938567;18.85725067;63.07336367;100
27;Seronera;Dry-Wet;Common Garden;3;3;692;21.96;4.92;73.12;sandy clay loam;1.4;18.986732;16.637488;64.490972;100.115192;-0.115192;-0.038397333;18.94833467;16.59909067;64.45257467;100
28;Seronera;Dry-Wet;Common Garden;4;4;693;15.96;6.92;77.12;sandy loam;0.61;10.951532;18.265288;69.003372;98.220192;1.779808;0.593269333;11.54480133;18.85855733;69.59664133;100
