Experiment;Site;Region;Block;Landuse;Soil class
Main;Makao;Dry;1;Agriculture;Leptosols
Main;Makao;Dry;2;Agriculture;Leptosols
Main;Makao;Dry;3;Agriculture;Vertisols
Main;Makao;Dry;4;Agriculture;Vertisols
Main;Makao;Dry;1;Pasture;Leptosols
Main;Makao;Dry;2;Pasture;Leptosols
Main;Makao;Dry;3;Pasture;Leptosols
Main;Makao;Dry;4;Pasture;Leptosols
Main;Maswa;Dry;1;Wild;Leptosols
Main;Maswa;Dry;2;Wild;Leptosols
Main;Maswa;Dry;3;Wild;Leptosols
Main;Maswa;Dry;4;Wild;Leptosols
Main;Mwantimba;Wet;1;Agriculture;Planosol
Main;Mwantimba;Wet;2;Agriculture;Planosol
Main;Mwantimba;Wet;3;Agriculture;Arenosols
Main;Mwantimba;Wet;4;Agriculture;Arenosols
Main;Mwantimba;Wet;1;Pasture;Arenosols/Planosols
Main;Mwantimba;Wet;2;Pasture;Arenosols/Planosols
Main;Mwantimba;Wet;3;Pasture;Arenosols/Planosols
Main;Mwantimba;Wet;4;Pasture;Arenosols/Planosols
Main;Handajega;Wet;1;Wild;Vertisols/Planosols
Main;Handajega;Wet;2;Wild;Vertisols/Planosols
Main;Handajega;Wet;3;Wild;Vertisols/Planosols
Main;Handajega;Wet;4;Wild;Vertisols/Planosols
CG;Seronera;Intermediate;1;Wild;Solonchaks
CG;Seronera;Intermediate;2;Wild;Solonchaks
CG;Seronera;Intermediate;3;Wild;Solonchaks
CG;Seronera;Intermediate;4;Wild;Solonchaks
