"","Site","Region","Landuse","Stuart_correction","Block","ID_SUA","CLAY..","SILT..","SAND..","Class","OC..","Claycorr","Siltcorr","Sandcorr"
"1","Makao","Dry","Pasture",2,1,678,23.96,0.92,75.12,"sandy clay loam",1.25,21.665132,13.381888,66.747172
"2","Makao","Dry","Pasture",3,2,679,19.96,4.92,75.12,"sandy loam",1.64,16.308332,16.637488,66.747172
"3","Makao","Dry","Pasture",1,3,680,21.96,8.92,69.12,"sandy clay loam",1.75,18.986732,19.893088,59.978572
"4","Makao","Dry","Pasture",4,4,681,25.96,6.92,67.12,"sandy clay loam",1.76,24.343532,18.265288,57.722372
"5","Makao","Dry","Agriculture",1,1,682,12.57,0.97,86.47,"loamy sand",1.02,6.411644,13.422583,79.551107
"6","Makao","Dry","Agriculture",2,2,683,21.13,3.09,75.78,"sandy clay loam",0.46,17.875196,15.148051,67.491718
"7","Makao","Dry","Agriculture",3,3,684,54.08,21.26,24.65,"clay",1.84,62.001836,29.936614,9.811965
"8","Makao","Dry","Agriculture",4,4,685,51.96,18.92,29.12,"clay",1.85,59.162732,28.032088,14.854572
"9","Maswa","Dry","Wild",3,1,686,47.96,22.92,29.12,"clay",2.88,53.805932,31.287688,14.854572
"10","Maswa","Dry","Wild",4,2,687,45.27,23.6,31.12,"clay",2.05,50.203484,31.84114,17.110772
"11","Maswa","Dry","Wild",1,3,688,38.69,26.81,34.5,"clay loam",2.55,41.391548,34.453759,20.92375
"12","Maswa","Dry","Wild",2,4,689,28.15,25.09,46.77,"sandy clay loam",2.17,27.27638,33.053851,34.765537
"13","Mwantimba","Wet","Pasture",1,1,694,31.21,11.38,57.41,"sandy clay loam",1.73,31.374332,21.895282,46.768521
"14","Mwantimba","Wet","Pasture",4,2,695,33.96,8.92,57.12,"sandy clay loam",2.07,35.057132,19.893088,46.441372
"15","Mwantimba","Wet","Pasture",2,3,696,39.96,12.92,47.12,"sandy clay",1.65,43.092332,23.148688,35.160372
"16","Mwantimba","Wet","Pasture",3,4,697,27.96,4.92,67.12,"sandy clay loam",1.04,27.021932,16.637488,57.722372
"17","Mwantimba","Wet","Agriculture",1,1,698,45.96,14.92,39.12,"clay",2.04,51.127532,24.776488,26.135572
"18","Mwantimba","Wet","Agriculture",2,2,699,34.34,19.23,46.43,"sandy clay loam",1.75,35.566028,28.284397,34.381983
"19","Mwantimba","Wet","Agriculture",3,3,700,27.96,4.92,67.12,"sandy clay loam",0.89,27.021932,16.637488,57.722372
"20","Mwantimba","Wet","Agriculture",4,4,701,17.96,4.92,77.12,"sandy loam",2.02,13.629932,16.637488,69.003372
"21","Handajega","Wet","Wild",3,1,702,21.96,4.92,73.12,"sandy clay loam",1.24,18.986732,16.637488,64.490972
"22","Handajega","Wet","Wild",4,2,703,23.96,4.92,71.12,"sandy clay loam",3.31,21.665132,16.637488,62.234772
"23","Handajega","Wet","Wild",1,3,704,25.96,8.92,65.12,"sandy clay loam",1.61,24.343532,19.893088,55.466172
"24","Handajega","Wet","Wild",2,4,705,25.96,8.92,65.12,"sandy clay loam",1.7,24.343532,19.893088,55.466172
"25","Seronera","Dry-Wet","Common Garden",1,1,690,29.08,7.2,63.73,"sandy clay loam",1.1,28.521836,18.49318,53.898113
"26","Seronera","Dry-Wet","Common Garden",2,2,691,21.07,7.31,71.62,"sandy clay loam",1.45,17.794844,18.582709,62.798822
"27","Seronera","Dry-Wet","Common Garden",3,3,692,21.96,4.92,73.12,"sandy clay loam",1.4,18.986732,16.637488,64.490972
"28","Seronera","Dry-Wet","Common Garden",4,4,693,15.96,6.92,77.12,"sandy loam",0.61,10.951532,18.265288,69.003372
