Season;Site;Rain.sum
Dry;Handajega;162.6342073
Dry;Makao;6.708962344
Dry;Maswa;9.731508493
Dry;Mwantimba;136.7359694
Dry;Seronera;171.8481842
Wet;Handajega;184.8119371
Wet;Makao;204.2116611
Wet;Maswa;189.6394726
Wet;Mwantimba;206.8173452
Wet;Seronera;175.2158954
