plot;Site;sitecode;rain.region;season;Landuse;Sitenumber;block_code;rain.sum
219;Seronera;Local3_CG3;Dry-Wet;Wet;Common Garden;3;CG_Seronera;175.0546857
220;Seronera;Local4_CG4;Dry-Wet;Wet;Common Garden;4;CG_Seronera;175.0546857
217;Seronera;Local1_CG1;Dry-Wet;Wet;Common Garden;1;CG_Seronera;175.3771051
218;Seronera;Local2_CG2;Dry-Wet;Wet;Common Garden;2;CG_Seronera;175.3771051
161;Handajega;Wet_W1_T1;Wet;Wet;Wild;1;W1_Handajega;181.3834426
162;Handajega;Wet_W1_T2;Wet;Wet;Wild;1;W1_Handajega;181.3834426
163;Handajega;Wet_W1_T3;Wet;Wet;Wild;1;W1_Handajega;181.3834426
164;Handajega;Wet_W1_T4;Wet;Wet;Wild;1;W1_Handajega;181.3834426
165;Handajega;Wet_W1_T5;Wet;Wet;Wild;1;W1_Handajega;181.3834426
166;Handajega;Wet_W1_T6;Wet;Wet;Wild;1;W1_Handajega;181.3834426
167;Handajega;Wet_W1_T7;Wet;Wet;Wild;1;W1_Handajega;181.3834426
168;Handajega;Wet_W1_T8;Wet;Wet;Wild;1;W1_Handajega;181.3834426
169;Handajega;Wet_W2_T1;Wet;Wet;Wild;2;W2_Handajega;181.3834426
170;Handajega;Wet_W2_T2;Wet;Wet;Wild;2;W2_Handajega;181.3834426
171;Handajega;Wet_W2_T3;Wet;Wet;Wild;2;W2_Handajega;181.3834426
172;Handajega;Wet_W2_T4;Wet;Wet;Wild;2;W2_Handajega;181.3834426
173;Handajega;Wet_W2_T5;Wet;Wet;Wild;2;W2_Handajega;181.3834426
174;Handajega;Wet_W2_T6;Wet;Wet;Wild;2;W2_Handajega;181.3834426
175;Handajega;Wet_W2_T7;Wet;Wet;Wild;2;W2_Handajega;181.3834426
176;Handajega;Wet_W2_T8;Wet;Wet;Wild;2;W2_Handajega;181.3834426
81;Maswa;Dry_W3_T1;Dry;Wet;Wild;3;W3_Maswa;185.0118508
17;Makao;Dry_Ag3_T1;Dry;Wet;Agriculture;3;A3_Makao;185.6300658
18;Makao;Dry_Ag3_T2;Dry;Wet;Agriculture;3;A3_Makao;185.6300658
19;Makao;Dry_Ag3_T3;Dry;Wet;Agriculture;3;A3_Makao;185.6300658
20;Makao;Dry_Ag3_T4;Dry;Wet;Agriculture;3;A3_Makao;185.6300658
21;Makao;Dry_Ag3_T5;Dry;Wet;Agriculture;3;A3_Makao;185.6300658
22;Makao;Dry_Ag3_T6;Dry;Wet;Agriculture;3;A3_Makao;185.6300658
23;Makao;Dry_Ag3_T7;Dry;Wet;Agriculture;3;A3_Makao;185.6300658
24;Makao;Dry_Ag3_T8;Dry;Wet;Agriculture;3;A3_Makao;185.6300658
25;Makao;Dry_Ag4_T1;Dry;Wet;Agriculture;4;A4_Makao;185.6300658
26;Makao;Dry_Ag4_T2;Dry;Wet;Agriculture;4;A4_Makao;185.6300658
27;Makao;Dry_Ag4_T3;Dry;Wet;Agriculture;4;A4_Makao;185.6300658
28;Makao;Dry_Ag4_T4;Dry;Wet;Agriculture;4;A4_Makao;185.6300658
29;Makao;Dry_Ag4_T5;Dry;Wet;Agriculture;4;A4_Makao;185.6300658
30;Makao;Dry_Ag4_T6;Dry;Wet;Agriculture;4;A4_Makao;185.6300658
31;Makao;Dry_Ag4_T7;Dry;Wet;Agriculture;4;A4_Makao;185.6300658
32;Makao;Dry_Ag4_T8;Dry;Wet;Agriculture;4;A4_Makao;185.6300658
65;Maswa;Dry_W1_T1;Dry;Wet;Wild;1;W1_Maswa;185.6300658
66;Maswa;Dry_W1_T2;Dry;Wet;Wild;1;W1_Maswa;185.6300658
67;Maswa;Dry_W1_T3;Dry;Wet;Wild;1;W1_Maswa;185.6300658
68;Maswa;Dry_W1_T4;Dry;Wet;Wild;1;W1_Maswa;185.6300658
69;Maswa;Dry_W1_T5;Dry;Wet;Wild;1;W1_Maswa;185.6300658
70;Maswa;Dry_W1_T6;Dry;Wet;Wild;1;W1_Maswa;185.6300658
71;Maswa;Dry_W1_T7;Dry;Wet;Wild;1;W1_Maswa;185.6300658
72;Maswa;Dry_W1_T8;Dry;Wet;Wild;1;W1_Maswa;185.6300658
73;Maswa;Dry_W2_T1;Dry;Wet;Wild;2;W2_Maswa;185.6300658
74;Maswa;Dry_W2_T2;Dry;Wet;Wild;2;W2_Maswa;185.6300658
75;Maswa;Dry_W2_T3;Dry;Wet;Wild;2;W2_Maswa;185.6300658
76;Maswa;Dry_W2_T4;Dry;Wet;Wild;2;W2_Maswa;185.6300658
77;Maswa;Dry_W2_T5;Dry;Wet;Wild;2;W2_Maswa;185.6300658
78;Maswa;Dry_W2_T6;Dry;Wet;Wild;2;W2_Maswa;185.6300658
79;Maswa;Dry_W2_T7;Dry;Wet;Wild;2;W2_Maswa;185.6300658
80;Maswa;Dry_W2_T8;Dry;Wet;Wild;2;W2_Maswa;185.6300658
177;Handajega;Wet_W3_T1;Wet;Wet;Wild;3;W3_Handajega;188.2404315
178;Handajega;Wet_W3_T2;Wet;Wet;Wild;3;W3_Handajega;188.2404315
179;Handajega;Wet_W3_T3;Wet;Wet;Wild;3;W3_Handajega;188.2404315
180;Handajega;Wet_W3_T4;Wet;Wet;Wild;3;W3_Handajega;188.2404315
181;Handajega;Wet_W3_T5;Wet;Wet;Wild;3;W3_Handajega;188.2404315
182;Handajega;Wet_W3_T6;Wet;Wet;Wild;3;W3_Handajega;188.2404315
183;Handajega;Wet_W3_T7;Wet;Wet;Wild;3;W3_Handajega;188.2404315
184;Handajega;Wet_W3_T8;Wet;Wet;Wild;3;W3_Handajega;188.2404315
185;Handajega;Wet_W4_T1;Wet;Wet;Wild;4;W4_Handajega;188.2404315
186;Handajega;Wet_W4_T2;Wet;Wet;Wild;4;W4_Handajega;188.2404315
187;Handajega;Wet_W4_T3;Wet;Wet;Wild;4;W4_Handajega;188.2404315
188;Handajega;Wet_W4_T4;Wet;Wet;Wild;4;W4_Handajega;188.2404315
189;Handajega;Wet_W4_T5;Wet;Wet;Wild;4;W4_Handajega;188.2404315
190;Handajega;Wet_W4_T6;Wet;Wet;Wild;4;W4_Handajega;188.2404315
191;Handajega;Wet_W4_T7;Wet;Wet;Wild;4;W4_Handajega;188.2404315
192;Handajega;Wet_W4_T8;Wet;Wet;Wild;4;W4_Handajega;188.2404315
1;Makao;Dry_Ag1_T1;Dry;Wet;Agriculture;1;A1_Makao;194.4383925
2;Makao;Dry_Ag1_T2;Dry;Wet;Agriculture;1;A1_Makao;194.4383925
4;Makao;Dry_Ag1_T4;Dry;Wet;Agriculture;1;A1_Makao;194.4383925
5;Makao;Dry_Ag1_T5;Dry;Wet;Agriculture;1;A1_Makao;194.4383925
6;Makao;Dry_Ag1_T6;Dry;Wet;Agriculture;1;A1_Makao;194.4383925
7;Makao;Dry_Ag1_T7;Dry;Wet;Agriculture;1;A1_Makao;194.4383925
8;Makao;Dry_Ag1_T8;Dry;Wet;Agriculture;1;A1_Makao;194.4383925
9;Makao;Dry_Ag2_T1;Dry;Wet;Agriculture;2;A2_Makao;194.4383925
10;Makao;Dry_Ag2_T2;Dry;Wet;Agriculture;2;A2_Makao;194.4383925
11;Makao;Dry_Ag2_T3;Dry;Wet;Agriculture;2;A2_Makao;194.4383925
13;Makao;Dry_Ag2_T5;Dry;Wet;Agriculture;2;A2_Makao;194.4383925
14;Makao;Dry_Ag2_T6;Dry;Wet;Agriculture;2;A2_Makao;194.4383925
15;Makao;Dry_Ag2_T7;Dry;Wet;Agriculture;2;A2_Makao;194.4383925
16;Makao;Dry_Ag2_T8;Dry;Wet;Agriculture;2;A2_Makao;194.4383925
82;Maswa;Dry_W3_T2;Dry;Wet;Wild;3;W3_Maswa;194.930098
83;Maswa;Dry_W3_T3;Dry;Wet;Wild;3;W3_Maswa;194.930098
84;Maswa;Dry_W3_T4;Dry;Wet;Wild;3;W3_Maswa;194.930098
85;Maswa;Dry_W3_T5;Dry;Wet;Wild;3;W3_Maswa;194.930098
86;Maswa;Dry_W3_T6;Dry;Wet;Wild;3;W3_Maswa;194.930098
87;Maswa;Dry_W3_T7;Dry;Wet;Wild;3;W3_Maswa;194.930098
89;Maswa;Dry_W4_T1;Dry;Wet;Wild;4;W4_Maswa;194.930098
90;Maswa;Dry_W4_T2;Dry;Wet;Wild;4;W4_Maswa;194.930098
91;Maswa;Dry_W4_T3;Dry;Wet;Wild;4;W4_Maswa;194.930098
92;Maswa;Dry_W4_T4;Dry;Wet;Wild;4;W4_Maswa;194.930098
93;Maswa;Dry_W4_T5;Dry;Wet;Wild;4;W4_Maswa;194.930098
95;Maswa;Dry_W4_T7;Dry;Wet;Wild;4;W4_Maswa;194.930098
96;Maswa;Dry_W4_T8;Dry;Wet;Wild;4;W4_Maswa;194.930098
145;Mwantimba;Wet_P3_T1;Wet;Wet;Pasture;3;P3_Mwantimba;205.7613921
146;Mwantimba;Wet_P3_T2;Wet;Wet;Pasture;3;P3_Mwantimba;205.7613921
97;Mwantimba;Wet_Ag1_T1;Wet;Wet;Agriculture;1;A1_Mwantimba;206.8514082
98;Mwantimba;Wet_Ag1_T2;Wet;Wet;Agriculture;1;A1_Mwantimba;206.8514082
99;Mwantimba;Wet_Ag1_T3;Wet;Wet;Agriculture;1;A1_Mwantimba;206.8514082
100;Mwantimba;Wet_Ag1_T4;Wet;Wet;Agriculture;1;A1_Mwantimba;206.8514082
101;Mwantimba;Wet_Ag1_T5;Wet;Wet;Agriculture;1;A1_Mwantimba;206.8514082
102;Mwantimba;Wet_Ag1_T6;Wet;Wet;Agriculture;1;A1_Mwantimba;206.8514082
103;Mwantimba;Wet_Ag1_T7;Wet;Wet;Agriculture;1;A1_Mwantimba;206.8514082
104;Mwantimba;Wet_Ag1_T8;Wet;Wet;Agriculture;1;A1_Mwantimba;206.8514082
105;Mwantimba;Wet_Ag2_T1;Wet;Wet;Agriculture;2;A2_Mwantimba;206.8514082
106;Mwantimba;Wet_Ag2_T2;Wet;Wet;Agriculture;2;A2_Mwantimba;206.8514082
107;Mwantimba;Wet_Ag2_T3;Wet;Wet;Agriculture;2;A2_Mwantimba;206.8514082
108;Mwantimba;Wet_Ag2_T4;Wet;Wet;Agriculture;2;A2_Mwantimba;206.8514082
