latitude,longitude,Region,landuse,Block,Block.ID,treatment,setup.date,harvest.date,Herb_N,Herb_P,Herb_C
-3.406853,34.8516,Makao,pasture,4,4,exclosure,3/26/2017,5/9/17,1.23,0.16,39.91
-2.437747,34.855162,Seronera,wild,1,17,exclosure,3/18/2017,5/17/2017,1.25,0.36,40.58
-2.437747,34.855162,Seronera,wild,1,17,exclosure,3/18/2017,5/17/2017,1.33,0.29,40.4
-2.437747,34.855162,Seronera,wild,1,17,grazed,3/18/2017,5/17/2017,1.1,0.39,39.87
-2.437766,34.855394,Seronera,wild,2,18,exclosure,3/18/2017,5/17/2017,1.06,0.34,40.14
-2.437766,34.855394,Seronera,wild,2,18,exclosure,3/18/2017,5/17/2017,1.54,0.43,39.54
-2.437991,34.855418,Seronera,wild,3,19,exclosure,3/18/2017,5/17/2017,1.07,0.26,37.04
-2.437991,34.855418,Seronera,wild,3,19,exclosure,3/18/2017,5/17/2017,1.06,0.36,39.68
-2.437991,34.855418,Seronera,wild,3,19,grazed,3/18/2017,5/17/2017,0.88,0.23,39.16
-2.438079,34.854989,Seronera,wild,4,20,exclosure,3/18/2017,5/17/2017,1.69,0.44,40.67
-2.438079,34.854989,Seronera,wild,4,20,grazed,3/18/2017,5/17/2017,0.95,0.32,41.8
-2.2783,34.024459,Handajega,wild,2,14,exclosure,7/24/2017,10/1/17,0.75,0.19,40.8
-2.2783,34.024459,Handajega,wild,2,14,grazed,7/24/2017,10/1/17,0.83,0.14,41.19
-2.277999,34.027678,Handajega,wild,3,15,exclosure,7/24/2017,10/1/17,0.58,0.18,40.94
-2.277999,34.027678,Handajega,wild,3,15,grazed,7/24/2017,10/1/17,0.68,0.17,41.33
-2.350052,34.049976,Mwantimba,pasture,1,9,exclosure,7/23/2017,9/30/2017,1.73,0.155,34.255
-2.350052,34.049976,Mwantimba,pasture,1,9,grazed,7/23/2017,9/30/2017,0.67,0.12,10.48
-2.348488,34.05011,Mwantimba,pasture,2,10,exclosure,7/23/2017,9/30/2017,2.185,0.22,39.415
-2.348488,34.05011,Mwantimba,pasture,2,10,grazed,7/23/2017,9/30/2017,2.49,0.16,27.4
-2.367293,34.062509,Mwantimba,pasture,3,11,exclosure,7/23/2017,9/30/2017,0.72,0.18,38.54
-2.367293,34.062509,Mwantimba,pasture,3,11,grazed,7/23/2017,9/30/2017,0.93,0.11,38.99
-2.36857,34.062586,Mwantimba,pasture,4,12,exclosure,7/23/2017,9/30/2017,1.17,0.2,38.91
-3.299332,34.848458,Maswa,wild,1,5,exclosure,7/21/2017,9/28/2017,1,0.11,39.19
-3.299332,34.848458,Maswa,wild,1,5,exclosure,7/21/2017,9/28/2017,0.66,0.11,42.83
-3.299332,34.848458,Maswa,wild,1,5,grazed,7/21/2017,9/28/2017,1.13,0.185,37.235
-3.303268,34.847796,Maswa,wild,2,6,exclosure,7/21/2017,9/28/2017,0.78,0.19,40.16
-3.303268,34.847796,Maswa,wild,2,6,exclosure,7/21/2017,9/28/2017,1.505,0.18,36.765
-3.303268,34.847796,Maswa,wild,2,6,grazed,7/21/2017,9/28/2017,1.215,0.165,38.21
-3.295645,34.852435,Maswa,wild,3,7,exclosure,7/21/2017,9/28/2017,0.855,0.16,39.585
-3.295645,34.852435,Maswa,wild,3,7,exclosure,7/21/2017,9/28/2017,1.185,0.155,38.66
-3.295645,34.852435,Maswa,wild,3,7,grazed,7/21/2017,9/28/2017,1.325,0.215,38.265
-3.296013,34.854327,Maswa,wild,4,8,exclosure,7/21/2017,9/28/2017,1.32,0.21,38.13
-3.296013,34.854327,Maswa,wild,4,8,exclosure,7/21/2017,9/28/2017,1.45,0.16,39.165
-3.296013,34.854327,Maswa,wild,4,8,grazed,7/21/2017,9/28/2017,1.15,0.155,38.915
-3.303212,34.847736,Makao,pasture,1,1,exclosure,7/22/2017,9/27/2017,0.66,0.165,40.385
-2.437747,34.855162,Seronera,wild,1,17,exclosure,7/26/2017,9/25/2017,1.46,0.28,39.41
-2.437747,34.855162,Seronera,wild,1,17,exclosure,7/26/2017,9/25/2017,1.07,0.33,39.49
-2.437747,34.855162,Seronera,wild,1,17,grazed,7/26/2017,9/25/2017,1.57,0.32,39.86
-2.437766,34.855394,Seronera,wild,2,18,grazed,7/26/2017,9/25/2017,1.27,0.32,39.43
