,plot.id,block.id.harvest,site.id,site.name,region,landuse,block,treatment,harvest,Rdate,YrMonth,month,wp,lat,long,setup.date,harvest.date,biomass.total.g,prodtot,constot,prodtot.sum,constot.sum,Cum_prod,Cum_cons
16,DRY_P_3_EX_H2,DRY_P_3_H2,DRY_P,Makao,Dry Region,pasture,3,exclosed,H2,09/05/2017,2017-05,May,1001,-3.406316,34.850407,3/26/2017,05/09/2017,27.67,-1.622474747,-0.764520202,-71.38888887,-33.63888889,102.2589787,47.46296297
23,DRY_P_4_EX_H2,DRY_P_4_H2,DRY_P,Makao,Dry Region,pasture,4,exclosed,H2,09/05/2017,2017-05,May,1003,-3.406853,34.8516,3/26/2017,05/09/2017,26.72,-0.646464646,-1.315025253,-28.44444442,-57.86111113,92.08333337,-4.38888892
30,DRY_W_1_EX_H2,DRY_W_1_H2,DRY_W,Maswa,Dry Region,wild,1,exclosed,H2,11/05/2017,2017-05,May,995,-3.299332,34.848458,3/24/2017,05/11/2017,NA,0.08048291,1.087470449,3.86317968,52.19858155,121.1687352,130.5874704
37,DRY_W_2_EX_H2,DRY_W_2_H2,DRY_W,Maswa,Dry Region,wild,2,exclosed,H2,11/05/2017,2017-05,May,980,-3.303268,34.847796,3/24/2017,05/11/2017,43.6,0.184606481,1.583333333,8.861111088,75.99999998,80.52777776,66.66666665
44,DRY_W_3_EX_H2,DRY_W_3_H2,DRY_W,Maswa,Dry Region,wild,3,exclosed,H2,11/05/2017,2017-05,May,998,-3.295645,34.852435,3/24/2017,05/11/2017,NA,0.08048291,1.087470449,3.86317968,52.19858155,73.05762413,88.893026
51,DRY_W_4_EX_H2,DRY_W_4_H2,DRY_W,Maswa,Dry Region,wild,4,exclosed,H2,11/05/2017,2017-05,May,1000,-3.296013,34.854327,3/25/2017,05/11/2017,25.81,-0.023640662,0.591607565,-1.111111114,27.80555556,105.6944445,103
58,SE_1_EX_H2,SE_1_H2,SE,Seronera,Intermediate Region,wild,1,exclosed,H2,17/05/2017,2017-05,May,1023,-2.437747,34.855162,3/18/2017,5/17/2017,65.63,1.00462963,-0.04212963,60.2777778,-2.5277778,140.8611111,-9.66666668
65,SE_2_EX_H2,SE_2_H2,SE,Seronera,Intermediate Region,wild,2,exclosed,H2,17/05/2017,2017-05,May,1025,-2.437766,34.855394,3/18/2017,5/17/2017,85.99,2.429166667,3.511574074,145.75,210.6944444,237.5,232.8888889
72,SE_3_EX_H2,SE_3_H2,SE,Seronera,Intermediate Region,wild,3,exclosed,H2,17/05/2017,2017-05,May,1027,-2.437991,34.855418,3/18/2017,5/17/2017,51.37,0.559722222,-0.148148148,33.58333332,-8.88888888,181.75,57.41666668
79,SE_4_EX_H2,SE_4_H2,SE,Seronera,Intermediate Region,wild,4,exclosed,H2,17/05/2017,2017-05,May,1026,-2.438079,34.854989,3/18/2017,5/17/2017,61.99,1.180555556,0.578703704,70.83333336,34.72222224,186.9444445,77.5277778
86,WET_P_1_EX_H2,WET_P_1_H2,WET_P,Mwantimba,Wet Region,pasture,1,exclosed,H2,14/05/2017,2017-05,May,957,-2.350052,34.049976,3/22/2017,5/14/2017,58.14,2.434486373,1.499475891,129.0277778,79.47222222,162.0277778,89.11111111
93,WET_P_2_EX_H2,WET_P_2_H2,WET_P,Mwantimba,Wet Region,pasture,2,exclosed,H2,14/05/2017,2017-05,May,959,-2.348488,34.05011,3/22/2017,5/14/2017,61.21,2.924528302,1.681865828,155,89.13888888,183.4722222,111.5
100,WET_P_3_EX_H2,WET_P_3_H2,WET_P,Mwantimba,Wet Region,pasture,3,exclosed,H2,14/05/2017,2017-05,May,1022,-2.367293,34.062509,3/22/2017,5/14/2017,104.22,4.320754717,0.772536688,229,40.94444446,317.1944445,82.4166667
107,WET_P_4_EX_H2,WET_P_4_H2,WET_P,Mwantimba,Wet Region,pasture,4,exclosed,H2,14/05/2017,2017-05,May,1020,-2.36857,34.062586,3/22/2017,5/14/2017,77.4,3.121593291,0.493710692,165.4444444,26.16666668,227.3888889,50.80555556
114,WET_W_1_EX_H2,WET_W_1_H2,WET_W,Handajega,Wet Region,wild,1,exclosed,H2,13/05/2017,2017-05,May,954,-2.272484,34.023326,3/20/2017,5/13/2017,25.71,0.616255144,-0.565329218,33.27777778,-30.52777777,37.75777778,-20.38888888
121,WET_W_2_EX_H2,WET_W_2_H2,WET_W,Handajega,Wet Region,wild,2,exclosed,H2,13/05/2017,2017-05,May,953,-2.2783,34.024459,3/20/2017,5/13/2017,52.69,2.335390947,2.043209877,126.1111111,110.3333334,113.3055556,111.6111112
128,WET_W_3_EX_H2,WET_W_3_H2,WET_W,Handajega,Wet Region,wild,3,exclosed,H2,13/05/2017,2017-05,May,951,-2.277999,34.027678,3/21/2017,5/13/2017,81.04,3.002620545,3.342767296,159.1388889,177.1666667,136.7222222,152.0277778
135,WET_W_4_EX_H2,WET_W_4_H2,WET_W,Handajega,Wet Region,wild,4,exclosed,H2,13/05/2017,2017-05,May,950,-2.278837,34.031884,3/21/2017,5/13/2017,33.72,1.243186583,0.431341719,65.8888889,22.86111111,21.19444447,31.66666667
142,DRY_P_1_OP_H2,DRY_P_1_H2,DRY_P,Makao,Dry Region,pasture,1,open,H2,09/05/2017,2017-05,May,1009,-3.303212,34.847736,3/26/2017,05/09/2017,31.69,-1.479166667,NA,-65.08333335,NA,49.80555553,NA
149,DRY_P_2_OP_H2,DRY_P_2_H2,DRY_P,Makao,Dry Region,pasture,2,open,H2,09/05/2017,2017-05,May,1006,-3.408426,34.850244,3/26/2017,05/09/2017,16.53,-1.629419192,NA,-71.69444445,NA,17.80555555,NA
156,DRY_P_3_OP_H2,DRY_P_3_H2,DRY_P,Makao,Dry Region,pasture,3,open,H2,09/05/2017,2017-05,May,1001,-3.406316,34.850407,3/26/2017,05/09/2017,39.78,-0.857954545,NA,-37.74999998,NA,77.75000004,NA
163,DRY_P_4_OP_H2,DRY_P_4_H2,DRY_P,Makao,Dry Region,pasture,4,open,H2,09/05/2017,2017-05,May,1003,-3.406853,34.8516,3/26/2017,05/09/2017,47.55,0.668560606,NA,29.41666666,NA,96.47222221,NA
170,DRY_W_1_OP_H2,DRY_W_1_H2,DRY_W,Maswa,Dry Region,wild,1,open,H2,11/05/2017,2017-05,May,995,-3.299332,34.848458,3/24/2017,05/11/2017,24.56,-0.212384259,NA,-10.19444443,NA,28.72222223,NA
177,DRY_W_2_OP_H2,DRY_W_2_H2,DRY_W,Maswa,Dry Region,wild,2,open,H2,11/05/2017,2017-05,May,980,-3.303268,34.847796,3/24/2017,05/11/2017,16.24,-1.398726852,NA,-67.1388889,NA,13.86111112,NA
184,DRY_W_3_OP_H2,DRY_W_3_H2,DRY_W,Maswa,Dry Region,wild,3,open,H2,11/05/2017,2017-05,May,998,-3.295645,34.852435,3/24/2017,05/11/2017,0,-1.456597222,NA,-69.91666666,NA,-37.41666666,NA
191,DRY_W_4_OP_H2,DRY_W_4_H2,DRY_W,Maswa,Dry Region,wild,4,open,H2,11/05/2017,2017-05,May,1000,-3.296013,34.854327,3/25/2017,05/11/2017,15.8,-0.615248227,NA,-28.91666667,NA,2.694444445,NA
198,SE_1_OP_H2,SE_1_H2,SE,Seronera,Intermediate Region,wild,1,open,H2,17/05/2017,2017-05,May,1023,-2.437747,34.855162,3/18/2017,5/17/2017,66.54,1.046759259,NA,62.80555554,NA,150.5277778,NA
205,SE_2_OP_H2,SE_2_H2,SE,Seronera,Intermediate Region,wild,2,open,H2,17/05/2017,2017-05,May,1025,-2.437766,34.855394,3/18/2017,5/17/2017,10.14,-1.082407407,NA,-64.94444442,NA,4.611111132,NA
212,SE_3_OP_H2,SE_3_H2,SE,Seronera,Intermediate Region,wild,3,open,H2,17/05/2017,2017-05,May,1027,-2.437991,34.855418,3/18/2017,5/17/2017,54.57,0.70787037,NA,42.4722222,NA,124.3333333,NA
219,SE_4_OP_H2,SE_4_H2,SE,Seronera,Intermediate Region,wild,4,open,H2,17/05/2017,2017-05,May,1026,-2.438079,34.854989,3/18/2017,5/17/2017,49.49,0.601851852,NA,36.11111112,NA,109.4166667,NA
226,WET_P_1_OP_H2,WET_P_1_H2,WET_P,Mwantimba,Wet Region,pasture,1,open,H2,14/05/2017,2017-05,May,957,-2.350052,34.049976,3/22/2017,5/14/2017,29.53,0.935010482,NA,49.55555555,NA,72.91666666,NA
233,WET_P_2_OP_H2,WET_P_2_H2,WET_P,Mwantimba,Wet Region,pasture,2,open,H2,14/05/2017,2017-05,May,959,-2.348488,34.05011,3/22/2017,5/14/2017,29.12,1.242662474,NA,65.86111112,NA,71.97222223,NA
240,WET_P_3_OP_H2,WET_P_3_H2,WET_P,Mwantimba,Wet Region,pasture,3,open,H2,14/05/2017,2017-05,May,1022,-2.367293,34.062509,3/22/2017,5/14/2017,89.48,3.548218029,NA,188.0555555,NA,234.7777778,NA
247,WET_P_4_OP_H2,WET_P_4_H2,WET_P,Mwantimba,Wet Region,pasture,4,open,H2,14/05/2017,2017-05,May,1020,-2.36857,34.062586,3/22/2017,5/14/2017,67.98,2.6278826,NA,139.2777778,NA,176.5833334,NA
254,WET_W_1_OP_H2,WET_W_1_H2,WET_W,Handajega,Wet Region,wild,1,open,H2,13/05/2017,2017-05,May,954,-2.272484,34.023326,3/20/2017,5/13/2017,36.7,1.181584362,NA,63.80555555,NA,58.05555555,NA
261,WET_W_2_OP_H2,WET_W_2_H2,WET_W,Handajega,Wet Region,wild,2,open,H2,13/05/2017,2017-05,May,953,-2.2783,34.024459,3/20/2017,5/13/2017,12.97,0.29218107,NA,15.77777778,NA,1.694444436,NA
268,WET_W_3_OP_H2,WET_W_3_H2,WET_W,Handajega,Wet Region,wild,3,open,H2,13/05/2017,2017-05,May,951,-2.277999,34.027678,3/21/2017,5/13/2017,17.26,-0.340146751,NA,-18.0277778,NA,-15.3055556,NA
275,WET_W_4_OP_H2,WET_W_4_H2,WET_W,Handajega,Wet Region,wild,4,open,H2,13/05/2017,2017-05,May,950,-2.278837,34.031884,3/21/2017,5/13/2017,25.49,0.811844864,NA,43.02777779,NA,-10.4722222,NA
3,DRY_P_1_EX_H3,DRY_P_1_H3,DRY_P,Makao,Dry Region,pasture,1,exclosed,H3,22/07/2017,2017-07,Jul,1009,-3.303212,34.847736,05/09/2017,7/22/2017,30.3,-0.052177177,0.668168168,-3.861111098,49.44444443,312.0555556,315.5555556
10,DRY_P_2_EX_H3,DRY_P_2_H3,DRY_P,Makao,Dry Region,pasture,2,exclosed,H3,22/07/2017,2017-07,Jul,1006,-3.408426,34.850244,05/09/2017,7/22/2017,21.3,0.179054054,0.498498498,13.25,36.88888885,100.25,106.0833333
17,DRY_P_3_EX_H3,DRY_P_3_H3,DRY_P,Makao,Dry Region,pasture,3,exclosed,H3,22/07/2017,2017-07,Jul,1001,-3.406316,34.850407,05/09/2017,7/22/2017,15.61,-0.907282282,0.270645646,-67.13888887,20.0277778,35.12008981,67.49074077
24,DRY_P_4_EX_H3,DRY_P_4_H3,DRY_P,Makao,Dry Region,pasture,4,exclosed,H3,22/07/2017,2017-07,Jul,1003,-3.406853,34.8516,05/09/2017,7/22/2017,20.86,-1.001876877,0.568318318,-74.1388889,42.05555553,17.94444447,37.66666661
31,DRY_W_1_EX_H3,DRY_W_1_H3,DRY_W,Maswa,Dry Region,wild,1,exclosed,H3,21/07/2017,2017-07,Jul,995,-3.299332,34.848458,05/11/2017,7/21/2017,14.85,-0.379890454,0.14084507,-26.97222223,9.99999997,94.19651301,140.5874704
38,DRY_W_2_EX_H3,DRY_W_2_H3,DRY_W,Maswa,Dry Region,wild,2,exclosed,H3,21/07/2017,2017-07,Jul,980,-3.303268,34.847796,05/11/2017,7/21/2017,13.48,-0.107981221,0.190923318,-7.666666691,13.55555558,72.86111107,80.22222222
45,DRY_W_3_EX_H3,DRY_W_3_H3,DRY_W,Maswa,Dry Region,wild,3,exclosed,H3,21/07/2017,2017-07,Jul,998,-3.295645,34.852435,05/11/2017,7/21/2017,9.11,0.356416275,-0.044209703,25.30555553,-3.138888913,98.36317965,85.75413709
52,DRY_W_4_EX_H3,DRY_W_4_H3,DRY_W,Maswa,Dry Region,wild,4,exclosed,H3,21/07/2017,2017-07,Jul,1000,-3.296013,34.854327,05/11/2017,7/21/2017,11.55,-0.16627543,-0.079029734,-11.80555553,-5.611111114,93.88888893,97.3888889
59,SE_1_EX_H3,SE_1_H3,SE,Seronera,Intermediate Region,wild,1,exclosed,H3,26/07/2017,2017-07,Jul,1023,-2.437747,34.855162,5/17/2017,7/26/2017,51.35,-0.602777778,0.850396825,-42.19444446,59.52777775,98.66666668,49.86111107
66,SE_2_EX_H3,SE_2_H3,SE,Seronera,Intermediate Region,wild,2,exclosed,H3,26/07/2017,2017-07,Jul,1025,-2.437766,34.855394,5/17/2017,7/26/2017,23.09,0.513888889,-0.422619048,35.97222223,-29.58333336,273.4722223,203.3055555
73,SE_3_EX_H3,SE_3_H3,SE,Seronera,Intermediate Region,wild,3,exclosed,H3,26/07/2017,2017-07,Jul,1027,-2.437991,34.855418,5/17/2017,7/26/2017,18.42,-1.43452381,-0.424603175,-100.4166667,-29.72222225,81.33333328,27.69444443
80,SE_4_EX_H3,SE_4_H3,SE,Seronera,Intermediate Region,wild,4,exclosed,H3,26/07/2017,2017-07,Jul,1026,-2.438079,34.854989,5/17/2017,7/26/2017,40.81,-0.344444444,1.080952381,-24.11111108,75.66666667,162.8333334,153.1944445
87,WET_P_1_EX_H3,WET_P_1_H3,WET_P,Mwantimba,Wet Region,pasture,1,exclosed,H3,23/07/2017,2017-07,Jul,957,-2.350052,34.049976,5/14/2017,7/23/2017,49.95,0.81031746,0.477380952,56.7222222,33.41666664,218.75,122.5277777
94,WET_P_2_EX_H3,WET_P_2_H3,WET_P,Mwantimba,Wet Region,pasture,2,exclosed,H3,23/07/2017,2017-07,Jul,959,-2.348488,34.05011,5/14/2017,7/23/2017,40.87,0.466269841,0.398809524,32.63888887,27.91666668,216.1111111,139.4166667
101,WET_P_3_EX_H3,WET_P_3_H3,WET_P,Mwantimba,Wet Region,pasture,3,exclosed,H3,23/07/2017,2017-07,Jul,1022,-2.367293,34.062509,5/14/2017,7/23/2017,60.91,-1.133730159,1.453968254,-79.36111113,101.7777778,237.8333333,184.1944445
108,WET_P_4_EX_H3,WET_P_4_H3,WET_P,Mwantimba,Wet Region,pasture,4,exclosed,H3,23/07/2017,2017-07,Jul,1020,-2.36857,34.062586,5/14/2017,7/23/2017,55.63,-0.490079365,0.763888889,-34.30555555,53.47222223,193.0833333,104.2777778
115,WET_W_1_EX_H3,WET_W_1_H3,WET_W,Handajega,Wet Region,wild,1,exclosed,H3,24/07/2017,2017-07,Jul,954,-2.272484,34.023326,5/13/2017,7/24/2017,22.49,-1.044753086,0.12191358,-75.22222219,8.77777776,-37.46444442,-11.61111112
122,WET_W_2_EX_H3,WET_W_2_H3,WET_W,Handajega,Wet Region,wild,2,exclosed,H3,24/07/2017,2017-07,Jul,953,-2.2783,34.024459,5/13/2017,7/24/2017,30.95,0.69367284,0.55941358,49.94444448,40.27777776,163.2500001,151.8888889
129,WET_W_3_EX_H3,WET_W_3_H3,WET_W,Handajega,Wet Region,wild,3,exclosed,H3,24/07/2017,2017-07,Jul,951,-2.277999,34.027678,5/13/2017,7/24/2017,41.21,0.923996914,0.859567901,66.52777781,61.88888887,203.25,213.9166667
136,WET_W_4_EX_H3,WET_W_4_H3,WET_W,Handajega,Wet Region,wild,4,exclosed,H3,24/07/2017,2017-07,Jul,950,-2.278837,34.031884,5/13/2017,7/24/2017,31.64,0.237268519,-0.37962963,17.08333337,-27.33333336,38.27777784,4.333333308
143,DRY_P_1_OP_H3,DRY_P_1_H3,DRY_P,Makao,Dry Region,pasture,1,open,H3,22/07/2017,2017-07,Jul,1009,-3.303212,34.847736,05/09/2017,7/22/2017,12.5,-0.720345345,NA,-53.30555553,NA,-3.500000005,NA
150,DRY_P_2_OP_H3,DRY_P_2_H3,DRY_P,Makao,Dry Region,pasture,2,open,H3,22/07/2017,2017-07,Jul,1006,-3.408426,34.850244,05/09/2017,7/22/2017,8.02,-0.319444444,NA,-23.63888886,NA,-5.833333308,NA
157,DRY_P_3_OP_H3,DRY_P_3_H3,DRY_P,Makao,Dry Region,pasture,3,open,H3,22/07/2017,2017-07,Jul,1001,-3.406316,34.850407,05/09/2017,7/22/2017,8.4,-1.177927928,NA,-87.16666667,NA,-9.416666636,NA
