,plot.id,block.id.harvest,site.id,site.name,region,landuse,block,treatment,harvest,Rdate,YrMonth,month,wp,lat,long,setup.date,harvest.date,biomass.total.g,prodtot,constot,prodtot.sum,constot.sum,Cum_prod,Cum_cons
1,DRY_P_1_EX_H1,DRY_P_1_H1,DRY_P,Makao,Dry Region,pasture,1,exclosed,H1,26/03/2017,2017-03,Mar,1009,-3.303212,34.847736,2/21/2017,3/26/2017,109.68,8.074074074,4.592592593,266.4444444,151.5555556,266.4444444,151.5555556
8,DRY_P_2_EX_H1,DRY_P_2_H1,DRY_P,Makao,Dry Region,pasture,2,exclosed,H1,26/03/2017,2017-03,Mar,1006,-3.408426,34.850244,2/21/2017,3/26/2017,54.11,3.702861953,0.990740741,122.1944444,32.69444445,122.1944444,32.69444445
15,DRY_P_3_EX_H1,DRY_P_3_H1,DRY_P,Makao,Dry Region,pasture,3,exclosed,H1,26/03/2017,2017-03,Mar,1001,-3.406316,34.850407,2/20/2017,3/26/2017,NA,5.107290222,2.385348584,173.6478675,81.10185186,173.6478675,81.10185186
22,DRY_P_4_EX_H1,DRY_P_4_H1,DRY_P,Makao,Dry Region,pasture,4,exclosed,H1,26/03/2017,2017-03,Mar,1003,-3.406853,34.8516,2/20/2017,3/26/2017,56.21,3.544934641,1.572712418,120.5277778,53.47222221,120.5277778,53.47222221
29,DRY_W_1_EX_H1,DRY_W_1_H1,DRY_W,Maswa,Dry Region,wild,1,exclosed,H1,24/03/2017,2017-03,Mar,995,-3.299332,34.848458,2/19/2017,3/24/2017,56.45,3.554713805,2.375420875,117.3055556,78.38888888,117.3055556,78.38888888
36,DRY_W_2_EX_H1,DRY_W_2_H1,DRY_W,Maswa,Dry Region,wild,2,exclosed,H1,24/03/2017,2017-03,Mar,980,-3.303268,34.847796,2/19/2017,3/24/2017,37.05,2.171717172,-0.282828283,71.66666668,-9.333333339,71.66666668,-9.333333339
43,DRY_W_3_EX_H1,DRY_W_3_H1,DRY_W,Maswa,Dry Region,wild,3,exclosed,H1,24/03/2017,2017-03,Mar,998,-3.295645,34.852435,2/20/2017,3/24/2017,38.38,2.162326389,1.146701389,69.19444445,36.69444445,69.19444445,36.69444445
50,DRY_W_4_EX_H1,DRY_W_4_H1,DRY_W,Maswa,Dry Region,wild,4,exclosed,H1,25/03/2017,2017-03,Mar,1000,-3.296013,34.854327,2/20/2017,3/25/2017,53.28,3.236531987,2.278619529,106.8055556,75.19444446,106.8055556,75.19444446
57,SE_1_EX_H1,SE_1_H1,SE,Seronera,Intermediate Region,wild,1,exclosed,H1,18/03/2017,2017-03,Mar,1023,-2.437747,34.855162,2/26/2017,3/18/2017,41.36,4.029166667,-0.356944444,80.58333334,-7.13888888,80.58333334,-7.13888888
64,SE_2_EX_H1,SE_2_H1,SE,Seronera,Intermediate Region,wild,2,exclosed,H1,18/03/2017,2017-03,Mar,1025,-2.437766,34.855394,2/26/2017,3/18/2017,41.51,4.5875,1.109722222,91.75,22.19444444,91.75,22.19444444
71,SE_3_EX_H1,SE_3_H1,SE,Seronera,Intermediate Region,wild,3,exclosed,H1,18/03/2017,2017-03,Mar,1027,-2.437991,34.855418,2/26/2017,3/18/2017,63.15,7.408333333,3.315277778,148.1666667,66.30555556,148.1666667,66.30555556
78,SE_4_EX_H1,SE_4_H1,SE,Seronera,Intermediate Region,wild,4,exclosed,H1,18/03/2017,2017-03,Mar,1026,-2.438079,34.854989,2/26/2017,3/18/2017,51.9,5.805555556,2.140277778,116.1111111,42.80555556,116.1111111,42.80555556
85,WET_P_1_EX_H1,WET_P_1_H1,WET_P,Mwantimba,Wet Region,pasture,1,exclosed,H1,22/03/2017,2017-03,Mar,957,-2.350052,34.049976,2/17/2017,3/22/2017,15.16,1,0.292087542,33,9.638888886,33,9.638888886
92,WET_P_2_EX_H1,WET_P_2_H1,WET_P,Mwantimba,Wet Region,pasture,2,exclosed,H1,22/03/2017,2017-03,Mar,959,-2.348488,34.05011,2/17/2017,3/22/2017,13.46,0.862794613,0.677609428,28.47222223,22.36111112,28.47222223,22.36111112
99,WET_P_3_EX_H1,WET_P_3_H1,WET_P,Mwantimba,Wet Region,pasture,3,exclosed,H1,22/03/2017,2017-03,Mar,1022,-2.367293,34.062509,2/17/2017,3/22/2017,36.71,2.672558923,1.256734007,88.19444446,41.47222223,88.19444446,41.47222223
106,WET_P_4_EX_H1,WET_P_4_H1,WET_P,Mwantimba,Wet Region,pasture,4,exclosed,H1,22/03/2017,2017-03,Mar,1020,-2.36857,34.062586,2/23/2017,3/22/2017,26.71,2.294238683,0.91255144,61.94444444,24.63888888,61.94444444,24.63888888
113,WET_W_1_EX_H1,WET_W_1_H1,WET_W,Handajega,Wet Region,wild,1,exclosed,H1,20/03/2017,2017-03,Mar,954,-2.272484,34.023326,2/16/2017,3/20/2017,17.38,0.14,0.316840278,4.48,10.1388889,4.48,10.1388889
120,WET_W_2_EX_H1,WET_W_2_H1,WET_W,Handajega,Wet Region,wild,2,exclosed,H1,20/03/2017,2017-03,Mar,953,-2.2783,34.024459,2/16/2017,3/20/2017,7.75,-0.400173611,0.039930556,-12.80555555,1.277777792,-12.80555555,1.277777792
127,WET_W_3_EX_H1,WET_W_3_H1,WET_W,Handajega,Wet Region,wild,3,exclosed,H1,21/03/2017,2017-03,Mar,951,-2.277999,34.027678,2/16/2017,3/21/2017,14.7,-0.679292929,-0.761784512,-22.41666666,-25.1388889,-22.41666666,-25.1388889
134,WET_W_4_EX_H1,WET_W_4_H1,WET_W,Handajega,Wet Region,wild,4,exclosed,H1,21/03/2017,2017-03,Mar,950,-2.278837,34.031884,2/16/2017,3/21/2017,13.17,-1.354377104,0.266835017,-44.69444443,8.805555561,-44.69444443,8.805555561
141,DRY_P_1_OP_H1,DRY_P_1_H1,DRY_P,Makao,Dry Region,pasture,1,open,H1,26/03/2017,2017-03,Mar,1009,-3.303212,34.847736,2/21/2017,3/26/2017,55.12,3.481481481,NA,114.8888889,NA,114.8888889,NA
148,DRY_P_2_OP_H1,DRY_P_2_H1,DRY_P,Makao,Dry Region,pasture,2,open,H1,26/03/2017,2017-03,Mar,1006,-3.408426,34.850244,2/21/2017,3/26/2017,42.34,2.712121212,NA,89.5,NA,89.5,NA
155,DRY_P_3_OP_H1,DRY_P_3_H1,DRY_P,Makao,Dry Region,pasture,3,open,H1,26/03/2017,2017-03,Mar,1001,-3.406316,34.850407,2/20/2017,3/26/2017,53.37,3.397058824,NA,115.5,NA,115.5,NA
162,DRY_P_4_OP_H1,DRY_P_4_H1,DRY_P,Makao,Dry Region,pasture,4,open,H1,26/03/2017,2017-03,Mar,1003,-3.406853,34.8516,2/20/2017,3/26/2017,36.96,1.972222222,NA,67.05555555,NA,67.05555555,NA
169,DRY_W_1_OP_H1,DRY_W_1_H1,DRY_W,Maswa,Dry Region,wild,1,open,H1,24/03/2017,2017-03,Mar,995,-3.299332,34.848458,2/19/2017,3/24/2017,28.23,1.179292929,NA,38.91666666,NA,38.91666666,NA
176,DRY_W_2_OP_H1,DRY_W_2_H1,DRY_W,Maswa,Dry Region,wild,2,open,H1,24/03/2017,2017-03,Mar,980,-3.303268,34.847796,2/19/2017,3/24/2017,40.41,2.454545455,NA,81.00000002,NA,81.00000002,NA
183,DRY_W_3_OP_H1,DRY_W_3_H1,DRY_W,Maswa,Dry Region,wild,3,open,H1,24/03/2017,2017-03,Mar,998,-3.295645,34.852435,2/20/2017,3/24/2017,25.17,1.015625,NA,32.5,NA,32.5,NA
190,DRY_W_4_OP_H1,DRY_W_4_H1,DRY_W,Maswa,Dry Region,wild,4,open,H1,25/03/2017,2017-03,Mar,1000,-3.296013,34.854327,2/20/2017,3/25/2017,26.21,0.957912458,NA,31.61111111,NA,31.61111111,NA
197,SE_1_OP_H1,SE_1_H1,SE,Seronera,Intermediate Region,wild,1,open,H1,18/03/2017,2017-03,Mar,1023,-2.437747,34.855162,2/25/2017,3/18/2017,43.93,4.177248677,NA,87.72222222,NA,87.72222222,NA
204,SE_2_OP_H1,SE_2_H1,SE,Seronera,Intermediate Region,wild,2,open,H1,18/03/2017,2017-03,Mar,1025,-2.437766,34.855394,2/25/2017,3/18/2017,33.52,3.312169312,NA,69.55555555,NA,69.55555555,NA
211,SE_3_OP_H1,SE_3_H1,SE,Seronera,Intermediate Region,wild,3,open,H1,18/03/2017,2017-03,Mar,1027,-2.437991,34.855418,2/25/2017,3/18/2017,39.28,3.898148148,NA,81.86111111,NA,81.86111111,NA
218,SE_4_OP_H1,SE_4_H1,SE,Seronera,Intermediate Region,wild,4,open,H1,18/03/2017,2017-03,Mar,1026,-2.438079,34.854989,2/25/2017,3/18/2017,36.49,3.490740741,NA,73.30555556,NA,73.30555556,NA
225,WET_P_1_OP_H1,WET_P_1_H1,WET_P,Mwantimba,Wet Region,pasture,1,open,H1,22/03/2017,2017-03,Mar,957,-2.350052,34.049976,2/17/2017,3/22/2017,11.69,0.707912458,NA,23.36111111,NA,23.36111111,NA
232,WET_P_2_OP_H1,WET_P_2_H1,WET_P,Mwantimba,Wet Region,pasture,2,open,H1,22/03/2017,2017-03,Mar,959,-2.348488,34.05011,2/17/2017,3/22/2017,5.41,0.185185185,NA,6.111111105,NA,6.111111105,NA
239,WET_P_3_OP_H1,WET_P_3_H1,WET_P,Mwantimba,Wet Region,pasture,3,open,H1,22/03/2017,2017-03,Mar,1022,-2.367293,34.062509,2/17/2017,3/22/2017,21.78,1.415824916,NA,46.72222223,NA,46.72222223,NA
246,WET_P_4_OP_H1,WET_P_4_H1,WET_P,Mwantimba,Wet Region,pasture,4,open,H1,22/03/2017,2017-03,Mar,1020,-2.36857,34.062586,2/23/2017,3/22/2017,17.84,1.381687243,NA,37.30555556,NA,37.30555556,NA
253,WET_W_1_OP_H1,WET_W_1_H1,WET_W,Handajega,Wet Region,wild,1,open,H1,20/03/2017,2017-03,Mar,954,-2.272484,34.023326,2/16/2017,3/20/2017,13.73,-0.1796875,NA,-5.75,NA,-5.75,NA
260,WET_W_2_OP_H1,WET_W_2_H1,WET_W,Handajega,Wet Region,wild,2,open,H1,20/03/2017,2017-03,Mar,953,-2.2783,34.024459,2/16/2017,3/20/2017,7.29,-0.440104167,NA,-14.08333334,NA,-14.08333334,NA
267,WET_W_3_OP_H1,WET_W_3_H1,WET_W,Handajega,Wet Region,wild,3,open,H1,21/03/2017,2017-03,Mar,951,-2.277999,34.027678,2/16/2017,3/21/2017,23.75,0.082491582,NA,2.722222206,NA,2.722222206,NA
274,WET_W_4_OP_H1,WET_W_4_H1,WET_W,Handajega,Wet Region,wild,4,open,H1,21/03/2017,2017-03,Mar,950,-2.278837,34.031884,2/16/2017,3/21/2017,10,-1.621212121,NA,-53.49999999,NA,-53.49999999,NA
2,DRY_P_1_EX_H2,DRY_P_1_H2,DRY_P,Makao,Dry Region,pasture,1,exclosed,H2,09/05/2017,2017-05,May,1009,-3.303212,34.847736,3/26/2017,05/09/2017,72.93,1.124368687,2.603535354,49.47222223,114.5555556,315.9166667,266.1111111
9,DRY_P_2_EX_H2,DRY_P_2_H2,DRY_P,Makao,Dry Region,pasture,2,exclosed,H2,09/05/2017,2017-05,May,1006,-3.408426,34.850244,3/26/2017,05/09/2017,29.67,-0.799873737,0.829545455,-35.19444443,36.50000002,87.00000002,69.19444447
