Region,Block,Block.ID,wp,lat,long,harvest.date,biomass.total.g,biomass.total.g.m2,C.g_m2,C.kg_m2,N.total,P.total
Makao,1,1,1009,-3.303212,34.847736,10/12/2017,10.96,30.44,15.22,0.0152,,
Makao,2,2,1006,-3.408426,34.850244,10/12/2017,2,5.56,2.78,0.0028,3.54,0.13
Makao,3,3,1001,-3.406316,34.850407,10/12/2017,2.21,6.14,3.07,0.0031,2.38,0.11
Makao,4,4,1003,-3.406853,34.851600,10/12/2017,2,5.56,2.78,0.0028,5.67,0.21
Maswa,1,5,995,-3.299332,34.848458,11/12/2017,4,11.11,5.56,0.0056,3.99,0.30
Maswa,2,6,980,-3.303268,34.847796,11/12/2017,5,13.89,6.94,0.0069,3.47,0.35
Maswa,3,7,998,-3.295645,34.852435,11/12/2017,5,13.89,6.94,0.0069,5.91,0.55
Maswa,4,8,1000,-3.296013,34.854327,11/12/2017,9,25.00,12.50,0.0125,5.96,0.25
Mwantimba,1,9,957,-2.350052,34.049976,13/12/2017,8,22.22,11.11,0.0111,4.06,0.20
Mwantimba,2,10,959,-2.348488,34.050110,13/12/2017,8,22.22,11.11,0.0111,4.27,0.14
Mwantimba,3,11,1022,-2.367293,34.062509,13/12/2017,16.89,46.92,23.46,0.0235,2.07,0.14
Mwantimba,4,12,1020,-2.368570,34.062586,13/12/2017,15,41.67,20.83,0.0208,4.27,0.28
Handajega,1,13,954,-2.272484,34.023326,14/12/2017,29,80.56,40.28,0.0403,2.07,0.36
Handajega,2,14,953,-2.278300,34.024459,14/12/2017,42,116.67,58.33,0.0583,0.84,0.22
Handajega,3,15,951,-2.277999,34.027678,14/12/2017,12,33.33,16.67,0.0167,3.40,0.49
Handajega,4,16,950,-2.278837,34.031884,14/12/2017,28,77.78,38.89,0.0389,2.00,0.35
Seronera,1,17,1023,-2.437747,34.855162,15/12/2017,30,83.33,41.67,0.0417,3.65,0.48
Seronera,2,18,1025,-2.437766,34.855394,15/12/2017,19,52.78,26.39,0.0264,2.10,0.46
Seronera,3,19,1027,-2.437991,34.855418,15/12/2017,14,38.89,19.44,0.0194,3.05,0.46
Seronera,4,20,1026,-2.438079,34.854989,15/12/2017,43.39,120.53,60.26,0.0603,1.86,0.08
Park Nyigoti,1,21,,,,,,,,,,
Park Nyigoti,2,22,,,,,,,,,,
Park Nyigoti,3,23,,,,,,,,,,
Park Nyigoti,4,24,,,,,,,,,,
Ikorongo,1,25,,,,,,,,,,
Ikorongo,2,26,,,,,,,,,,
Ikorongo,3,27,,,,,,,,,,
Ikorongo,4,28,,,,,,,,,,
