"","Block.ID","Region","Vilde.block","landuse","MAP.mm_yr","Last.fire_yr","Fire_frequency.2000_2017","Clay.pip.per","Silt.pip.per","Sand.pip.per","Total.basal.area_m2","TreeBM.kg_m2","No.trees_m2","mean.N.kg_m2.x","Carbon.pool","C.amount","SE.C.amount"
"1",1,"Makao",1,"Pasture",672.042796,2010,5,24.33,13.83,61.83,0.0006944,0.0027828281576,0.002,0.1725,"TreeC.kg_m2",0.0013914140792,NA
"2",1,"Makao",1,"Pasture",672.042796,2010,5,24.33,13.83,61.83,0.0006944,0.0027828281576,0.002,0.1725,"HerbC.kg_m2",0,NA
"57",1,"Makao",1,"Pasture",672.04,2010,5,24.33,13.83,61.83,0.0006944,0.0027828281576,0.002,0.1725,"SoilAC.kg_m2",1.1575,0.136221327258253
"58",1,"Makao",1,"Pasture",672.04,2010,5,24.33,13.83,61.83,0.0006944,0.0027828281576,0.002,0.1725,"SoilMC.kg_m2",1.96,0.201783712590156
"59",1,"Makao",1,"Pasture",672.04,2010,5,24.33,13.83,61.83,0.0006944,0.0027828281576,0.002,0.1725,"DWC.kg_m2",0.00605,0.0022599778759979
"3",2,"Makao",2,"Pasture",672.042796,2010,7,16.41,16.74,66.85,0.0025373,0.0025046221576,0.0016,0.20125,"TreeC.kg_m2",0.0012523110788,NA
"4",2,"Makao",2,"Pasture",672.042796,2010,7,16.41,16.74,66.85,0.0025373,0.0025046221576,0.0016,0.20125,"HerbC.kg_m2",0.0028,NA
"60",2,"Makao",2,"Pasture",672.04,2010,7,16.41,16.74,66.85,0.0025373,0.0025046221576,0.0016,0.20125,"SoilAC.kg_m2",1.1275,0.082196411113868
"61",2,"Makao",2,"Pasture",672.04,2010,7,16.41,16.74,66.85,0.0025373,0.0025046221576,0.0016,0.20125,"SoilMC.kg_m2",2.4175,0.320035805288512
"62",2,"Makao",2,"Pasture",672.04,2010,7,16.41,16.74,66.85,0.0025373,0.0025046221576,0.0016,0.20125,"DWC.kg_m2",0.00305,0.00223401730819914
"5",3,"Makao",3,"Pasture",672.042796,2010,6,23.83,17.33,58.83,0.0069718,0.0057123520252,0.0036,0.17125,"TreeC.kg_m2",0.0028561760128,NA
"6",3,"Makao",3,"Pasture",672.042796,2010,6,23.83,17.33,58.83,0.0069718,0.0057123520252,0.0036,0.17125,"HerbC.kg_m2",0.0031,NA
"63",3,"Makao",3,"Pasture",672.04,2010,6,23.83,17.33,58.83,0.0069718,0.0057123520252,0.0036,0.17125,"SoilAC.kg_m2",1.3275,0.219331370305299
"64",3,"Makao",3,"Pasture",672.04,2010,6,23.83,17.33,58.83,0.0069718,0.0057123520252,0.0036,0.17125,"SoilMC.kg_m2",2.405,0.224703508354157
"65",3,"Makao",3,"Pasture",672.04,2010,6,23.83,17.33,58.83,0.0069718,0.0057123520252,0.0036,0.17125,"DWC.kg_m2",0.0037,0.0024
"7",4,"Makao",4,"Pasture",672.042796,2010,6,24.23,18.16,57.61,0.0153363,0.031565701128,4e-04,0.10625,"TreeC.kg_m2",0.015782850564,NA
"8",4,"Makao",4,"Pasture",672.042796,2010,6,24.23,18.16,57.61,0.0153363,0.031565701128,4e-04,0.10625,"HerbC.kg_m2",0.0028,NA
"66",4,"Makao",4,"Pasture",672.04,2010,6,24.23,18.16,57.61,0.0153363,0.031565701128,4e-04,0.10625,"SoilAC.kg_m2",1.0975,0.0434693378524832
"67",4,"Makao",4,"Pasture",672.04,2010,6,24.23,18.16,57.61,0.0153363,0.031565701128,4e-04,0.10625,"SoilMC.kg_m2",0.8375,0.295814553394521
"68",4,"Makao",4,"Pasture",672.04,2010,6,24.23,18.16,57.61,0.0153363,0.031565701128,4e-04,0.10625,"DWC.kg_m2",0.003675,0.000576447453517375
"9",5,"Maswa",1,"Wild",717.3581404,2007,3,62,26,12,0.0759151,0.1788399167812,0.0012,0.31875,"TreeC.kg_m2",0.0894199583868,NA
"10",5,"Maswa",1,"Wild",717.3581404,2007,3,62,26,12,0.0759151,0.1788399167812,0.0012,0.31875,"HerbC.kg_m2",0.0056,NA
"69",5,"Maswa",1,"Wild",717.36,2007,3,62,26,12,0.0759151,0.1788399167812,0.0012,0.31875,"SoilAC.kg_m2",1.7525,0.0295451631687264
"70",5,"Maswa",1,"Wild",717.36,2007,3,62,26,12,0.0759151,0.1788399167812,0.0012,0.31875,"SoilMC.kg_m2",3.635,0.199185842870421
"71",5,"Maswa",1,"Wild",717.36,2007,3,62,26,12,0.0759151,0.1788399167812,0.0012,0.31875,"DWC.kg_m2",0.15265,0.14995
"11",6,"Maswa",2,"Wild",717.3581404,2007,2,50.49,32.12,17.39,0.1858524,0.445543777552,0.0024,0.3,"TreeC.kg_m2",0.222771888728,NA
"12",6,"Maswa",2,"Wild",717.3581404,2007,2,50.49,32.12,17.39,0.1858524,0.445543777552,0.0024,0.3,"HerbC.kg_m2",0.0069,NA
"72",6,"Maswa",2,"Wild",717.36,2007,2,50.49,32.12,17.39,0.1858524,0.445543777552,0.0024,0.3,"SoilAC.kg_m2",1.5325,0.0460751198225969
"73",6,"Maswa",2,"Wild",717.36,2007,2,50.49,32.12,17.39,0.1858524,0.445543777552,0.0024,0.3,"SoilMC.kg_m2",3.34,0.157691682300198
"74",6,"Maswa",2,"Wild",717.36,2007,2,50.49,32.12,17.39,0.1858524,0.445543777552,0.0024,0.3,"DWC.kg_m2",0.01485,0.01015
"13",7,"Maswa",3,"Wild",754.8378464,2004,1,44.5,39,16.5,0.0869615,0.21288086764,8e-04,0.2525,"TreeC.kg_m2",0.10644043382,NA
"14",7,"Maswa",3,"Wild",754.8378464,2004,1,44.5,39,16.5,0.0869615,0.21288086764,8e-04,0.2525,"HerbC.kg_m2",0.0069,NA
"75",7,"Maswa",3,"Wild",754.84,2004,1,44.5,39,16.5,0.0869615,0.21288086764,8e-04,0.2525,"SoilAC.kg_m2",1.72,0.230108669980077
"76",7,"Maswa",3,"Wild",754.84,2004,1,44.5,39,16.5,0.0869615,0.21288086764,8e-04,0.2525,"SoilMC.kg_m2",2.8825,0.142733726451272
"77",7,"Maswa",3,"Wild",754.84,2004,1,44.5,39,16.5,0.0869615,0.21288086764,8e-04,0.2525,"DWC.kg_m2",0.00366666666666667,0.00163333333333333
"15",8,"Maswa",4,"Wild",754.8378464,2004,1,28.91,34.69,36.4,0.0253542,0.0568430663608,0.0012,0.27375,"TreeC.kg_m2",0.0284215331768,NA
"16",8,"Maswa",4,"Wild",754.8378464,2004,1,28.91,34.69,36.4,0.0253542,0.0568430663608,0.0012,0.27375,"HerbC.kg_m2",0.0125,NA
"78",8,"Maswa",4,"Wild",754.84,2004,1,28.91,34.69,36.4,0.0253542,0.0568430663608,0.0012,0.27375,"SoilAC.kg_m2",1.5875,0.0765261393250699
