"","Block.ID","Region","Vilde.block","landuse","MAP.mm_yr","Last.fire_yr","Fire_frequency.2000_2017","Clay.pip.per","Silt.pip.per","Sand.pip.per","Total.basal.area_m2","TreeBM.kg_m2","No.trees_m2","mean.N.kg_m2.x","Carbon.pool","C.amount","SE.C.amount"
"79",8,"Maswa",4,"Wild",754.84,2004,1,28.91,34.69,36.4,0.0253542,0.0568430663608,0.0012,0.27375,"SoilMC.kg_m2",3.3625,0.282086718345027
"80",8,"Maswa",4,"Wild",754.84,2004,1,28.91,34.69,36.4,0.0253542,0.0568430663608,0.0012,0.27375,"DWC.kg_m2",0.00205,0.00095
"17",9,"Mwantimba",1,"Pasture",1295.061318,2000,0,35.5,19.5,45,0.000905,0.0203170229675,0.015,0.19125,"TreeC.kg_m2",0.010158511485,NA
"18",9,"Mwantimba",1,"Pasture",1295.061318,2000,0,35.5,19.5,45,0.000905,0.0203170229675,0.015,0.19125,"HerbC.kg_m2",0.0111,NA
"81",9,"Mwantimba",1,"Pasture",1295.06,2000,0,35.5,19.5,45,0.000905,0.0203170229675,0.015,0.19125,"SoilAC.kg_m2",1.2325,0.0529740502510427
"82",9,"Mwantimba",1,"Pasture",1295.06,2000,0,35.5,19.5,45,0.000905,0.0203170229675,0.015,0.19125,"SoilMC.kg_m2",2.415,0.414819237740971
"83",9,"Mwantimba",1,"Pasture",1295.06,2000,0,35.5,19.5,45,0.000905,0.0203170229675,0.015,0.19125,"DWC.kg_m2",0.00395,0.00305
"19",10,"Mwantimba",2,"Pasture",1295.061318,2000,0,34.6,19.43,45.98,0.0014608,0.02975957524,0.02,0.16375,"TreeC.kg_m2",0.0148797876225,NA
"20",10,"Mwantimba",2,"Pasture",1295.061318,2000,0,34.6,19.43,45.98,0.0014608,0.02975957524,0.02,0.16375,"HerbC.kg_m2",0.0111,NA
"84",10,"Mwantimba",2,"Pasture",1295.06,2000,0,34.6,19.43,45.98,0.0014608,0.02975957524,0.02,0.16375,"SoilAC.kg_m2",1.24,0.130192165662915
"85",10,"Mwantimba",2,"Pasture",1295.06,2000,0,34.6,19.43,45.98,0.0014608,0.02975957524,0.02,0.16375,"SoilMC.kg_m2",2.1425,0.155047035874064
"86",10,"Mwantimba",2,"Pasture",1295.06,2000,0,34.6,19.43,45.98,0.0014608,0.02975957524,0.02,0.16375,"DWC.kg_m2",0.00095,0.00075
"21",11,"Mwantimba",3,"Pasture",1295.061318,2000,0,31,26.5,42.5,0.0012935,0.03359985655,0.025,0.21375,"TreeC.kg_m2",0.0167999282775,NA
"22",11,"Mwantimba",3,"Pasture",1295.061318,2000,0,31,26.5,42.5,0.0012935,0.03359985655,0.025,0.21375,"HerbC.kg_m2",0.0235,NA
"87",11,"Mwantimba",3,"Pasture",1295.06,2000,0,31,26.5,42.5,0.0012935,0.03359985655,0.025,0.21375,"SoilAC.kg_m2",1.305,0.222129841909336
"88",11,"Mwantimba",3,"Pasture",1295.06,2000,0,31,26.5,42.5,0.0012935,0.03359985655,0.025,0.21375,"SoilMC.kg_m2",3.21,0.330781901963615
"89",11,"Mwantimba",3,"Pasture",1295.06,2000,0,31,26.5,42.5,0.0012935,0.03359985655,0.025,0.21375,"DWC.kg_m2",0.0098,0.0076
"23",12,"Mwantimba",4,"Pasture",1295.061318,2000,0,26.56,16.18,57.26,0.0020664,0.01296334484,0.0075,0.18,"TreeC.kg_m2",0.00648167242,NA
"24",12,"Mwantimba",4,"Pasture",1295.061318,2000,0,26.56,16.18,57.26,0.0020664,0.01296334484,0.0075,0.18,"HerbC.kg_m2",0.0208,NA
"90",12,"Mwantimba",4,"Pasture",1295.06,2000,0,26.56,16.18,57.26,0.0020664,0.01296334484,0.0075,0.18,"SoilAC.kg_m2",1.3525,0.188475241521709
"91",12,"Mwantimba",4,"Pasture",1295.06,2000,0,26.56,16.18,57.26,0.0020664,0.01296334484,0.0075,0.18,"SoilMC.kg_m2",2.8125,0.44344061985043
"92",12,"Mwantimba",4,"Pasture",1295.06,2000,0,26.56,16.18,57.26,0.0020664,0.01296334484,0.0075,0.18,"DWC.kg_m2",0.00276666666666667,0.000440958551844098
"25",13,"Handajega",1,"Wild",1279.262855,2014,3,18.67,16.67,64.67,0.034692,0.0734815174216,0.0016,0.13125,"TreeC.kg_m2",0.0367407587092,NA
"26",13,"Handajega",1,"Wild",1279.262855,2014,3,18.67,16.67,64.67,0.034692,0.0734815174216,0.0016,0.13125,"HerbC.kg_m2",0.0403,NA
"93",13,"Handajega",1,"Wild",1279.26,2014,3,18.67,16.67,64.67,0.034692,0.0734815174216,0.0016,0.13125,"SoilAC.kg_m2",1.3025,0.0986893273527251
"94",13,"Handajega",1,"Wild",1279.26,2014,3,18.67,16.67,64.67,0.034692,0.0734815174216,0.0016,0.13125,"SoilMC.kg_m2",1.765,0.0887411967464943
"95",13,"Handajega",1,"Wild",1279.26,2014,3,18.67,16.67,64.67,0.034692,0.0734815174216,0.0016,0.13125,"DWC.kg_m2",0.0541333333333333,0.0524835318086646
"27",14,"Handajega",2,"Wild",1279.262855,2014,4,21.49,16.46,62.05,0.1092205,0.2997013458724,0.0016,0.15125,"TreeC.kg_m2",0.1498506729364,NA
"28",14,"Handajega",2,"Wild",1279.262855,2014,4,21.49,16.46,62.05,0.1092205,0.2997013458724,0.0016,0.15125,"HerbC.kg_m2",0.0583,NA
"96",14,"Handajega",2,"Wild",1279.26,2014,4,21.49,16.46,62.05,0.1092205,0.2997013458724,0.0016,0.15125,"SoilAC.kg_m2",1.5125,0.179368103816333
"97",14,"Handajega",2,"Wild",1279.26,2014,4,21.49,16.46,62.05,0.1092205,0.2997013458724,0.0016,0.15125,"SoilMC.kg_m2",2.165,0.14343988287781
"98",14,"Handajega",2,"Wild",1279.26,2014,4,21.49,16.46,62.05,0.1092205,0.2997013458724,0.0016,0.15125,"DWC.kg_m2",0.23225,0.04235
"29",15,"Handajega",3,"Wild",1279.262855,2014,9,21.17,19.17,59.67,0.1478292,0.3602870672844,0.0068,0.1425,"TreeC.kg_m2",0.1801435336404,NA
"30",15,"Handajega",3,"Wild",1279.262855,2014,9,21.17,19.17,59.67,0.1478292,0.3602870672844,0.0068,0.1425,"HerbC.kg_m2",0.0167,NA
"99",15,"Handajega",3,"Wild",1279.26,2014,9,21.17,19.17,59.67,0.1478292,0.3602870672844,0.0068,0.1425,"SoilAC.kg_m2",1.43,0.0744983221287567
"100",15,"Handajega",3,"Wild",1279.26,2014,9,21.17,19.17,59.67,0.1478292,0.3602870672844,0.0068,0.1425,"SoilMC.kg_m2",2.2175,0.167450241365408
"101",15,"Handajega",3,"Wild",1279.26,2014,9,21.17,19.17,59.67,0.1478292,0.3602870672844,0.0068,0.1425,"DWC.kg_m2",0.00605,0.0022599778759979
"31",16,"Handajega",4,"Wild",1279.262855,2016,13,24.44,19.99,55.57,0.3488504,1.1305021999872,0.004,0.19,"TreeC.kg_m2",0.565251099994,NA
"32",16,"Handajega",4,"Wild",1279.262855,2016,13,24.44,19.99,55.57,0.3488504,1.1305021999872,0.004,0.19,"HerbC.kg_m2",0.0389,NA
"102",16,"Handajega",4,"Wild",1279.26,2016,13,24.44,19.99,55.57,0.3488504,1.1305021999872,0.004,0.19,"SoilAC.kg_m2",1.3475,0.218646404040862
"103",16,"Handajega",4,"Wild",1279.26,2016,13,24.44,19.99,55.57,0.3488504,1.1305021999872,0.004,0.19,"SoilMC.kg_m2",2.82,0.17832554500127
"104",16,"Handajega",4,"Wild",1279.26,2016,13,24.44,19.99,55.57,0.3488504,1.1305021999872,0.004,0.19,"DWC.kg_m2",0.00305,0.00223401730819914
"33",17,"Seronera",1,"Wild",855.6199048,2016,4,28.22,18.19,53.59,8.2e-06,0.0007551682584,0.0012,0.17875,"TreeC.kg_m2",0.0003775841292,NA
"34",17,"Seronera",1,"Wild",855.6199048,2016,4,28.22,18.19,53.59,8.2e-06,0.0007551682584,0.0012,0.17875,"HerbC.kg_m2",0.0417,NA
"105",17,"Seronera",1,"Wild",855.62,2016,4,28.22,18.19,53.59,8.2e-06,0.0007551682584,0.0012,0.17875,"SoilAC.kg_m2",0.82,0.116690473761429
"106",17,"Seronera",1,"Wild",855.62,2016,4,28.22,18.19,53.59,8.2e-06,0.0007551682584,0.0012,0.17875,"SoilMC.kg_m2",2.4425,0.314414137722845
"107",17,"Seronera",1,"Wild",855.62,2016,4,28.22,18.19,53.59,8.2e-06,0.0007551682584,0.0012,0.17875,"DWC.kg_m2",0.0037,0.0024
"35",18,"Seronera",2,"Wild",855.6199048,2016,4,17.83,18.83,63.33,0.0536215,0.120091155416,0.0012,0.1775,"TreeC.kg_m2",0.060045577724,NA
"36",18,"Seronera",2,"Wild",855.6199048,2016,4,17.83,18.83,63.33,0.0536215,0.120091155416,0.0012,0.1775,"HerbC.kg_m2",0.0264,NA
"108",18,"Seronera",2,"Wild",855.62,2016,4,17.83,18.83,63.33,0.0536215,0.120091155416,0.0012,0.1775,"SoilAC.kg_m2",1.0025,0.106878045765567
"109",18,"Seronera",2,"Wild",855.62,2016,4,17.83,18.83,63.33,0.0536215,0.120091155416,0.0012,0.1775,"SoilMC.kg_m2",2.2675,0.33956773992828
"110",18,"Seronera",2,"Wild",855.62,2016,4,17.83,18.83,63.33,0.0536215,0.120091155416,0.0012,0.1775,"DWC.kg_m2",0.003675,0.000576447453517375
"37",19,"Seronera",3,"Wild",855.6199048,2016,6,18.95,16.6,64.45,1.25e-05,0.000618228484,8e-04,0.20625,"TreeC.kg_m2",0.000309114242,NA
"38",19,"Seronera",3,"Wild",855.6199048,2016,6,18.95,16.6,64.45,1.25e-05,0.000618228484,8e-04,0.20625,"HerbC.kg_m2",0.0194,NA
"111",19,"Seronera",3,"Wild",855.62,2016,6,18.95,16.6,64.45,1.25e-05,0.000618228484,8e-04,0.20625,"SoilAC.kg_m2",1.0025,0.0936638493051971
"112",19,"Seronera",3,"Wild",855.62,2016,6,18.95,16.6,64.45,1.25e-05,0.000618228484,8e-04,0.20625,"SoilMC.kg_m2",2.69,0.400894832426993
"113",19,"Seronera",3,"Wild",855.62,2016,6,18.95,16.6,64.45,1.25e-05,0.000618228484,8e-04,0.20625,"DWC.kg_m2",0.15265,0.14995
"39",20,"Seronera",4,"Wild",855.6199,NA,NA,15.67,18.67,65.67,0,0,0,0.2225,"TreeC.kg_m2",0,NA
"40",20,"Seronera",4,"Wild",855.6199,NA,NA,15.67,18.67,65.67,0,0,0,0.2225,"HerbC.kg_m2",0.0603,NA
"114",20,"Seronera",4,"Wild",855.62,NA,NA,15.67,18.67,65.67,0,0,0,0.2225,"SoilAC.kg_m2",1.295,0.15483862567202
"115",20,"Seronera",4,"Wild",855.62,NA,NA,15.67,18.67,65.67,0,0,0,0.2225,"SoilMC.kg_m2",2.8225,0.399653495751841
"116",20,"Seronera",4,"Wild",855.62,NA,NA,15.67,18.67,65.67,0,0,0,0.2225,"DWC.kg_m2",0.01485,0.01015
"41",21,"Park Nyigoti",1,"Pasture",1134.810804,2013,8,24.33,42.33,33.33,0.0511341,0.125807574578,0.0016,0.18625,"TreeC.kg_m2",0.0629037872692,NA
"42",21,"Park Nyigoti",1,"Pasture",1134.810804,2013,8,24.33,42.33,33.33,0.0511341,0.125807574578,0.0016,0.18625,"HerbC.kg_m2",0,NA
"117",21,"Park Nyigoti",1,"Pasture",1134.81,2013,8,24.33,42.33,33.33,0.0511341,0.125807574578,0.0016,0.18625,"SoilAC.kg_m2",1.5575,0.135976407267339
"118",21,"Park Nyigoti",1,"Pasture",1134.81,2013,8,24.33,42.33,33.33,0.0511341,0.125807574578,0.0016,0.18625,"SoilMC.kg_m2",3.2775,0.420740913944278
"119",21,"Park Nyigoti",1,"Pasture",1134.81,2013,8,24.33,42.33,33.33,0.0511341,0.125807574578,0.0016,0.18625,"DWC.kg_m2",0.00366666666666667,0.00163333333333333
"43",22,"Park Nyigoti",2,"Pasture",1134.810804,2010,7,36.06,36.32,27.62,0.005547,0.0044068697344,0.0024,0.23375,"TreeC.kg_m2",0.0022034348676,NA
"44",22,"Park Nyigoti",2,"Pasture",1134.810804,2010,7,36.06,36.32,27.62,0.005547,0.0044068697344,0.0024,0.23375,"HerbC.kg_m2",0,NA
"120",22,"Park Nyigoti",2,"Pasture",1134.81,2010,7,36.06,36.32,27.62,0.005547,0.0044068697344,0.0024,0.23375,"SoilAC.kg_m2",1.6025,0.0340036762718386
"121",22,"Park Nyigoti",2,"Pasture",1134.81,2010,7,36.06,36.32,27.62,0.005547,0.0044068697344,0.0024,0.23375,"SoilMC.kg_m2",4.1875,0.410698084566591
"122",22,"Park Nyigoti",2,"Pasture",1134.81,2010,7,36.06,36.32,27.62,0.005547,0.0044068697344,0.0024,0.23375,"DWC.kg_m2",0.00205,0.00095
"45",23,"Park Nyigoti",3,"Pasture",1134.810804,2007,6,21.33,36.33,42.33,0.0124793,0.0082786166236,0.0044,0.23875,"TreeC.kg_m2",0.0041393083116,NA
"46",23,"Park Nyigoti",3,"Pasture",1134.810804,2007,6,21.33,36.33,42.33,0.0124793,0.0082786166236,0.0044,0.23875,"HerbC.kg_m2",0,NA
"123",23,"Park Nyigoti",3,"Pasture",1134.81,2007,6,21.33,36.33,42.33,0.0124793,0.0082786166236,0.0044,0.23875,"SoilAC.kg_m2",1.87,0.285948713350256
"124",23,"Park Nyigoti",3,"Pasture",1134.81,2007,6,21.33,36.33,42.33,0.0124793,0.0082786166236,0.0044,0.23875,"SoilMC.kg_m2",3.73,0.21855586623714
"125",23,"Park Nyigoti",3,"Pasture",1134.81,2007,6,21.33,36.33,42.33,0.0124793,0.0082786166236,0.0044,0.23875,"DWC.kg_m2",0.00395,0.00305
"47",24,"Park Nyigoti",4,"Pasture",1134.810804,2013,5,44.42,31.24,24.35,0.0040244,0.0058674455908,0.004,0.22125,"TreeC.kg_m2",0.0029337227964,NA
"48",24,"Park Nyigoti",4,"Pasture",1134.810804,2013,5,44.42,31.24,24.35,0.0040244,0.0058674455908,0.004,0.22125,"HerbC.kg_m2",0,NA
"126",24,"Park Nyigoti",4,"Pasture",1134.81,2013,5,44.42,31.24,24.35,0.0040244,0.0058674455908,0.004,0.22125,"SoilAC.kg_m2",1.585,0.139373598647664
"127",24,"Park Nyigoti",4,"Pasture",1134.81,2013,5,44.42,31.24,24.35,0.0040244,0.0058674455908,0.004,0.22125,"SoilMC.kg_m2",3.76,0.642819311056122
"128",24,"Park Nyigoti",4,"Pasture",1134.81,2013,5,44.42,31.24,24.35,0.0040244,0.0058674455908,0.004,0.22125,"DWC.kg_m2",0.00095,0.00075
"49",25,"Ikorongo",1,"Wild",1134.810804,2015,11,37,38,25,0.0271932,0.0583116408696,0.0036,0.25875,"TreeC.kg_m2",0.0291558204452,NA
"50",25,"Ikorongo",1,"Wild",1134.810804,2015,11,37,38,25,0.0271932,0.0583116408696,0.0036,0.25875,"HerbC.kg_m2",0,NA
"129",25,"Ikorongo",1,"Wild",1134.81,2015,11,37,38,25,0.0271932,0.0583116408696,0.0036,0.25875,"SoilAC.kg_m2",1.88,0.243721152139079
"130",25,"Ikorongo",1,"Wild",1134.81,2015,11,37,38,25,0.0271932,0.0583116408696,0.0036,0.25875,"SoilMC.kg_m2",4.785,0.405267401435974
"131",25,"Ikorongo",1,"Wild",1134.81,2015,11,37,38,25,0.0271932,0.0583116408696,0.0036,0.25875,"DWC.kg_m2",0.0098,0.0076
"51",26,"Ikorongo",2,"Wild",1134.810804,2013,10,29.4,33.91,36.68,0.0457456,0.095226263742,0.0024,0.2325,"TreeC.kg_m2",0.0476131318676,NA
"52",26,"Ikorongo",2,"Wild",1134.810804,2013,10,29.4,33.91,36.68,0.0457456,0.095226263742,0.0024,0.2325,"HerbC.kg_m2",0,NA
"132",26,"Ikorongo",2,"Wild",1134.81,2013,10,29.4,33.91,36.68,0.0457456,0.095226263742,0.0024,0.2325,"SoilAC.kg_m2",2.005,0.146600363801277
"133",26,"Ikorongo",2,"Wild",1134.81,2013,10,29.4,33.91,36.68,0.0457456,0.095226263742,0.0024,0.2325,"SoilMC.kg_m2",4.2525,0.236550734515875
"134",26,"Ikorongo",2,"Wild",1134.81,2013,10,29.4,33.91,36.68,0.0457456,0.095226263742,0.0024,0.2325,"DWC.kg_m2",0.00276666666666667,0.000440958551844098
"53",27,"Ikorongo",3,"Wild",1134.810804,2013,10,29.91,37.44,32.66,0.0015718,0.004569861372,0.0036,0.22125,"TreeC.kg_m2",0.0022849306868,NA
"54",27,"Ikorongo",3,"Wild",1134.810804,2013,10,29.91,37.44,32.66,0.0015718,0.004569861372,0.0036,0.22125,"HerbC.kg_m2",0,NA
"135",27,"Ikorongo",3,"Wild",1134.81,2013,10,29.91,37.44,32.66,0.0015718,0.004569861372,0.0036,0.22125,"SoilAC.kg_m2",1.5475,0.148176415127374
"136",27,"Ikorongo",3,"Wild",1134.81,2013,10,29.91,37.44,32.66,0.0015718,0.004569861372,0.0036,0.22125,"SoilMC.kg_m2",3.8975,0.674479737773246
"137",27,"Ikorongo",3,"Wild",1134.81,2013,10,29.91,37.44,32.66,0.0015718,0.004569861372,0.0036,0.22125,"DWC.kg_m2",0.0541333333333333,0.0524835318086646
"55",28,"Ikorongo",4,"Wild",1134.810804,2017,7,36.38,27.98,35.63,0.0727033,0.1899221074184,0.0032,0.22875,"TreeC.kg_m2",0.0949610537292,NA
"56",28,"Ikorongo",4,"Wild",1134.810804,2017,7,36.38,27.98,35.63,0.0727033,0.1899221074184,0.0032,0.22875,"HerbC.kg_m2",0,NA
"138",28,"Ikorongo",4,"Wild",1134.81,2017,7,36.38,27.98,35.63,0.0727033,0.1899221074184,0.0032,0.22875,"SoilAC.kg_m2",1.935,0.213287755547914
"139",28,"Ikorongo",4,"Wild",1134.81,2017,7,36.38,27.98,35.63,0.0727033,0.1899221074184,0.0032,0.22875,"SoilMC.kg_m2",4.005,0.22544400635191
"140",28,"Ikorongo",4,"Wild",1134.81,2017,7,36.38,27.98,35.63,0.0727033,0.1899221074184,0.0032,0.22875,"DWC.kg_m2",0.23225,0.04235
