"","Block.ID","Region.x","Vilde.block","landuse","MAP.mm_yr","Last.fire_yr","Fire_frequency.2000_2017","Clay.pip.per","Silt.pip.per","Sand.pip.per","Class","mean.N.kg_m2.x","Total.basal.area_m2","TreeBM.kg_m2","No.trees_m2","Shrubbiness2","Small.N","Small.N.non","Large.N","Large.N.non","BM.Large.N.m2","BM.Large.non.m2","BM.Small.N.m2","BM.Small.non.m2","Carbon.pool","C.amount","SE.C.amount"
"39",11,"Mwantimba",3,"Pasture",1295.061318,2000,0,31,26.5,42.5,"ClLo",0.21375,0.0012935,0.03359985655,0.025,0.0183557611591868,8,2,NA,NA,NA,NA,0.0255783452075,0.0080215113425,"HerbC.kg_m2",0.0235,NA
"12",12,"Mwantimba",4,"Pasture",1295.061318,2000,0,26.56,16.18,57.26,"SaClLo",0.18,0.0020664,0.01296334484,0.0075,0.00405650715549338,5,3,NA,NA,NA,NA,0.0184662821325,0.0112932931075,"TreeC.kg_m2",0.00648167242,NA
"40",12,"Mwantimba",4,"Pasture",1295.061318,2000,0,26.56,16.18,57.26,"SaClLo",0.18,0.0020664,0.01296334484,0.0075,0.00405650715549338,5,3,NA,NA,NA,NA,0.0184662821325,0.0112932931075,"HerbC.kg_m2",0.0208,NA
"13",13,"Handajega",1,"Wild",1279.262855,2014,3,18.67,16.67,64.67,"SaClLo",0.13125,0.034692,0.0734815174216,0.0016,3.8558166323306e-05,7,6,3,1,0.33691314568,0.018057106516,0.0027290064328,0.0025878086556,"TreeC.kg_m2",0.0367407587092,NA
"41",13,"Handajega",1,"Wild",1279.262855,2014,3,18.67,16.67,64.67,"SaClLo",0.13125,0.034692,0.0734815174216,0.0016,3.8558166323306e-05,7,6,3,1,0.33691314568,0.018057106516,0.0027290064328,0.0025878086556,"HerbC.kg_m2",0.0403,NA
"14",14,"Handajega",2,"Wild",1279.262855,2014,4,21.49,16.46,62.05,"SaClLo",0.15125,0.1092205,0.2997013458724,0.0016,0.00114330854434495,8,1,1,NA,1.1255836,NA,0.0045110726772,0.00040752731,"TreeC.kg_m2",0.1498506729364,NA
"42",14,"Handajega",2,"Wild",1279.262855,2014,4,21.49,16.46,62.05,"SaClLo",0.15125,0.1092205,0.2997013458724,0.0016,0.00114330854434495,8,1,1,NA,1.1255836,NA,0.0045110726772,0.00040752731,"HerbC.kg_m2",0.0583,NA
"15",15,"Handajega",3,"Wild",1279.262855,2014,9,21.17,19.17,59.67,"SaClLo",0.1425,0.1478292,0.3602870672844,0.0068,0.00667439931817085,1,1,NA,2,NA,0.072576550732,0.0004662031012,0.0004387635884,"TreeC.kg_m2",0.1801435336404,NA
"43",15,"Handajega",3,"Wild",1279.262855,2014,9,21.17,19.17,59.67,"SaClLo",0.1425,0.1478292,0.3602870672844,0.0068,0.00667439931817085,1,1,NA,2,NA,0.072576550732,0.0004662031012,0.0004387635884,"HerbC.kg_m2",0.0167,NA
"16",16,"Handajega",4,"Wild",1279.262855,2016,13,24.44,19.99,55.57,"SaClLo",0.19,0.3488504,1.1305021999872,0.004,0.00277686794470922,3,NA,1,NA,0.29804895312,NA,0.0016523927524,NA,"TreeC.kg_m2",0.565251099994,NA
"44",16,"Handajega",4,"Wild",1279.262855,2016,13,24.44,19.99,55.57,"SaClLo",0.19,0.3488504,1.1305021999872,0.004,0.00277686794470922,3,NA,1,NA,0.29804895312,NA,0.0016523927524,NA,"HerbC.kg_m2",0.0389,NA
"17",17,"Seronera",1,"Wild",855.6199048,2016,4,28.22,18.19,53.59,"SaClLo",0.17875,8.2e-06,0.0007551682584,0.0012,0.00186726631974269,2,1,NA,NA,NA,NA,0.0004503407648,0.0003048274936,"TreeC.kg_m2",0.0003775841292,NA
"45",17,"Seronera",1,"Wild",855.6199048,2016,4,28.22,18.19,53.59,"SaClLo",0.17875,8.2e-06,0.0007551682584,0.0012,0.00186726631974269,2,1,NA,NA,NA,NA,0.0004503407648,0.0003048274936,"HerbC.kg_m2",0.0417,NA
"18",18,"Seronera",2,"Wild",855.6199048,2016,4,17.83,18.83,63.33,"SaLo",0.1775,0.0536215,0.120091155416,0.0012,8.70716305609227e-06,NA,1,1,1,0.06456428216,0.05512702552,NA,0.000399847736,"TreeC.kg_m2",0.060045577724,NA
"46",18,"Seronera",2,"Wild",855.6199048,2016,4,17.83,18.83,63.33,"SaLo",0.1775,0.0536215,0.120091155416,0.0012,8.70716305609227e-06,NA,1,1,1,0.06456428216,0.05512702552,NA,0.000399847736,"HerbC.kg_m2",0.0264,NA
"19",19,"Seronera",3,"Wild",855.6199048,2016,6,18.95,16.6,64.45,"SaLo",0.20625,1.25e-05,0.000618228484,8e-04,0.00103521597041135,1,1,NA,NA,NA,NA,0.0002675639988,0.0003506644852,"TreeC.kg_m2",0.000309114242,NA
"47",19,"Seronera",3,"Wild",855.6199048,2016,6,18.95,16.6,64.45,"SaLo",0.20625,1.25e-05,0.000618228484,8e-04,0.00103521597041135,1,1,NA,NA,NA,NA,0.0002675639988,0.0003506644852,"HerbC.kg_m2",0.0194,NA
"20",20,"Seronera",4,"Wild",855.6199,NA,NA,15.67,18.67,65.67,"SaLo",0.2225,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12406866964,NA,0.001738904938,"TreeC.kg_m2",NA,NA
"48",20,"Seronera",4,"Wild",855.6199,NA,NA,15.67,18.67,65.67,"SaLo",0.2225,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12406866964,NA,0.001738904938,"HerbC.kg_m2",0.0603,NA
"21",21,"Park Nyigoti",1,"Pasture",1134.810804,2013,8,24.33,42.33,33.33,"ClLo",0.18625,0.0511341,0.125807574578,0.0016,0.00102544829230582,NA,3,NA,1,0.0008076015948,0.0016913337072,0.0019079344324,NA,"TreeC.kg_m2",0.0629037872692,NA
"49",21,"Park Nyigoti",1,"Pasture",1134.810804,2013,8,24.33,42.33,33.33,"ClLo",0.18625,0.0511341,0.125807574578,0.0016,0.00102544829230582,NA,3,NA,1,0.0008076015948,0.0016913337072,0.0019079344324,NA,"HerbC.kg_m2",NA,NA
"22",22,"Park Nyigoti",2,"Pasture",1134.810804,2010,7,36.06,36.32,27.62,"Cl",0.23375,0.005547,0.0044068697344,0.0024,0.00128184739812836,3,NA,1,2,0.0016857489956,0.0026105945528,0.0032093250088,0.0007729480664,"TreeC.kg_m2",0.0022034348676,NA
"50",22,"Park Nyigoti",2,"Pasture",1134.810804,2010,7,36.06,36.32,27.62,"Cl",0.23375,0.005547,0.0044068697344,0.0024,0.00128184739812836,3,NA,1,2,0.0016857489956,0.0026105945528,0.0032093250088,0.0007729480664,"HerbC.kg_m2",NA,NA
"23",23,"Park Nyigoti",3,"Pasture",1134.810804,2007,6,21.33,36.33,42.33,"ClLo",0.23875,0.0124793,0.0082786166236,0.0044,0.00227699644582486,5,1,2,3,NA,0.0008603499092,0.0023855128492,0.0026215828324,"TreeC.kg_m2",0.0041393083116,NA
"51",23,"Park Nyigoti",3,"Pasture",1134.810804,2007,6,21.33,36.33,42.33,"ClLo",0.23875,0.0124793,0.0082786166236,0.0044,0.00227699644582486,5,1,2,3,NA,0.0008603499092,0.0023855128492,0.0026215828324,"HerbC.kg_m2",NA,NA
"24",24,"Park Nyigoti",4,"Pasture",1134.810804,2013,5,44.42,31.24,24.35,"Cl",0.22125,0.0040244,0.0058674455908,0.004,0.00300749041238842,4,5,NA,1,0.055574619076,NA,0.0007685267664,0.0019684950272,"TreeC.kg_m2",0.0029337227964,NA
"52",24,"Park Nyigoti",4,"Pasture",1134.810804,2013,5,44.42,31.24,24.35,"Cl",0.22125,0.0040244,0.0058674455908,0.004,0.00300749041238842,4,5,NA,1,0.055574619076,NA,0.0007685267664,0.0019684950272,"HerbC.kg_m2",NA,NA
"25",25,"Ikorongo",1,"Wild",1134.810804,2015,11,37,38,25,"Cl",0.25875,0.0271932,0.0583116408696,0.0036,0.00353350552138457,2,5,2,NA,0.09302848778,NA,0.002197775962,NA,"TreeC.kg_m2",0.0291558204452,NA
"53",25,"Ikorongo",1,"Wild",1134.810804,2015,11,37,38,25,"Cl",0.25875,0.0271932,0.0583116408696,0.0036,0.00353350552138457,2,5,2,NA,0.09302848778,NA,0.002197775962,NA,"HerbC.kg_m2",NA,NA
"26",26,"Ikorongo",2,"Wild",1134.810804,2013,10,29.4,33.91,36.68,"ClLo",0.2325,0.0457456,0.095226263742,0.0024,0.000305676383309274,3,NA,3,NA,0.0008162018488,NA,0.0015617843808,0.0021918751424,"TreeC.kg_m2",0.0476131318676,NA
"54",26,"Ikorongo",2,"Wild",1134.810804,2013,10,29.4,33.91,36.68,"ClLo",0.2325,0.0457456,0.095226263742,0.0024,0.000305676383309274,3,NA,3,NA,0.0008162018488,NA,0.0015617843808,0.0021918751424,"HerbC.kg_m2",NA,NA
"27",27,"Ikorongo",3,"Wild",1134.810804,2013,10,29.91,37.44,32.66,"ClLo",0.22125,0.0015718,0.004569861372,0.0036,0.0030887825419725,3,5,1,NA,NA,0.18720369876,0.0027184086584,NA,"TreeC.kg_m2",0.0022849306868,NA
"55",27,"Ikorongo",3,"Wild",1134.810804,2013,10,29.91,37.44,32.66,"ClLo",0.22125,0.0015718,0.004569861372,0.0036,0.0030887825419725,3,5,1,NA,NA,0.18720369876,0.0027184086584,NA,"HerbC.kg_m2",NA,NA
"28",28,"Ikorongo",4,"Wild",1134.810804,2017,7,36.38,27.98,35.63,"Cl",0.22875,0.0727033,0.1899221074184,0.0032,0.00308849724261258,7,NA,NA,1,NA,NA,NA,NA,"TreeC.kg_m2",0.0949610537292,NA
"56",28,"Ikorongo",4,"Wild",1134.810804,2017,7,36.38,27.98,35.63,"Cl",0.22875,0.0727033,0.1899221074184,0.0032,0.00308849724261258,7,NA,NA,1,NA,NA,NA,NA,"HerbC.kg_m2",NA,NA
