"","Block.ID","Region.x","Vilde.block","landuse","MAP.mm_yr","Last.fire_yr","Fire_frequency.2000_2017","Clay.pip.per","Silt.pip.per","Sand.pip.per","Class","mean.N.kg_m2.x","Total.basal.area_m2","TreeBM.kg_m2","No.trees_m2","Shrubbiness2","Small.N","Small.N.non","Large.N","Large.N.non","BM.Large.N.m2","BM.Large.non.m2","BM.Small.N.m2","BM.Small.non.m2","Carbon.pool","C.amount","SE.C.amount"
"1",1,"Makao",1,"Pasture",672.042796,2010,5,24.33,13.83,61.83,"SaClLo",0.1725,0.0006944,0.0027828281576,0.002,0.00140773499589164,1,7,NA,1,NA,0.0009507032576,0.0007079960572,0.0040536527104,"TreeC.kg_m2",0.0013914140792,NA
"29",1,"Makao",1,"Pasture",672.042796,2010,5,24.33,13.83,61.83,"SaClLo",0.1725,0.0006944,0.0027828281576,0.002,0.00140773499589164,1,7,NA,1,NA,0.0009507032576,0.0007079960572,0.0040536527104,"HerbC.kg_m2",0.0152,NA
"2",2,"Makao",2,"Pasture",672.042796,2010,7,16.41,16.74,66.85,"SaLo",0.20125,0.0025373,0.0025046221576,0.0016,0.000969533047806598,2,3,NA,NA,NA,NA,0.00093952863,0.0018432995276,"TreeC.kg_m2",0.0012523110788,NA
"30",2,"Makao",2,"Pasture",672.042796,2010,7,16.41,16.74,66.85,"SaLo",0.20125,0.0025373,0.0025046221576,0.0016,0.000969533047806598,2,3,NA,NA,NA,NA,0.00093952863,0.0018432995276,"HerbC.kg_m2",0.0028,NA
"3",3,"Makao",3,"Pasture",672.042796,2010,6,23.83,17.33,58.83,"SaClLo",0.17125,0.0069718,0.0057123520252,0.0036,0.0022174005763762,1,2,1,NA,0.0008565813448,NA,0.0003278176364,0.0013202231764,"TreeC.kg_m2",0.0028561760128,NA
"31",3,"Makao",3,"Pasture",672.042796,2010,6,23.83,17.33,58.83,"SaClLo",0.17125,0.0069718,0.0057123520252,0.0036,0.0022174005763762,1,2,1,NA,0.0008565813448,NA,0.0003278176364,0.0013202231764,"HerbC.kg_m2",0.0031,NA
"4",4,"Makao",4,"Pasture",672.042796,2010,6,24.23,18.16,57.61,"SaClLo",0.10625,0.0153363,0.031565701128,4e-04,5.06879284420753e-06,NA,NA,NA,1,NA,0.031565701128,NA,NA,"TreeC.kg_m2",0.015782850564,NA
"32",4,"Makao",4,"Pasture",672.042796,2010,6,24.23,18.16,57.61,"SaClLo",0.10625,0.0153363,0.031565701128,4e-04,5.06879284420753e-06,NA,NA,NA,1,NA,0.031565701128,NA,NA,"HerbC.kg_m2",0.0028,NA
"5",5,"Maswa",1,"Wild",717.3581404,2007,3,62,26,12,"Cl",0.31875,0.0759151,0.1788399167812,0.0012,6.32199784859463e-06,NA,NA,1,1,0.16676869504,0.0461121726,NA,NA,"TreeC.kg_m2",0.0894199583868,NA
"33",5,"Maswa",1,"Wild",717.3581404,2007,3,62,26,12,"Cl",0.31875,0.0759151,0.1788399167812,0.0012,6.32199784859463e-06,NA,NA,1,1,0.16676869504,0.0461121726,NA,NA,"HerbC.kg_m2",0.0056,NA
"6",6,"Maswa",2,"Wild",717.3581404,2007,2,50.49,32.12,17.39,"Cl",0.3,0.1858524,0.445543777552,0.0024,1.55942897925137e-05,2,NA,NA,1,NA,0.05603306292,0.0008100034408,NA,"TreeC.kg_m2",0.222771888728,NA
"34",6,"Maswa",2,"Wild",717.3581404,2007,2,50.49,32.12,17.39,"Cl",0.3,0.1858524,0.445543777552,0.0024,1.55942897925137e-05,2,NA,NA,1,NA,0.05603306292,0.0008100034408,NA,"HerbC.kg_m2",0.0069,NA
"7",7,"Maswa",3,"Wild",754.8378464,2004,1,44.5,39,16.5,"Cl",0.2525,0.0869615,0.21288086764,8e-04,3.00637632256505e-06,1,NA,1,1,0.10244834776,0.07592536592,0.0004662031012,NA,"TreeC.kg_m2",0.10644043382,NA
"35",7,"Maswa",3,"Wild",754.8378464,2004,1,44.5,39,16.5,"Cl",0.2525,0.0869615,0.21288086764,8e-04,3.00637632256505e-06,1,NA,1,1,0.10244834776,0.07592536592,0.0004662031012,NA,"HerbC.kg_m2",0.0069,NA
"8",8,"Maswa",4,"Wild",754.8378464,2004,1,28.91,34.69,36.4,"ClLo",0.27375,0.0253542,0.0568430663608,0.0012,0.00109398321257781,NA,1,5,NA,0.44490594064,NA,NA,0.000637836912,"TreeC.kg_m2",0.0284215331768,NA
"36",8,"Maswa",4,"Wild",754.8378464,2004,1,28.91,34.69,36.4,"ClLo",0.27375,0.0253542,0.0568430663608,0.0012,0.00109398321257781,NA,1,5,NA,0.44490594064,NA,NA,0.000637836912,"HerbC.kg_m2",0.0125,NA
"9",9,"Mwantimba",1,"Pasture",1295.061318,2000,0,35.5,19.5,45,"SaCl",0.19125,0.000905,0.0203170229675,0.015,0.0112856346778683,6,NA,NA,NA,NA,NA,0.0203170229675,NA,"TreeC.kg_m2",0.010158511485,NA
"37",9,"Mwantimba",1,"Pasture",1295.061318,2000,0,35.5,19.5,45,"SaCl",0.19125,0.000905,0.0203170229675,0.015,0.0112856346778683,6,NA,NA,NA,NA,NA,0.0203170229675,NA,"HerbC.kg_m2",0.0111,NA
"10",10,"Mwantimba",2,"Pasture",1295.061318,2000,0,34.6,19.43,45.98,"SaCl",0.16375,0.0014608,0.02975957524,0.02,0.0136875092794469,1,1,1,NA,0.0051365103625,NA,0.003204631365,0.0046222031125,"TreeC.kg_m2",0.0148797876225,NA
"38",10,"Mwantimba",2,"Pasture",1295.061318,2000,0,34.6,19.43,45.98,"SaCl",0.16375,0.0014608,0.02975957524,0.02,0.0136875092794469,1,1,1,NA,0.0051365103625,NA,0.003204631365,0.0046222031125,"HerbC.kg_m2",0.0111,NA
"11",11,"Mwantimba",3,"Pasture",1295.061318,2000,0,31,26.5,42.5,"ClLo",0.21375,0.0012935,0.03359985655,0.025,0.0183557611591868,8,2,NA,NA,NA,NA,0.0255783452075,0.0080215113425,"TreeC.kg_m2",0.0167999282775,NA
