"","Block.ID","Region.x","Vilde.block","landuse","MAP.mm_yr","Last.fire_yr","Fire_frequency.2000_2017","Clay.pip.per","Silt.pip.per","Sand.pip.per","Class","mean.N.kg_m2.x","Total.basal.area_m2","TreeBM.kg_m2","No.trees_m2","Shrubbiness","Small.N","Small.N.non","Large.N","Large.N.non","BM.Large.N.m2","BM.Large.non.m2","BM.Small.N.m2","BM.Small.non.m2","Carbon.pool","C.amount","SE.C.amount","mean.N.kg_m2"
"63",3,"Makao",3,"Pasture",672.04,2010,6,23.83,17.33,58.83,"SaClLo",NA,0.0069718,0.0057123520252,0.0036,5.5435014409405,1,2,1,NA,0.0008565813448,NA,0.0003278176364,0.0013202231764,"SoilAC.kg_m2",1.3275,0.219331370305299,0.17125
"64",3,"Makao",3,"Pasture",672.04,2010,6,23.83,17.33,58.83,"SaClLo",NA,0.0069718,0.0057123520252,0.0036,5.5435014409405,1,2,1,NA,0.0008565813448,NA,0.0003278176364,0.0013202231764,"SoilMC.kg_m2",2.405,0.224703508354157,0.17125
"65",3,"Makao",3,"Pasture",672.04,2010,6,23.83,17.33,58.83,"SaClLo",NA,0.0069718,0.0057123520252,0.0036,5.5435014409405,1,2,1,NA,0.0008565813448,NA,0.0003278176364,0.0013202231764,"DWC.kg_m2",0.0037,0.0024,0.17125
"7",4,"Makao",4,"Pasture",672.042796,2010,6,24.23,18.16,57.61,"SaClLo",0.10625,0.0153363,0.031565701128,4e-04,0.0126719821105188,NA,NA,NA,1,NA,0.031565701128,NA,NA,"TreeC.kg_m2",0.015782850564,NA,NA
"8",4,"Makao",4,"Pasture",672.042796,2010,6,24.23,18.16,57.61,"SaClLo",0.10625,0.0153363,0.031565701128,4e-04,0.0126719821105188,NA,NA,NA,1,NA,0.031565701128,NA,NA,"HerbC.kg_m2",0.0028,NA,NA
"66",4,"Makao",4,"Pasture",672.04,2010,6,24.23,18.16,57.61,"SaClLo",NA,0.0153363,0.031565701128,4e-04,0.0126719821105188,NA,NA,NA,1,NA,0.031565701128,NA,NA,"SoilAC.kg_m2",1.0975,0.0434693378524832,0.10625
"67",4,"Makao",4,"Pasture",672.04,2010,6,24.23,18.16,57.61,"SaClLo",NA,0.0153363,0.031565701128,4e-04,0.0126719821105188,NA,NA,NA,1,NA,0.031565701128,NA,NA,"SoilMC.kg_m2",0.8375,0.295814553394521,0.10625
"68",4,"Makao",4,"Pasture",672.04,2010,6,24.23,18.16,57.61,"SaClLo",NA,0.0153363,0.031565701128,4e-04,0.0126719821105188,NA,NA,NA,1,NA,0.031565701128,NA,NA,"DWC.kg_m2",0.003675,0.000576447453517375,0.10625
"9",5,"Maswa",1,"Wild",717.3581404,2007,3,62,26,12,"Cl",0.31875,0.0759151,0.1788399167812,0.0012,0.0158049946214866,NA,NA,1,1,0.16676869504,0.0461121726,NA,NA,"TreeC.kg_m2",0.0894199583868,NA,NA
"10",5,"Maswa",1,"Wild",717.3581404,2007,3,62,26,12,"Cl",0.31875,0.0759151,0.1788399167812,0.0012,0.0158049946214866,NA,NA,1,1,0.16676869504,0.0461121726,NA,NA,"HerbC.kg_m2",0.0056,NA,NA
"69",5,"Maswa",1,"Wild",717.36,2007,3,62,26,12,"Cl",NA,0.0759151,0.1788399167812,0.0012,0.0158049946214866,NA,NA,1,1,0.16676869504,0.0461121726,NA,NA,"SoilAC.kg_m2",1.7525,0.0295451631687264,0.31875
"70",5,"Maswa",1,"Wild",717.36,2007,3,62,26,12,"Cl",NA,0.0759151,0.1788399167812,0.0012,0.0158049946214866,NA,NA,1,1,0.16676869504,0.0461121726,NA,NA,"SoilMC.kg_m2",3.635,0.199185842870421,0.31875
"71",5,"Maswa",1,"Wild",717.36,2007,3,62,26,12,"Cl",NA,0.0759151,0.1788399167812,0.0012,0.0158049946214866,NA,NA,1,1,0.16676869504,0.0461121726,NA,NA,"DWC.kg_m2",0.15265,0.14995,0.31875
"11",6,"Maswa",2,"Wild",717.3581404,2007,2,50.49,32.12,17.39,"Cl",0.3,0.1858524,0.445543777552,0.0024,0.0389857244812842,2,NA,NA,1,NA,0.05603306292,0.0008100034408,NA,"TreeC.kg_m2",0.222771888728,NA,NA
"12",6,"Maswa",2,"Wild",717.3581404,2007,2,50.49,32.12,17.39,"Cl",0.3,0.1858524,0.445543777552,0.0024,0.0389857244812842,2,NA,NA,1,NA,0.05603306292,0.0008100034408,NA,"HerbC.kg_m2",0.0069,NA,NA
"72",6,"Maswa",2,"Wild",717.36,2007,2,50.49,32.12,17.39,"Cl",NA,0.1858524,0.445543777552,0.0024,0.0389857244812842,2,NA,NA,1,NA,0.05603306292,0.0008100034408,NA,"SoilAC.kg_m2",1.5325,0.0460751198225969,0.3
"73",6,"Maswa",2,"Wild",717.36,2007,2,50.49,32.12,17.39,"Cl",NA,0.1858524,0.445543777552,0.0024,0.0389857244812842,2,NA,NA,1,NA,0.05603306292,0.0008100034408,NA,"SoilMC.kg_m2",3.34,0.157691682300198,0.3
"74",6,"Maswa",2,"Wild",717.36,2007,2,50.49,32.12,17.39,"Cl",NA,0.1858524,0.445543777552,0.0024,0.0389857244812842,2,NA,NA,1,NA,0.05603306292,0.0008100034408,NA,"DWC.kg_m2",0.01485,0.01015,0.3
"13",7,"Maswa",3,"Wild",754.8378464,2004,1,44.5,39,16.5,"Cl",0.2525,0.0869615,0.21288086764,8e-04,0.00751594080641262,1,NA,1,1,0.10244834776,0.07592536592,0.0004662031012,NA,"TreeC.kg_m2",0.10644043382,NA,NA
"14",7,"Maswa",3,"Wild",754.8378464,2004,1,44.5,39,16.5,"Cl",0.2525,0.0869615,0.21288086764,8e-04,0.00751594080641262,1,NA,1,1,0.10244834776,0.07592536592,0.0004662031012,NA,"HerbC.kg_m2",0.0069,NA,NA
"75",7,"Maswa",3,"Wild",754.84,2004,1,44.5,39,16.5,"Cl",NA,0.0869615,0.21288086764,8e-04,0.00751594080641262,1,NA,1,1,0.10244834776,0.07592536592,0.0004662031012,NA,"SoilAC.kg_m2",1.72,0.230108669980077,0.2525
"76",7,"Maswa",3,"Wild",754.84,2004,1,44.5,39,16.5,"Cl",NA,0.0869615,0.21288086764,8e-04,0.00751594080641262,1,NA,1,1,0.10244834776,0.07592536592,0.0004662031012,NA,"SoilMC.kg_m2",2.8825,0.142733726451272,0.2525
"77",7,"Maswa",3,"Wild",754.84,2004,1,44.5,39,16.5,"Cl",NA,0.0869615,0.21288086764,8e-04,0.00751594080641262,1,NA,1,1,0.10244834776,0.07592536592,0.0004662031012,NA,"DWC.kg_m2",0.00366666666666667,0.00163333333333333,0.2525
"15",8,"Maswa",4,"Wild",754.8378464,2004,1,28.91,34.69,36.4,"ClLo",0.27375,0.0253542,0.0568430663608,0.0012,2.73495803144453,NA,1,5,NA,0.44490594064,NA,NA,0.000637836912,"TreeC.kg_m2",0.0284215331768,NA,NA
"16",8,"Maswa",4,"Wild",754.8378464,2004,1,28.91,34.69,36.4,"ClLo",0.27375,0.0253542,0.0568430663608,0.0012,2.73495803144453,NA,1,5,NA,0.44490594064,NA,NA,0.000637836912,"HerbC.kg_m2",0.0125,NA,NA
