"","Block.ID","Region.x","Vilde.block","landuse","MAP.mm_yr","Last.fire_yr","Fire_frequency.2000_2017","Clay.pip.per","Silt.pip.per","Sand.pip.per","Class","mean.N.kg_m2.x","Total.basal.area_m2","TreeBM.kg_m2","No.trees_m2","Shrubbiness","Small.N","Small.N.non","Large.N","Large.N.non","BM.Large.N.m2","BM.Large.non.m2","BM.Small.N.m2","BM.Small.non.m2","Carbon.pool","C.amount","SE.C.amount","mean.N.kg_m2"
"112",19,"Seronera",3,"Wild",855.62,2016,6,18.95,16.6,64.45,"SaLo",NA,1.25e-05,0.000618228484,8e-04,2.58803992602838,1,1,NA,NA,NA,NA,0.0002675639988,0.0003506644852,"SoilMC.kg_m2",2.69,0.400894832426993,0.20625
"113",19,"Seronera",3,"Wild",855.62,2016,6,18.95,16.6,64.45,"SaLo",NA,1.25e-05,0.000618228484,8e-04,2.58803992602838,1,1,NA,NA,NA,NA,0.0002675639988,0.0003506644852,"DWC.kg_m2",0.15265,0.14995,0.20625
"39",20,"Seronera",4,"Wild",855.6199,NA,NA,15.67,18.67,65.67,"SaLo",0.2225,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12406866964,NA,0.001738904938,"TreeC.kg_m2",NA,NA,NA
"40",20,"Seronera",4,"Wild",855.6199,NA,NA,15.67,18.67,65.67,"SaLo",0.2225,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12406866964,NA,0.001738904938,"HerbC.kg_m2",0.0603,NA,NA
"114",20,"Seronera",4,"Wild",855.62,NA,NA,15.67,18.67,65.67,"SaLo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12406866964,NA,0.001738904938,"SoilAC.kg_m2",1.295,0.15483862567202,0.2225
"115",20,"Seronera",4,"Wild",855.62,NA,NA,15.67,18.67,65.67,"SaLo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12406866964,NA,0.001738904938,"SoilMC.kg_m2",2.8225,0.399653495751841,0.2225
"116",20,"Seronera",4,"Wild",855.62,NA,NA,15.67,18.67,65.67,"SaLo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12406866964,NA,0.001738904938,"DWC.kg_m2",0.01485,0.01015,0.2225
"41",21,"Park Nyigoti",1,"Pasture",1134.810804,2013,8,24.33,42.33,33.33,"ClLo",0.18625,0.0511341,0.125807574578,0.0016,2.56362073076454,NA,3,NA,1,0.0008076015948,0.0016913337072,0.0019079344324,NA,"TreeC.kg_m2",0.0629037872692,NA,NA
"42",21,"Park Nyigoti",1,"Pasture",1134.810804,2013,8,24.33,42.33,33.33,"ClLo",0.18625,0.0511341,0.125807574578,0.0016,2.56362073076454,NA,3,NA,1,0.0008076015948,0.0016913337072,0.0019079344324,NA,"HerbC.kg_m2",NA,NA,NA
"117",21,"Park Nyigoti",1,"Pasture",1134.81,2013,8,24.33,42.33,33.33,"ClLo",NA,0.0511341,0.125807574578,0.0016,2.56362073076454,NA,3,NA,1,0.0008076015948,0.0016913337072,0.0019079344324,NA,"SoilAC.kg_m2",1.5575,0.135976407267339,0.18625
"118",21,"Park Nyigoti",1,"Pasture",1134.81,2013,8,24.33,42.33,33.33,"ClLo",NA,0.0511341,0.125807574578,0.0016,2.56362073076454,NA,3,NA,1,0.0008076015948,0.0016913337072,0.0019079344324,NA,"SoilMC.kg_m2",3.2775,0.420740913944278,0.18625
"119",21,"Park Nyigoti",1,"Pasture",1134.81,2013,8,24.33,42.33,33.33,"ClLo",NA,0.0511341,0.125807574578,0.0016,2.56362073076454,NA,3,NA,1,0.0008076015948,0.0016913337072,0.0019079344324,NA,"DWC.kg_m2",0.00366666666666667,0.00163333333333333,0.18625
"43",22,"Park Nyigoti",2,"Pasture",1134.810804,2010,7,36.06,36.32,27.62,"Cl",0.23375,0.005547,0.0044068697344,0.0024,3.20461849532089,3,NA,1,2,0.0016857489956,0.0026105945528,0.0032093250088,0.0007729480664,"TreeC.kg_m2",0.0022034348676,NA,NA
"44",22,"Park Nyigoti",2,"Pasture",1134.810804,2010,7,36.06,36.32,27.62,"Cl",0.23375,0.005547,0.0044068697344,0.0024,3.20461849532089,3,NA,1,2,0.0016857489956,0.0026105945528,0.0032093250088,0.0007729480664,"HerbC.kg_m2",NA,NA,NA
"120",22,"Park Nyigoti",2,"Pasture",1134.81,2010,7,36.06,36.32,27.62,"Cl",NA,0.005547,0.0044068697344,0.0024,3.20461849532089,3,NA,1,2,0.0016857489956,0.0026105945528,0.0032093250088,0.0007729480664,"SoilAC.kg_m2",1.6025,0.0340036762718386,0.23375
"121",22,"Park Nyigoti",2,"Pasture",1134.81,2010,7,36.06,36.32,27.62,"Cl",NA,0.005547,0.0044068697344,0.0024,3.20461849532089,3,NA,1,2,0.0016857489956,0.0026105945528,0.0032093250088,0.0007729480664,"SoilMC.kg_m2",4.1875,0.410698084566591,0.23375
"122",22,"Park Nyigoti",2,"Pasture",1134.81,2010,7,36.06,36.32,27.62,"Cl",NA,0.005547,0.0044068697344,0.0024,3.20461849532089,3,NA,1,2,0.0016857489956,0.0026105945528,0.0032093250088,0.0007729480664,"DWC.kg_m2",0.00205,0.00095,0.23375
"45",23,"Park Nyigoti",3,"Pasture",1134.810804,2007,6,21.33,36.33,42.33,"ClLo",0.23875,0.0124793,0.0082786166236,0.0044,5.69249111456216,5,1,2,3,NA,0.0008603499092,0.0023855128492,0.0026215828324,"TreeC.kg_m2",0.0041393083116,NA,NA
"46",23,"Park Nyigoti",3,"Pasture",1134.810804,2007,6,21.33,36.33,42.33,"ClLo",0.23875,0.0124793,0.0082786166236,0.0044,5.69249111456216,5,1,2,3,NA,0.0008603499092,0.0023855128492,0.0026215828324,"HerbC.kg_m2",NA,NA,NA
"123",23,"Park Nyigoti",3,"Pasture",1134.81,2007,6,21.33,36.33,42.33,"ClLo",NA,0.0124793,0.0082786166236,0.0044,5.69249111456216,5,1,2,3,NA,0.0008603499092,0.0023855128492,0.0026215828324,"SoilAC.kg_m2",1.87,0.285948713350256,0.23875
"124",23,"Park Nyigoti",3,"Pasture",1134.81,2007,6,21.33,36.33,42.33,"ClLo",NA,0.0124793,0.0082786166236,0.0044,5.69249111456216,5,1,2,3,NA,0.0008603499092,0.0023855128492,0.0026215828324,"SoilMC.kg_m2",3.73,0.21855586623714,0.23875
"125",23,"Park Nyigoti",3,"Pasture",1134.81,2007,6,21.33,36.33,42.33,"ClLo",NA,0.0124793,0.0082786166236,0.0044,5.69249111456216,5,1,2,3,NA,0.0008603499092,0.0023855128492,0.0026215828324,"DWC.kg_m2",0.00395,0.00305,0.23875
"47",24,"Park Nyigoti",4,"Pasture",1134.810804,2013,5,44.42,31.24,24.35,"Cl",0.22125,0.0040244,0.0058674455908,0.004,7.51872603097105,4,5,NA,1,0.055574619076,NA,0.0007685267664,0.0019684950272,"TreeC.kg_m2",0.0029337227964,NA,NA
"48",24,"Park Nyigoti",4,"Pasture",1134.810804,2013,5,44.42,31.24,24.35,"Cl",0.22125,0.0040244,0.0058674455908,0.004,7.51872603097105,4,5,NA,1,0.055574619076,NA,0.0007685267664,0.0019684950272,"HerbC.kg_m2",NA,NA,NA
"126",24,"Park Nyigoti",4,"Pasture",1134.81,2013,5,44.42,31.24,24.35,"Cl",NA,0.0040244,0.0058674455908,0.004,7.51872603097105,4,5,NA,1,0.055574619076,NA,0.0007685267664,0.0019684950272,"SoilAC.kg_m2",1.585,0.139373598647664,0.22125
"127",24,"Park Nyigoti",4,"Pasture",1134.81,2013,5,44.42,31.24,24.35,"Cl",NA,0.0040244,0.0058674455908,0.004,7.51872603097105,4,5,NA,1,0.055574619076,NA,0.0007685267664,0.0019684950272,"SoilMC.kg_m2",3.76,0.642819311056122,0.22125
"128",24,"Park Nyigoti",4,"Pasture",1134.81,2013,5,44.42,31.24,24.35,"Cl",NA,0.0040244,0.0058674455908,0.004,7.51872603097105,4,5,NA,1,0.055574619076,NA,0.0007685267664,0.0019684950272,"DWC.kg_m2",0.00095,0.00075,0.22125
"49",25,"Ikorongo",1,"Wild",1134.810804,2015,11,37,38,25,"Cl",0.25875,0.0271932,0.0583116408696,0.0036,8.83376380346142,2,5,2,NA,0.09302848778,NA,0.002197775962,NA,"TreeC.kg_m2",0.0291558204452,NA,NA
"50",25,"Ikorongo",1,"Wild",1134.810804,2015,11,37,38,25,"Cl",0.25875,0.0271932,0.0583116408696,0.0036,8.83376380346142,2,5,2,NA,0.09302848778,NA,0.002197775962,NA,"HerbC.kg_m2",NA,NA,NA
"129",25,"Ikorongo",1,"Wild",1134.81,2015,11,37,38,25,"Cl",NA,0.0271932,0.0583116408696,0.0036,8.83376380346142,2,5,2,NA,0.09302848778,NA,0.002197775962,NA,"SoilAC.kg_m2",1.88,0.243721152139079,0.25875
"130",25,"Ikorongo",1,"Wild",1134.81,2015,11,37,38,25,"Cl",NA,0.0271932,0.0583116408696,0.0036,8.83376380346142,2,5,2,NA,0.09302848778,NA,0.002197775962,NA,"SoilMC.kg_m2",4.785,0.405267401435974,0.25875
"131",25,"Ikorongo",1,"Wild",1134.81,2015,11,37,38,25,"Cl",NA,0.0271932,0.0583116408696,0.0036,8.83376380346142,2,5,2,NA,0.09302848778,NA,0.002197775962,NA,"DWC.kg_m2",0.0098,0.0076,0.25875
"51",26,"Ikorongo",2,"Wild",1134.810804,2013,10,29.4,33.91,36.68,"ClLo",0.2325,0.0457456,0.095226263742,0.0024,0.764190958273186,3,NA,3,NA,0.0008162018488,NA,0.0015617843808,0.0021918751424,"TreeC.kg_m2",0.0476131318676,NA,NA
"52",26,"Ikorongo",2,"Wild",1134.810804,2013,10,29.4,33.91,36.68,"ClLo",0.2325,0.0457456,0.095226263742,0.0024,0.764190958273186,3,NA,3,NA,0.0008162018488,NA,0.0015617843808,0.0021918751424,"HerbC.kg_m2",NA,NA,NA
"132",26,"Ikorongo",2,"Wild",1134.81,2013,10,29.4,33.91,36.68,"ClLo",NA,0.0457456,0.095226263742,0.0024,0.764190958273186,3,NA,3,NA,0.0008162018488,NA,0.0015617843808,0.0021918751424,"SoilAC.kg_m2",2.005,0.146600363801277,0.2325
"133",26,"Ikorongo",2,"Wild",1134.81,2013,10,29.4,33.91,36.68,"ClLo",NA,0.0457456,0.095226263742,0.0024,0.764190958273186,3,NA,3,NA,0.0008162018488,NA,0.0015617843808,0.0021918751424,"SoilMC.kg_m2",4.2525,0.236550734515875,0.2325
"134",26,"Ikorongo",2,"Wild",1134.81,2013,10,29.4,33.91,36.68,"ClLo",NA,0.0457456,0.095226263742,0.0024,0.764190958273186,3,NA,3,NA,0.0008162018488,NA,0.0015617843808,0.0021918751424,"DWC.kg_m2",0.00276666666666667,0.000440958551844098,0.2325
"53",27,"Ikorongo",3,"Wild",1134.810804,2013,10,29.91,37.44,32.66,"ClLo",0.22125,0.0015718,0.004569861372,0.0036,7.72195635493126,3,5,1,NA,NA,0.18720369876,0.0027184086584,NA,"TreeC.kg_m2",0.0022849306868,NA,NA
"54",27,"Ikorongo",3,"Wild",1134.810804,2013,10,29.91,37.44,32.66,"ClLo",0.22125,0.0015718,0.004569861372,0.0036,7.72195635493126,3,5,1,NA,NA,0.18720369876,0.0027184086584,NA,"HerbC.kg_m2",NA,NA,NA
"135",27,"Ikorongo",3,"Wild",1134.81,2013,10,29.91,37.44,32.66,"ClLo",NA,0.0015718,0.004569861372,0.0036,7.72195635493126,3,5,1,NA,NA,0.18720369876,0.0027184086584,NA,"SoilAC.kg_m2",1.5475,0.148176415127374,0.22125
"136",27,"Ikorongo",3,"Wild",1134.81,2013,10,29.91,37.44,32.66,"ClLo",NA,0.0015718,0.004569861372,0.0036,7.72195635493126,3,5,1,NA,NA,0.18720369876,0.0027184086584,NA,"SoilMC.kg_m2",3.8975,0.674479737773246,0.22125
"137",27,"Ikorongo",3,"Wild",1134.81,2013,10,29.91,37.44,32.66,"ClLo",NA,0.0015718,0.004569861372,0.0036,7.72195635493126,3,5,1,NA,NA,0.18720369876,0.0027184086584,NA,"DWC.kg_m2",0.0541333333333333,0.0524835318086646,0.22125
"55",28,"Ikorongo",4,"Wild",1134.810804,2017,7,36.38,27.98,35.63,"Cl",0.22875,0.0727033,0.1899221074184,0.0032,7.72124310653146,7,NA,NA,1,NA,NA,NA,NA,"TreeC.kg_m2",0.0949610537292,NA,NA
"56",28,"Ikorongo",4,"Wild",1134.810804,2017,7,36.38,27.98,35.63,"Cl",0.22875,0.0727033,0.1899221074184,0.0032,7.72124310653146,7,NA,NA,1,NA,NA,NA,NA,"HerbC.kg_m2",NA,NA,NA
"138",28,"Ikorongo",4,"Wild",1134.81,2017,7,36.38,27.98,35.63,"Cl",NA,0.0727033,0.1899221074184,0.0032,7.72124310653146,7,NA,NA,1,NA,NA,NA,NA,"SoilAC.kg_m2",1.935,0.213287755547914,0.22875
"139",28,"Ikorongo",4,"Wild",1134.81,2017,7,36.38,27.98,35.63,"Cl",NA,0.0727033,0.1899221074184,0.0032,7.72124310653146,7,NA,NA,1,NA,NA,NA,NA,"SoilMC.kg_m2",4.005,0.22544400635191,0.22875
"140",28,"Ikorongo",4,"Wild",1134.81,2017,7,36.38,27.98,35.63,"Cl",NA,0.0727033,0.1899221074184,0.0032,7.72124310653146,7,NA,NA,1,NA,NA,NA,NA,"DWC.kg_m2",0.23225,0.04235,0.22875
