Region,Site,Block,Total.Weight.g,Volume.cm3,BD.average_g.cm3,BD.controll_g.cm3,Average_SubBefore_Dry,Average_SubAfter_Sieved,Tot_weight_fine_earth_air_dry.g,Clay.per,Silt.per,Sand.per
Makao ,S1,B4,130.10,100.00,1.07,1.06,63.79,52.08,106.22,21.50,16.00,62.50
Maswa,S2,B1,117.50,100.00,1.03,1.05,62.47,56.04,105.41,62.00,26.00,12.00
Maswa,S2,B2,118.00,100.00,1.00,1.09,64.59,59.79,109.23,,,
Maswa,S2,B3,130.00,100.00,1.17,1.20,62.41,57.83,120.46,44.00,39.00,17.00
Mwantimba ,S3,B1,143.10,100.00,1.34,1.33,62.22,57.73,132.77,34.00,20.00,46.00
Mwantimba ,S3,B2,159.60,100.00,1.36,1.48,63.69,59.00,147.85,28.00,27.00,46.00
Mwantimba ,S3,B4,131.76,100.00,1.12,1.17,62.50,55.69,117.40,,,
Handajega,S4,B1,155.50,100.00,1.43,1.42,62.42,56.86,141.65,16.00,18.00,65.00
Handajega,S4,B2,137.40,100.00,1.46,1.26,64.99,59.71,126.24,20.00,20.00,60.00
Seronera,S5,B1,162.46,100.00,1.44,1.43,62.54,55.00,142.87,10.00,21.00,69.00
Seronera,S5,B3,174.10,100.00,1.41,1.47,61.24,51.54,146.52,12.00,21.00,67.00
Park Nyigoti,S6,B1,137.00,100.00,1.14,1.17,67.32,57.50,117.02,23.00,46.00,32.00
Park Nyigoti,S6,B2,140.00,100.00,0.99,1.19,65.49,55.72,119.11,21.00,36.00,44.00
Ikorongo,S7,B1,134.60,100.00,1.16,1.16,62.43,53.96,116.34,35.00,40.00,25.00
Ikorongo,S7,B3,151.90,100.00,1.20,1.31,62.14,53.41,130.56,25.00,44.00,31.00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
