"","MAP.mm_yr","Sand.pip.per","Clay.pip.per","Fire_frequency.2000_2017","Shrubbiness2","Woody","Herbaceous","AhorN.kg_m2","MinN.kg_m2","Soil.Ahor","Soil.min","Last.fire_yr","livestock","wild","Termite.effect"
"MAP.mm_yr",1,0.293,-0.246,-0.34,0.64,0.029,0.632,-0.611,-0.331,-0.119,-0.093,-0.216,-0.373,-0.67,-0.303
"Sand.pip.per",0.293,1,-0.947,0.487,0.053,-0.413,0.371,-0.863,-0.817,-0.754,-0.711,0.428,0.543,-0.612,-0.429
"Clay.pip.per",-0.246,-0.947,1,-0.451,-0.03,0.37,-0.367,0.834,0.75,0.663,0.644,-0.408,-0.445,0.477,0.307
"Fire_frequency.2000_2017",-0.34,0.487,-0.451,1,-0.411,0.18,-0.094,-0.235,-0.413,-0.25,-0.463,0.831,0.375,0.121,-0.301
"Shrubbiness2",0.64,0.053,-0.03,-0.411,1,-0.254,0.041,-0.429,-0.064,-0.295,0.097,-0.604,0.005,-0.643,-0.29
"Woody",0.029,-0.413,0.37,0.18,-0.254,1,0.206,0.301,0.298,0.601,0.271,0.357,-0.642,0.468,0.371
"Herbaceous",0.632,0.371,-0.367,-0.094,0.041,0.206,1,-0.4,-0.326,0.075,-0.156,0.324,-0.385,-0.272,-0.127
"AhorN.kg_m2",-0.611,-0.863,0.834,-0.235,-0.429,0.301,-0.4,1,0.749,0.76,0.618,-0.147,-0.304,0.799,0.465
"MinN.kg_m2",-0.331,-0.817,0.75,-0.413,-0.064,0.298,-0.326,0.749,1,0.659,0.93,-0.401,-0.357,0.562,0.388
"Soil.Ahor",-0.119,-0.754,0.663,-0.25,-0.295,0.601,0.075,0.76,0.659,1,0.705,-0.04,-0.737,0.695,0.356
"Soil.min",-0.093,-0.711,0.644,-0.463,0.097,0.271,-0.156,0.618,0.93,0.705,1,-0.449,-0.407,0.404,0.286
"Last.fire_yr",-0.216,0.428,-0.408,0.831,-0.604,0.357,0.324,-0.147,-0.401,-0.04,-0.449,1,0.057,0.237,-0.16
"livestock",-0.373,0.543,-0.445,0.375,0.005,-0.642,-0.385,-0.304,-0.357,-0.737,-0.407,0.057,1,-0.386,-0.275
"wild",-0.67,-0.612,0.477,0.121,-0.643,0.468,-0.272,0.799,0.562,0.695,0.404,0.237,-0.386,1,0.574
"Termite.effect",-0.303,-0.429,0.307,-0.301,-0.29,0.371,-0.127,0.465,0.388,0.356,0.286,-0.16,-0.275,0.574,1
