"","Block.ID","Region","Vilde.block","landuse","MAP.mm_yr","Last.fire_yr","Fire_frequency.2000_2017","Clay.pip.per","Silt.pip.per","Sand.pip.per","Class","Total.basal.area_m2","TreeBM.kg_m2","No.trees_m2","No.small.trees","No.large.trees","Carbon.pool","C.amount","SE.C.amount"
"1",1,"Makao",1,"Pasture",672.04,2010,5,27.67,13.67,58.67,"SaClLo",0.0006944,0.0027828281576,0.002,8,1,"SoilAC.kg_m2",1.1575,0.136221327258253
"29",1,"Makao",1,"Pasture",672.04,2010,5,27.67,13.67,58.67,"SaClLo",0.0006944,0.0027828281576,0.002,8,1,"SoilMC.kg_m2",1.96,0.201783712590156
"57",1,"Makao",1,"Pasture",672.04,2010,5,27.67,13.67,58.67,"SaClLo",0.0006944,0.0027828281576,0.002,8,1,"DWC.kg_m2",0.00605,0.0022599778759979
"2",2,"Makao",2,"Pasture",672.04,2010,7,14.65,16.81,68.32,"SaLo",0.0025373,0.0025046221576,0.0016,5,NA,"SoilAC.kg_m2",1.1275,0.082196411113868
"30",2,"Makao",2,"Pasture",672.04,2010,7,14.65,16.81,68.32,"SaLo",0.0025373,0.0025046221576,0.0016,5,NA,"SoilMC.kg_m2",2.4175,0.320035805288512
"58",2,"Makao",2,"Pasture",672.04,2010,7,14.65,16.81,68.32,"SaLo",0.0025373,0.0025046221576,0.0016,5,NA,"DWC.kg_m2",0.00305,0.00223401730819914
"3",3,"Makao",3,"Pasture",672.04,2010,6,25.67,16.67,57.67,"SaClLo",0.0069718,0.0057123520252,0.0036,3,1,"SoilAC.kg_m2",1.3275,0.219331370305299
"31",3,"Makao",3,"Pasture",672.04,2010,6,25.67,16.67,57.67,"SaClLo",0.0069718,0.0057123520252,0.0036,3,1,"SoilMC.kg_m2",2.405,0.224703508354157
"59",3,"Makao",3,"Pasture",672.04,2010,6,25.67,16.67,57.67,"SaClLo",0.0069718,0.0057123520252,0.0036,3,1,"DWC.kg_m2",0.0037,0.0024
"4",4,"Makao",4,"Pasture",672.04,2010,6,23.12,18.44,58.98,"SaClLo",0.0153363,0.031565701128,4e-04,NA,1,"SoilAC.kg_m2",1.0975,0.0434693378524832
"32",4,"Makao",4,"Pasture",672.04,2010,6,23.12,18.44,58.98,"SaClLo",0.0153363,0.031565701128,4e-04,NA,1,"SoilMC.kg_m2",0.8375,0.295814553394521
"60",4,"Makao",4,"Pasture",672.04,2010,6,23.12,18.44,58.98,"SaClLo",0.0153363,0.031565701128,4e-04,NA,1,"DWC.kg_m2",0.003675,0.000576447453517375
"5",5,"Maswa",1,"Wild",717.36,2007,3,62,26,12,"Cl",0.0759151,0.1788399167812,0.0012,NA,2,"SoilAC.kg_m2",1.7525,0.0295451631687264
"33",5,"Maswa",1,"Wild",717.36,2007,3,62,26,12,"Cl",0.0759151,0.1788399167812,0.0012,NA,2,"SoilMC.kg_m2",3.635,0.199185842870421
"61",5,"Maswa",1,"Wild",717.36,2007,3,62,26,12,"Cl",0.0759151,0.1788399167812,0.0012,NA,2,"DWC.kg_m2",0.15265,0.14995
"6",6,"Maswa",2,"Wild",717.36,2007,2,50.37,32.03,16.93,"Cl",0.1858524,0.445543777552,0.0024,2,1,"SoilAC.kg_m2",1.5325,0.0460751198225969
"34",6,"Maswa",2,"Wild",717.36,2007,2,50.37,32.03,16.93,"Cl",0.1858524,0.445543777552,0.0024,2,1,"SoilMC.kg_m2",3.34,0.157691682300198
"62",6,"Maswa",2,"Wild",717.36,2007,2,50.37,32.03,16.93,"Cl",0.1858524,0.445543777552,0.0024,2,1,"DWC.kg_m2",0.01485,0.01015
"7",7,"Maswa",3,"Wild",754.84,2004,1,45,39,16,"Cl",0.0869615,0.21288086764,8e-04,1,2,"SoilAC.kg_m2",1.72,0.230108669980077
"35",7,"Maswa",3,"Wild",754.84,2004,1,45,39,16,"Cl",0.0869615,0.21288086764,8e-04,1,2,"SoilMC.kg_m2",2.8825,0.142733726451272
"63",7,"Maswa",3,"Wild",754.84,2004,1,45,39,16,"Cl",0.0869615,0.21288086764,8e-04,1,2,"DWC.kg_m2",0.00366666666666667,0.00163333333333333
"8",8,"Maswa",4,"Wild",754.84,2004,1,26.2,33.23,35.21,"ClLo",0.0253542,0.0568430663608,0.0012,1,5,"SoilAC.kg_m2",1.5875,0.0765261393250699
"36",8,"Maswa",4,"Wild",754.84,2004,1,26.2,33.23,35.21,"ClLo",0.0253542,0.0568430663608,0.0012,1,5,"SoilMC.kg_m2",3.3625,0.282086718345027
"64",8,"Maswa",4,"Wild",754.84,2004,1,26.2,33.23,35.21,"ClLo",0.0253542,0.0568430663608,0.0012,1,5,"DWC.kg_m2",0.00205,0.00095
"9",9,"Mwantimba",1,"Pasture",1295.06,2000,0,37,19,44,"Cl",0.000905,0.0203170229675,0.015,6,NA,"SoilAC.kg_m2",1.2325,0.0529740502510427
"37",9,"Mwantimba",1,"Pasture",1295.06,2000,0,37,19,44,"Cl",0.000905,0.0203170229675,0.015,6,NA,"SoilMC.kg_m2",2.415,0.414819237740971
"65",9,"Mwantimba",1,"Pasture",1295.06,2000,0,37,19,44,"Cl",0.000905,0.0203170229675,0.015,6,NA,"DWC.kg_m2",0.00395,0.00305
"10",10,"Mwantimba",2,"Pasture",1295.06,2000,0,34.41,20.07,47.3,"SaCl",0.0014608,0.02975957524,0.02,2,1,"SoilAC.kg_m2",1.24,0.130192165662915
"38",10,"Mwantimba",2,"Pasture",1295.06,2000,0,34.41,20.07,47.3,"SaCl",0.0014608,0.02975957524,0.02,2,1,"SoilMC.kg_m2",2.1425,0.155047035874064
"66",10,"Mwantimba",2,"Pasture",1295.06,2000,0,34.41,20.07,47.3,"SaCl",0.0014608,0.02975957524,0.02,2,1,"DWC.kg_m2",0.00095,0.00075
"11",11,"Mwantimba",3,"Pasture",1295.06,2000,0,34.33,26.33,39.33,"ClLo",0.0012935,0.03359985655,0.025,10,NA,"SoilAC.kg_m2",1.305,0.222129841909336
"39",11,"Mwantimba",3,"Pasture",1295.06,2000,0,34.33,26.33,39.33,"ClLo",0.0012935,0.03359985655,0.025,10,NA,"SoilMC.kg_m2",3.21,0.330781901963615
"67",11,"Mwantimba",3,"Pasture",1295.06,2000,0,34.33,26.33,39.33,"ClLo",0.0012935,0.03359985655,0.025,10,NA,"DWC.kg_m2",0.0098,0.0076
"12",12,"Mwantimba",4,"Pasture",1295.06,2000,0,25.94,16.81,58.98,"SaClLo",0.0020664,0.01296334484,0.0075,8,NA,"SoilAC.kg_m2",1.3525,0.188475241521709
"40",12,"Mwantimba",4,"Pasture",1295.06,2000,0,25.94,16.81,58.98,"SaClLo",0.0020664,0.01296334484,0.0075,8,NA,"SoilMC.kg_m2",2.8125,0.44344061985043
"68",12,"Mwantimba",4,"Pasture",1295.06,2000,0,25.94,16.81,58.98,"SaClLo",0.0020664,0.01296334484,0.0075,8,NA,"DWC.kg_m2",0.00276666666666667,0.000440958551844098
"13",13,"Handajega",1,"Wild",1279.26,2014,3,21,15,64,"SaClLo",0.034692,0.0734815174216,0.0016,13,4,"SoilAC.kg_m2",1.3025,0.0986893273527251
"41",13,"Handajega",1,"Wild",1279.26,2014,3,21,15,64,"SaClLo",0.034692,0.0734815174216,0.0016,13,4,"SoilMC.kg_m2",1.765,0.0887411967464943
"69",13,"Handajega",1,"Wild",1279.26,2014,3,21,15,64,"SaClLo",0.034692,0.0734815174216,0.0016,13,4,"DWC.kg_m2",0.0541333333333333,0.0524835318086646
"14",14,"Handajega",2,"Wild",1279.26,2014,4,19.79,19.55,60.15,"SaClLo",0.1092205,0.2997013458724,0.0016,9,1,"SoilAC.kg_m2",1.5125,0.179368103816333
"42",14,"Handajega",2,"Wild",1279.26,2014,4,19.79,19.55,60.15,"SaClLo",0.1092205,0.2997013458724,0.0016,9,1,"SoilMC.kg_m2",2.165,0.14343988287781
"70",14,"Handajega",2,"Wild",1279.26,2014,4,19.79,19.55,60.15,"SaClLo",0.1092205,0.2997013458724,0.0016,9,1,"DWC.kg_m2",0.23225,0.04235
"15",15,"Handajega",3,"Wild",1279.26,2014,9,22.33,18.33,59.33,"SaClLo",0.1478292,0.3602870672844,0.0068,2,2,"SoilAC.kg_m2",1.43,0.0744983221287567
"43",15,"Handajega",3,"Wild",1279.26,2014,9,22.33,18.33,59.33,"SaClLo",0.1478292,0.3602870672844,0.0068,2,2,"SoilMC.kg_m2",2.2175,0.167450241365408
"71",15,"Handajega",3,"Wild",1279.26,2014,9,22.33,18.33,59.33,"SaClLo",0.1478292,0.3602870672844,0.0068,2,2,"DWC.kg_m2",0.00605,0.0022599778759979
"16",16,"Handajega",4,"Wild",1279.26,2016,13,16.97,18.73,63.65,"SaLo",0.3488504,1.1305021999872,0.004,3,1,"SoilAC.kg_m2",1.3475,0.218646404040862
"44",16,"Handajega",4,"Wild",1279.26,2016,13,16.97,18.73,63.65,"SaLo",0.3488504,1.1305021999872,0.004,3,1,"SoilMC.kg_m2",2.82,0.17832554500127
"72",16,"Handajega",4,"Wild",1279.26,2016,13,16.97,18.73,63.65,"SaLo",0.3488504,1.1305021999872,0.004,3,1,"DWC.kg_m2",0.00305,0.00223401730819914
"17",17,"Seronera",1,"Wild",855.62,2016,4,17.55,18.17,63.98,"SaLo",8.2e-06,0.0007551682584,0.0012,3,NA,"SoilAC.kg_m2",0.82,0.116690473761429
"45",17,"Seronera",1,"Wild",855.62,2016,4,17.55,18.17,63.98,"SaLo",8.2e-06,0.0007551682584,0.0012,3,NA,"SoilMC.kg_m2",2.4425,0.314414137722845
"73",17,"Seronera",1,"Wild",855.62,2016,4,17.55,18.17,63.98,"SaLo",8.2e-06,0.0007551682584,0.0012,3,NA,"DWC.kg_m2",0.0037,0.0024
"18",18,"Seronera",2,"Wild",855.62,2016,4,23.67,16.67,59.67,"SaClLo",0.0536215,0.120091155416,0.0012,1,2,"SoilAC.kg_m2",1.0025,0.106878045765567
"46",18,"Seronera",2,"Wild",855.62,2016,4,23.67,16.67,59.67,"SaClLo",0.0536215,0.120091155416,0.0012,1,2,"SoilMC.kg_m2",2.2675,0.33956773992828
"74",18,"Seronera",2,"Wild",855.62,2016,4,23.67,16.67,59.67,"SaClLo",0.0536215,0.120091155416,0.0012,1,2,"DWC.kg_m2",0.003675,0.000576447453517375
"19",19,"Seronera",3,"Wild",855.62,2016,6,22.61,19.55,57.81,"SaClLo",1.25e-05,0.000618228484,8e-04,2,NA,"SoilAC.kg_m2",1.0025,0.0936638493051971
"47",19,"Seronera",3,"Wild",855.62,2016,6,22.61,19.55,57.81,"SaClLo",1.25e-05,0.000618228484,8e-04,2,NA,"SoilMC.kg_m2",2.69,0.400894832426993
"75",19,"Seronera",3,"Wild",855.62,2016,6,22.61,19.55,57.81,"SaClLo",1.25e-05,0.000618228484,8e-04,2,NA,"DWC.kg_m2",0.15265,0.14995
"20",20,"Seronera",4,"Wild",855.62,NA,NA,21.33,16.33,62.33,"SaClLo",NA,NA,NA,NA,NA,"SoilAC.kg_m2",1.295,0.15483862567202
"48",20,"Seronera",4,"Wild",855.62,NA,NA,21.33,16.33,62.33,"SaClLo",NA,NA,NA,NA,NA,"SoilMC.kg_m2",2.8225,0.399653495751841
