X,Region,Site,Block,Circle,Block.ID,Lat.decimal.degrees,Long.decimal.degrees,UTM.zone,UTM.East,UTM.North,Land_Use,Last_fire.yr,Fire_frequency.2000_2017,Clay.per,Silt.per,Sand.per,AhorC.kg_m2,AhorN.kg_m2,Livestock.bm,Clay.min,Silt.min,Sand.min,MinC.kg_m2,MinN.kg_m2,tot.C.kg_m2,tot.N.kg_m2,mean.N.kg_m2,Latitude,Longitude,layer,optiol
1,Makao,1,1,1,1,-3.55583,34.89388889,36 M,705826,9622963,Pasture,2010,5,21,14,65,1.32,0.14,174.8184579,28,14,59,2.38,0.32,3.7,0.46,0.23,-3.412079227,34.85338724,174.8184579,TRUE
3,Makao,1,1,2,1,-3.55333,34.89277778,36 M,705817,9622979,Pasture,2010,5,21,14,65,0.99,0.07,174.8184579,28,14,59,1.64,0.15,2.63,0.22,0.11,-3.411934707,34.85330599,174.8184579,TRUE
5,Makao,1,1,3,1,-3.55417,34.89527778,36 M,705834,9622972,Pasture,2010,5,21,14,65,0.87,0.08,174.8184579,28,14,59,1.59,0.2,2.46,0.28,0.14,-3.411997707,34.85345907,174.8184579,TRUE
7,Makao,1,1,4,1,-3.55333,34.89555556,36 M,705837,9622979,Pasture,2010,5,21,14,65,1.45,0.16,174.8184579,28,14,59,2.23,0.26,3.68,0.42,0.21,-3.411934359,34.85348594,174.8184579,TRUE
9,Makao,1,2,1,2,-3.53861,34.85166667,36 M,705545,9623077,Pasture,2010,7,,,,0.94,0.06,174.8184579,,,,1.93,0.19,2.87,0.25,0.125,-3.411053297,34.85085687,174.8184579,TRUE
11,Makao,1,2,2,2,-3.53972,34.855,36 M,705567,9623069,Pasture,2010,7,,,,1.28,0.12,174.8184579,,,,2.02,0.28,3.3,0.4,0.2,-3.411125252,34.85105496,174.8184579,TRUE
13,Makao,1,2,3,2,-3.54,34.85361111,36 M,705556,9623068,Pasture,2010,7,,,,1.04,0.08,174.8184579,,,,3.33,0.42,4.37,0.5,0.25,-3.411134486,34.850956,174.8184579,TRUE
15,Makao,1,2,4,2,-3.53944,34.85444444,36 M,705562,9623071,Pasture,2010,7,,,,1.25,0.1,174.8184579,,,,2.39,0.36,3.64,0.46,0.23,-3.411107255,34.85100994,174.8184579,TRUE
17,Makao,1,3,1,3,-3.50472,34.85805556,36 M,705586,9623301,Pasture,2010,6,22,18,60,1.79,0.16,174.8184579,26,17,58,2.63,0.3,4.42,0.46,0.23,-3.40902712,34.85122191,174.8184579,TRUE
19,Makao,1,3,2,3,-3.50444,34.85944444,36 M,705597,9623303,Pasture,2010,6,22,18,60,0.77,0.07,174.8184579,26,17,58,1.75,0.24,2.52,0.31,0.155,-3.409008845,34.85132085,174.8184579,TRUE
21,Makao,1,3,3,3,-3.50389,34.85777778,36 M,705584,9623307,Pasture,2010,6,22,18,60,1.53,0.14,174.8184579,26,17,58,2.75,0.19,4.28,0.33,0.165,-3.408972901,34.85120381,174.8184579,TRUE
25,Makao,1,4,1,4,-3.50861,34.87055556,36 M,705670,9623276,Pasture,2010,6,,,,1.07,0.1,174.8184579,,,,1.01,0.06,2.08,0.16,0.08,-3.409251717,34.85197816,174.8184579,TRUE
27,Makao,1,4,2,4,-3.50806,34.86888889,36 M,705659,9623279,Pasture,2010,6,,,,0.99,0.08,174.8184579,,,,0.4,0.05,1.39,0.13,0.065,-3.409224782,34.85187913,174.8184579,TRUE
29,Makao,1,4,3,4,-3.50611,34.86833333,36 M,705655,9623292,Pasture,2010,6,,,,1.14,0.1,174.8184579,,,,0.34,0.07,1.48,0.17,0.085,-3.409107302,34.85184292,174.8184579,TRUE
31,Makao,1,4,4,4,-3.50528,34.87055556,36 M,705670,9623298,Pasture,2010,6,,,,1.19,0.11,174.8184579,,,,1.6,0.28,2.79,0.39,0.195,-3.409052788,34.85197778,174.8184579,TRUE
33,Maswa,2,1,1,5,-3.55306,35.08111111,36 M,705355,9635109,Wild,2007,3,62,26,12,1.81,0.18,174.8184579,62,26,12,3.43,0.45,5.24,0.63,0.315,-3.302259982,34.84894279,174.8184579,TRUE
35,Maswa,2,1,2,5,-3.5525,35.08388889,36 M,705373,9635114,Wild,2007,3,62,26,12,1.67,0.17,174.8184579,62,26,12,3.64,0.45,5.31,0.62,0.31,-3.302214468,34.84910465,174.8184579,TRUE
37,Maswa,2,1,3,5,-3.54944,35.08166667,36 M,705360,9635134,Wild,2007,3,62,26,12,1.76,0.18,174.8184579,62,26,12,3.28,0.4,5.04,0.58,0.29,-3.30203384,34.84898736,174.8184579,TRUE
39,Maswa,2,1,4,5,-3.55389,35.08083333,36 M,705354,9635103,Wild,2007,3,62,26,12,1.77,0.17,174.8184579,62,26,12,4.19,0.55,5.96,0.72,0.36,-3.302314252,34.84893389,174.8184579,TRUE
41,Maswa,2,2,1,6,-3.34,35.07972222,36 M,705346,9634791,Wild,2007,2,,,,1.44,0.13,174.8184579,,,,3.72,0.53,5.16,0.66,0.33,-3.305135579,34.84886714,174.8184579,TRUE
43,Maswa,2,2,2,6,-3.34306,35.07944444,36 M,705344,9634770,Wild,2007,2,,,,1.51,0.15,174.8184579,,,,2.98,0.42,4.49,0.57,0.285,-3.3053255,34.84884949,174.8184579,TRUE
45,Maswa,2,2,3,6,-3.34306,35.07916667,36 M,705341,9634771,Wild,2007,2,,,,1.52,0.16,174.8184579,,,,3.44,0.46,4.96,0.62,0.31,-3.305316508,34.84882249,174.8184579,TRUE
49,Maswa,2,3,1,7,-3.49,34.88555556,36 M,705793,9635528,Wild,2004,1,44,39,17,1.96,0.18,174.8184579,45,39,16,2.72,0.37,4.68,0.55,0.275,-3.298463906,34.85287641,174.8184579,TRUE
51,Maswa,2,3,2,7,-3.49056,34.88888889,36 M,705815,9635523,Wild,2004,1,44,39,17,2.23,0.22,174.8184579,45,39,16,2.74,0.35,4.97,0.57,0.285,-3.298508748,34.85307442,174.8184579,TRUE
