"","Region","MAP.mm_yr","landuse","Carbon.pool","C.amount","SE.C.amount"
"1","Park Nyigoti","1134.81","Pasture","AbovegroundC",0.0180450633112,0.0149582333547678
"2","Mwantimba","1287.16","Pasture","AbovegroundC",0.02870497495125,0.00407579436903976
"3","Makao","704.07","Pasture","AbovegroundC",0.0112956879337,0.00367564450611621
"4","Ikorongo","1134.81","Wild","AbovegroundC",0.0435037341822,0.0195140873783011
"5","Handajega","1287.16","Wild","AbovegroundC",0.27154651632,0.114767107440914
"6","Maswa","704.07","Wild","AbovegroundC",0.1197384535279,0.0397381069910121
"7","Seronera","855.62","Wild","AbovegroundC",0.0521330690238,0.0141317392036185
"8","Park Nyigoti","1134.81","Pasture","BelowgroundC",5.3925,0.206987318452122
"9","Mwantimba","1287.16","Pasture","BelowgroundC",3.9275,0.254458166175372
"10","Makao","704.07","Pasture","BelowgroundC",3.0825,0.403566134604974
"11","Ikorongo","1134.81","Wild","BelowgroundC",6.076875,0.257636240252932
"12","Handajega","1287.16","Wild","BelowgroundC",3.64,0.224995370322739
"13","Maswa","704.07","Wild","BelowgroundC",4.953125,0.162821396909825
"14","Seronera","855.62","Wild","BelowgroundC",3.585625,0.203785464704919
