site,plot,area,landuse,Stu_block,Block,sub_vs_inter,n_vs_non.N,excl_vs_open,wp,soil_ depth.cm,soil_wet_wt.g,soil_dry_wt.g,soil_water_content.g,core_vol.cm3,bulk_density_cm3,Soil.sub.sample.g,Oven.dry.sub.g,Soil.moist.per,If 1 - need soil,if 1 have roots,Stone.plus.bag.g,Bag.wt.g,Stone.wt.g,Volume.cm3,core_vol.cm3stones.adj,bulk_density_g.cm3,Roots.mg.g1soil,,Bulk.kg.m3,Roots kg.kg,Roots.kg.m2,
3,14,Makao,pasture,3,2,S,N,Open,217,12.5,197.04,189.8,7.24,173.18,1.096,15.198,14.541,4.322937229,0,0,12.75,0.7,12.05,5,168.18,1.008116691,,0,151.2175037,0,0," 12,855.91 "
3,15,Makao,pasture,3,2,S,non,Excl,218,11,213.91,209.51,4.4,152.399,1.375,15.756,15.245,3.243208936,0,0,12.58,0,12.58,7,145.399,1.307678546,,0,196.1517819,0,0," 13,895.33 "
3,16,Makao,pasture,3,2,S,non,Open,219,11.5,221.94,217.62,4.32,159.326,1.366,22.042,21.453,2.672171309,0,0,11.89,0.71,11.18,4,155.326,1.291637078,,0,193.7455617,0,0," 6,252.88 "
3,17,Makao,pasture,3,2,I,,Excl,220,11,207.71,206.08,1.63,152.399,1.352,13.063,12.637,3.261119192,0,0,20.75,0,20.75,11,141.399,1.263159468,,0,189.4739202,0,0,
3,18,Makao,pasture,3,2,I,,Open,221,12.2,243.58,239.65,3.93,169.024,1.418,15.93,15.389,3.396107972,0,0,18.44,0.73,17.71,8,161.024,1.327760006,,0,199.1640009,0,0,
4,19,Makao,pasture,4,4,S,N,Excl,234,15,214.59,206.25,8.34,207.816,0.992,17.143,16.251,5.203289973,0,0,12.5,0.74,11.76,14,193.816,0.948106526,,0,142.2159789,0,0,
4,20,Makao,pasture,4,4,S,N,Open,235,12.6,234.88,226.98,7.9,174.566,1.3,17.433,16.632,4.594734125,0,0,23,0.76,22.24,9,165.566,1.173615794,,0,176.042369,0,0," 7,511.89 "
4,21,Makao,pasture,4,4,S,non,Excl,236,12,196.38,192.21,4.17,166.253,1.156,13.2,12.631,4.310606061,0,0,35.11,0.74,34.37,14,152.253,0.982276764,,0,147.3415145,0,0," 9,038.87 "
4,22,Makao,pasture,4,4,S,non,Open,237,15.5,,288.51,,214.744,,20.117,19.271,4.205398419,0,0,117.8,0,117.8,62,152.744,1.038188112,,0,155.7282168,0,0,
4,23,Makao,pasture,4,4,I,,Excl,238,11,,227.62,,152.399,,12.554,12.154,3.186235463,0,0,67.61,0,67.61,35,117.399,1.301182215,,0,195.1773322,0,0,
4,24,Makao,pasture,4,4,I,,Open,239,6.8,,134.06,,94.21,,18.702,18.076,3.34723559,0,0,56.6,0,56.6,30,64.21,1.136469335,,0,170.4704002,0,0,
13,73,Maswa,wild,1,3,S,N,Excl,240,12,172.74,169.57,3.17,166.253,1.02,15.992,14.314,10.49274637,0,0,3.36,0,3.36,2,164.253,0.903590497,,0,135.5385746,0,0," 10,338.88 "
13,74,Maswa,wild,1,3,S,N,Open,241,11.8,165.81,160.78,5.03,163.482,0.983,15.745,14.52,7.780247698,0,1,4.7,0.72,3.98,5,158.482,0.910456189,0.448388271,1,136.5684284,0.000448388,0.061235681,
