"","Region","HerbC_m2","SE.HerbC_m2","Landuse"
"1","Makao",8.63,0.0966666666666667,"Pasture"
"2","Maswa",31.94,1.53974835606342,"Wild"
"3","Mwantimba",66.51,3.23044985257472,"Pasture"
"4","Handajega",154.17,8.52980595226722,"Wild"
"5","Seronera",147.76,9.05422461248523,"Wild"
