"","Region","Landuse","MAP.mm_yr","Fire_frequency.2000_2017","Last_fire.yr","Clay","SE.Clay","Silt","SE.Silt","Sand","SE.Sand","NAHor","NMinHor","No.trees_m2","SE.No.trees_m2","TreeBM_m2","SE.TreeBM_m2","TreeBasalA_m2","SE.TreeBasalA_m2","Carbon.pool","C.amount","C.amountSE","Climate"
"1","Makao","Pasture",672.042796,6,2010,24.25,1.65201896679992,15.75,1.03077640640442,60.5,1.5545631755148,104.909375,219.884375,0.0019,0.000660807586719967,10.6413758671,7.01240684245613,0.00638495,0.0032616180745401,"WoodyC",5.3206879337,3.50620342117899,"Dry"
"2","Makao","Pasture",672.042796,6,2010,24.25,1.65201896679992,15.75,1.03077640640442,60.5,1.5545631755148,104.909375,219.884375,0.0019,0.000660807586719967,10.6413758671,7.01240684245613,0.00638495,0.0032616180745401,"HerbC",8.63,0.0966666666666667,"Dry"
"3","Makao","Pasture",672.042796,6,2010,24.25,1.65201896679992,15.75,1.03077640640442,60.5,1.5545631755148,104.909375,219.884375,0.0019,0.000660807586719967,10.6413758671,7.01240684245613,0.00638495,0.0032616180745401,"DWC",0.492916,0.00733151021632402,"Dry"
"4","Makao","Pasture",672.042796,6,2010,24.25,1.65201896679992,15.75,1.03077640640442,60.5,1.5545631755148,104.909375,219.884375,0.0019,0.000660807586719967,10.6413758671,7.01240684245613,0.00638495,0.0032616180745401,"SoilCAHor",1179.44,65.5403621124673,"Dry"
"5","Makao","Pasture",672.042796,6,2010,24.25,1.65201896679992,15.75,1.03077640640442,60.5,1.5545631755148,104.909375,219.884375,0.0019,0.000660807586719967,10.6413758671,7.01240684245613,0.00638495,0.0032616180745401,"SoilCMinHor",2752.216875,252.712585393827,"Dry"
"6","Maswa","Wild",736.0979934,1.75,2005.5,53.25,5.05593710403917,32.5,3.75277674973257,14.25,1.31497781983829,153.05625,420.09625,0.0014,0.000346410161513775,223.5269070835,81.2328232042563,0.0935208,0.0335718071243069,"WoodyC",111.7634535279,40.6164115919856,"Dry"
"7","Maswa","Wild",736.0979934,1.75,2005.5,53.25,5.05593710403917,32.5,3.75277674973257,14.25,1.31497781983829,153.05625,420.09625,0.0014,0.000346410161513775,223.5269070835,81.2328232042563,0.0935208,0.0335718071243069,"HerbC",31.94,1.53974835606342,"Dry"
"8","Maswa","Wild",736.0979934,1.75,2005.5,53.25,5.05593710403917,32.5,3.75277674973257,14.25,1.31497781983829,153.05625,420.09625,0.0014,0.000346410161513775,223.5269070835,81.2328232042563,0.0935208,0.0335718071243069,"DWC",2.717728,0.332267972312325,"Dry"
"9","Maswa","Wild",736.0979934,1.75,2005.5,53.25,5.05593710403917,32.5,3.75277674973257,14.25,1.31497781983829,153.05625,420.09625,0.0014,0.000346410161513775,223.5269070835,81.2328232042563,0.0935208,0.0335718071243069,"SoilCAHor",1652.79,60.4031467516387,"Dry"
"10","Maswa","Wild",736.0979934,1.75,2005.5,53.25,5.05593710403917,32.5,3.75277674973257,14.25,1.31497781983829,153.05625,420.09625,0.0014,0.000346410161513775,223.5269070835,81.2328232042563,0.0935208,0.0335718071243069,"SoilCMinHor",4674.945,157.15666262788,"Dry"
"11","Mwantimba","Pasture",1295.061318,0,2000,33.25,1.88745860881769,23,2.04124145231932,43.75,1.65201896679992,97.04875,279.2,0.016875,0.00373259851399352,24.159949899375,4.6601117099203,0.001431425,0.000241557917054413,"WoodyC",12.07997495125,2.3300558555466,"Wet"
"12","Mwantimba","Pasture",1295.061318,0,2000,33.25,1.88745860881769,23,2.04124145231932,43.75,1.65201896679992,97.04875,279.2,0.016875,0.00373259851399352,24.159949899375,4.6601117099203,0.001431425,0.000241557917054413,"HerbC",66.51,3.23044985257472,"Wet"
"13","Mwantimba","Pasture",1295.061318,0,2000,33.25,1.88745860881769,23,2.04124145231932,43.75,1.65201896679992,97.04875,279.2,0.016875,0.00373259851399352,24.159949899375,4.6601117099203,0.001431425,0.000241557917054413,"DWC",NA,NA,"Wet"
"14","Mwantimba","Pasture",1295.061318,0,2000,33.25,1.88745860881769,23,2.04124145231932,43.75,1.65201896679992,97.04875,279.2,0.016875,0.00373259851399352,24.159949899375,4.6601117099203,0.001431425,0.000241557917054413,"SoilCAHor",1285.6775,73.4027464773401,"Wet"
