"","Region","Landuse","MAP.mm_yr","Fire_frequency.2000_2017","Last_fire.yr","Clay","SE.Clay","Silt","SE.Silt","Sand","SE.Sand","NAHor","NMinHor","No.trees_m2","SE.No.trees_m2","TreeBM_m2","SE.TreeBM_m2","TreeBasalA_m2","SE.TreeBasalA_m2","Carbon.pool","C.amount","C.amountSE","Climate"
"15","Mwantimba","Pasture",1295.061318,0,2000,33.25,1.88745860881769,23,2.04124145231932,43.75,1.65201896679992,97.04875,279.2,0.016875,0.00373259851399352,24.159949899375,4.6601117099203,0.001431425,0.000241557917054413,"SoilCMinHor",3774.815,267.425195646683,"Wet"
"16","Handajega","Wild",1279.262855,7.25,2014.5,19.75,1.31497781983829,17.75,1.03077640640442,62,1.47196014438797,90.7325,218.131875,0.0035,0.0012369316876853,465.9930326414,229.939194728245,0.160148025,0.0671398830747216,"WoodyC",232.99651632,114.969597364503,"Wet"
"17","Handajega","Wild",1279.262855,7.25,2014.5,19.75,1.31497781983829,17.75,1.03077640640442,62,1.47196014438797,90.7325,218.131875,0.0035,0.0012369316876853,465.9930326414,229.939194728245,0.160148025,0.0671398830747216,"HerbC",154.17,8.52980595226722,"Wet"
"18","Handajega","Wild",1279.262855,7.25,2014.5,19.75,1.31497781983829,17.75,1.03077640640442,62,1.47196014438797,90.7325,218.131875,0.0035,0.0012369316876853,465.9930326414,229.939194728245,0.160148025,0.0671398830747216,"DWC",0.09368,0.0109341776096787,"Wet"
"19","Handajega","Wild",1279.262855,7.25,2014.5,19.75,1.31497781983829,17.75,1.03077640640442,62,1.47196014438797,90.7325,218.131875,0.0035,0.0012369316876853,465.9930326414,229.939194728245,0.160148025,0.0671398830747216,"SoilCAHor",1401.1675,72.5051433836478,"Wet"
"20","Handajega","Wild",1279.262855,7.25,2014.5,19.75,1.31497781983829,17.75,1.03077640640442,62,1.47196014438797,90.7325,218.131875,0.0035,0.0012369316876853,465.9930326414,229.939194728245,0.160148025,0.0671398830747216,"SoilCMinHor",3178.653125,159.365446324684,"Wet"
"21","Seronera","Wild",855.6199048,4.66666666666667,2016,16.75,3.40036762718386,18.75,1.31497781983829,64.5,2.10158670215308,84.514375,305.548125,0.00106666666666667,0.000133333333333333,40.4881840528,39.8015053128785,0.0178807333333333,0.0178703833764447,"WoodyC",20.2440920317333,19.9007526617726,"Int-Dry"
"22","Seronera","Wild",855.6199048,4.66666666666667,2016,16.75,3.40036762718386,18.75,1.31497781983829,64.5,2.10158670215308,84.514375,305.548125,0.00106666666666667,0.000133333333333333,40.4881840528,39.8015053128785,0.0178807333333333,0.0178703833764447,"HerbC",147.76,9.05422461248523,"Int-Dry"
"23","Seronera","Wild",855.6199048,4.66666666666667,2016,16.75,3.40036762718386,18.75,1.31497781983829,64.5,2.10158670215308,84.514375,305.548125,0.00106666666666667,0.000133333333333333,40.4881840528,39.8015053128785,0.0178807333333333,0.0178703833764447,"DWC",NA,NA,"Int-Dry"
"24","Seronera","Wild",855.6199048,4.66666666666667,2016,16.75,3.40036762718386,18.75,1.31497781983829,64.5,2.10158670215308,84.514375,305.548125,0.00106666666666667,0.000133333333333333,40.4881840528,39.8015053128785,0.0178807333333333,0.0178703833764447,"SoilCAHor",1014.63375,69.8692107254392,"Int-Dry"
"25","Seronera","Wild",855.6199048,4.66666666666667,2016,16.75,3.40036762718386,18.75,1.31497781983829,64.5,2.10158670215308,84.514375,305.548125,0.00106666666666667,0.000133333333333333,40.4881840528,39.8015053128785,0.0178807333333333,0.0178703833764447,"SoilCMinHor",3623.498125,238.428633711464,"Int-Dry"
"26","Park Nyigoti","Pasture",1134.810804,6.5,2010.75,23,1.08012344973464,39.5,2.25462487641145,38,2.73861278752583,108.66625,331.934375,0.0031,0.000660807586719967,36.0901266317,29.9164667196401,0.0182962,0.0110995134198907,"WoodyC",18.0450633112,14.9582333547678,"Int-Wet"
"27","Park Nyigoti","Pasture",1134.810804,6.5,2010.75,23,1.08012344973464,39.5,2.25462487641145,38,2.73861278752583,108.66625,331.934375,0.0031,0.000660807586719967,36.0901266317,29.9164667196401,0.0182962,0.0110995134198907,"HerbC",NA,NA,"Int-Wet"
"28","Park Nyigoti","Pasture",1134.810804,6.5,2010.75,23,1.08012344973464,39.5,2.25462487641145,38,2.73861278752583,108.66625,331.934375,0.0031,0.000660807586719967,36.0901266317,29.9164667196401,0.0182962,0.0110995134198907,"DWC",1.509912,0.122698092897323,"Int-Wet"
"29","Park Nyigoti","Pasture",1134.810804,6.5,2010.75,23,1.08012344973464,39.5,2.25462487641145,38,2.73861278752583,108.66625,331.934375,0.0031,0.000660807586719967,36.0901266317,29.9164667196401,0.0182962,0.0110995134198907,"SoilCAHor",1658.57875,84.3146064642964,"Int-Wet"
"30","Park Nyigoti","Pasture",1134.810804,6.5,2010.75,23,1.08012344973464,39.5,2.25462487641145,38,2.73861278752583,108.66625,331.934375,0.0031,0.000660807586719967,36.0901266317,29.9164667196401,0.0182962,0.0110995134198907,"SoilCMinHor",5120.35875,299.569757114092,"Int-Wet"
"31","Ikorongo","Wild",1134.810804,9.5,2014.5,31.75,3.19830684373258,40,1.63299316185545,28,1.73205080756888,109.309375,360.818125,0.0032,0.000282842712474619,87.0074683505,39.0281747494878,0.036803475,0.0150066300442713,"WoodyC",43.5037341822,19.5140873783011,"Int-Wet"
"32","Ikorongo","Wild",1134.810804,9.5,2014.5,31.75,3.19830684373258,40,1.63299316185545,28,1.73205080756888,109.309375,360.818125,0.0032,0.000282842712474619,87.0074683505,39.0281747494878,0.036803475,0.0150066300442713,"HerbC",NA,NA,"Int-Wet"
"33","Ikorongo","Wild",1134.810804,9.5,2014.5,31.75,3.19830684373258,40,1.63299316185545,28,1.73205080756888,109.309375,360.818125,0.0032,0.000282842712474619,87.0074683505,39.0281747494878,0.036803475,0.0150066300442713,"DWC",3.648012,0.332762,"Int-Wet"
"34","Ikorongo","Wild",1134.810804,9.5,2014.5,31.75,3.19830684373258,40,1.63299316185545,28,1.73205080756888,109.309375,360.818125,0.0032,0.000282842712474619,87.0074683505,39.0281747494878,0.036803475,0.0150066300442713,"SoilCAHor",1845.623125,97.412994918195,"Int-Wet"
"35","Ikorongo","Wild",1134.810804,9.5,2014.5,31.75,3.19830684373258,40,1.63299316185545,28,1.73205080756888,109.309375,360.818125,0.0032,0.000282842712474619,87.0074683505,39.0281747494878,0.036803475,0.0150066300442713,"SoilCMinHor",5875.73875,314.189062973866,"Int-Wet"
