ID,Region, Site,Block,Block.ID, Circle,WP,Date_time ,Latitude_S,Longitude_E,Debris_type,Length.cm,Diameter.cm,Volume.cm3,Mass.g,Mass.kg,Carbon.g,Carbon.kg,Carbon.kg_m2,dc,,,
6,Makao,1,1,1,3,4,10/12/2017 16:08,3 24.555,34 51.163,FDW,13.70,3.20,110.13,17.6202,0.0176,8.8101,0.0088,0.0004,5.00,,,
6,Makao,1,1,1,3,4,10/12/2017 16:08,3 24.555,34 51.163,FDW,13.80,4.70,239.30,38.2882,0.0383,19.1441,0.0191,0.0010,5.00,,,
7,Makao,1,1,1,4,5,10/12/2017 16:30,3 24.552,34 51.164,FDW,26.20,5.40,599.73,95.9574,0.0960,47.9787,0.0480,0.0024,5.00,,,
7,Makao,1,1,1,4,5,10/12/2017 16:30,3 24.552,34 51.164,FDW,26.70,3.90,318.79,51.0070,0.0510,25.5035,0.0255,0.0013,5.00,,,
7,Makao,1,1,1,4,5,10/12/2017 16:30,3 24.552,34 51.164,FDW,17.40,2.80,107.09,17.1338,0.0171,8.5669,0.0086,0.0004,5.00,,,
7,Makao,1,1,1,4,5,10/12/2017 16:30,3 24.552,34 51.164,FDW,14.40,5.90,393.49,62.9588,0.0630,31.4794,0.0315,0.0016,5.00,,,
7,Makao,1,1,1,4,5,10/12/2017 16:30,3 24.552,34 51.164,FDW,27.00,2.50,132.47,21.1950,0.0212,10.5975,0.0106,0.0005,5.00,,,
8,Makao,1,1,1,4,5,10/12/2017 16:30,3 24.552,34 51.164,FDW,33.50,4.20,463.89,74.2221,0.0742,37.1110,0.0371,0.0019,5.00,,,
8,Makao,1,1,1,4,5,10/12/2017 16:30,3 24.552,34 51.164,FDW,9.00,5.80,237.67,38.0267,0.0380,19.0133,0.0190,0.0010,5.00,,,
8,Makao,1,1,1,4,5,10/12/2017 16:30,3 24.552,34 51.164,FDW,17.50,3.50,168.28,26.9255,0.0269,13.4628,0.0135,0.0007,5.00,,,
