"","Region","DWC.kg_m2","SE.DWC.kg_m2"
"1","Makao",0.00411875,0.000661073542933512
"2","Maswa",0.0433041666666667,0.0365595274195235
"3","Mwantimba",0.00436666666666667,0.00191329413432552
"4","Handajega",0.0738708333333333,0.0540746283762337
"5","Seronera",0.04371875,0.0364056133706855
"6","Park Nyigoti",0.00265416666666667,0.000705545986374304
"7","Ikorongo",0.0747375,0.0537210380090381
