number,Latitude,Longitude,area,rain.region,landuse,block,date,area.m2,ind.no,species,N.non,tree.part,entity,circum.cm,dbh.cm,base.di.raw,base.di.cm,height.cm,age,condition,dbh.kg.per.tree,basal.diamter,basal.diamter,total.basal.area.m2,Biomass.kg.per.tree,Biomass.kg.per.treePhilipo,Carbon.kg.per.tree,References,Fire.freq,Year.of.last.fire,annual.precip.mm2015_2017,precip.mm2017,precip.mm2016
1,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,06.05.2017,2500,1,Acacia seyal,N,trunk,live,30,9.549296586,,0,0,middle,good,32.99538753,0.018,0,0.007162,32.99538753,19.84938044,16.49769376,Lugana. 2015,8,2013,1134.810804,1021.567122,1120.036641
2,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,1,Acacia seyal,N,trunk,live,30.2,9.612958563,,0,0,middle,good,33.50137358,0.018,0,0.0072578,33.50137358,20.18896791,16.75068679,Lugana. 2015,8,2013,1134.810804,1021.567122,1120.036641
3,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,06.05.2017,2500,2,Acacia tortilis,N,trunk,live,27.2,8.658028904,,0,0,middle,good,26.36278753,0.018,0,0.0058875,26.36278753,15.45648741,13.18139377,Lugana. 2015,8,2013,1134.810804,1021.567122,1120.036641
4,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,2,Acacia tortilis,N,trunk,live,27.6,8.785352859,,0,0,middle,good,27.25918539,0.018,0,0.0060619,27.25918539,16.04343204,13.62959269,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
5,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,06.05.2017,2500,3,Balanites aegyptiaca,non,trunk,live,,0,2.5,0.795774715,0,young,good,0,1.516717504,1.224221183,0.0000497,1.224221183,1.224221183,0.612110591,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
6,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,3,Balanites aegyptiaca,non,trunk,live,,0,2.6,0.827605704,0,young,good,0,1.561697285,1.24245615,0.0000538,1.24245615,1.24245615,0.621228075,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
7,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,06.05.2017,2500,4,Commiphora africana,non,trunk,live,,0,3.8,1.209577567,0,young,good,0,2.047571459,1.424630289,0.0001149,1.424630289,1.424630289,0.712315144,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
8,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,4,Commiphora africana,non,trunk,live,,0,3.85,1.225493062,0,young,good,0,2.065944939,1.431064268,0.000118,1.431064268,1.431064268,0.715532134,Lugana. 2015,8,2013,1134.810804,1021.567122,1120.036641
9,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,06.05.2017,2500,5,Commiphora africana,non,trunk,live,74.4,23.68225553,,0,0,middle,good,264.1833015,0.018,0,0.0440491,264.1833015,201.7353921,132.0916507,Lugana. 2015,8,2013,1134.810804,1021.567122,1120.036641
10,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,5,Commiphora africana,non,trunk,live,74.4,23.68225553,,0,0,middle,good,264.1833015,0.018,0,0.0440491,264.1833015,201.7353921,132.0916507,Lugana. 2015,8,2013,1134.810804,1021.567122,1120.036641
