"","number","Latitude","Longitude","area","landuse","block","area.m2","total.basal.area.m2","Biomass.kg.per.tree","Carbon.kg.per.tree","Fire.freq","Year.of.last.fire","annual.precip.mm2015_2017","Carbon.g.tree","Biomass.g.tree","Block.ID"
"113",1216,-3.406114,34.850596,"Makao","pasture",1,2500,0.005134,2.376758144,1.188379072,6,2010,672.042796,1188.379072,2376.758144,"1"
"114",1230,-3.406114,34.850596,"Makao","pasture",1,2500,0.0001327,1.46022168,0.73011084,6,2010,672.042796,730.11084,1460.22168,"1"
"115",1237,-3.406114,34.850596,"Makao","pasture",1,2500,0.0002545,1.623522623,0.811761312,6,2010,672.042796,811.761312,1623.522623,"1"
"116",1244,-3.406114,34.850596,"Makao","pasture",1,2500,0.0004524,1.769990143,0.884995071,6,2010,672.042796,884.995071,1769.990143,"1"
"117",1251,-3.406114,34.850596,"Makao","pasture",1,2500,0.0005309,1.810853568,0.905426784,6,2010,672.042796,905.426784,1810.853568,"1"
"118",1258,-3.406114,34.850596,"Makao","pasture",1,2500,1.96e-05,1.018818275,0.509409137,6,2010,672.042796,509.409137,1018.818275,"1"
"119",1265,-3.406114,34.850596,"Makao","pasture",1,2500,3.85e-05,1.165507753,0.582753877,6,2010,672.042796,582.753877,1165.507753,"1"
"120",1272,-3.406114,34.850596,"Makao","pasture",1,2500,9.5e-05,1.378172559,0.68908628,6,2010,672.042796,689.08628,1378.172559,"1"
"121",1279,-3.406114,34.850596,"Makao","pasture",1,2500,0.0003142,1.677035318,0.838517659,6,2010,672.042796,838.517659,1677.035318,"1"
"122",1306,-3.409070978,34.85271203,"Makao","pasture",2,2500,1.26e-05,0.928099631,0.464049816,5,2010,672.042796,464.049816,928.099631,"2"
"123",1313,-3.409070978,34.85271203,"Makao","pasture",2,2500,0.0002545,1.623522623,0.811761312,5,2010,672.042796,811.761312,1623.522623,"2"
"124",1320,-3.409070978,34.85271203,"Makao","pasture",2,2500,0.0001131,1.420721944,0.710360972,5,2010,672.042796,710.360972,1420.721944,"2"
"125",1327,-3.409070978,34.85271203,"Makao","pasture",2,2500,0.0002011,1.564004252,0.782002126,5,2010,672.042796,782.002126,1564.004252,"2"
"126",1334,-3.409070978,34.85271203,"Makao","pasture",2,2500,0.0001131,1.420721944,0.710360972,5,2010,672.042796,710.360972,1420.721944,"2"
"127",1341,-3.408152992,34.85016896,"Makao","pasture",3,2500,0.0019615,2.141453362,1.070726681,7,2010,672.042796,1070.726681,2141.453362,"3"
"128",1348,-3.408152992,34.85016896,"Makao","pasture",3,2500,0.0002545,1.623522623,0.811761312,7,2010,672.042796,811.761312,1623.522623,"3"
"129",1355,-3.408152992,34.85016896,"Makao","pasture",3,2500,7.1e-06,0.819544091,0.409772045,7,2010,672.042796,409.772045,819.544091,"3"
"130",1362,-3.408152992,34.85016896,"Makao","pasture",3,2500,0.0003142,1.677035318,0.838517659,7,2010,672.042796,838.517659,1677.035318,"3"
"131",1376,-3.406235967,34.85110799,"Makao","pasture",4,2500,0.0153363,78.91425282,39.45712641,6,2010,672.042796,39457.12641,78914.25282,"4"
"64",700,-3.29561404,34.85213703,"Maswa","wild",1,2500,0.0213526,115.2804315,57.64021575,1,2004,754.8378464,57640.21575,115280.4315,"5"
"65",724,-3.29561404,34.85213703,"Maswa","wild",1,2500,0.0656089,416.9217376,208.4608688,1,2004,754.8378464,208460.8688,416921.7376,"5"
"66",757,-3.29646497,34.85434097,"Maswa","wild",2,2500,0.0253133,140.0826573,70.04132864,1,2004,754.8378464,70041.32864,140082.6573,"6"
"67",766,-3.29646497,34.85434097,"Maswa","wild",2,2500,1.26e-05,0.928099631,0.464049816,1,2004,754.8378464,464.049816,928.099631,"6"
"68",773,-3.29646497,34.85434097,"Maswa","wild",2,2500,2.83e-05,1.096908971,0.548454486,1,2004,754.8378464,548.454486,1096.908971,"6"
"69",787,-3.29911801,34.84824699,"Maswa","wild",3,2500,0.0428729,256.1208694,128.0604347,3,2007,717.3581404,128060.4347,256120.8694,"7"
"70",801,-3.29911801,34.84824699,"Maswa","wild",3,2500,0.0330037,189.8134148,94.90670739,3,2007,717.3581404,94906.70739,189813.4148,"7"
"71",808,-3.29911801,34.84824699,"Maswa","wild",3,2500,3.85e-05,1.165507753,0.582753877,3,2007,717.3581404,582.753877,1165.507753,"7"
"72",823,-3.302328028,34.84822302,"Maswa","wild",4,2500,0.0140375,71.3090887,35.65454435,2,2007,717.3581404,35654.54435,71309.0887,"8"
"73",837,-3.302328028,34.84822302,"Maswa","wild",4,2500,0.0450015,270.7347817,135.3673908,2,2007,717.3581404,135367.3908,270734.7817,"8"
