ID,Region, Site,Block,Block.ID, Circle,Area.m2,Carbon.kg,Carbon.kg_m2
185,Park Nyigoti,6,2,22,1,19.63495408,0.3402504,0.0173
187,Park Nyigoti,6,2,22,2,19.63495408,0.042684375,0.0022
189,Park Nyigoti,6,2,22,3,19.63495408,,
192,Park Nyigoti,6,2,22,4,19.63495408,,
193,Park Nyigoti,6,3,23,1,19.63495408,0.068583488,0.0035
195,Park Nyigoti,6,3,23,2,19.63495408,0.05181,0.0026
196,Park Nyigoti,6,3,23,2,19.63495408,,
197,Park Nyigoti,6,3,23,3,19.63495408,0.040977,0.0021
200,Park Nyigoti,6,3,23,4,19.63495408,,
201,Park Nyigoti,6,4,24,1,19.63495408,3.12459045,0.1591
203,Park Nyigoti,6,4,24,2,19.63495408,0.03830015,0.0020
205,Park Nyigoti,6,4,24,3,19.63495408,,
207,Park Nyigoti,6,4,24,4,19.63495408,0.0276948,0.0014
209,Ikorongo,7,1,25,1,19.63495408,,
212,Ikorongo,7,1,25,2,19.63495408,,
213,Ikorongo,7,1,25,3,19.63495408,3.72811415,0.1899
215,Ikorongo,7,1,25,4,19.63495408,5.3919138,0.2746
217,Ikorongo,7,2,26,1,19.63495408,,
219,Ikorongo,7,2,26,2,19.63495408,,
221,Ikorongo,7,2,26,3,19.63495408,,
223,Ikorongo,7,2,26,4,19.63495408,,
225,Ikorongo,7,3,27,1,19.63495408,,
227,Ikorongo,7,3,27,2,19.63495408,,
229,Ikorongo,7,3,27,3,19.63495408,,
231,Ikorongo,7,3,27,4,19.63495408,,
233,Ikorongo,7,4,28,1,19.63495408,,
235,Ikorongo,7,4,28,2,19.63495408,,
237,Ikorongo,7,4,28,3,19.63495408,,
239,Ikorongo,7,4,28,4,19.63495408,,
