"Current.placement.of.the.turf","date_extracted","insertion_date","harvest_date","region","site","block","placement","wp","latitude","longitude","source.ID","landuse","Tagsp","transplant","treatment","InitialVegH","InitialVegCover","InitialTagSpcover","FilVegCover","FilTagspCover","FilVegH","Average.H.outside","Themeda.triandra","Digitaria.macroblephara","Crysochloa.orientalis","Chloris.pycnothris","Cynodon.dactylon","Other.weight.g","Other.subsample.wt.g","Target.weight.g","Target.subsample.wt.g","Plant.N","Plant.C","Plant.CN","Soil.depth","weight.g","airdry.weight.g","ovendry.weight.g","weight.stones.g","pH","Total.depth.cm","Core.depth.cm","Vol.cm3","Stone.vol.cm3","BD.gcm3","rain.sum.mm","Tot.Zero.days","Mean.ConscZero.days","Fire.freq2000.2016","Year.of.last.fire","wild_grazerTot","wild_grazerMean","live_broswerMean","live_broswerTot","live_grazerTot","live_grazerMean","wild_broswerrMean","wild_broswerTot","total_dungTot","total_dungMean","HerbPRC","fSite","fBlock","fTagsp","fLanduse","fregion","FinalPresAb","CoverChange"
"CG_DRY_P_1_1","22/02/2017","23/02/2017","24/05/2018","DRY","Makao",1,"DRY_P",1007,-3.40903502,34.85271798,"SE_1_EX_4","Pasture","Dig mac","Trasnplant","Open",4.9,50,45,45,2,19,21,0,45,0,0,0,7.12,1.36,0.43,0.43,1.93,39.24,20.33262099,"5cm",110.7,53.6585,52.6316,2.4943,6.25,12,5,69.27211801,1.30751206,0.737697207,1131.170917,258,10,5,2010,30,0.333333333,6.133333333,552,2154,23.93333333,2.6,234,2970,33,-0.391161686,"Makao","1","Dig mac","Pasture","DRY",1,-43
"CG_DRY_P_1_2","22/02/2017","23/02/2017","24/05/2018","DRY","Makao",1,"DRY_P",1007,-3.40903502,34.85271798,"SE_1_OP_4","Pasture","Dig mac","Trasnplant","Open",3,40,26,25,3,11,25,1,26,0,0,0,9.32,2.13,6.18,0.6,1.99,39.22,19.7538464,"5cm",116.16,54.4743,53.3016,3.6537,6.21,12,5,69.27211801,1.91526954,0.737087633,1131.170917,258,10,5,2010,30,0.333333333,6.133333333,552,2154,23.93333333,2.6,234,2970,33,-0.391161686,"Makao","1","Dig mac","Pasture","DRY",1,-23
"CG_DRY_P_2_1","22/02/2017","23/02/2017","24/05/2018","DRY","Makao",2,"DRY_P",1005,-3.408438982,34.85037197,"SE_2_EX_4","Pasture","Dig mac","Trasnplant","Open",3,45,38,30,10,13,17,0,38,0,0,0,11.22,2.83,6.94,1.38,NA,NA,NA,"5cm",75.11,41.0767,40.0904,1.6544,6.28,12,5,69.27211801,0.86723648,0.561889724,1131.170917,258,11,7,2010,0,0,9.133333333,822,1902,21.13333333,2.733333333,246,2970,33,-0.47381785,"Makao","2","Dig mac","Pasture","DRY",1,-28
"CG_DRY_P_2_2","22/02/2017","23/02/2017","24/05/2018","DRY","Makao",2,"DRY_P",1005,-3.408438982,34.85037197,"SE_2_OP_4","Pasture","Dig mac","Trasnplant","Open",3,25,14,40,0,18,12,2,14,0,0,0,11.88,4.6,NA,NA,NA,NA,NA,"5cm",100.32,54.2629,53.0851,2.4185,6.28,11.5,5,69.27211801,1.2677777,0.745049504,1131.170917,258,11,7,2010,0,0,9.133333333,822,1902,21.13333333,2.733333333,246,2970,33,-0.47381785,"Makao","2","Dig mac","Pasture","DRY",0,-14
"CG_DRY_P_3_1","22/02/2017","23/02/2017","24/05/2018","DRY","Makao",3,"DRY_P",1002,-3.406233033,34.85054699,"SE_3_EX_4","Pasture","Dig mac","Trasnplant","Open",3.3,25,19,25,0,32,35,3,19,0,0,0,14.69,6.85,NA,NA,NA,NA,NA,"5cm",110.66,44.505,43.4446,8.7885,6.39,13,5,69.27211801,4.6069317,0.535931341,1131.170917,258,11,6,2010,78,0.866666667,11.53333333,1038,1662,18.46666667,0.8,72,2850,31.66666667,-0.467130078,"Makao","3","Dig mac","Pasture","DRY",0,-19
"CG_DRY_P_3_2","22/02/2017","23/02/2017","24/05/2018","DRY","Makao",3,"DRY_P",1002,-3.406233033,34.85054699,"SE_3_OP_4","Pasture","Dig mac","Trasnplant","Open",2.5,35,10,95,0,38,45,10,10,0,0,0,13.32,4.94,NA,NA,NA,NA,NA,"5cm",101.51,36.1342,35.5273,9.1415,6.45,13,5,69.27211801,4.7919743,0.409208145,1131.170917,258,11,6,2010,78,0.866666667,11.53333333,1038,1662,18.46666667,0.8,72,2850,31.66666667,-0.467130078,"Makao","3","Dig mac","Pasture","DRY",0,-10
"CG_DRY_P_4_1","22/02/2017","23/02/2017","24/05/2018","DRY","Makao",4,"DRY_P",1004,-3.40675598,34.85159498,"SE_4_EX_4","Pasture","Dig mac","Trasnplant","Open",2.7,10,7,56,30,12,32,0,7,0,0,0,9.83,2.27,6.56,1.06,1.05,39.87,37.88784161,"5cm",117.33,38.5966,37.7794,2.8769,6.37,13,5,69.27211801,1.50807098,0.515059261,1131.170917,258,12,5,2010,0,0,1.555555556,56,280,7.777777778,0,0,336,9.333333333,-0.244516243,"Makao","4","Dig mac","Pasture","DRY",1,23
"CG_DRY_P_4_2","22/02/2017","23/02/2017","24/05/2018","DRY","Makao",4,"DRY_P",1004,-3.40675598,34.85159498,"SE_4_OP_4","Pasture","Dig mac","Trasnplant","Open",3.3,30,24,30,10,9,27,3,24,0,0,0,14.2,4.31,6.43,0.95,0.87,38.27,43.84118108,"5cm",101.55,46.161,45.5053,3.2654,6.16,13,5,69.27211801,1.71172268,0.625216886,1131.170917,258,12,5,2010,0,0,1.555555556,56,280,7.777777778,0,0,336,9.333333333,-0.244516243,"Makao","4","Dig mac","Pasture","DRY",1,-14
"CG_DRY_W_1_1","22/02/2017","23/02/2017","25/05/2018","DRY","Maswa",1,"DRY_W",996,-3.299337029,34.84838798,"SE_1_EX_3","Wild","Dig mac","Trasnplant","Open",3.3,40,39,15,0,36,31,0,39,0,0,0,7.36,1.33,NA,NA,NA,NA,NA,"5cm",88.83,41.4315,40.3891,2.2331,6.33,14,5,69.27211801,1.17059102,0.560281123,1184.444078,256,12,3,2007,492,5.125,0,0,0,0,5.8125,558,1050,10.9375,0.13477172,"Maswa","1","Dig mac","Wild","DRY",0,-39
"CG_DRY_W_1_2","22/02/2017","23/02/2017","25/05/2018","DRY","Maswa",1,"DRY_W",996,-3.299337029,34.84838798,"SE_1_OP_3","Wild","Dig mac","Trasnplant","Open",2.3,30,25,90,80,16,35,0,25,0,0,0,5.9,0.72,14.06,6.18,1.45,35.99,24.8997179,"5cm",120.94,NA,34.1932,2.5251,6.3,14,5,69.27211801,1.32365742,0.466060595,1184.444078,256,12,3,2007,492,5.125,0,0,0,0,5.8125,558,1050,10.9375,0.13477172,"Maswa","1","Dig mac","Wild","DRY",1,55
