Plant.measure,HFAfactor,Spp,HW,Hf,HL,Ha,HGD,AW,Af,AL,Aa,AGD,HA,u.ability
Cover,Rain region,Chl pyc,14,232,14,279,-47,10,382,33,973,-591,-12.333333,0.77777778
Cover,Rain region,Chr ori,24,1195,15,305,890,0,0,22,365,-365,224.666667,-2.8888889
Cover,Rain region,Cyn dac,21,454,12,178,276,23,382,22,695,-313,2.66666667,88.4444444
Cover,Rain region,Dig mac,28,373,29,861,-488,712,25,430,0,25,-324,269.3333333
Cover,Rain region,The tri,39,1473,8,268,1205,15,112,15,279,-167,263.666667,50.1111111
Cover,Land-use,Chl pyc,21,611,14,456,155,3,3,33,796,0,-63.25,136
Cover,Land-use,Chr ori,9,357,13,220,137,15,838,24,450,0,-69.25,138
Cover,Land-use,Cyn dac,30,514,17,523,-9,14,322,17,350,0,-117.91667,154.222222
Cover,Land-use,Dig mac,42,821,21,389,432,24,264,33,902,0,29.0833333,105.222222
Cover,Land-use,The tri,34,933,12,269,664,20,652,11,278,0,106.416667,79.4444444
Biomass,Rain region,Chl pyc,13,1.43865883,13,1.67925017,-0.2405913,10,1.75279249,32,8.34877308,-6.5959806,0.87250387,-1.2435356
Biomass,Rain region,Chr ori,22,3.08775868,16,5.02797203,-1.9402133,0,0,22,3.09224049,-3.0922405,-0.8619502,0.50252911
Biomass,Rain region,Cyn dac,22,2.35009462,10,1.09681947,1.25327515,23,4.28440014,23,4.52314661,-0.2387465,-0.7486187,1.41591662
Biomass,Rain region,Dig mac,28,4.958707801,28,6.228687853,-1.269980052,4.482414352,26,2.673599326,0,26,-10.2301209,13.21683451
Biomass,Rain region,The tri,41,16.7829269,10,0.90388681,15.8790401,15,1.83753931,16,1.84466945,-0.0071301,4.04943088,-0.1062278
Biomass,Land-use,Chl pyc,20,2.82109139,13,1.72447564,1.09661576,3,0.37035992,32,8.30354761,-7.9331877,1.4817735,-1.6101594
Biomass,Land-use,Chr ori,8,0.99557147,14,1.63585817,-0.6402867,14,2.09218722,24,6.48435435,-4.3921671,-0.2775342,0.15661666
Biomass,Land-use,Cyn dac,31,5.01452662,18,4.03809328,0.97643335,14,1.61996814,15,1.58187281,0.03809533,-1.2153816,1.94598663
Biomass,Land-use,Dig mac,44,7.53350374,21,4.51500929,3.01849445,21,1.90761842,33,4.38727789,-2.4796595,0.304557,0.60008882
Biomass,Land-use,The tri,34,15.5145766,16,1.62790175,13.8866749,22,3.10588962,10,1.12065452,1.9852351,2.43898562,1.37691081
Nitrogen,Rain region,Chl pyc,3,3.77,3,3.79,-0.02,1,1.02,6,7.04,-6.02,1.84244479,-2.4632597
Nitrogen,Rain region,Chr ori,9,9.37066255,7,8.1,1.27066255,0,0,0,0,0,0.26599897,0.06888889
Nitrogen,Rain region,Cyn dac,3,3.4,3,4.54,-1.14,11,11.2,9,9.47252084,1.72747916,-1.1133816,1.1045088
Nitrogen,Rain region,Dig mac,11,10.77,11,8.42,2.35,11.94800713,8,6.15,0,8,-2.236721879,3.765629172
Nitrogen,Rain region,The tri,13,13.36,11,11.58,1.78,2,1.88,4,4.2,-2.32,1.20911145,-1.0188153
Nitrogen,Land-use,Chl pyc,3,3.77,8,9.49,-5.72,1,1.02,1,1.34,-0.32,-0.6537905,-1.034946
Nitrogen,Land-use,Chr ori,1,0.06,5,5.59,-5.53,8,9.31066255,2,2.51,6.80066255,-2.9640114,2.10868183
Nitrogen,Land-use,Cyn dac,6,7.19,11,12.8225208,-5.6325208,8,7.41,1,1.19,6.22,-2.8046308,1.86200079
Nitrogen,Land-use,Dig mac,12,12.8580071,11,8.19,4.66800713,9,9.86,8,6.38,3.48,1.54221185,-0.5002801
Nitrogen,Land-use,The tri,8,7.75,10,9.29,-1.54,7,7.49,5,6.49,1,0.29954281,-0.9127237
